name,year,out,in,tot,tourn_type,tourn_year,hole,score,par,ob,water,side,rel_to_par
A81,10,61,58,119,sectionals,2012,1,11,5,TRUE,TRUE,front,6
A82,12,49,40,89,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A83,12,46,46,92,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A84,11,40,44,84,sectionals,2012,1,5,5,TRUE,TRUE,front,0
A85,11,43,44,87,sectionals,2012,1,4,5,TRUE,TRUE,front,-1
A86,10,48,49,97,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A87,11,44,53,97,sectionals,2012,1,5,5,TRUE,TRUE,front,0
A88,10,46,40,86,sectionals,2012,1,7,5,TRUE,TRUE,front,2
A89,10,43,45,88,sectionals,2012,1,8,5,TRUE,TRUE,front,3
A90,9,48,45,93,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A91,10,50,53,103,sectionals,2012,1,7,5,TRUE,TRUE,front,2
A92,12,42,41,83,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A93,11,47,41,88,sectionals,2012,1,7,5,TRUE,TRUE,front,2
A94,11,57,59,116,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A95,12,60,57,117,sectionals,2012,1,9,5,TRUE,TRUE,front,4
A96,11,58,59,117,sectionals,2012,1,9,5,TRUE,TRUE,front,4
A97,12,47,43,90,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A98,11,43,50,93,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A99,10,46,47,93,sectionals,2012,1,5,5,TRUE,TRUE,front,0
A100,12,48,50,98,sectionals,2012,1,7,5,TRUE,TRUE,front,2
A101,10,45,45,90,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A102,11,45,50,95,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A103,12,49,51,100,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A104,11,39,44,83,sectionals,2012,1,5,5,TRUE,TRUE,front,0
A105,11,55,47,102,sectionals,2012,1,8,5,TRUE,TRUE,front,3
A106,10,65,68,133,sectionals,2012,1,10,5,TRUE,TRUE,front,5
A107,11,45,45,90,sectionals,2012,1,8,5,TRUE,TRUE,front,3
A108,11,47,43,90,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A109,11,45,45,90,sectionals,2012,1,7,5,TRUE,TRUE,front,2
A110,12,60,56,116,sectionals,2012,1,9,5,TRUE,TRUE,front,4
A111,12,54,58,112,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A112,12,43,44,87,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A113,11,48,45,93,sectionals,2012,1,7,5,TRUE,TRUE,front,2
A114,10,46,45,91,sectionals,2012,1,5,5,TRUE,TRUE,front,0
A115,9,48,42,90,sectionals,2012,1,9,5,TRUE,TRUE,front,4
A116,9,48,46,94,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A117,12,42,39,81,sectionals,2012,1,8,5,TRUE,TRUE,front,3
A118,9,51,49,100,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A119,9,48,46,94,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A120,10,41,46,87,sectionals,2012,1,7,5,TRUE,TRUE,front,2
A121,11,46,51,97,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A122,12,50,43,93,sectionals,2012,1,7,5,TRUE,TRUE,front,2
A123,12,44,42,86,sectionals,2012,1,6,5,TRUE,TRUE,front,1
