name,year,1,2,3,4,5,6,7,8,9,out,10,11,12,13,14,15,16,17,18,in,tot,tourn_type,tourn_year
A361,12,6,5,5,5,4,3,4,5,3,40,4,5,6,4,6,4,5,3,4,41,81,sectionals,2016
A362,11,5,5,3,4,4,3,5,4,4,37,5,5,6,4,5,4,4,6,6,45,82,sectionals,2016
A363,11,5,4,4,4,3,4,4,5,3,36,4,5,4,5,5,6,4,5,5,43,79,sectionals,2016
A364,12,7,4,4,6,4,5,5,4,4,43,5,7,6,4,5,5,4,3,5,44,87,sectionals,2016
A365,11,8,4,5,7,6,4,5,5,4,48,4,6,9,4,6,6,4,3,6,48,96,sectionals,2016
A366,11,7,4,6,5,5,5,6,5,4,47,5,6,7,6,6,6,6,5,5,52,99,sectionals,2016
A367,10,7,5,7,7,6,4,8,4,5,53,6,6,5,3,8,6,5,4,5,48,101,sectionals,2016
A368,9,7,5,5,5,4,4,7,6,4,47,4,7,6,4,6,6,5,5,5,48,95,sectionals,2016
A369,11,9,6,4,5,5,4,7,5,4,49,6,6,5,4,6,6,6,5,9,53,102,sectionals,2016
A370,11,7,5,6,5,6,4,8,5,4,50,6,5,5,5,8,9,6,5,6,55,105,sectionals,2016
A371,11,10,6,6,8,5,7,7,11,6,66,6,8,6,5,9,6,8,7,6,61,127,sectionals,2016
A372,11,5,4,3,6,7,4,5,4,4,42,5,4,4,3,5,6,5,3,4,39,81,sectionals,2016
A373,12,5,4,4,6,4,3,5,5,3,39,8,6,5,3,5,5,4,4,5,45,84,sectionals,2016
A374,11,6,5,5,5,7,3,5,4,3,43,4,6,4,6,5,4,5,4,4,42,85,sectionals,2016
A375,12,7,6,4,5,4,5,5,6,3,45,4,6,5,4,5,6,4,3,5,42,87,sectionals,2016
A376,11,6,5,4,5,4,5,6,6,4,45,5,6,5,4,6,5,5,5,4,45,90,sectionals,2016
A377,12,6,5,4,5,5,3,5,5,4,42,6,6,5,4,5,7,5,4,6,48,90,sectionals,2016
A378,11,6,7,5,6,5,3,7,5,5,49,5,6,4,4,6,5,5,4,4,43,92,sectionals,2016
A379,12,9,4,5,6,6,4,6,4,4,48,5,6,6,3,6,7,5,4,5,47,95,sectionals,2016
A380,12,9,5,5,5,5,4,5,6,4,48,5,8,4,5,6,5,6,4,5,48,96,sectionals,2016
A381,12,6,6,5,7,4,3,7,3,4,45,6,6,7,5,6,5,6,6,5,52,97,sectionals,2016
A382,12,8,6,7,7,5,5,6,6,4,54,9,7,5,3,6,6,5,6,8,55,109,sectionals,2016
A383,12,7,5,5,6,5,6,12,5,5,56,6,8,7,5,7,7,7,5,6,58,114,sectionals,2016
A384,12,5,5,5,6,4,3,6,8,4,46,4,6,4,6,7,6,6,5,4,48,94,regionals,2017
A385,12,7,7,4,7,5,6,7,5,5,53,4,5,4,3,5,5,4,5,4,39,92,regionals,2017
A386,11,8,5,6,7,5,5,5,5,3,49,7,6,5,5,7,7,5,6,6,54,103,regionals,2017
A387,12,6,5,5,6,6,5,5,5,4,47,4,6,5,6,7,6,6,3,7,50,97,regionals,2017
A388,12,4,5,4,6,4,3,5,5,3,39,4,5,5,3,6,5,4,4,4,40,79,regionals,2017
A389,10,6,9,5,6,4,6,6,10,5,57,6,9,6,3,8,5,5,4,5,51,108,regionals,2017
A390,11,8,6,5,6,6,5,6,5,4,51,5,7,8,4,7,5,7,6,6,55,106,regionals,2017
A391,11,13,7,6,8,7,6,8,6,4,65,8,8,8,4,9,7,7,6,7,64,129,regionals,2017
A392,9,5,6,5,7,6,4,6,10,4,53,5,10,6,5,7,7,5,4,5,54,107,regionals,2017
A393,12,6,6,4,5,5,3,5,4,3,41,4,5,5,3,5,5,4,2,6,39,80,regionals,2017
A394,12,6,4,5,8,5,5,5,4,4,46,5,6,6,3,7,6,5,3,5,46,92,regionals,2017
A395,12,6,7,5,8,6,5,5,7,3,52,5,6,5,7,8,5,6,6,5,53,105,regionals,2017
A396,12,7,6,7,6,7,5,8,6,3,55,6,8,6,3,7,5,5,4,6,50,105,regionals,2017
A397,11,5,6,6,6,7,3,5,8,6,52,8,6,8,3,7,7,7,4,7,57,109,regionals,2017
