hole#,par,handicap,yards,eaglesegl,birdiesbrd,parspar,bogeysbog,d_bogeysdbl,other,avg,to_par,url
13,4,11.0,310,0,5,25,14,4,1,4.42,0.42,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
14,4,3.0,395,0,5,24,17,3,0,4.36,0.36,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
15,5,17.0,485,0,19,23,5,0,2,4.83,-0.17,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
16,4,5.0,410,0,5,13,19,12,0,4.77,0.77,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
17,3,9.0,211,0,1,23,15,8,2,3.73,0.73,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
18,4,7.0,406,0,5,20,20,2,2,4.51,0.51,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
Totals,71,,6242,0,92,434,265,74,17,78.57,7.57,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/course/wausaucc/stat/index.htm
1,4,14.0,340,0,7,21,3,3,1,4.14,0.14,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1441/contest/1/course/wausaucc/stat/index.htm
2,5,8.0,485,0,1,25,8,0,1,5.28,0.28,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1441/contest/1/course/wausaucc/stat/index.htm
3,4,12.0,380,0,4,19,9,0,3,4.48,0.48,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1441/contest/1/course/wausaucc/stat/index.htm
4,4,4.0,355,0,0,20,10,5,0,4.57,0.57,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1441/contest/1/course/wausaucc/stat/index.htm
5,3,10.0,175,0,3,15,14,2,1,3.51,0.51,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1441/contest/1/course/wausaucc/stat/index.htm
6,5,6.0,540,0,7,14,9,5,0,5.34,0.34,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1441/contest/1/course/wausaucc/stat/index.htm
7,4,2.0,390,0,3,17,13,2,0,4.4,0.4,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1441/contest/1/course/wausaucc/stat/index.htm
8,4,18.0,336,0,3,20,9,3,0,4.34,0.34,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1441/contest/1/course/wausaucc/stat/index.htm
9,3,16.0,143,0,1,15,17,0,2,3.62,0.62,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1441/contest/1/course/wausaucc/stat/index.htm
10,4,13.0,345,0,2,21,11,0,1,4.34,0.34,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1441/contest/1/course/wausaucc/stat/index.htm
11,4,1.0,400,0,0,13,14,5,3,5.05,1.05,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1441/contest/1/course/wausaucc/stat/index.htm
12,3,15.0,140,0,1,21,9,4,0,3.45,0.45,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1441/contest/1/course/wausaucc/stat/index.htm
13,4,11.0,309,0,5,16,11,3,0,4.34,0.34,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1441/contest/1/course/wausaucc/stat/index.htm
14,4,3.0,400,0,3,15,11,5,1,4.6,0.6,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1441/contest/1/course/wausaucc/stat/index.htm
15,5,17.0,490,0,7,20,7,1,0,5.05,0.05,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1441/contest/1/course/wausaucc/stat/index.htm
16,4,5.0,405,1,6,15,12,1,0,4.17,0.17,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1441/contest/1/course/wausaucc/stat/index.htm
17,3,9.0,210,0,0,15,15,3,2,3.77,0.77,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1441/contest/1/course/wausaucc/stat/index.htm
18,4,7.0,405,0,0,10,18,7,0,4.91,0.91,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1441/contest/1/course/wausaucc/stat/index.htm
Totals,71,,6248,1,53,312,200,49,15,79.36,8.36,https://wsga.bluegolf.com/bluegolf/wsga14/event/wsga1441/contest/1/course/wausaucc/stat/index.htm
1,4,14.0,342,0,7,33,10,7,0,4.29,0.29,https://wsga.bluegolf.com/bluegolf/wsga11/event/wsga1128/contest/1/course/wausaucc/stat/index.htm
2,5,8.0,480,0,7,28,15,5,2,5.42,0.42,https://wsga.bluegolf.com/bluegolf/wsga11/event/wsga1128/contest/1/course/wausaucc/stat/index.htm
3,4,12.0,374,0,3,36,13,4,1,4.36,0.36,https://wsga.bluegolf.com/bluegolf/wsga11/event/wsga1128/contest/1/course/wausaucc/stat/index.htm
4,4,4.0,355,0,3,34,12,7,1,4.45,0.45,https://wsga.bluegolf.com/bluegolf/wsga11/event/wsga1128/contest/1/course/wausaucc/stat/index.htm
5,3,10.0,193,0,2,28,22,3,2,3.57,0.57,https://wsga.bluegolf.com/bluegolf/wsga11/event/wsga1128/contest/1/course/wausaucc/stat/index.htm
6,5,6.0,539,0,13,29,11,4,0,5.1,0.1,https://wsga.bluegolf.com/bluegolf/wsga11/event/wsga1128/contest/1/course/wausaucc/stat/index.htm
7,4,2.0,430,0,3,30,17,6,1,4.5,0.5,https://wsga.bluegolf.com/bluegolf/wsga11/event/wsga1128/contest/1/course/wausaucc/stat/index.htm
8,4,18.0,336,0,5,33,14,4,1,4.38,0.38,https://wsga.bluegolf.com/bluegolf/wsga11/event/wsga1128/contest/1/course/wausaucc/stat/index.htm
9,3,16.0,150,0,6,30,16,4,1,3.36,0.36,https://wsga.bluegolf.com/bluegolf/wsga11/event/wsga1128/contest/1/course/wausaucc/stat/index.htm
10,4,13.0,353,0,9,27,19,2,0,4.24,0.24,https://wsga.bluegolf.com/bluegolf/wsga11/event/wsga1128/contest/1/course/wausaucc/stat/index.htm
11,4,1.0,408,0,3,22,22,5,5,4.8,0.8,https://wsga.bluegolf.com/bluegolf/wsga11/event/wsga1128/contest/1/course/wausaucc/stat/index.htm
12,3,15.0,146,0,3,33,14,7,0,3.43,0.43,https://wsga.bluegolf.com/bluegolf/wsga11/event/wsga1128/contest/1/course/wausaucc/stat/index.htm
13,4,11.0,347,0,8,26,13,8,2,4.47,0.47,https://wsga.bluegolf.com/bluegolf/wsga11/event/wsga1128/contest/1/course/wausaucc/stat/index.htm
14,4,3.0,405,0,1,29,21,5,1,4.57,0.57,https://wsga.bluegolf.com/bluegolf/wsga11/event/wsga1128/contest/1/course/wausaucc/stat/index.htm
15,5,17.0,486,2,15,30,10,0,0,4.84,-0.16,https://wsga.bluegolf.com/bluegolf/wsga11/event/wsga1128/contest/1/course/wausaucc/stat/index.htm
16,4,5.0,412,0,3,21,22,9,2,4.75,0.75,https://wsga.bluegolf.com/bluegolf/wsga11/event/wsga1128/contest/1/course/wausaucc/stat/index.htm
17,3,9.0,200,0,2,22,28,4,1,3.64,0.64,https://wsga.bluegolf.com/bluegolf/wsga11/event/wsga1128/contest/1/course/wausaucc/stat/index.htm
18,4,7.0,406,0,1,25,25,5,1,4.64,0.64,https://wsga.bluegolf.com/bluegolf/wsga11/event/wsga1128/contest/1/course/wausaucc/stat/index.htm
Totals,71,,6362,2,94,516,304,89,21,78.81,7.81,https://wsga.bluegolf.com/bluegolf/wsga11/event/wsga1128/contest/1/course/wausaucc/stat/index.htm
