hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18,title
4.0,3.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,6.0,Amateur Qualifier (The Oaks GC) - Logan Lillehaug Scorecard | WSGA
6.0,2.0,4.0,5.0,3.0,5.0,3.0,5.0,6.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,Amateur Qualifier (The Oaks GC) - Carter Simon Scorecard | WSGA
4.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,6.0,4.0,4.0,7.0,Amateur Qualifier (The Oaks GC) - Josh Teplin Scorecard | WSGA
4.0,3.0,6.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,6.0,3.0,4.0,5.0,4.0,4.0,5.0,Amateur Qualifier (The Oaks GC) - John Kestly Scorecard | WSGA
4.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,6.0,3.0,4.0,4.0,4.0,5.0,6.0,4.0,3.0,5.0,Amateur Qualifier (The Oaks GC) - Logan Walzer Scorecard | WSGA
4.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,8.0,Amateur Qualifier (The Oaks GC) - Cal Condon Scorecard | WSGA
4.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,7.0,Amateur Qualifier (The Oaks GC) - David Jensen Scorecard | WSGA
5.0,4.0,5.0,6.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,3.0,3.0,6.0,6.0,4.0,3.0,5.0,Amateur Qualifier (The Oaks GC) - Michael Shomo Scorecard | WSGA
6.0,3.0,5.0,4.0,2.0,6.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,Amateur Qualifier (The Oaks GC) - Ben Laubusch Scorecard | WSGA
4.0,3.0,6.0,6.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0,Amateur Qualifier (The Oaks GC) - Brian Campbell Scorecard | WSGA
3.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,2.0,4.0,5.0,4.0,4.0,7.0,4.0,4.0,5.0,Amateur Qualifier (The Oaks GC) - Jacob Werlein Scorecard | WSGA
4.0,4.0,5.0,6.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,Amateur Qualifier (The Oaks GC) - Mike Gustafson Scorecard | WSGA
