hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18,title,url
4.0,5.0,3.0,4.0,3.0,5.0,6.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,Wisconsin State Open Qualifier #3 - Larry Wetzel (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/630/scorecard.htm
4.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,2.0,4.0,5.0,3.0,4.0,6.0,5.0,4.0,4.0,4.0,Wisconsin State Open Qualifier #3 - Kelly Berger Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/601/scorecard.htm
4.0,5.0,4.0,4.0,4.0,4.0,6.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,6.0,4.0,3.0,3.0,Wisconsin State Open Qualifier #3 - Tim Grogan Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/649/scorecard.htm
4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,6.0,3.0,5.0,5.0,6.0,4.0,3.0,5.0,Wisconsin State Open Qualifier #3 - Aaron Bravick (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/555/scorecard.htm
5.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,2.0,4.0,4.0,3.0,4.0,4.0,7.0,5.0,3.0,4.0,Wisconsin State Open Qualifier #3 - Bill Crinzi (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/639/scorecard.htm
4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,6.0,5.0,6.0,3.0,3.0,Wisconsin State Open Qualifier #3 - Ryan Pasowicz (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/643/scorecard.htm
4.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,3.0,3.0,5.0,Wisconsin State Open Qualifier #3 - Trevor Vandelac (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/609/scorecard.htm
4.0,6.0,4.0,2.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,6.0,Wisconsin State Open Qualifier #3 - Jason Hogue Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/642/scorecard.htm
4.0,7.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,Wisconsin State Open Qualifier #3 - Kyler Royston (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/559/scorecard.htm
4.0,4.0,4.0,6.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,Wisconsin State Open Qualifier #3 - Nathan Young Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/602/scorecard.htm
3.0,5.0,4.0,4.0,3.0,6.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,6.0,6.0,4.0,Wisconsin State Open Qualifier #3 - Brant Serchen (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/624/scorecard.htm
