name,url,year
Putting from - 20-25',https://www.pgatour.com/stats/stat.407.y2012.html,2012
Putting from 10',https://www.pgatour.com/stats/stat.348.y2012.html,2012
Putting from 15-25',https://www.pgatour.com/stats/stat.02328.y2012.html,2012
Putting from 3',https://www.pgatour.com/stats/stat.341.y2012.html,2012
Putting from 3-5',https://www.pgatour.com/stats/stat.02427.y2012.html,2012
Putting from 4',https://www.pgatour.com/stats/stat.342.y2012.html,2012
Putting from 4-8',https://www.pgatour.com/stats/stat.485.y2012.html,2012
Putting from 5',https://www.pgatour.com/stats/stat.343.y2012.html,2012
Putting from 5-10',https://www.pgatour.com/stats/stat.404.y2012.html,2012
Putting from 5-15',https://www.pgatour.com/stats/stat.02327.y2012.html,2012
Putting from 6',https://www.pgatour.com/stats/stat.344.y2012.html,2012
Putting from 7',https://www.pgatour.com/stats/stat.345.y2012.html,2012
Putting from 8',https://www.pgatour.com/stats/stat.346.y2012.html,2012
Putting from 9',https://www.pgatour.com/stats/stat.347.y2012.html,2012
Putting from Inside 5',https://www.pgatour.com/stats/stat.403.y2012.html,2012
Putts Made Per Event Over 10',https://www.pgatour.com/stats/stat.434.y2012.html,2012
Putts Made Per Event Over 20',https://www.pgatour.com/stats/stat.435.y2012.html,2012
Putting - Inside 10',https://www.pgatour.com/stats/stat.484.y2013.html,2013
Putting from - > 10',https://www.pgatour.com/stats/stat.356.y2013.html,2013
Putting from - > 20',https://www.pgatour.com/stats/stat.02429.y2013.html,2013
Putting from - > 25',https://www.pgatour.com/stats/stat.408.y2013.html,2013
Putting from - 10-15',https://www.pgatour.com/stats/stat.405.y2013.html,2013
Putting from - 15-20',https://www.pgatour.com/stats/stat.406.y2013.html,2013
Putting from - 20-25',https://www.pgatour.com/stats/stat.407.y2013.html,2013
Putting from 10',https://www.pgatour.com/stats/stat.348.y2013.html,2013
Putting from 15-25',https://www.pgatour.com/stats/stat.02328.y2013.html,2013
Putting from 3',https://www.pgatour.com/stats/stat.341.y2013.html,2013
Putting from 3-5',https://www.pgatour.com/stats/stat.02427.y2013.html,2013
Putting from 4',https://www.pgatour.com/stats/stat.342.y2013.html,2013
Putting from 4-8',https://www.pgatour.com/stats/stat.485.y2013.html,2013
Putting from 5',https://www.pgatour.com/stats/stat.343.y2013.html,2013
Putting from 5-10',https://www.pgatour.com/stats/stat.404.y2013.html,2013
Putting from 5-15',https://www.pgatour.com/stats/stat.02327.y2013.html,2013
Putting from 6',https://www.pgatour.com/stats/stat.344.y2013.html,2013
Putting from 7',https://www.pgatour.com/stats/stat.345.y2013.html,2013
Putting from 8',https://www.pgatour.com/stats/stat.346.y2013.html,2013
Putting from 9',https://www.pgatour.com/stats/stat.347.y2013.html,2013
Putting from Inside 5',https://www.pgatour.com/stats/stat.403.y2013.html,2013
Putts Made Per Event Over 10',https://www.pgatour.com/stats/stat.434.y2013.html,2013
Putts Made Per Event Over 20',https://www.pgatour.com/stats/stat.435.y2013.html,2013
Putting - Inside 10',https://www.pgatour.com/stats/stat.484.y2014.html,2014
Putting from - > 10',https://www.pgatour.com/stats/stat.356.y2014.html,2014
Putting from - > 20',https://www.pgatour.com/stats/stat.02429.y2014.html,2014
Putting from - > 25',https://www.pgatour.com/stats/stat.408.y2014.html,2014
Putting from - 10-15',https://www.pgatour.com/stats/stat.405.y2014.html,2014
Putting from - 15-20',https://www.pgatour.com/stats/stat.406.y2014.html,2014
Putting from - 20-25',https://www.pgatour.com/stats/stat.407.y2014.html,2014
Putting from 10',https://www.pgatour.com/stats/stat.348.y2014.html,2014
Putting from 15-25',https://www.pgatour.com/stats/stat.02328.y2014.html,2014
Putting from 3',https://www.pgatour.com/stats/stat.341.y2014.html,2014
Putting from 3-5',https://www.pgatour.com/stats/stat.02427.y2014.html,2014
Putting from 4',https://www.pgatour.com/stats/stat.342.y2014.html,2014
Putting from 4-8',https://www.pgatour.com/stats/stat.485.y2014.html,2014
Putting from 5',https://www.pgatour.com/stats/stat.343.y2014.html,2014
Putting from 5-10',https://www.pgatour.com/stats/stat.404.y2014.html,2014
Putting from 5-15',https://www.pgatour.com/stats/stat.02327.y2014.html,2014
Putting from 6',https://www.pgatour.com/stats/stat.344.y2014.html,2014
Putting from 7',https://www.pgatour.com/stats/stat.345.y2014.html,2014
Putting from 8',https://www.pgatour.com/stats/stat.346.y2014.html,2014
Putting from 9',https://www.pgatour.com/stats/stat.347.y2014.html,2014
Putting from Inside 5',https://www.pgatour.com/stats/stat.403.y2014.html,2014
