RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,year,measure
1,1,Tiger Woods,16,54.23,"10,867,052","20,037,450",2007,pct_total_money_won
2,2,Phil Mickelson,22,22.4,"5,819,988","25,977,450",2007,pct_total_money_won
3,3,Andres Romero,3,19.23,"798,414","4,152,450",2007,pct_total_money_won
4,4,Simon Dyson,1,18.06,"227,500","1,260,000",2007,pct_total_money_won
5,5,Steve Stricker,23,17,"4,663,076","27,435,450",2007,pct_total_money_won
6,6,Rory Sabbatini,23,16.63,"4,550,040","27,365,450",2007,pct_total_money_won
7,7,Sergio Garcia,19,15.91,"3,721,184","23,385,450",2007,pct_total_money_won
8,8,K.J. Choi,25,15.52,"4,587,858","29,561,450",2007,pct_total_money_won
9,9,Jim Furyk,23,15.5,"4,154,046","26,807,450",2007,pct_total_money_won
10,10,Vijay Singh,27,15.02,"4,728,376","31,487,450",2007,pct_total_money_won
11,11,Zach Johnson,23,14.55,"3,922,337","26,949,450",2007,pct_total_money_won
12,12,Adam Scott,19,14.54,"3,413,184","23,477,450",2007,pct_total_money_won
13,13,Justin Rose,16,14.15,"2,705,874","19,119,450",2007,pct_total_money_won
14,14,Ernie Els,16,13.58,"2,705,715","19,929,450",2007,pct_total_money_won
15,15,Aaron Baddeley,23,12.62,"3,441,118","27,275,450",2007,pct_total_money_won
16,16,Padraig Harrington,18,12.07,"2,658,282","22,017,450",2007,pct_total_money_won
17,20,Tim Clark,19,12.03,"2,615,151","21,735,000",2007,pct_total_money_won
18,17,Scott Verplank,23,11.89,"3,114,288","26,193,450",2007,pct_total_money_won
19,18,Geoff Ogilvy,22,11.12,"2,943,203","26,465,450",2007,pct_total_money_won
20,22,Henrik Stenson,15,9.99,"1,897,554","18,993,450",2007,pct_total_money_won
21,19,Mark Calcavecchia,28,9.86,"2,993,331","30,351,450",2007,pct_total_money_won
22,21,Woody Austin,27,9.84,"2,887,596","29,358,000",2007,pct_total_money_won
23,23,Ángel Cabrera,14,9.72,"1,661,105","17,085,450",2007,pct_total_money_won
24,24,Charles Howell III,26,9.5,"2,832,090","29,811,450",2007,pct_total_money_won
25,25,Hunter Mahan,27,9.44,"2,858,994","30,270,450",2007,pct_total_money_won
26,26,Brandt Snedeker,29,9.25,"2,836,643","30,654,000",2007,pct_total_money_won
27,27,Luke Donald,20,9.08,"2,190,053","24,107,450",2007,pct_total_money_won
28,28,Richard Green,5,8.74,"544,070","6,222,450",2007,pct_total_money_won
29,30,Stewart Cink,25,8.56,"2,483,145","29,001,450",2007,pct_total_money_won
30,29,Boo Weekley,29,8.32,"2,613,211","31,422,450",2007,pct_total_money_won
31,31,David Toms,22,8.01,"2,095,836","26,159,450",2007,pct_total_money_won
32,86,Stephen Ames,23,8,"2,103,425","26,303,450",2007,pct_total_money_won
33,32,Bernhard Langer,14,7.9,"1,153,603","14,607,000",2007,pct_total_money_won
34,33,Pelle Edberg,1,7.81,"120,458","1,542,450",2007,pct_total_money_won
35,35,Paul Casey,10,7.73,"1,012,770","13,107,450",2007,pct_total_money_won
36,38,Heath Slocum,28,7.63,"2,184,379","28,620,000",2007,pct_total_money_won
T37,T36,John Rollins,29,7.5,"2,488,890","33,179,450",2007,pct_total_money_won
T37,T36,Mike Weir,23,7.5,"1,986,053","26,481,450",2007,pct_total_money_won
39,39,José Coceres,17,7.37,"1,287,842","17,478,000",2007,pct_total_money_won
T40,T41,Steve Flesch,31,7.32,"2,288,899","31,284,000",2007,pct_total_money_won
T40,T41,Jonathan Byrd,23,7.32,"1,854,906","25,338,450",2007,pct_total_money_won
42,43,Trevor Immelman,21,7.21,"1,801,646","24,989,450",2007,pct_total_money_won
