RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,year,measure
1,1,Tiger Woods,16,38.62,"8,553,438","22,147,826",2013,pct_total_money_won
2,4,Henrik Stenson,18,27.01,"6,388,229","23,653,826",2013,pct_total_money_won
3,3,Steve Stricker,13,24.75,"4,440,531","17,939,000",2013,pct_total_money_won
4,2,Adam Scott,16,22.04,"4,892,610","22,201,826",2013,pct_total_money_won
5,5,Phil Mickelson,21,20.05,"5,495,793","27,415,826",2013,pct_total_money_won
6,6,Matt Kuchar,23,18.9,"5,616,808","29,713,826",2013,pct_total_money_won
7,7,Brandt Snedeker,23,18.45,"5,318,087","28,819,826",2013,pct_total_money_won
8,8,Justin Rose,17,17.77,"4,146,148","23,335,826",2013,pct_total_money_won
9,11,Jordan Spieth,23,14.26,"3,879,819","27,205,826",2013,pct_total_money_won
10,9,Zach Johnson,24,13.42,"4,044,508","30,145,826",2013,pct_total_money_won
11,10,Jason Day,21,13.06,"3,625,029","27,763,826",2013,pct_total_money_won
12,12,Keegan Bradley,25,11.35,"3,636,812","32,035,826",2013,pct_total_money_won
13,13,Miguel Angel Jiménez,3,11.2,"491,547","4,387,826",2013,pct_total_money_won
14,16,Jim Furyk,22,11.12,"3,204,779","28,807,826",2013,pct_total_money_won
T15,T14,Shane Bertsch,1,11.11,"112,000","1,008,000",2013,pct_total_money_won
T15,T14,Danny Lee,1,11.11,"112,000","1,008,000",2013,pct_total_money_won
17,18,Billy Horschel,26,11.01,"3,501,703","31,801,826",2013,pct_total_money_won
18,19,Jason Dufner,22,10.85,"3,132,267","28,867,826",2013,pct_total_money_won
19,17,Bill Haas,25,10.81,"3,475,562","32,143,826",2013,pct_total_money_won
20,24,Dustin Johnson,22,10.33,"2,963,213","28,687,826",2013,pct_total_money_won
21,20,Kevin Streelman,25,10.13,"3,088,284","30,487,826",2013,pct_total_money_won
22,21,Graeme McDowell,16,10.01,"2,174,595","21,733,826",2013,pct_total_money_won
23,22,Jonathan Randolph,1,10,"54,000","540,000",2013,pct_total_money_won
24,23,Franklin Corpening,1,9.72,"112,000","1,152,000",2013,pct_total_money_won
25,26,Sergio Garcia,17,9.71,"2,251,138","23,191,826",2013,pct_total_money_won
26,25,Hunter Mahan,25,9.5,"3,036,163","31,975,826",2013,pct_total_money_won
27,31,Webb Simpson,25,9.27,"2,957,581","31,909,826",2013,pct_total_money_won
28,27,Graham DeLaet,26,9.2,"2,834,900","30,823,826",2013,pct_total_money_won
29,28,Charl Schwartzel,19,8.81,"2,256,722","25,603,826",2013,pct_total_money_won
30,29,Hideki Matsuyama,7,8.77,"771,640","8,797,826",2013,pct_total_money_won
31,30,Boo Weekley,27,8.65,"2,786,661","32,197,826",2013,pct_total_money_won
32,34,Luke Donald,17,8.36,"1,930,646","23,083,826",2013,pct_total_money_won
33,32,Rory McIlroy,16,8.22,"1,802,442","21,931,826",2013,pct_total_money_won
34,33,Lee Westwood,19,8.2,"2,081,731","25,387,826",2013,pct_total_money_won
35,35,Ian Poulter,16,7.91,"1,723,463","21,793,826",2013,pct_total_money_won
36,36,D.A. Points,28,7.8,"2,658,886","34,069,826",2013,pct_total_money_won
37,T38,Nick Watney,26,7.49,"2,477,639","33,079,826",2013,pct_total_money_won
38,37,Jimmy Walker,24,7.34,"2,117,570","28,843,826",2013,pct_total_money_won
39,T38,Woody Austin,8,7.28,"568,800","7,817,000",2013,pct_total_money_won
40,40,Harris English,26,7.07,"2,201,166","31,135,826",2013,pct_total_money_won
41,41,Jonas Blixt,24,6.97,"2,027,517","29,089,826",2013,pct_total_money_won
42,42,John Merrick,23,6.87,"1,969,478","28,655,000",2013,pct_total_money_won
43,43,Patrick Reed,26,6.8,"1,961,519","28,854,000",2013,pct_total_money_won
T44,T44,Ángel Cabrera,21,6.79,"1,791,182","26,383,826",2013,pct_total_money_won
T44,T44,Peter Lonard,1,6.79,"36,666","540,000",2013,pct_total_money_won
T44,T44,Paul Stankowski,1,6.79,"36,666","540,000",2013,pct_total_money_won
47,47,Martin Laird,21,6.67,"1,755,393","26,329,826",2013,pct_total_money_won
48,48,Eduardo De La Riva,1,6.59,"95,043","1,442,826",2013,pct_total_money_won
49,49,Russell Henley,24,6.56,"2,008,025","30,625,826",2013,pct_total_money_won
