RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure
1,1,J.B. Holmes,57,318.4,"33,751",106,2011,avg_driv_dist
2,2,Bubba Watson,85,314.9,"49,747",158,2011,avg_driv_dist
3,3,Dustin Johnson,72,314.2,"44,616",142,2011,avg_driv_dist
4,4,Robert Garrigus,83,313.4,"52,026",166,2011,avg_driv_dist
5,5,Gary Woodland,93,310.5,"57,745",186,2011,avg_driv_dist
6,6,Steven Bowditch,86,308.3,"50,569",164,2011,avg_driv_dist
7,7,Scott Piercy,78,305.4,"45,204",148,2011,avg_driv_dist
8,9,Jhonattan Vegas,84,304.9,"48,778",160,2011,avg_driv_dist
9,10,Kyle Stanley,98,304.6,"54,825",180,2011,avg_driv_dist
10,,Will Strickler,51,304.1,"28,584",94,2011,avg_driv_dist
11,11,Scott Stallings,84,303.7,"47,374",156,2011,avg_driv_dist
12,12,Tag Ridings,87,303.3,"49,131",162,2011,avg_driv_dist
13,13,Martin Laird,77,303,"46,051",152,2011,avg_driv_dist
14,14,Jason Day,76,302.6,"44,179",146,2011,avg_driv_dist
15,16,Josh Teater,104,302.3,"59,244",196,2011,avg_driv_dist
16,17,Nick Watney,80,301.9,"46,500",154,2011,avg_driv_dist
17,18,Harrison Frazar,58,301.8,"35,006",116,2011,avg_driv_dist
18,15,Jim Herman,69,301.7,"36,806",122,2011,avg_driv_dist
19,19,Ángel Cabrera,50,301.6,"27,747",92,2011,avg_driv_dist
20,20,Keegan Bradley,91,300.7,"52,319",174,2011,avg_driv_dist
21,21,Troy Matteson,91,300.2,"52,230",174,2011,avg_driv_dist
T22,T23,Phil Mickelson,79,299.8,"46,162",154,2011,avg_driv_dist
T22,T23,Charley Hoffman,93,299.8,"55,162",184,2011,avg_driv_dist
24,25,Adam Scott,60,299.7,"35,367",118,2011,avg_driv_dist
T25,22,Ryan Palmer,82,299.5,"47,915",160,2011,avg_driv_dist
T25,T27,Zack Miller,86,299.5,"49,116",164,2011,avg_driv_dist
T25,26,Rickie Fowler,84,299.5,"48,520",162,2011,avg_driv_dist
T28,T29,Sergio Garcia,61,299.2,"36,507",122,2011,avg_driv_dist
T28,T29,Robert Karlsson,61,299.2,"35,309",118,2011,avg_driv_dist
30,T33,Jimmy Walker,79,298.8,"47,213",158,2011,avg_driv_dist
T31,31,D.J. Trahan,91,298.6,"54,349",182,2011,avg_driv_dist
T31,T33,Alex Prugh,82,298.6,"46,581",156,2011,avg_driv_dist
T33,T27,James Driscoll,71,298.5,"38,802",130,2011,avg_driv_dist
T33,32,Davis Love III,70,298.5,"41,783",140,2011,avg_driv_dist
T33,T33,Brandt Jobe,100,298.5,"57,311",192,2011,avg_driv_dist
36,T36,Scott Gutschewski,67,298,"35,169",118,2011,avg_driv_dist
37,T36,Derek Lamely,65,297.9,"37,538",126,2011,avg_driv_dist
T38,38,Bobby Gates,82,297.4,"44,013",148,2011,avg_driv_dist
T38,T42,Bo Van Pelt,92,297.4,"53,533",180,2011,avg_driv_dist
40,41,Charles Howell III,108,297.3,"61,846",208,2011,avg_driv_dist
T41,T39,John Merrick,71,297.2,"37,450",126,2011,avg_driv_dist
T41,46,Michael Putnam,67,297.2,"37,445",126,2011,avg_driv_dist
43,T47,Charl Schwartzel,58,297,"33,269",112,2011,avg_driv_dist
T44,T47,Chris Couch,73,296.8,"43,334",146,2011,avg_driv_dist
T44,T39,Jim Renner,65,296.8,"33,836",114,2011,avg_driv_dist
T46,T49,Tommy Gainey,104,296.7,"59,331",200,2011,avg_driv_dist
T46,T44,John Rollins,85,296.7,"49,251",166,2011,avg_driv_dist
T48,T44,Boo Weekley,66,296.6,"36,775",124,2011,avg_driv_dist
T48,53,Bill Haas,93,296.6,"54,570",184,2011,avg_driv_dist
50,52,David Duval,67,296.3,"39,698",134,2011,avg_driv_dist
T51,T56,Aaron Baddeley,77,296.2,"44,430",150,2011,avg_driv_dist
T51,T49,Webb Simpson,98,296.2,"58,064",196,2011,avg_driv_dist
53,54,Bio Kim,71,296.1,"38,497",130,2011,avg_driv_dist
54,58,Marc Leishman,87,296,"51,496",174,2011,avg_driv_dist
55,59,Kevin Chappell,78,295.8,"42,597",144,2011,avg_driv_dist
56,61,Chris Kirk,87,295.7,"51,446",174,2011,avg_driv_dist
57,55,Joseph Bramlett,73,295.6,"38,434",130,2011,avg_driv_dist
58,60,Jeff Overton,92,295.3,"53,750",182,2011,avg_driv_dist
59,62,Steve Marino,76,295.2,"44,873",152,2011,avg_driv_dist
60,T56,George McNeill,69,295,"35,991",122,2011,avg_driv_dist
T61,T65,Andres Romero,77,294.7,"44,200",150,2011,avg_driv_dist
T61,T65,Padraig Harrington,60,294.7,"34,778",118,2011,avg_driv_dist
T63,T67,Lucas Glover,74,294.6,"43,595",148,2011,avg_driv_dist
T63,T67,Sean O'Hair,71,294.6,"41,241",140,2011,avg_driv_dist
65,69,Camilo Villegas,69,294.4,"40,041",136,2011,avg_driv_dist
T66,T70,Vijay Singh,79,294.3,"46,492",158,2011,avg_driv_dist
T66,64,Cameron Tringale,110,294.3,"62,400",212,2011,avg_driv_dist
T68,63,Sung Kang,63,294.2,"34,712",118,2011,avg_driv_dist
T68,72,Anthony Kim,72,294.2,"41,774",142,2011,avg_driv_dist
70,T70,Matt Jones,71,293.9,"41,730",142,2011,avg_driv_dist
