RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,year,measure
1,1,John Senden,100,70.89,"1,276","1,800",-0.26,2009,gir_pct
2,7,Jonathan Byrd,89,70.59,"1,080","1,530",-0.29,2009,gir_pct
3,2,Joe Durant,62,70.58,686,972,-0.24,2009,gir_pct
4,3,Robert Garrigus,83,70.53,"1,003","1,422",-0.26,2009,gir_pct
5,5,Jay Williamson,69,70.49,774,"1,098",-0.19,2009,gir_pct
6,4,Greg Owen,97,70.41,"1,128","1,602",-0.24,2009,gir_pct
7,6,D.J. Trahan,96,70.37,"1,216","1,728",-0.26,2009,gir_pct
8,8,Jason Bohn,88,69.63,"1,103","1,584",-0.26,2009,gir_pct
9,9,Chad Campbell,90,69.19,"1,071","1,548",-0.25,2009,gir_pct
T10,10,Briny Baird,89,68.95,"1,055","1,530",-0.24,2009,gir_pct
T10,28,Tom Lehman,55,68.95,633,918,-0.17,2009,gir_pct
12,11,Chris Stroud,88,68.72,"1,039","1,512",-0.27,2009,gir_pct
13,12,Scott Sterling,51,68.6,531,774,-0.22,2009,gir_pct
14,13,Charles Warren,63,68.52,703,"1,026",-0.25,2009,gir_pct
15,23,Patrick Sheehan,51,68.48,530,774,-0.23,2009,gir_pct
16,14,Tiger Woods,64,68.46,764,"1,116",-0.32,2009,gir_pct
17,18,Rich Beem,77,68.44,850,"1,242",-0.24,2009,gir_pct
18,15,Troy Matteson,95,68.38,"1,120","1,638",-0.25,2009,gir_pct
19,16,Hunter Mahan,94,68.36,"1,132","1,656",-0.28,2009,gir_pct
20,T21,David Toms,98,68.32,"1,156","1,692",-0.27,2009,gir_pct
21,17,Steve Marino,98,68.26,"1,155","1,692",-0.27,2009,gir_pct
22,25,Jeff Maggert,79,68.21,970,"1,422",-0.21,2009,gir_pct
23,33,Ricky Barnes,67,68.17,724,"1,062",-0.2,2009,gir_pct
T24,T19,J.J. Henry,97,68.1,"1,140","1,674",-0.23,2009,gir_pct
T24,T19,Robert Allenby,71,68.1,858,"1,260",-0.2,2009,gir_pct
26,50,Will MacKenzie,69,67.87,843,"1,242",-0.22,2009,gir_pct
27,T21,Sean O'Hair,80,67.84,928,"1,368",-0.27,2009,gir_pct
28,32,Zach Johnson,94,67.81,"1,123","1,656",-0.28,2009,gir_pct
29,24,Kirk Triplett,60,67.78,732,"1,080",-0.21,2009,gir_pct
30,30,Stephen Ames,77,67.7,914,"1,350",-0.3,2009,gir_pct
31,26,Casey Wittenberg,71,67.64,767,"1,134",-0.22,2009,gir_pct
32,29,Heath Slocum,95,67.58,"1,107","1,638",-0.24,2009,gir_pct
