RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,year,measure
1,1,Justin Rose,69,70.34,861,"1,224",-0.25,2012,gir_pct
2,2,Bubba Watson,68,69.95,831,"1,188",-0.3,2012,gir_pct
3,3,Lee Westwood,60,69.75,678,972,-0.27,2012,gir_pct
4,4,Camilo Villegas,79,69.55,964,"1,386",-0.26,2012,gir_pct
5,5,Boo Weekley,74,69.53,826,"1,188",-0.21,2012,gir_pct
6,6,Russell Knox,72,69.36,824,"1,188",-0.25,2012,gir_pct
7,7,Robert Garrigus,89,69.23,"1,109","1,602",-0.28,2012,gir_pct
T8,T8,Brendon de Jonge,115,69.17,"1,382","1,998",-0.28,2012,gir_pct
T8,T8,Jason Dufner,83,69.17,"1,021","1,476",-0.29,2012,gir_pct
10,10,John Merrick,83,69.13,983,"1,422",-0.25,2012,gir_pct
11,11,Will Claxton,99,69.06,"1,181","1,710",-0.26,2012,gir_pct
12,12,Hunter Mahan,88,68.97,"1,018","1,476",-0.24,2012,gir_pct
13,13,Ben Curtis,62,68.87,719,"1,044",-0.26,2012,gir_pct
14,14,Billy Horschel,63,68.79,681,990,-0.25,2012,gir_pct
15,15,Louis Oosthuizen,65,68.78,780,"1,134",-0.28,2012,gir_pct
16,16,John Senden,81,68.59,963,"1,404",-0.27,2012,gir_pct
17,17,Greg Owen,90,68.58,"1,111","1,620",-0.25,2012,gir_pct
18,18,Roberto Castro,92,68.41,"1,059","1,548",-0.24,2012,gir_pct
19,19,Steve Stricker,73,68.33,861,"1,260",-0.29,2012,gir_pct
20,20,Richard Lee,71,68.29,799,"1,170",-0.27,2012,gir_pct
21,21,Sean O'Hair,84,68.25,"1,032","1,512",-0.27,2012,gir_pct
22,22,J.J. Henry,93,68.24,"1,044","1,530",-0.21,2012,gir_pct
23,23,Jim Furyk,85,68.19,"1,031","1,512",-0.25,2012,gir_pct
24,24,Heath Slocum,93,67.84,"1,038","1,530",-0.22,2012,gir_pct
25,25,Roland Thatcher,55,67.8,598,882,-0.24,2012,gir_pct
26,26,Kevin Stadler,85,67.75,939,"1,386",-0.24,2012,gir_pct
27,27,Harris English,98,67.74,"1,195","1,764",-0.26,2012,gir_pct
28,28,Daniel Summerhays,81,67.68,938,"1,386",-0.24,2012,gir_pct
29,29,Tiger Woods,69,67.58,815,"1,206",-0.29,2012,gir_pct
30,30,Bill Lunde,83,67.56,912,"1,350",-0.24,2012,gir_pct
31,31,Josh Teater,97,67.5,"1,130","1,674",-0.26,2012,gir_pct
32,32,Webb Simpson,77,67.47,923,"1,368",-0.3,2012,gir_pct
T33,T33,Seung-Yul Noh,105,67.41,"1,177","1,746",-0.27,2012,gir_pct
T33,T33,Kyle Reifers,86,67.41,995,"1,476",-0.23,2012,gir_pct
T35,T35,Ricky Barnes,92,67.36,"1,067","1,584",-0.22,2012,gir_pct
T35,T35,Tim Herron,88,67.36,"1,067","1,584",-0.24,2012,gir_pct
37,37,Mathew Goggin,65,67.3,739,"1,098",-0.25,2012,gir_pct
38,38,Scott Dunlap,57,67.21,617,918,-0.19,2012,gir_pct
39,39,Chad Campbell,84,67.13,"1,015","1,512",-0.23,2012,gir_pct
40,40,Bo Van Pelt,84,67.07,"1,002","1,494",-0.3,2012,gir_pct
41,41,Kyle Stanley,86,67.06,"1,014","1,512",-0.27,2012,gir_pct
42,42,Gary Christian,91,66.99,"1,025","1,530",-0.25,2012,gir_pct
43,43,Nathan Green,73,66.92,783,"1,170",-0.26,2012,gir_pct
44,44,Alexandre Rocha,62,66.87,674,"1,008",-0.2,2012,gir_pct
45,45,Kris Blanks,65,66.84,770,"1,152",-0.22,2012,gir_pct
46,46,Graham DeLaet,79,66.74,901,"1,350",-0.25,2012,gir_pct
47,47,Charles Howell III,98,66.61,"1,175","1,764",-0.25,2012,gir_pct
T48,T48,Chris Kirk,93,66.6,"1,067","1,602",-0.27,2012,gir_pct
T48,T48,Cameron Tringale,88,66.6,"1,055","1,584",-0.24,2012,gir_pct
50,50,Adam Scott,59,66.57,695,"1,044",-0.28,2012,gir_pct
51,51,Bud Cauley,99,66.55,"1,186","1,782",-0.26,2012,gir_pct
52,52,Keegan Bradley,90,66.54,"1,054","1,584",-0.29,2012,gir_pct
53,53,Ernie Els,80,66.52,934,"1,404",-0.24,2012,gir_pct
54,54,John Mallinger,74,66.51,838,"1,260",-0.24,2012,gir_pct
55,55,D.A. Points,88,66.48,"1,053","1,584",-0.25,2012,gir_pct
56,56,Charlie Beljan,61,66.46,634,954,-0.27,2012,gir_pct
57,57,John Huh,99,66.44,"1,184","1,782",-0.26,2012,gir_pct
58,58,Nick Watney,97,66.43,"1,124","1,692",-0.27,2012,gir_pct
59,59,Scott Stallings,78,66.38,932,"1,404",-0.24,2012,gir_pct
60,60,Rory McIlroy,60,66.36,645,972,-0.33,2012,gir_pct
T61,T61,Charley Hoffman,88,66.35,"1,051","1,584",-0.26,2012,gir_pct
T61,T61,Ryan Moore,89,66.35,"1,063","1,602",-0.3,2012,gir_pct
T63,T63,David Hearn,95,66.32,"1,134","1,710",-0.24,2012,gir_pct
T63,T63,Jeff Overton,101,66.32,"1,158","1,746",-0.29,2012,gir_pct
T65,T65,William McGirt,96,66.3,"1,098","1,656",-0.24,2012,gir_pct
T65,T65,Vaughn Taylor,81,66.3,895,"1,350",-0.26,2012,gir_pct
67,67,Graeme McDowell,55,66.26,644,972,-0.29,2012,gir_pct
68,68,Matt Every,80,66.23,906,"1,368",-0.27,2012,gir_pct
T69,T69,Vijay Singh,99,66.22,"1,180","1,782",-0.26,2012,gir_pct
T69,T69,Kevin Streelman,89,66.22,"1,037","1,566",-0.25,2012,gir_pct
T69,T69,Steve Wheatcroft,56,66.22,596,900,-0.22,2012,gir_pct
72,72,John Rollins,81,66.16,917,"1,386",-0.26,2012,gir_pct
73,73,Chez Reavie,83,66.13,988,"1,494",-0.21,2012,gir_pct
74,74,David Toms,60,66.09,690,"1,044",-0.24,2012,gir_pct
75,75,Jhonattan Vegas,77,66.07,892,"1,350",-0.26,2012,gir_pct
76,76,Jason Kokrak,79,66,891,"1,350",-0.24,2012,gir_pct
77,77,D.J. Trahan,73,65.94,819,"1,242",-0.22,2012,gir_pct
T78,T78,Blake Adams,107,65.91,"1,222","1,854",-0.26,2012,gir_pct
T78,T78,Johnson Wagner,88,65.91,"1,044","1,584",-0.25,2012,gir_pct
80,80,Robert Allenby,76,65.79,900,"1,368",-0.22,2012,gir_pct
81,81,Dustin Johnson,70,65.75,793,"1,206",-0.29,2012,gir_pct
82,82,Scott Piercy,95,65.73,"1,124","1,710",-0.3,2012,gir_pct
83,83,Jeff Maggert,83,65.66,981,"1,494",-0.25,2012,gir_pct
84,84,Jerry Kelly,84,65.63,945,"1,440",-0.24,2012,gir_pct
85,85,Bobby Gates,87,65.39,977,"1,494",-0.25,2012,gir_pct
86,86,Matt Kuchar,86,65.38,965,"1,476",-0.27,2012,gir_pct
87,87,Henrik Stenson,51,65.37,553,846,-0.25,2012,gir_pct
88,88,Michael Bradley,63,65.35,694,"1,062",-0.22,2012,gir_pct
T89,T89,Cameron Beckman,81,65.3,905,"1,386",-0.23,2012,gir_pct
T89,T89,Martin Laird,77,65.3,858,"1,314",-0.27,2012,gir_pct
T89,T89,Brendan Steele,77,65.3,858,"1,314",-0.21,2012,gir_pct
92,92,Danny Lee,74,65.24,775,"1,188",-0.27,2012,gir_pct
93,93,Bill Haas,79,65.17,915,"1,404",-0.25,2012,gir_pct
94,94,Ryan Palmer,81,65.16,950,"1,458",-0.28,2012,gir_pct
95,95,Garth Mulroy,59,65.11,668,"1,026",-0.28,2012,gir_pct
96,96,Pat Perez,81,65.05,925,"1,422",-0.28,2012,gir_pct
97,97,Davis Love III,64,65.02,749,"1,152",-0.27,2012,gir_pct
98,98,Rickie Fowler,84,64.99,971,"1,494",-0.26,2012,gir_pct
99,99,Sergio Garcia,57,64.98,655,"1,008",-0.28,2012,gir_pct
100,100,Luke Donald,63,64.96,725,"1,116",-0.28,2012,gir_pct
101,101,Zach Johnson,95,64.95,"1,099","1,692",-0.3,2012,gir_pct
102,102,Rod Pampling,88,64.93,935,"1,440",-0.24,2012,gir_pct
103,103,Bryce Molder,83,64.91,923,"1,422",-0.25,2012,gir_pct
104,104,Rocco Mediate,70,64.84,747,"1,152",-0.25,2012,gir_pct
105,105,Ben Crane,73,64.81,840,"1,296",-0.31,2012,gir_pct
T106,T106,Stuart Appleby,75,64.79,828,"1,278",-0.24,2012,gir_pct
T106,T106,Miguel Angel Carballo,73,64.79,758,"1,170",-0.23,2012,gir_pct
108,108,Kyle Thompson,51,64.78,548,846,-0.2,2012,gir_pct
109,109,Matt Jones,53,64.74,571,882,-0.23,2012,gir_pct
110,110,Brandt Jobe,57,64.68,617,954,-0.24,2012,gir_pct
111,111,Ken Duke,104,64.61,"1,163","1,800",-0.28,2012,gir_pct
112,112,Jason Bohn,81,64.59,872,"1,350",-0.24,2012,gir_pct
113,113,Dicky Pride,62,64.51,627,972,-0.26,2012,gir_pct
T114,T114,Scott Brown,65,64.5,685,"1,062",-0.25,2012,gir_pct
T114,T114,J.B. Holmes,90,64.5,952,"1,476",-0.28,2012,gir_pct
116,116,Jimmy Walker,101,64.3,"1,169","1,818",-0.29,2012,gir_pct
T117,T117,Stewart Cink,71,64.26,775,"1,206",-0.22,2012,gir_pct
T117,T117,Tim Clark,60,64.26,694,"1,080",-0.24,2012,gir_pct
119,119,Gavin Coles,72,64.23,763,"1,188",-0.25,2012,gir_pct
120,120,Phil Mickelson,79,64.14,912,"1,422",-0.31,2012,gir_pct
121,121,Kevin Chappell,91,64.11,"1,004","1,566",-0.24,2012,gir_pct
122,122,Mark Wilson,84,64.03,899,"1,404",-0.22,2012,gir_pct
123,123,Billy Mayfair,90,64.02,991,"1,548",-0.22,2012,gir_pct
T124,T124,Troy Matteson,100,64.01,"1,083","1,692",-0.24,2012,gir_pct
T124,T124,Gary Woodland,70,64.01,795,"1,242",-0.25,2012,gir_pct
126,126,Martin Flores,95,63.98,"1,071","1,674",-0.26,2012,gir_pct
127,127,Brian Harman,101,63.92,"1,162","1,818",-0.28,2012,gir_pct
128,128,Carl Pettersson,92,63.89,"1,058","1,656",-0.29,2012,gir_pct
T129,T129,Mark Anderson,75,63.85,793,"1,242",-0.26,2012,gir_pct
T129,T129,Arjun Atwal,79,63.85,839,"1,314",-0.24,2012,gir_pct
T129,T129,Tom Gillis,75,63.85,862,"1,350",-0.28,2012,gir_pct
132,132,Brandt Snedeker,81,63.75,895,"1,404",-0.31,2012,gir_pct
133,133,Geoff Ogilvy,73,63.66,825,"1,296",-0.26,2012,gir_pct
T134,T134,Jonas Blixt,72,63.65,802,"1,260",-0.33,2012,gir_pct
T134,T134,Chris Couch,61,63.65,676,"1,062",-0.28,2012,gir_pct
136,136,Jonathan Byrd,69,63.64,779,"1,224",-0.26,2012,gir_pct
137,137,K.J. Choi,71,63.57,801,"1,260",-0.24,2012,gir_pct
138,138,Brian Davis,91,63.47,994,"1,566",-0.27,2012,gir_pct
139,139,Trevor Immelman,76,63.45,868,"1,368",-0.21,2012,gir_pct
140,140,Chris Stroud,86,63.37,981,"1,548",-0.25,2012,gir_pct
141,141,Ángel Cabrera,54,63.33,570,900,-0.24,2012,gir_pct
142,142,"Ted Potter, Jr.",77,63.32,832,"1,314",-0.23,2012,gir_pct
143,143,Nick O'Hern,78,63.29,843,"1,332",-0.21,2012,gir_pct
144,144,Michael Thompson,80,63.26,911,"1,440",-0.26,2012,gir_pct
145,145,Robert Karlsson,54,63.25,592,936,-0.26,2012,gir_pct
146,146,Troy Kelly,68,63.17,705,"1,116",-0.24,2012,gir_pct
147,147,Hunter Haas,69,63.14,716,"1,134",-0.25,2012,gir_pct
148,148,George McNeill,85,63.03,919,"1,458",-0.25,2012,gir_pct
149,149,Patrick Sheehan,58,62.93,589,936,-0.21,2012,gir_pct
T150,T150,Marco Dawson,60,62.76,610,972,-0.26,2012,gir_pct
T150,T150,Marc Leishman,84,62.76,949,"1,512",-0.23,2012,gir_pct
152,152,Brian Gay,91,62.71,982,"1,566",-0.26,2012,gir_pct
153,153,Charl Schwartzel,56,62.65,609,972,-0.28,2012,gir_pct
T154,T154,Erik Compton,81,62.48,821,"1,314",-0.26,2012,gir_pct
T154,T154,Kevin Kisner,69,62.48,686,"1,098",-0.25,2012,gir_pct
156,156,Bob Estes,78,62.39,876,"1,404",-0.26,2012,gir_pct
157,157,James Driscoll,83,62.38,887,"1,422",-0.29,2012,gir_pct
158,158,Tommy Gainey,98,62.3,"1,099","1,764",-0.28,2012,gir_pct
159,159,Rory Sabbatini,84,62.24,941,"1,512",-0.27,2012,gir_pct
160,160,Stephen Ames,54,62.18,582,936,-0.21,2012,gir_pct
161,161,Padraig Harrington,67,62.17,705,"1,134",-0.28,2012,gir_pct
162,162,Colt Knost,79,62.12,861,"1,386",-0.23,2012,gir_pct
163,163,John Daly,50,62.08,514,828,-0.3,2012,gir_pct
164,164,Edward Loar,59,62.05,592,954,-0.27,2012,gir_pct
165,165,Kevin Na,80,62.03,882,"1,422",-0.28,2012,gir_pct
166,166,Freddie Jacobson,61,61.85,668,"1,080",-0.24,2012,gir_pct
167,167,Tom Pernice Jr.,62,61.69,644,"1,044",-0.23,2012,gir_pct
168,168,Ian Poulter,57,61.61,621,"1,008",-0.27,2012,gir_pct
169,169,Jason Day,57,61.31,607,990,-0.29,2012,gir_pct
170,170,Andres Romero,68,61.3,662,"1,080",-0.24,2012,gir_pct
171,171,Harrison Frazar,56,61.21,595,972,-0.26,2012,gir_pct
172,172,David Mathis,83,61.04,846,"1,386",-0.25,2012,gir_pct
173,173,Spencer Levin,81,60.97,867,"1,422",-0.28,2012,gir_pct
174,174,Ryuji Imada,78,60.6,829,"1,368",-0.24,2012,gir_pct
175,175,Chris DiMarco,83,60.55,861,"1,422",-0.25,2012,gir_pct
176,176,Justin Leonard,79,60.44,816,"1,350",-0.23,2012,gir_pct
177,177,Derek Lamely,64,60.3,673,"1,116",-0.26,2012,gir_pct
178,178,J.J. Killeen,101,60.27,"1,009","1,674",-0.23,2012,gir_pct
179,179,Brendon Todd,78,60,756,"1,260",-0.24,2012,gir_pct
180,180,Tommy Biershenk,74,59.89,733,"1,224",-0.27,2012,gir_pct
181,181,Greg Chalmers,88,59.83,937,"1,566",-0.29,2012,gir_pct
182,182,Sangmoon Bae,81,59.81,829,"1,386",-0.29,2012,gir_pct
183,183,Daniel Chopra,55,59.8,549,918,-0.29,2012,gir_pct
184,184,Charlie Wi,86,59.69,924,"1,548",-0.27,2012,gir_pct
185,185,Ryo Ishikawa,54,59.61,515,864,-0.24,2012,gir_pct
T186,T186,Stephen Gangluff,57,59.15,543,918,-0.22,2012,gir_pct
