RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,year,measure
1,1,J.B. Holmes,86,0.866,59.731,69,2008,sg_off_tee
2,2,Vijay Singh,82,0.819,51.571,63,2008,sg_off_tee
3,3,Boo Weekley,86,0.715,45.744,64,2008,sg_off_tee
4,4,Charles Warren,79,0.683,50.534,74,2008,sg_off_tee
5,5,Nicholas Thompson,113,0.611,58.634,96,2008,sg_off_tee
6,6,Michael Letzig,88,0.599,44.292,74,2008,sg_off_tee
7,7,Joe Durant,92,0.582,45.977,79,2008,sg_off_tee
8,10,Robert Garrigus,90,0.577,49.587,86,2008,sg_off_tee
9,8,Anthony Kim,81,0.549,35.694,65,2008,sg_off_tee
10,9,Bubba Watson,97,0.538,43.053,80,2008,sg_off_tee
11,11,Robert Allenby,108,0.534,45.947,86,2008,sg_off_tee
12,14,Nick Watney,96,0.531,44.616,84,2008,sg_off_tee
13,15,Kevin Streelman,114,0.517,50.16,97,2008,sg_off_tee
14,12,Kenny Perry,97,0.514,47.244,92,2008,sg_off_tee
15,13,Mathew Goggin,91,0.509,41.708,82,2008,sg_off_tee
16,16,Sergio Garcia,72,0.503,28.193,56,2008,sg_off_tee
17,19,Jason Gore,94,0.482,40.943,85,2008,sg_off_tee
18,17,Adam Scott,51,0.475,16.611,35,2008,sg_off_tee
19,20,Charley Hoffman,94,0.464,39.911,86,2008,sg_off_tee
20,23,Steve Marino,119,0.461,47.901,104,2008,sg_off_tee
21,25,Harrison Frazar,73,0.454,28.146,62,2008,sg_off_tee
T22,24,Davis Love III,78,0.448,29.116,65,2008,sg_off_tee
T22,22,Sean O'Hair,81,0.448,30.493,68,2008,sg_off_tee
24,21,John Rollins,94,0.44,34.76,79,2008,sg_off_tee
25,18,Dustin Johnson,92,0.435,35.249,81,2008,sg_off_tee
T26,T26,John Merrick,98,0.41,31.585,77,2008,sg_off_tee
T26,T26,Lucas Glover,91,0.41,33.993,83,2008,sg_off_tee
28,28,Phil Mickelson,80,0.402,23.712,59,2008,sg_off_tee
29,29,John Huston,56,0.394,19.29,49,2008,sg_off_tee
30,31,John Senden,93,0.385,31.529,82,2008,sg_off_tee
31,32,Ben Curtis,80,0.377,23.778,63,2008,sg_off_tee
32,33,D.J. Trahan,94,0.374,29.136,78,2008,sg_off_tee
33,34,Paul Casey,55,0.372,13.399,36,2008,sg_off_tee
34,35,Hunter Mahan,87,0.36,25.89,72,2008,sg_off_tee
35,36,Rory Sabbatini,77,0.358,22.578,63,2008,sg_off_tee
36,30,John Riegger,73,0.351,22.478,64,2008,sg_off_tee
37,37,Fred Couples,60,0.347,17.69,51,2008,sg_off_tee
38,38,Geoff Ogilvy,65,0.328,16.056,49,2008,sg_off_tee
39,39,Pat Perez,93,0.318,25.12,79,2008,sg_off_tee
40,40,Bart Bryant,81,0.316,21.159,67,2008,sg_off_tee
41,T42,Billy Mayfair,103,0.308,29.277,95,2008,sg_off_tee
42,44,Heath Slocum,104,0.306,26.278,86,2008,sg_off_tee
43,45,Rod Pampling,83,0.3,20.433,68,2008,sg_off_tee
44,T42,Woody Austin,109,0.299,26.325,88,2008,sg_off_tee
45,T46,Steve Elkington,84,0.297,21.674,73,2008,sg_off_tee
T46,41,Rich Beem,90,0.296,23.375,79,2008,sg_off_tee
T46,T46,Camilo Villegas,79,0.296,18.644,63,2008,sg_off_tee
T48,49,Kevin Stadler,90,0.293,21.379,73,2008,sg_off_tee
T48,48,Mathias Grönberg,87,0.293,23.161,79,2008,sg_off_tee
50,50,Michael Allen,91,0.286,22.336,78,2008,sg_off_tee
51,56,Jason Day,81,0.285,21.951,77,2008,sg_off_tee
52,51,Padraig Harrington,52,0.279,8.916,32,2008,sg_off_tee
53,52,Scott Verplank,82,0.266,17.266,65,2008,sg_off_tee
54,53,Justin Leonard,101,0.265,19.379,73,2008,sg_off_tee
