RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,year,measure
1,1,Vijay Singh,29,38.44,"$10,905,166","$28,370,272",2004,pct_total_money_won
2,2,Ernie Els,16,33.63,"$5,787,225","$17,210,272",2004,pct_total_money_won
3,3,Tiger Woods,19,26.63,"$5,365,472","$20,147,272",2004,pct_total_money_won
4,4,Phil Mickelson,22,25.99,"$5,784,822","$22,261,272",2004,pct_total_money_won
5,5,Retief Goosen,16,23.21,"$3,885,572","$16,742,272",2004,pct_total_money_won
6,6,Adam Scott,16,21.62,"$3,724,984","$17,231,272",2004,pct_total_money_won
7,7,Padraig Harrington,12,17.18,"$2,334,276","$13,588,272",2004,pct_total_money_won
8,8,Sergio Garcia,18,16.74,"$3,239,215","$19,348,272",2004,pct_total_money_won
9,9,Stewart Cink,28,16.25,"$4,450,270","$27,394,272",2004,pct_total_money_won
10,10,David Howell,3,12.75,"$468,500","$3,673,272",2004,pct_total_money_won
11,11,Stephen Ames,27,12.65,"$3,303,205","$26,122,272",2004,pct_total_money_won
12,12,Davis Love III,24,12.51,"$3,075,092","$24,584,272",2004,pct_total_money_won
13,13,Mike Weir,22,12.33,"$2,761,536","$22,403,272",2004,pct_total_money_won
14,14,Darren Clarke,16,11.65,"$2,009,818","$17,249,272",2004,pct_total_money_won
T15,T15,Stuart Appleby,25,11.61,"$2,949,234","$25,394,272",2004,pct_total_money_won
T15,T15,Todd Hamilton,27,11.61,"$3,063,778","$26,392,272",2004,pct_total_money_won
17,17,John Daly,22,11.28,"$2,359,506","$20,926,272",2004,pct_total_money_won
18,18,Chris DiMarco,27,11.16,"$2,971,842","$26,638,272",2004,pct_total_money_won
19,19,Mark Hensby,29,10.48,"$2,718,765","$25,944,000",2004,pct_total_money_won
20,20,Scott Verplank,24,9.98,"$2,365,592","$23,695,272",2004,pct_total_money_won
21,21,Rory Sabbatini,26,9.8,"$2,500,397","$25,526,272",2004,pct_total_money_won
22,22,David Toms,24,9.68,"$2,357,530","$24,361,272",2004,pct_total_money_won
T23,T23,Jay Haas,23,8.92,"$2,071,626","$23,236,272",2004,pct_total_money_won
T23,T23,Jerry Kelly,29,8.92,"$2,496,221","$27,970,272",2004,pct_total_money_won
25,25,Shigeki Maruyama,26,8.78,"$2,301,692","$26,204,272",2004,pct_total_money_won
26,26,K.J. Choi,24,8.64,"$2,077,775","$24,037,272",2004,pct_total_money_won
