RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,year,measure
1,1,Bubba Watson,76,0.937,55.275,59,2013,sg_off_tee
2,3,Adam Scott,61,0.734,32.289,44,2013,sg_off_tee
3,2,Henrik Stenson,65,0.71,31.23,44,2013,sg_off_tee
4,4,Keegan Bradley,88,0.698,50.237,72,2013,sg_off_tee
5,5,Kyle Stanley,71,0.64,38.383,60,2013,sg_off_tee
6,7,Rory McIlroy,56,0.624,25.601,41,2013,sg_off_tee
7,8,Jordan Spieth,82,0.611,40.943,67,2013,sg_off_tee
8,6,Boo Weekley,100,0.594,49.304,83,2013,sg_off_tee
9,9,Nicolas Colsaerts,50,0.552,19.868,36,2013,sg_off_tee
10,10,Jim Herman,59,0.55,24.206,44,2013,sg_off_tee
11,11,Lucas Glover,65,0.541,28.116,52,2013,sg_off_tee
12,13,Robert Garrigus,69,0.509,24.956,49,2013,sg_off_tee
13,12,Graham DeLaet,94,0.488,39.499,81,2013,sg_off_tee
14,15,Jason Dufner,78,0.475,28.968,61,2013,sg_off_tee
15,17,Billy Horschel,96,0.465,38.602,83,2013,sg_off_tee
16,19,Nick Watney,88,0.461,33.653,73,2013,sg_off_tee
17,18,Justin Rose,62,0.459,21.104,46,2013,sg_off_tee
18,16,Jason Day,86,0.452,27.553,61,2013,sg_off_tee
19,20,Lee Westwood,70,0.439,22.364,51,2013,sg_off_tee
20,21,Russell Henley,80,0.432,28.484,66,2013,sg_off_tee
21,22,Charlie Beljan,62,0.424,23.319,55,2013,sg_off_tee
22,23,Nicholas Thompson,99,0.42,36.115,86,2013,sg_off_tee
23,24,Hunter Mahan,91,0.417,28.364,68,2013,sg_off_tee
24,T25,Ryan Palmer,79,0.411,28.375,69,2013,sg_off_tee
25,27,Kevin Stadler,83,0.41,28.318,69,2013,sg_off_tee
26,T25,Kevin Streelman,86,0.406,27.594,68,2013,sg_off_tee
27,29,Martin Kaymer,61,0.402,16.883,42,2013,sg_off_tee
28,30,Matt Jones,83,0.396,27.74,70,2013,sg_off_tee
T29,T31,Martin Laird,68,0.389,20.635,53,2013,sg_off_tee
T29,T31,Scott Stallings,79,0.389,25.666,66,2013,sg_off_tee
31,33,Chez Reavie,72,0.381,25.542,67,2013,sg_off_tee
32,34,Vijay Singh,61,0.371,17.788,48,2013,sg_off_tee
T33,28,Bill Haas,85,0.365,25.168,69,2013,sg_off_tee
T33,35,Josh Teater,86,0.365,22.256,61,2013,sg_off_tee
35,36,John Senden,79,0.344,20.971,61,2013,sg_off_tee
36,37,Will Claxton,67,0.341,19.096,56,2013,sg_off_tee
37,38,Scott Brown,65,0.338,18.598,55,2013,sg_off_tee
38,39,Charley Hoffman,84,0.333,24.313,73,2013,sg_off_tee
39,50,Dustin Johnson,71,0.332,16.956,51,2013,sg_off_tee
40,45,Gary Woodland,94,0.331,27.432,83,2013,sg_off_tee
41,T40,Matt Every,89,0.323,25.846,80,2013,sg_off_tee
