RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,TOTAL,DISTANCE RANK,ACCURACY RANK,year,measure
1,1,Lucas Glover,26,74,20,54,2014,total_driving
2,2,Henrik Stenson,15,78,64,14,2014,total_driving
3,3,Hunter Mahan,25,81,45,36,2014,total_driving
4,4,Hudson Swafford,26,82,33,49,2014,total_driving
5,T5,Derek Ernst,28,83,38,45,2014,total_driving
T6,T5,Kevin Chappell,28,84,43,41,2014,total_driving
T6,7,Shawn Stefani,17,84,31,53,2014,total_driving
8,8,Keegan Bradley,26,86,17,69,2014,total_driving
9,9,Graham DeLaet,24,89,14,75,2014,total_driving
10,10,Adam Scott,17,93,13,80,2014,total_driving
11,11,Billy Horschel,27,99,76,23,2014,total_driving
T12,T12,Jhonattan Vegas,23,101,8,93,2014,total_driving
T12,T12,Nick Watney,25,101,45,56,2014,total_driving
14,T12,Bubba Watson,21,103,1,102,2014,total_driving
15,15,Boo Weekley,24,110,100,10,2014,total_driving
16,T16,Rory McIlroy,17,111,3,108,2014,total_driving
17,T16,Kevin Streelman,24,113,97,16,2014,total_driving
18,20,Louis Oosthuizen,16,119,21,98,2014,total_driving
19,21,Will Wilcox,16,121,36,85,2014,total_driving
T20,T22,Ben Martin,26,122,75,47,2014,total_driving
T20,T22,Kyle Stanley,28,122,33,89,2014,total_driving
T22,T24,Brendon de Jonge,31,123,106,17,2014,total_driving
T22,18,Russell Henley,29,123,61,62,2014,total_driving
24,27,Kevin Stadler,26,125,76,49,2014,total_driving
T25,T28,Martin Laird,20,126,37,89,2014,total_driving
T25,T28,Jim Herman,21,126,52,74,2014,total_driving
T27,19,Gary Woodland,25,128,9,119,2014,total_driving
T27,T31,Justin Hicks,30,128,125,3,2014,total_driving
T27,T33,J.J. Henry,28,128,82,46,2014,total_driving
T27,T33,Will MacKenzie,27,128,84,44,2014,total_driving
T31,T28,Sergio Garcia,16,130,57,73,2014,total_driving
T31,T31,Hideki Matsuyama,24,130,51,79,2014,total_driving
33,T37,Harris English,28,132,26,106,2014,total_driving
T34,T41,Charlie Beljan,26,136,11,125,2014,total_driving
T34,T35,Nicholas Thompson,30,136,114,22,2014,total_driving
T36,T35,John Merrick,25,137,122,15,2014,total_driving
T36,T41,Bill Haas,28,137,73,64,2014,total_driving
T38,T37,Scott Brown,30,138,112,26,2014,total_driving
T38,T37,Ryan Moore,24,138,129,9,2014,total_driving
T38,T24,Martin Kaymer,19,138,50,88,2014,total_driving
T38,T41,Russell Knox,26,138,120,18,2014,total_driving
T42,T47,Rickie Fowler,26,141,33,108,2014,total_driving
T42,T47,Robert Streb,21,141,25,116,2014,total_driving
T44,44,Andrew Svoboda,24,142,111,31,2014,total_driving
T44,T45,Chad Campbell,18,142,107,35,2014,total_driving
46,T45,Bo Van Pelt,25,143,78,65,2014,total_driving
47,50,Josh Teater,28,144,53,91,2014,total_driving
48,52,Brendan Steele,26,145,28,117,2014,total_driving
T49,T47,Chris Kirk,28,146,80,66,2014,total_driving
T49,T37,John Senden,27,146,95,51,2014,total_driving
51,51,Zach Johnson,26,147,141,6,2014,total_driving
52,53,Dustin Johnson,17,148,2,146,2014,total_driving
53,T24,Jason Day,15,149,18,131,2014,total_driving
T54,T55,Charl Schwartzel,18,151,30,121,2014,total_driving
T54,54,Ángel Cabrera,23,151,12,139,2014,total_driving
56,57,Robert Garrigus,25,153,7,146,2014,total_driving
T57,T55,Matt Kuchar,24,156,136,20,2014,total_driving
T57,T61,Ryan Palmer,23,156,23,133,2014,total_driving
T57,60,Brooks Koepka,16,156,6,150,2014,total_driving
60,T58,John Peterson,25,157,102,55,2014,total_driving
61,T64,Charley Hoffman,25,158,26,132,2014,total_driving
T62,T61,Jim Furyk,21,159,155,4,2014,total_driving
T62,T64,Michael Putnam,30,159,65,94,2014,total_driving
T62,T61,John Huh,28,159,134,25,2014,total_driving
T65,T66,Brad Fritsch,18,160,56,104,2014,total_driving
T65,T58,Justin Rose,19,160,49,111,2014,total_driving
67,T66,Wes Roach,22,161,65,96,2014,total_driving
68,68,Lee Westwood,18,162,71,91,2014,total_driving
69,T69,Michael Thompson,22,164,93,71,2014,total_driving
70,T73,Davis Love III,22,165,41,124,2014,total_driving
71,T71,Paul Casey,16,166,65,101,2014,total_driving
T72,75,J.B. Holmes,24,168,4,164,2014,total_driving
T72,T69,Webb Simpson,25,168,98,70,2014,total_driving
T72,T71,Brian Stuard,29,168,137,31,2014,total_driving
75,T73,Danny Lee,28,169,132,37,2014,total_driving
T76,T78,Jason Kokrak,19,171,14,157,2014,total_driving
T76,T76,Daniel Summerhays,27,171,141,30,2014,total_driving
T76,T76,Heath Slocum,23,171,166,5,2014,total_driving
T79,80,Marc Leishman,24,173,32,141,2014,total_driving
T79,T78,"Ted Potter, Jr.",24,173,162,11,2014,total_driving
T81,T92,Camilo Villegas,29,174,68,106,2014,total_driving
T81,T81,David Toms,20,174,173,1,2014,total_driving
T83,T81,Billy Hurley III,26,175,168,7,2014,total_driving
T83,T83,David Hearn,28,175,156,19,2014,total_driving
T85,T87,Chris Stroud,25,176,119,57,2014,total_driving
T85,T87,Tim Clark,26,176,174,2,2014,total_driving
T85,T90,Carl Pettersson,28,176,47,129,2014,total_driving
T88,T83,Y.E. Yang,28,177,143,34,2014,total_driving
T88,T83,Mark Wilson,25,177,153,24,2014,total_driving
T88,T87,Matt Jones,25,177,41,136,2014,total_driving
T88,T83,Graeme McDowell,17,177,165,12,2014,total_driving
92,T92,Scott Stallings,28,178,23,155,2014,total_driving
93,T90,Ken Duke,25,179,171,8,2014,total_driving
94,T100,Jonathan Byrd,24,180,102,78,2014,total_driving
T95,T96,Charles Howell III,29,181,9,172,2014,total_driving
T95,T94,Jason Dufner,17,181,122,59,2014,total_driving
T95,T94,Brandt Snedeker,25,181,121,60,2014,total_driving
T95,T96,Andrew Loupe,22,181,4,177,2014,total_driving
T99,T103,Kevin Tway,23,182,55,127,2014,total_driving
T99,T100,Jamie Lovemark,20,182,16,166,2014,total_driving
T99,T96,Stewart Cink,25,182,61,121,2014,total_driving
T99,T96,Jeff Maggert,19,182,169,13,2014,total_driving
T103,102,Brian Davis,28,184,163,21,2014,total_driving
T103,105,Sangmoon Bae,24,184,98,86,2014,total_driving
105,T103,Ben Crane,25,186,157,29,2014,total_driving
T106,T106,Sean O'Hair,25,188,21,167,2014,total_driving
T106,T106,George McNeill,24,188,117,71,2014,total_driving
T108,T110,Ian Poulter,17,189,102,87,2014,total_driving
T108,T113,Vijay Singh,25,189,89,100,2014,total_driving
T108,T110,Steven Bowditch,30,189,29,160,2014,total_driving
T111,T106,Spencer Levin,20,190,150,40,2014,total_driving
T111,T116,Kevin Kisner,26,190,107,83,2014,total_driving
T111,T113,Brendon Todd,29,190,148,42,2014,total_driving
T111,T106,Jason Bohn,25,190,151,39,2014,total_driving
T111,T110,James Hahn,27,190,91,99,2014,total_driving
116,T116,Brian Harman,32,191,94,97,2014,total_driving
117,T116,William McGirt,29,193,160,33,2014,total_driving
118,119,Jerry Kelly,23,194,167,27,2014,total_driving
119,T120,Jimmy Walker,27,195,19,176,2014,total_driving
T120,T113,Kevin Na,27,196,148,48,2014,total_driving
T120,124,Martin Flores,26,196,44,152,2014,total_driving
T122,T120,Ben Curtis,24,197,154,43,2014,total_driving
T122,T125,Roberto Castro,27,197,134,63,2014,total_driving
T122,T120,Cameron Tringale,31,197,139,58,2014,total_driving
T125,T127,D.A. Points,27,198,131,67,2014,total_driving
T125,T125,D.H. Lee,20,198,170,28,2014,total_driving
127,129,John Rollins,28,199,86,113,2014,total_driving
128,T131,David Lingmerth,26,200,88,112,2014,total_driving
T129,130,Seung-Yul Noh,27,201,40,161,2014,total_driving
T129,T127,Tommy Gainey,26,201,59,142,2014,total_driving
T131,T120,Geoff Ogilvy,26,202,68,134,2014,total_driving
T131,T131,Richard Lee,27,202,125,77,2014,total_driving
T133,134,Briny Baird,17,204,144,60,2014,total_driving
T133,T131,K.J. Choi,23,204,152,52,2014,total_driving
T135,135,Bud Cauley,19,207,63,144,2014,total_driving
T135,136,Troy Merritt,20,207,124,83,2014,total_driving
137,T137,Robert Allenby,29,208,127,81,2014,total_driving
T138,T139,Phil Mickelson,21,210,70,140,2014,total_driving
T138,T137,Trevor Immelman,28,210,74,136,2014,total_driving
T138,143,Gonzalo Fernandez-Castaño,25,210,102,108,2014,total_driving
T138,T139,Troy Matteson,23,210,39,171,2014,total_driving
142,142,Morgan Hoffmann,32,213,48,165,2014,total_driving
143,144,Justin Leonard,22,215,177,38,2014,total_driving
144,T145,Andres Romero,26,216,53,163,2014,total_driving
145,T145,Rory Sabbatini,26,217,58,159,2014,total_driving
146,141,Jordan Spieth,27,218,89,129,2014,total_driving
T147,149,Pat Perez,25,220,115,105,2014,total_driving
T147,147,Brice Garnett,28,220,92,128,2014,total_driving
149,148,Patrick Reed,28,229,71,158,2014,total_driving
150,T150,Luke Donald,17,231,164,67,2014,total_driving
151,T150,Chesson Hadley,29,232,84,148,2014,total_driving
