RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,year,measure
1,1,Luke Donald,79,0.934,56.986,61,2009,sg_putting
2,2,Tiger Woods,64,0.877,42.109,48,2009,sg_putting
3,3,Brad Faxon,59,0.78,40.558,52,2009,sg_putting
4,4,Ben Curtis,63,0.766,36.002,47,2009,sg_putting
5,5,Brandt Snedeker,81,0.761,49.434,65,2009,sg_putting
6,6,Bryce Molder,69,0.747,40.353,54,2009,sg_putting
7,7,Brian Gay,96,0.726,59.549,82,2009,sg_putting
8,8,Jim Furyk,86,0.715,46.476,65,2009,sg_putting
T9,T9,Greg Chalmers,85,0.698,49.524,71,2009,sg_putting
T9,T9,Matt Kuchar,82,0.698,49.542,71,2009,sg_putting
11,11,Parker McLachlin,71,0.617,41.318,67,2009,sg_putting
12,12,Aaron Baddeley,66,0.604,35.041,58,2009,sg_putting
13,13,Bob Heintz,59,0.601,30.67,51,2009,sg_putting
14,14,Matt Jones,56,0.583,26.23,45,2009,sg_putting
15,15,Webb Simpson,94,0.555,48.298,87,2009,sg_putting
16,16,Joe Ogilvie,85,0.546,42.051,77,2009,sg_putting
17,17,Pat Perez,74,0.534,33.121,62,2009,sg_putting
18,18,Freddie Jacobson,83,0.516,37.703,73,2009,sg_putting
19,19,Jason Day,61,0.5,25.009,50,2009,sg_putting
20,20,Geoff Ogilvy,78,0.493,28.57,58,2009,sg_putting
21,21,Charlie Wi,92,0.488,38.583,79,2009,sg_putting
T22,T22,Padraig Harrington,66,0.477,22.883,48,2009,sg_putting
T22,T22,Kevin Na,91,0.477,37.176,78,2009,sg_putting
24,24,Scott McCarron,91,0.473,38.344,81,2009,sg_putting
25,25,Retief Goosen,74,0.47,26.301,56,2009,sg_putting
26,26,Mike Weir,85,0.469,31.421,67,2009,sg_putting
27,27,Jeff Klauk,97,0.453,39.896,88,2009,sg_putting
28,28,Ryuji Imada,85,0.442,30.518,69,2009,sg_putting
29,29,Stephen Ames,77,0.436,24.834,57,2009,sg_putting
30,30,Ben Crane,93,0.431,34.466,80,2009,sg_putting
31,31,Corey Pavin,73,0.429,23.148,54,2009,sg_putting
32,32,Hunter Mahan,94,0.41,30.772,75,2009,sg_putting
33,33,George McNeill,82,0.408,30.987,76,2009,sg_putting
34,34,Spencer Levin,75,0.4,26.811,67,2009,sg_putting
35,35,Mark Wilson,99,0.386,33.932,88,2009,sg_putting
36,36,Zach Johnson,94,0.38,30.009,79,2009,sg_putting
37,37,Nathan Green,104,0.375,34.494,92,2009,sg_putting
38,38,Dean Wilson,81,0.351,24.555,70,2009,sg_putting
39,39,David Mathis,82,0.349,24.066,69,2009,sg_putting
40,40,Ryan Moore,89,0.347,26.009,75,2009,sg_putting
41,41,Chris Riley,77,0.346,23.151,67,2009,sg_putting
42,42,Eric Axley,71,0.341,20.097,59,2009,sg_putting
43,43,Stewart Cink,79,0.34,20.074,59,2009,sg_putting
44,44,Vaughn Taylor,88,0.339,26.781,79,2009,sg_putting
45,45,Richard Johnson,85,0.332,24.597,74,2009,sg_putting
46,46,Jerry Kelly,90,0.327,25.173,77,2009,sg_putting
47,47,Harrison Frazar,93,0.322,27.073,84,2009,sg_putting
48,48,Carl Pettersson,86,0.321,23.732,74,2009,sg_putting
49,49,Bob Estes,78,0.313,21.594,69,2009,sg_putting
50,50,Tim Petrovic,97,0.306,26.287,86,2009,sg_putting
51,51,Daniel Chopra,89,0.302,25.084,83,2009,sg_putting
52,52,Tim Clark,81,0.276,16.287,59,2009,sg_putting
53,53,Bo Van Pelt,100,0.275,22.533,82,2009,sg_putting
54,54,Kevin Sutherland,96,0.27,19.697,73,2009,sg_putting
55,55,Kenny Perry,92,0.268,19.566,73,2009,sg_putting
56,56,Lee Janzen,74,0.262,15.965,61,2009,sg_putting
57,57,Anthony Kim,76,0.245,14.676,60,2009,sg_putting
