RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure
1,1,Hank Kuehne,91,314.4,"55,959",178,2004,avg_driv_dist
2,2,Scott Hend,81,312.6,"49,389",158,2004,avg_driv_dist
3,3,John Daly,79,306,"48,347",158,2004,avg_driv_dist
4,4,Mike Heinen,53,305.2,"32,351",106,2004,avg_driv_dist
5,5,Chris Smith,105,304,"63,533",209,2004,avg_driv_dist
6,6,Lucas Glover,95,303.4,"55,212",182,2004,avg_driv_dist
7,7,Geoff Ogilvy,91,303.3,"52,776",174,2004,avg_driv_dist
8,8,Chris Couch,55,302.1,"33,230",110,2004,avg_driv_dist
9,9,Tiger Woods,78,301.9,"43,476",144,2004,avg_driv_dist
10,10,J.J. Henry,103,301.3,"61,762",205,2004,avg_driv_dist
11,11,Steve Allan,102,301.2,"59,631",198,2004,avg_driv_dist
12,12,Tag Ridings,53,301,"30,103",100,2004,avg_driv_dist
13,13,Vijay Singh,112,300.8,"66,184",220,2004,avg_driv_dist
T14,T14,Davis Love III,85,300.1,"45,012",150,2004,avg_driv_dist
T14,T14,Dennis Paulson,71,300.1,"42,613",142,2004,avg_driv_dist
16,16,Kris Cox,73,299.1,"42,475",142,2004,avg_driv_dist
17,17,Brenden Pappas,111,298.9,"64,570",216,2004,avg_driv_dist
18,18,Harrison Frazar,86,298.8,"48,995",164,2004,avg_driv_dist
19,19,Ernie Els,62,298,"34,569",116,2004,avg_driv_dist
20,20,Andre Stolz,53,297.9,"31,574",106,2004,avg_driv_dist
21,21,Roger Tambellini,81,297.8,"46,450",156,2004,avg_driv_dist
22,22,Rich Beem,81,296.7,"45,696",154,2004,avg_driv_dist
23,23,John Senden,99,296.6,"56,950",192,2004,avg_driv_dist
24,24,Tom Carter,113,296.5,"65,234",220,2004,avg_driv_dist
25,25,Dan Olsen,75,296,"43,213",146,2004,avg_driv_dist
T26,T26,Daniel Chopra,108,295.9,"62,721",212,2004,avg_driv_dist
T26,T26,Kenny Perry,79,295.9,"44,979",152,2004,avg_driv_dist
28,28,Jonathan Byrd,85,295.8,"49,102",166,2004,avg_driv_dist
29,29,Ryan Palmer,103,295.6,"59,125",200,2004,avg_driv_dist
T30,T30,Phil Mickelson,83,295.4,"46,670",158,2004,avg_driv_dist
T30,T30,Adam Scott,55,295.4,"30,723",104,2004,avg_driv_dist
32,32,Deane Pappas,72,295.3,"41,344",140,2004,avg_driv_dist
33,33,Sergio Garcia,65,295.1,"37,778",128,2004,avg_driv_dist
34,34,Robert Allenby,93,294.9,"51,894",176,2004,avg_driv_dist
35,35,Fred Couples,54,294.5,"30,628",104,2004,avg_driv_dist
36,36,Bo Van Pelt,107,294.4,"61,243",208,2004,avg_driv_dist
37,37,Brett Quigley,102,294.3,"57,675",196,2004,avg_driv_dist
38,38,Retief Goosen,56,294.2,"32,364",110,2004,avg_driv_dist
39,39,Scott McCarron,88,294.1,"50,581",172,2004,avg_driv_dist
40,40,Tim Herron,84,293.8,"48,775",166,2004,avg_driv_dist
41,41,Jason Bohn,98,293.3,"55,725",190,2004,avg_driv_dist
42,42,Stuart Appleby,84,293.2,"45,741",156,2004,avg_driv_dist
T43,T43,Rich Barcelo,67,293.1,"38,105",130,2004,avg_driv_dist
T43,T43,Roland Thatcher,66,293.1,"38,683",132,2004,avg_driv_dist
45,45,Hunter Mahan,94,293,"55,091",188,2004,avg_driv_dist
46,46,Vaughn Taylor,84,292.5,"47,975",164,2004,avg_driv_dist
47,47,Brian Kortan,65,292.4,"36,253",124,2004,avg_driv_dist
T48,T48,Brian Bateman,84,292.2,"46,744",160,2004,avg_driv_dist
T48,T48,Rory Sabbatini,89,292.2,"50,252",172,2004,avg_driv_dist
T50,T50,Mathias Grönberg,91,292.1,"50,833",174,2004,avg_driv_dist
T50,T50,Rod Pampling,98,292.1,"54,918",188,2004,avg_driv_dist
52,52,Neal Lancaster,106,291.6,"59,773",205,2004,avg_driv_dist
53,53,Joey Sindelar,100,291.5,"57,125",196,2004,avg_driv_dist
T54,T54,Peter Lonard,68,291.4,"38,461",132,2004,avg_driv_dist
T54,T54,Pat Perez,102,291.4,"58,278",200,2004,avg_driv_dist
T56,T56,Woody Austin,94,291.3,"54,755",188,2004,avg_driv_dist
T56,T56,Mark Calcavecchia,79,291.3,"45,441",156,2004,avg_driv_dist
T56,T56,Brent Geiberger,94,291.3,"53,021",182,2004,avg_driv_dist
59,59,Cameron Beckman,99,291.2,"55,914",192,2004,avg_driv_dist
60,60,Michael Allen,87,291.1,"49,484",170,2004,avg_driv_dist
61,61,Craig Barlow,80,291,"45,401",156,2004,avg_driv_dist
T62,T62,Jeff Brehaut,106,290.9,"60,509",208,2004,avg_driv_dist
T62,T62,Jonathan Kaye,79,290.9,"44,212",152,2004,avg_driv_dist
64,64,Carl Pettersson,100,290.8,"56,417",194,2004,avg_driv_dist
T65,T65,D.J. Brigman,79,290.7,"44,188",152,2004,avg_driv_dist
T65,T65,Jason Dufner,79,290.7,"45,931",158,2004,avg_driv_dist
T65,T65,Kevin Muncrief,50,290.7,"29,065",100,2004,avg_driv_dist
T65,T65,Justin Rose,77,290.7,"41,866",144,2004,avg_driv_dist
69,69,Carlos Franco,99,290.6,"57,539",198,2004,avg_driv_dist
T70,T70,Tommy Armour III,87,290.5,"50,540",174,2004,avg_driv_dist
T70,T70,Stewart Cink,103,290.5,"56,361",194,2004,avg_driv_dist
72,72,Patrick Sheehan,113,290.3,"64,444",222,2004,avg_driv_dist
T73,T73,Arjun Atwal,85,289.4,"48,033",166,2004,avg_driv_dist
T73,T73,Briny Baird,100,289.4,"56,153",194,2004,avg_driv_dist
T73,T73,Craig Perks,75,289.4,"41,677",144,2004,avg_driv_dist
76,76,Ted Purdy,114,289.2,"64,778",224,2004,avg_driv_dist
77,77,Niclas Fasth,61,289.1,"34,694",120,2004,avg_driv_dist
78,78,Darren Clarke,54,289,"27,740",96,2004,avg_driv_dist
T79,T79,Jay Delsing,76,288.8,"42,170",146,2004,avg_driv_dist
T79,T79,Steve Lowery,91,288.8,"51,411",178,2004,avg_driv_dist
T79,T79,Joe Ogilvie,104,288.8,"58,908",204,2004,avg_driv_dist
82,82,Charles Howell III,104,288.5,"58,273",202,2004,avg_driv_dist
T83,T83,J.L. Lewis,106,288.3,"61,122",212,2004,avg_driv_dist
T83,T83,Grant Waite,79,288.3,"44,394",154,2004,avg_driv_dist
