RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,year,measure
1,1,Tiger Woods,63,1.653,71.068,43,2007,sg_app_green
2,2,Ernie Els,59,0.994,43.729,44,2007,sg_app_green
3,3,Robert Allenby,90,0.845,63.373,75,2007,sg_app_green
4,4,Steve Stricker,81,0.811,52.718,65,2007,sg_app_green
5,5,Sergio Garcia,68,0.784,43.103,55,2007,sg_app_green
6,6,Adam Scott,69,0.708,38.244,54,2007,sg_app_green
7,8,Scott Verplank,82,0.671,39.608,59,2007,sg_app_green
8,7,Stephen Leaney,82,0.67,49.587,74,2007,sg_app_green
9,9,Phil Mickelson,73,0.614,31.946,52,2007,sg_app_green
10,10,Alex Cejka,80,0.609,45.083,74,2007,sg_app_green
11,11,Camilo Villegas,82,0.603,41.6,69,2007,sg_app_green
12,12,David Toms,80,0.596,37.574,63,2007,sg_app_green
13,13,Jeff Gove,103,0.593,55.721,94,2007,sg_app_green
14,14,Jim Furyk,84,0.589,38.902,66,2007,sg_app_green
15,15,Tom Lehman,62,0.566,27.726,49,2007,sg_app_green
16,16,Chris DiMarco,79,0.556,35.032,63,2007,sg_app_green
17,20,Stewart Cink,91,0.552,39.751,72,2007,sg_app_green
18,19,Joe Durant,88,0.545,39.757,73,2007,sg_app_green
19,18,Rocco Mediate,72,0.518,34.738,67,2007,sg_app_green
20,17,Briny Baird,115,0.502,52.702,105,2007,sg_app_green
21,22,Chad Campbell,96,0.474,34.595,73,2007,sg_app_green
22,21,Jerry Kelly,101,0.469,35.175,75,2007,sg_app_green
T23,23,Vijay Singh,102,0.464,38.025,82,2007,sg_app_green
T23,T25,Stephen Ames,81,0.464,28.764,62,2007,sg_app_green
25,T27,Sean O'Hair,98,0.44,36.548,83,2007,sg_app_green
26,24,Kenny Perry,83,0.437,32.743,75,2007,sg_app_green
27,T25,John Senden,97,0.435,36.543,84,2007,sg_app_green
28,29,Davis Love III,66,0.421,22.329,53,2007,sg_app_green
29,30,Jason Bohn,57,0.418,22.177,53,2007,sg_app_green
30,31,Zach Johnson,76,0.414,24.857,60,2007,sg_app_green
31,T27,Heath Slocum,101,0.409,38.067,93,2007,sg_app_green
T32,T32,Justin Rose,63,0.404,15.76,39,2007,sg_app_green
T32,T32,Johnson Wagner,97,0.404,34.739,86,2007,sg_app_green
34,35,Woody Austin,95,0.383,32.141,84,2007,sg_app_green
35,34,Shaun Micheel,91,0.382,26.727,70,2007,sg_app_green
36,37,Brett Quigley,79,0.362,22.793,63,2007,sg_app_green
37,36,Vaughn Taylor,91,0.355,25.528,72,2007,sg_app_green
38,39,José Coceres,50,0.346,14.525,42,2007,sg_app_green
39,41,Anders Hansen,55,0.335,11.376,34,2007,sg_app_green
T40,43,Fred Funk,65,0.333,17.654,53,2007,sg_app_green
T40,42,Mark Calcavecchia,93,0.333,24.332,73,2007,sg_app_green
42,44,Trevor Immelman,74,0.322,17.399,54,2007,sg_app_green
43,45,Hunter Mahan,91,0.32,23.03,72,2007,sg_app_green
