RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,TOTAL,DISTANCE RANK,ACCURACY RANK,year,measure
1,1,Keegan Bradley,26,64,27,37,2016,total_driving
2,2,Lucas Glover,23,75,35,40,2016,total_driving
3,3,Hudson Swafford,30,81,7,74,2016,total_driving
4,T5,Emiliano Grillo,25,84,67,17,2016,total_driving
5,T5,Andrew Landry,18,85,59,26,2016,total_driving
6,4,Rory McIlroy,18,86,9,77,2016,total_driving
7,8,Paul Casey,22,90,54,36,2016,total_driving
8,7,Thomas Aiken,23,91,89,2,2016,total_driving
9,9,Sergio Garcia,15,98,28,70,2016,total_driving
10,T10,Scott Pinckney,29,99,43,56,2016,total_driving
11,12,Boo Weekley,26,100,84,16,2016,total_driving
12,T10,Shane Lowry,17,101,32,69,2016,total_driving
13,13,Russell Henley,25,103,48,55,2016,total_driving
14,14,Jim Herman,29,112,87,25,2016,total_driving
15,15,Brendan Steele,25,114,20,94,2016,total_driving
16,T17,Scott Brown,27,123,76,47,2016,total_driving
17,20,Jason Kokrak,28,125,6,119,2016,total_driving
T18,19,Harold Varner III,28,126,22,104,2016,total_driving
T18,16,Si Woo Kim,34,126,69,57,2016,total_driving
20,22,Jason Dufner,28,128,70,58,2016,total_driving
T21,T24,Sean O'Hair,27,132,20,112,2016,total_driving
T21,23,Brett Stegmaier,29,132,52,80,2016,total_driving
T21,T17,Hideki Matsuyama,23,132,65,67,2016,total_driving
T21,T24,Graham DeLaet,21,132,37,95,2016,total_driving
T25,26,Chez Reavie,27,133,123,10,2016,total_driving
T25,21,Kevin Chappell,27,133,46,87,2016,total_driving
T27,30,Rickie Fowler,23,136,23,113,2016,total_driving
T27,29,Brooks Koepka,21,136,19,117,2016,total_driving
29,T27,Wes Roach,21,137,59,78,2016,total_driving
T30,T38,Kevin Kisner,27,138,105,33,2016,total_driving
T30,31,Scott Piercy,24,138,37,101,2016,total_driving
32,32,Louis Oosthuizen,17,139,68,71,2016,total_driving
T33,T33,Ryan Palmer,23,140,12,128,2016,total_driving
T33,T27,Dustin Johnson,22,140,2,138,2016,total_driving
35,T35,Adam Hadwin,27,141,92,49,2016,total_driving
36,37,Justin Rose,18,143,16,127,2016,total_driving
37,40,Kevin Streelman,26,144,104,40,2016,total_driving
T38,T38,Marc Leishman,25,145,55,90,2016,total_driving
T38,T42,Russell Knox,25,145,137,8,2016,total_driving
T40,T42,Brian Harman,31,146,95,51,2016,total_driving
T40,T42,Jamie Lovemark,27,146,11,135,2016,total_driving
T40,41,Greg Owen,29,146,39,107,2016,total_driving
43,T35,William McGirt,28,149,118,31,2016,total_driving
44,45,Kyle Stanley,28,150,112,38,2016,total_driving
45,46,Jason Gore,27,151,103,48,2016,total_driving
46,T51,Kyle Reifers,34,153,123,30,2016,total_driving
