RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS,year,measure
1,1,Rory McIlroy,60,2.347,1.072,1.002,0.273,40,2012,sg_tee_to_green
2,2,Tiger Woods,69,1.971,0.553,1.224,0.194,48,2012,sg_tee_to_green
3,3,Bubba Watson,68,1.809,1.485,0.265,0.059,51,2012,sg_tee_to_green
4,4,Justin Rose,69,1.762,0.355,0.84,0.567,53,2012,sg_tee_to_green
5,5,Jim Furyk,85,1.329,0.225,0.83,0.275,65,2012,sg_tee_to_green
6,6,Dustin Johnson,70,1.324,0.72,0.638,-0.035,53,2012,sg_tee_to_green
7,7,Adam Scott,59,1.302,0.605,0.494,0.203,41,2012,sg_tee_to_green
8,8,Jason Dufner,83,1.293,0.553,0.519,0.222,64,2012,sg_tee_to_green
9,9,Robert Garrigus,89,1.212,0.797,0.68,-0.264,74,2012,sg_tee_to_green
10,10,Kyle Stanley,86,1.181,0.786,0.439,-0.043,70,2012,sg_tee_to_green
11,11,Vijay Singh,99,1.167,0.435,0.52,0.212,81,2012,sg_tee_to_green
12,12,Steve Stricker,73,1.161,0.116,0.898,0.147,54,2012,sg_tee_to_green
13,13,Lee Westwood,60,1.143,0.628,0.681,-0.166,40,2012,sg_tee_to_green
14,14,Louis Oosthuizen,65,0.98,0.496,0.478,0.006,49,2012,sg_tee_to_green
15,15,Boo Weekley,74,0.973,0.668,0.466,-0.162,58,2012,sg_tee_to_green
16,16,John Senden,81,0.96,0.503,0.473,-0.016,62,2012,sg_tee_to_green
17,17,Brendon de Jonge,115,0.939,0.185,0.754,0,102,2012,sg_tee_to_green
18,18,Webb Simpson,77,0.912,0.222,0.319,0.371,66,2012,sg_tee_to_green
19,19,Matt Kuchar,86,0.91,0.11,0.49,0.309,66,2012,sg_tee_to_green
20,20,Padraig Harrington,67,0.908,0.193,0.331,0.384,45,2012,sg_tee_to_green
