RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,year,measure
1,1,Rory McIlroy,66,1.367,65.623,48,2014,sg_off_tee
2,2,Bubba Watson,76,0.967,54.142,56,2014,sg_off_tee
3,3,Ryan Palmer,85,0.76,50.908,67,2014,sg_off_tee
4,5,Boo Weekley,73,0.732,40.978,56,2014,sg_off_tee
5,6,Dustin Johnson,58,0.73,29.941,41,2014,sg_off_tee
6,4,Adam Scott,68,0.725,40.578,56,2014,sg_off_tee
7,7,Louis Oosthuizen,50,0.724,21.712,30,2014,sg_off_tee
8,8,Hunter Mahan,88,0.687,49.474,72,2014,sg_off_tee
9,9,Henrik Stenson,56,0.65,24.701,38,2014,sg_off_tee
10,10,Jhonattan Vegas,77,0.628,40.175,64,2014,sg_off_tee
11,11,Gary Woodland,93,0.581,42.425,73,2014,sg_off_tee
12,12,Ángel Cabrera,69,0.554,33.78,61,2014,sg_off_tee
13,13,Charl Schwartzel,64,0.55,29.711,54,2014,sg_off_tee
14,15,Charlie Beljan,76,0.523,35.066,67,2014,sg_off_tee
15,16,J.B. Holmes,86,0.509,39.22,77,2014,sg_off_tee
16,17,Kevin Stadler,90,0.505,32.801,65,2014,sg_off_tee
17,18,Charles Howell III,106,0.498,47.349,95,2014,sg_off_tee
18,14,Jason Day,54,0.495,16.326,33,2014,sg_off_tee
19,19,Will Wilcox,51,0.487,19.478,40,2014,sg_off_tee
20,21,Billy Horschel,92,0.473,32.665,69,2014,sg_off_tee
21,20,Kevin Streelman,79,0.471,28.276,60,2014,sg_off_tee
22,22,Robert Streb,75,0.461,29.513,64,2014,sg_off_tee
23,23,Justin Hicks,103,0.456,41.022,90,2014,sg_off_tee
24,24,Kyle Stanley,87,0.44,31.663,72,2014,sg_off_tee
25,25,Keegan Bradley,89,0.43,28.812,67,2014,sg_off_tee
26,26,Brooks Koepka,56,0.425,17.854,42,2014,sg_off_tee
T27,T29,John Peterson,62,0.415,22.835,55,2014,sg_off_tee
T27,T29,Charley Hoffman,93,0.415,31.568,76,2014,sg_off_tee
29,31,Shawn Stefani,60,0.412,23.493,57,2014,sg_off_tee
30,28,Justin Rose,70,0.402,20.906,52,2014,sg_off_tee
31,32,Kevin Chappell,100,0.386,33.606,87,2014,sg_off_tee
32,27,Sergio Garcia,61,0.382,15.283,40,2014,sg_off_tee
33,33,Jamie Lovemark,64,0.374,17.567,47,2014,sg_off_tee
34,34,Robert Garrigus,80,0.362,26.433,73,2014,sg_off_tee
35,T35,Graham DeLaet,80,0.36,23.013,64,2014,sg_off_tee
36,37,Brendon de Jonge,109,0.339,31.213,92,2014,sg_off_tee
37,38,Lucas Glover,68,0.335,15.756,47,2014,sg_off_tee
38,39,Lee Westwood,57,0.334,14.349,43,2014,sg_off_tee
39,T35,Hideki Matsuyama,82,0.325,20.828,64,2014,sg_off_tee
40,40,Jason Dufner,57,0.316,13.284,42,2014,sg_off_tee
41,T42,Derek Ernst,80,0.312,19.636,63,2014,sg_off_tee
42,44,Hudson Swafford,75,0.305,17.702,58,2014,sg_off_tee
43,45,Jim Herman,62,0.302,14.478,48,2014,sg_off_tee
44,46,Nick Watney,80,0.298,16.662,56,2014,sg_off_tee
45,T42,Bill Haas,107,0.296,24.302,82,2014,sg_off_tee
46,47,Carl Pettersson,91,0.294,25.022,85,2014,sg_off_tee
47,48,Jason Kokrak,65,0.284,17.329,61,2014,sg_off_tee
48,41,Martin Kaymer,65,0.279,13.411,48,2014,sg_off_tee
