RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,year,measure
1,1,Dustin Johnson,77,0.919,56.984,62,2018,sg_off_tee
2,5,Jon Rahm,71,0.817,41.659,51,2018,sg_off_tee
3,3,Gary Woodland,96,0.803,56.201,70,2018,sg_off_tee
4,4,Luke List,98,0.795,61.974,78,2018,sg_off_tee
5,2,Bubba Watson,90,0.78,53.012,68,2018,sg_off_tee
6,9,Rory McIlroy,64,0.761,38.798,51,2018,sg_off_tee
7,10,Keith Mitchell,99,0.706,58.589,83,2018,sg_off_tee
8,T7,Francesco Molinari,73,0.69,39.315,57,2018,sg_off_tee
9,6,Brooks Koepka,64,0.658,35.527,54,2018,sg_off_tee
10,T7,Patrick Cantlay,87,0.622,41.703,67,2018,sg_off_tee
11,12,Kevin Chappell,77,0.608,37.674,62,2018,sg_off_tee
12,14,Bryson DeChambeau,93,0.586,45.74,78,2018,sg_off_tee
13,16,Tommy Fleetwood,73,0.58,31.343,54,2018,sg_off_tee
14,15,J.B. Holmes,77,0.565,38.418,68,2018,sg_off_tee
15,11,Brendan Steele,74,0.557,30.07,54,2018,sg_off_tee
16,13,Justin Rose,70,0.551,29.226,53,2018,sg_off_tee
17,19,Billy Horschel,86,0.538,41.435,77,2018,sg_off_tee
18,21,Lucas Glover,65,0.514,23.636,46,2018,sg_off_tee
19,20,Trey Mullinax,75,0.506,29.83,59,2018,sg_off_tee
20,22,Corey Conners,97,0.501,39.616,79,2018,sg_off_tee
21,23,Kiradech Aphibarnrat,51,0.485,16.492,34,2018,sg_off_tee
22,17,Tony Finau,105,0.481,38.969,81,2018,sg_off_tee
23,24,Byeong Hun An,86,0.475,34.677,73,2018,sg_off_tee
24,25,Hunter Mahan,67,0.465,23.731,51,2018,sg_off_tee
25,26,Kevin Streelman,94,0.439,35.994,82,2018,sg_off_tee
26,18,Henrik Stenson,60,0.427,18.788,44,2018,sg_off_tee
27,30,Aaron Wise,90,0.41,32.834,80,2018,sg_off_tee
28,28,Justin Thomas,91,0.408,27.721,68,2018,sg_off_tee
29,29,Ryan Moore,78,0.406,26.814,66,2018,sg_off_tee
30,T31,Louis Oosthuizen,62,0.401,18.428,46,2018,sg_off_tee
31,T31,J.T. Poston,73,0.381,21.691,57,2018,sg_off_tee
32,33,Tom Lovelady,87,0.379,26.149,69,2018,sg_off_tee
33,27,Kyle Stanley,93,0.378,25.343,67,2018,sg_off_tee
34,34,Grayson Murray,72,0.375,22.152,59,2018,sg_off_tee
35,37,Emiliano Grillo,94,0.364,26.593,73,2018,sg_off_tee
36,35,Jason Kokrak,99,0.36,31.698,88,2018,sg_off_tee
37,36,Sam Saunders,80,0.35,23.444,67,2018,sg_off_tee
38,T41,Matt Jones,70,0.333,15.639,47,2018,sg_off_tee
39,38,Shane Lowry,64,0.331,16.886,51,2018,sg_off_tee
40,T41,Abraham Ancer,98,0.325,26.952,83,2018,sg_off_tee
41,39,Charles Howell III,104,0.324,25.304,78,2018,sg_off_tee
42,43,James Hahn,85,0.323,22.256,69,2018,sg_off_tee
43,45,Bronson Burgoon,69,0.309,17.586,57,2018,sg_off_tee
T44,46,Joel Dahmen,93,0.3,21.325,71,2018,sg_off_tee
T44,40,Adam Scott,78,0.3,17.986,60,2018,sg_off_tee
46,44,Jhonattan Vegas,92,0.294,18.788,64,2018,sg_off_tee
47,47,J.J. Spaun,85,0.286,20.322,71,2018,sg_off_tee
48,50,Beau Hossler,104,0.281,25.257,90,2018,sg_off_tee
49,52,Tyler Duncan,97,0.273,22.103,81,2018,sg_off_tee
T50,51,Kevin Tway,110,0.271,24.387,90,2018,sg_off_tee
T50,54,Jordan Spieth,81,0.271,17.878,66,2018,sg_off_tee
T52,53,Jason Dufner,71,0.256,13.314,52,2018,sg_off_tee
T52,49,Rafa Cabrera Bello,75,0.256,12.287,48,2018,sg_off_tee
54,59,Charley Hoffman,87,0.254,17.242,68,2018,sg_off_tee
55,55,Rickie Fowler,74,0.244,14.856,61,2018,sg_off_tee
56,56,Cameron Percy,56,0.241,9.868,41,2018,sg_off_tee
57,58,Xander Schauffele,96,0.24,17.31,72,2018,sg_off_tee
58,48,Keegan Bradley,98,0.237,18.955,80,2018,sg_off_tee
59,57,Ryan Palmer,69,0.235,14.103,60,2018,sg_off_tee
60,61,Hudson Swafford,73,0.225,11.714,52,2018,sg_off_tee
61,63,Rory Sabbatini,91,0.217,16.252,75,2018,sg_off_tee
62,64,C.T. Pan,104,0.215,17.59,82,2018,sg_off_tee
63,65,Sean O'Hair,67,0.211,12.04,57,2018,sg_off_tee
64,66,Robert Garrigus,80,0.21,14.3,68,2018,sg_off_tee
65,62,Scott Piercy,84,0.209,14.208,68,2018,sg_off_tee
66,71,Alex Noren,67,0.208,10.169,49,2018,sg_off_tee
67,68,Andrew Landry,82,0.206,15.038,73,2018,sg_off_tee
68,67,Harold Varner III,91,0.204,15.079,74,2018,sg_off_tee
69,69,Sam Ryder,82,0.203,14.205,70,2018,sg_off_tee
70,75,Hideki Matsuyama,75,0.194,11.079,57,2018,sg_off_tee
71,73,Brice Garnett,99,0.188,15.24,81,2018,sg_off_tee
72,70,Chez Reavie,93,0.183,10.958,60,2018,sg_off_tee
73,74,Brandon Harkins,101,0.181,15.345,85,2018,sg_off_tee
74,60,Jason Day,75,0.176,8.641,49,2018,sg_off_tee
75,T76,J.J. Henry,81,0.174,10.937,63,2018,sg_off_tee
76,78,Nick Watney,94,0.17,13.592,80,2018,sg_off_tee
77,79,Branden Grace,67,0.163,7.179,44,2018,sg_off_tee
78,T76,Tyrrell Hatton,58,0.148,6.221,42,2018,sg_off_tee
79,80,Chesson Hadley,103,0.146,13.027,89,2018,sg_off_tee
80,82,Ian Poulter,73,0.141,7.058,50,2018,sg_off_tee
81,84,Xinjun Zhang,81,0.139,7.925,57,2018,sg_off_tee
T82,85,Troy Merritt,89,0.138,10.078,73,2018,sg_off_tee
T82,72,Paul Casey,74,0.138,6.744,49,2018,sg_off_tee
84,87,Brian Harman,94,0.137,9.848,72,2018,sg_off_tee
85,86,Matt Atkins,56,0.134,5.363,40,2018,sg_off_tee
86,101,Peter Uihlein,83,0.132,8.547,65,2018,sg_off_tee
87,83,Graeme McDowell,67,0.124,5.72,46,2018,sg_off_tee
88,88,Austin Cook,107,0.12,11.069,92,2018,sg_off_tee
89,90,Conrad Shindler,60,0.114,5.023,44,2018,sg_off_tee
90,92,Steve Wheatcroft,60,0.112,5.135,46,2018,sg_off_tee
91,93,Nate Lashley,51,0.111,3.898,35,2018,sg_off_tee
92,94,Blayne Barber,69,0.101,6.069,60,2018,sg_off_tee
93,81,Daniel Berger,81,0.1,6.178,62,2018,sg_off_tee
94,96,Russell Henley,77,0.093,5.378,58,2018,sg_off_tee
95,91,Richy Werenski,98,0.077,5.714,74,2018,sg_off_tee
96,97,Seamus Power,86,0.076,4.991,66,2018,sg_off_tee
97,98,Adam Schenk,86,0.073,4.785,66,2018,sg_off_tee
98,99,Anirban Lahiri,82,0.07,4.677,67,2018,sg_off_tee
99,100,Ben Silverman,90,0.069,5.229,76,2018,sg_off_tee
100,108,Tiger Woods,68,0.061,3.609,59,2018,sg_off_tee
101,103,Russell Knox,94,0.059,4.355,74,2018,sg_off_tee
T102,95,Adam Hadwin,92,0.057,3.787,66,2018,sg_off_tee
T102,102,Stewart Cink,87,0.057,3.831,67,2018,sg_off_tee
104,89,Patrick Reed,94,0.051,3.229,63,2018,sg_off_tee
105,104,Nick Taylor,94,0.049,3.594,74,2018,sg_off_tee
106,105,Stephan Jaeger,81,0.045,2.813,63,2018,sg_off_tee
107,106,Satoshi Kodaira,51,0.027,1.069,40,2018,sg_off_tee
108,107,Tom Hoge,101,0.018,1.474,83,2018,sg_off_tee
T109,T109,Ryan Blaum,81,0.011,0.796,72,2018,sg_off_tee
T109,T109,Denny McCarthy,71,0.011,0.529,49,2018,sg_off_tee
111,111,David Lingmerth,82,0.006,0.396,69,2018,sg_off_tee
112,112,Danny Lee,88,0.005,0.379,70,2018,sg_off_tee
113,114,Vaughn Taylor,83,-0.005,-0.324,70,2018,sg_off_tee
114,113,Marc Leishman,93,-0.006,-0.449,73,2018,sg_off_tee
115,117,Scott Stallings,96,-0.008,-0.633,80,2018,sg_off_tee
116,116,Ryan Armour,109,-0.012,-1.117,96,2018,sg_off_tee
117,115,Si Woo Kim,108,-0.014,-1.111,78,2018,sg_off_tee
118,118,Alex Cejka,77,-0.024,-1.42,60,2018,sg_off_tee
119,T130,Charl Schwartzel,65,-0.035,-1.464,42,2018,sg_off_tee
120,120,Patrick Rodgers,97,-0.039,-2.872,73,2018,sg_off_tee
121,122,Chad Campbell,87,-0.042,-2.787,67,2018,sg_off_tee
122,121,Kevin Kisner,89,-0.043,-2.785,65,2018,sg_off_tee
123,123,Martin Laird,73,-0.045,-2.739,61,2018,sg_off_tee
124,125,Lanto Griffin,80,-0.046,-2.743,60,2018,sg_off_tee
125,124,Chris Kirk,108,-0.048,-4.609,96,2018,sg_off_tee
126,126,Ethan Tracy,72,-0.054,-2.891,54,2018,sg_off_tee
127,119,Zach Johnson,94,-0.059,-4.241,72,2018,sg_off_tee
128,127,Fabián Gómez,88,-0.062,-4.403,71,2018,sg_off_tee
129,134,Pat Perez,82,-0.063,-3.214,51,2018,sg_off_tee
130,128,Mackenzie Hughes,80,-0.068,-4.64,68,2018,sg_off_tee
131,129,Michael Thompson,62,-0.073,-4.103,56,2018,sg_off_tee
132,T130,"Ted Potter, Jr.",87,-0.074,-5.673,77,2018,sg_off_tee
133,132,Zecheng Dou,53,-0.079,-2.827,36,2018,sg_off_tee
134,T135,Shawn Stefani,76,-0.093,-5.569,60,2018,sg_off_tee
135,137,Rod Pampling,62,-0.095,-4.279,45,2018,sg_off_tee
136,138,Martin Flores,92,-0.097,-6.985,72,2018,sg_off_tee
137,139,Jamie Lovemark,92,-0.101,-7.874,78,2018,sg_off_tee
138,140,John Huh,94,-0.11,-9.043,82,2018,sg_off_tee
139,141,Bud Cauley,55,-0.113,-4.626,41,2018,sg_off_tee
140,T135,Webb Simpson,95,-0.116,-9.356,81,2018,sg_off_tee
141,142,Brett Stegmaier,67,-0.135,-6.366,47,2018,sg_off_tee
142,145,Ben Martin,64,-0.142,-8.091,57,2018,sg_off_tee
143,143,Brandt Snedeker,84,-0.145,-10.724,74,2018,sg_off_tee
144,146,Andrew Putnam,97,-0.146,-11.254,77,2018,sg_off_tee
145,133,Cameron Smith,85,-0.148,-9.005,61,2018,sg_off_tee
146,148,Roberto Díaz,72,-0.165,-9.257,56,2018,sg_off_tee
147,147,Brian Gay,103,-0.166,-15.27,92,2018,sg_off_tee
148,149,David Hearn,66,-0.17,-8.514,50,2018,sg_off_tee
149,150,Bill Haas,76,-0.177,-11.692,66,2018,sg_off_tee
150,151,Matt Kuchar,88,-0.199,-12.949,65,2018,sg_off_tee
151,152,Cody Gribble,71,-0.212,-11.472,54,2018,sg_off_tee
152,153,Johnson Wagner,75,-0.213,-11.711,55,2018,sg_off_tee
153,154,Harris English,84,-0.219,-14.923,68,2018,sg_off_tee
154,144,Phil Mickelson,90,-0.225,-15.741,70,2018,sg_off_tee
155,155,Brian Stuard,103,-0.227,-19.967,88,2018,sg_off_tee
156,156,Dominic Bozzelli,65,-0.244,-14.858,61,2018,sg_off_tee
