RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,year,measure
1,1,Boo Weekley,101,0.876,68.338,78,2007,sg_off_tee
2,2,J.B. Holmes,71,0.828,53.013,64,2007,sg_off_tee
3,3,Joe Durant,88,0.698,50.947,73,2007,sg_off_tee
4,4,Mathew Goggin,97,0.691,60.102,87,2007,sg_off_tee
5,5,Charles Warren,101,0.68,63.283,93,2007,sg_off_tee
6,6,Brett Wetterich,88,0.671,46.992,70,2007,sg_off_tee
7,7,Robert Allenby,90,0.638,47.825,75,2007,sg_off_tee
8,8,Tiger Woods,63,0.624,26.842,43,2007,sg_off_tee
9,9,Nick Watney,87,0.622,43.569,70,2007,sg_off_tee
10,10,Jeff Overton,60,0.613,33.093,54,2007,sg_off_tee
11,11,Vijay Singh,102,0.583,47.844,82,2007,sg_off_tee
12,12,Anthony Kim,93,0.578,46.258,80,2007,sg_off_tee
13,13,D.J. Trahan,99,0.556,50,90,2007,sg_off_tee
14,14,Lucas Glover,98,0.542,42.302,78,2007,sg_off_tee
15,15,Bubba Watson,80,0.539,35.567,66,2007,sg_off_tee
16,16,Peter Lonard,85,0.524,39.827,76,2007,sg_off_tee
17,17,Geoff Ogilvy,84,0.523,33.479,64,2007,sg_off_tee
18,18,Hunter Mahan,91,0.496,35.73,72,2007,sg_off_tee
19,19,Kenny Perry,83,0.485,36.345,75,2007,sg_off_tee
20,20,Sean O'Hair,98,0.484,40.165,83,2007,sg_off_tee
21,21,Adam Scott,69,0.478,25.798,54,2007,sg_off_tee
22,22,Robert Garrigus,95,0.468,40.205,86,2007,sg_off_tee
23,23,Ernie Els,59,0.452,19.87,44,2007,sg_off_tee
24,24,Jay Williamson,50,0.447,21.435,48,2007,sg_off_tee
25,25,Bill Haas,93,0.443,36.359,82,2007,sg_off_tee
26,26,Steve Allan,63,0.439,24.145,55,2007,sg_off_tee
27,27,Mathias Grönberg,95,0.424,37.329,88,2007,sg_off_tee
28,28,John Rollins,102,0.417,35.023,84,2007,sg_off_tee
T29,T29,Jason Gore,86,0.411,32.036,78,2007,sg_off_tee
T29,T29,Greg Owen,81,0.411,28.736,70,2007,sg_off_tee
31,31,J.J. Henry,86,0.374,25.451,68,2007,sg_off_tee
T32,T32,Chris Couch,76,0.369,26.963,73,2007,sg_off_tee
T32,T32,Camilo Villegas,82,0.369,25.442,69,2007,sg_off_tee
34,34,John Senden,97,0.366,30.728,84,2007,sg_off_tee
35,35,Trevor Immelman,74,0.357,19.268,54,2007,sg_off_tee
36,36,Bo Van Pelt,104,0.354,34.337,97,2007,sg_off_tee
37,37,Charley Hoffman,97,0.348,28.911,83,2007,sg_off_tee
38,38,Tommy Armour III,81,0.333,22.956,69,2007,sg_off_tee
39,39,Ken Duke,112,0.329,31.285,95,2007,sg_off_tee
40,40,Phil Mickelson,73,0.328,17.05,52,2007,sg_off_tee
41,41,Scott Verplank,82,0.323,19.06,59,2007,sg_off_tee
42,42,Matt Hendrix,63,0.308,16.951,55,2007,sg_off_tee
43,43,Will MacKenzie,100,0.295,26.864,91,2007,sg_off_tee
44,44,Rod Pampling,92,0.292,21.628,74,2007,sg_off_tee
T45,T45,Jerry Kelly,101,0.279,20.894,75,2007,sg_off_tee
T45,T45,Ian Poulter,63,0.279,10.873,39,2007,sg_off_tee
47,47,Mark Calcavecchia,93,0.277,20.204,73,2007,sg_off_tee
48,48,Steve Elkington,87,0.276,20.141,73,2007,sg_off_tee
49,49,Harrison Frazar,88,0.269,19.62,73,2007,sg_off_tee
50,50,Mike Weir,82,0.267,15.993,60,2007,sg_off_tee
51,51,Kevin Stadler,95,0.259,20.192,78,2007,sg_off_tee
52,52,Alex Cejka,80,0.257,19.037,74,2007,sg_off_tee
53,53,Steve Marino,106,0.25,22.728,91,2007,sg_off_tee
54,54,Troy Matteson,87,0.239,18.181,76,2007,sg_off_tee
55,55,Jason Bohn,57,0.237,12.579,53,2007,sg_off_tee
56,56,Ted Purdy,102,0.235,20.46,87,2007,sg_off_tee
57,57,Billy Mayfair,98,0.234,19.398,83,2007,sg_off_tee
58,58,Ryan Armour,107,0.229,21.571,94,2007,sg_off_tee
T59,T59,Rich Beem,89,0.223,15.578,70,2007,sg_off_tee
T59,T59,Davis Love III,66,0.223,11.828,53,2007,sg_off_tee
61,61,Zach Johnson,76,0.214,12.864,60,2007,sg_off_tee
T62,T62,Frank Lickliter II,95,0.211,17.964,85,2007,sg_off_tee
T62,T62,Henrik Stenson,52,0.211,7.589,36,2007,sg_off_tee
64,64,Cameron Beckman,96,0.201,17.094,85,2007,sg_off_tee
65,65,Jim Furyk,84,0.199,13.128,66,2007,sg_off_tee
66,66,Ryan Moore,92,0.196,14.664,75,2007,sg_off_tee
67,67,George McNeill,95,0.19,15.204,80,2007,sg_off_tee
68,68,Woody Austin,95,0.183,15.407,84,2007,sg_off_tee
69,69,Bart Bryant,87,0.18,13.332,74,2007,sg_off_tee
70,70,K.J. Choi,87,0.161,10.93,68,2007,sg_off_tee
71,71,Daisuke Maruyama,86,0.16,12.157,76,2007,sg_off_tee
72,72,Justin Rose,63,0.157,6.132,39,2007,sg_off_tee
73,73,Aaron Baddeley,83,0.152,9.999,66,2007,sg_off_tee
74,74,Rory Sabbatini,81,0.151,9.483,63,2007,sg_off_tee
75,75,Jeff Gove,103,0.147,13.786,94,2007,sg_off_tee
76,76,Chris Stroud,66,0.146,8.172,56,2007,sg_off_tee
77,77,Steve Lowery,74,0.144,9.966,69,2007,sg_off_tee
78,78,John Merrick,92,0.137,11.115,81,2007,sg_off_tee
79,79,Heath Slocum,101,0.134,12.504,93,2007,sg_off_tee
80,80,Padraig Harrington,64,0.133,6.1,46,2007,sg_off_tee
81,81,Briny Baird,115,0.132,13.819,105,2007,sg_off_tee
82,82,Arron Oberholser,69,0.125,6.606,53,2007,sg_off_tee
T83,T83,Stephen Ames,81,0.124,7.679,62,2007,sg_off_tee
T83,T83,Johnson Wagner,97,0.124,10.698,86,2007,sg_off_tee
85,85,Bubba Dickerson,51,0.111,4.767,43,2007,sg_off_tee
86,86,Jarrod Lyle,77,0.099,6.662,67,2007,sg_off_tee
87,87,Mark Wilson,87,0.094,6.887,73,2007,sg_off_tee
88,88,Carl Pettersson,111,0.092,8.478,92,2007,sg_off_tee
89,89,Darron Stiles,65,0.089,4.731,53,2007,sg_off_tee
90,90,Scott Gutschewski,67,0.049,2.829,58,2007,sg_off_tee
91,91,Sergio Garcia,68,0.048,2.637,55,2007,sg_off_tee
T92,T92,Stuart Appleby,74,0.041,2.361,58,2007,sg_off_tee
T92,T92,Jim Rutledge,59,0.041,1.901,46,2007,sg_off_tee
T92,T92,Duffy Waldorf,69,0.041,2.397,59,2007,sg_off_tee
95,95,J.P. Hayes,89,0.029,2.312,80,2007,sg_off_tee
T96,T96,John Mallinger,96,0.028,2.403,87,2007,sg_off_tee
T96,T96,Ryan Palmer,91,0.028,2.307,82,2007,sg_off_tee
98,98,Steve Wheatcroft,73,0.023,1.43,61,2007,sg_off_tee
99,99,Robert Gamez,88,0.019,1.415,76,2007,sg_off_tee
100,100,Jeff Maggert,79,0.017,1.356,78,2007,sg_off_tee
101,101,Brian Davis,101,0.014,1.241,88,2007,sg_off_tee
102,102,José Coceres,50,0.009,0.378,42,2007,sg_off_tee
T103,T103,Luke Donald,69,0.005,0.24,50,2007,sg_off_tee
T103,T103,Kyle Reifers,71,0.005,0.316,63,2007,sg_off_tee
105,105,Steve Stricker,81,0.002,0.123,65,2007,sg_off_tee
106,106,Brendon de Jonge,76,-0.002,-0.102,66,2007,sg_off_tee
T107,T107,Joe Ogilvie,102,-0.008,-0.733,87,2007,sg_off_tee
T107,T107,Michael Putnam,96,-0.008,-0.6,80,2007,sg_off_tee
109,109,Chris Tidland,59,-0.009,-0.466,51,2007,sg_off_tee
110,110,David Branshaw,83,-0.015,-1.152,75,2007,sg_off_tee
111,111,Shaun Micheel,91,-0.017,-1.171,70,2007,sg_off_tee
112,112,Daniel Chopra,106,-0.02,-1.937,95,2007,sg_off_tee
113,113,Tim Herron,98,-0.021,-1.75,82,2007,sg_off_tee
114,114,Ben Curtis,80,-0.03,-1.931,64,2007,sg_off_tee
115,115,Charlie Wi,90,-0.032,-2.668,83,2007,sg_off_tee
116,116,Freddie Jacobson,70,-0.033,-2.227,68,2007,sg_off_tee
T117,T117,Retief Goosen,50,-0.039,-1.331,34,2007,sg_off_tee
T117,T117,Jesper Parnevik,88,-0.039,-2.922,75,2007,sg_off_tee
T119,T119,Craig Barlow,52,-0.046,-2.032,44,2007,sg_off_tee
T119,T119,Kirk Triplett,77,-0.046,-3.135,68,2007,sg_off_tee
121,121,Kent Jones,97,-0.059,-5.166,88,2007,sg_off_tee
T122,T122,Jason Dufner,100,-0.07,-6.124,87,2007,sg_off_tee
T122,T122,Tom Lehman,62,-0.07,-3.421,49,2007,sg_off_tee
124,124,Justin Leonard,95,-0.073,-6.001,82,2007,sg_off_tee
125,125,Joey Sindelar,75,-0.075,-5.047,67,2007,sg_off_tee
126,126,Vaughn Taylor,91,-0.076,-5.472,72,2007,sg_off_tee
127,127,Kevin Sutherland,85,-0.077,-5.28,69,2007,sg_off_tee
128,128,Michael Allen,74,-0.082,-5.216,64,2007,sg_off_tee
129,129,David Toms,80,-0.087,-5.475,63,2007,sg_off_tee
T130,T130,Glen Day,85,-0.09,-6.712,75,2007,sg_off_tee
T130,T130,Pat Perez,84,-0.09,-5.858,65,2007,sg_off_tee
132,132,Tom Johnson,74,-0.093,-5.856,63,2007,sg_off_tee
133,133,Doug LaBelle II,104,-0.096,-8.732,91,2007,sg_off_tee
134,134,Tim Clark,66,-0.105,-5.578,53,2007,sg_off_tee
135,135,Tag Ridings,52,-0.107,-4.824,45,2007,sg_off_tee
136,136,John Daly,59,-0.111,-5.428,49,2007,sg_off_tee
137,137,Paul Gow,70,-0.122,-6.982,57,2007,sg_off_tee
138,138,Mark Brooks,53,-0.128,-5.244,41,2007,sg_off_tee
T139,T139,Chad Campbell,96,-0.134,-9.805,73,2007,sg_off_tee
T139,T139,Nathan Green,103,-0.134,-11.65,87,2007,sg_off_tee
141,141,Steve Flesch,100,-0.137,-12.331,90,2007,sg_off_tee
142,142,Jason Schultz,63,-0.144,-7.609,53,2007,sg_off_tee
143,143,Brandt Snedeker,105,-0.157,-13.465,86,2007,sg_off_tee
144,144,Paul Stankowski,52,-0.159,-6.667,42,2007,sg_off_tee
T145,T145,Craig Bowden,78,-0.169,-11.319,67,2007,sg_off_tee
T145,T145,Paul Goydos,60,-0.169,-7.928,47,2007,sg_off_tee
147,147,Tom Pernice Jr.,104,-0.19,-15.978,84,2007,sg_off_tee
148,148,Jonathan Byrd,73,-0.191,-11.82,62,2007,sg_off_tee
149,149,D.J. Brigman,67,-0.195,-10.524,54,2007,sg_off_tee
T150,T150,Jeff Quinney,95,-0.201,-17.279,86,2007,sg_off_tee
T150,T150,Jaco Van Zyl,51,-0.201,-8.865,44,2007,sg_off_tee
152,152,Charles Howell III,89,-0.212,-14.021,66,2007,sg_off_tee
153,153,Tripp Isenhour,86,-0.214,-15.642,73,2007,sg_off_tee
154,154,Tim Petrovic,106,-0.22,-20.932,95,2007,sg_off_tee
155,155,Andrew Buckle,77,-0.223,-14.923,67,2007,sg_off_tee
156,156,Anders Hansen,55,-0.224,-7.623,34,2007,sg_off_tee
157,157,Jeff Brehaut,59,-0.227,-11.134,49,2007,sg_off_tee
158,158,Kevin Na,84,-0.229,-17.823,78,2007,sg_off_tee
159,159,Cliff Kresge,107,-0.231,-23.104,100,2007,sg_off_tee
T160,T160,Stewart Cink,91,-0.233,-16.804,72,2007,sg_off_tee
T160,T160,Mark Hensby,81,-0.233,-16.789,72,2007,sg_off_tee
162,162,Michael Sim,52,-0.24,-12.007,50,2007,sg_off_tee
163,163,Brett Quigley,79,-0.248,-15.616,63,2007,sg_off_tee
164,164,Michael Boyd,61,-0.258,-13.422,52,2007,sg_off_tee
165,165,Bob Heintz,85,-0.267,-19.197,72,2007,sg_off_tee
166,166,Fred Funk,65,-0.27,-14.335,53,2007,sg_off_tee
167,167,Billy Andrade,88,-0.272,-21.507,79,2007,sg_off_tee
168,168,Tom Byrum,50,-0.278,-11.386,41,2007,sg_off_tee
169,169,Brian Bateman,55,-0.284,-12.516,44,2007,sg_off_tee
170,170,Nick O'Hern,72,-0.287,-15.803,55,2007,sg_off_tee
171,171,Rocco Mediate,72,-0.292,-19.554,67,2007,sg_off_tee
172,172,Craig Kanada,109,-0.308,-28.911,94,2007,sg_off_tee
173,173,Bob Tway,103,-0.314,-27.624,88,2007,sg_off_tee
174,174,Matt Kuchar,85,-0.32,-22.749,71,2007,sg_off_tee
175,175,Chris Riley,59,-0.343,-17.516,51,2007,sg_off_tee
176,176,Chris DiMarco,79,-0.349,-22.011,63,2007,sg_off_tee
177,177,Richard Johnson,93,-0.357,-29.98,84,2007,sg_off_tee
178,178,Parker McLachlin,83,-0.358,-26.113,73,2007,sg_off_tee
179,179,Craig Lile,77,-0.361,-24.88,69,2007,sg_off_tee
180,180,Bob Estes,88,-0.373,-29.812,80,2007,sg_off_tee
181,181,Lee Janzen,66,-0.387,-20.133,52,2007,sg_off_tee
182,182,Todd Hamilton,76,-0.398,-23.109,58,2007,sg_off_tee
183,183,Rich Barcelo,80,-0.402,-28.147,70,2007,sg_off_tee
184,184,Marco Dawson,73,-0.407,-26.455,65,2007,sg_off_tee
185,185,Jeff Sluman,60,-0.416,-17.467,42,2007,sg_off_tee
186,186,Brian Gay,107,-0.442,-42.835,97,2007,sg_off_tee
187,187,Eric Axley,107,-0.46,-43.194,94,2007,sg_off_tee
188,188,Stephen Leaney,82,-0.478,-35.382,74,2007,sg_off_tee
189,189,Ryuji Imada,104,-0.534,-47.501,89,2007,sg_off_tee
190,190,Dean Wilson,92,-0.554,-41.577,75,2007,sg_off_tee
191,191,Shigeki Maruyama,84,-0.619,-49.531,80,2007,sg_off_tee
192,192,Gavin Coles,87,-0.666,-51.255,77,2007,sg_off_tee
193,193,Dicky Pride,71,-0.699,-42.631,61,2007,sg_off_tee
194,194,José María Olazábal,52,-0.879,-32.525,37,2007,sg_off_tee
195,195,Bryce Molder,56,-0.956,-46.826,49,2007,sg_off_tee
196,196,Corey Pavin,81,-0.968,-68.747,71,2007,sg_off_tee
