RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,year,measure
1,4,Henrik Stenson,60,0.96,42.239,44,2018,sg_app_green
2,2,Keegan Bradley,98,0.888,71.055,80,2018,sg_app_green
3,1,Tiger Woods,68,0.883,52.11,59,2018,sg_app_green
4,3,Justin Thomas,91,0.844,57.412,68,2018,sg_app_green
5,5,Dustin Johnson,77,0.829,51.411,62,2018,sg_app_green
6,15,Hideki Matsuyama,75,0.727,41.421,57,2018,sg_app_green
7,8,Stewart Cink,87,0.698,46.796,67,2018,sg_app_green
8,7,Adam Scott,78,0.639,38.323,60,2018,sg_app_green
9,T9,Chesson Hadley,103,0.606,53.932,89,2018,sg_app_green
10,6,Francesco Molinari,73,0.593,33.825,57,2018,sg_app_green
11,14,Paul Casey,74,0.586,28.728,49,2018,sg_app_green
12,T9,Bryson DeChambeau,93,0.556,43.374,78,2018,sg_app_green
13,11,Phil Mickelson,90,0.555,38.816,70,2018,sg_app_green
14,12,Scott Piercy,84,0.553,37.586,68,2018,sg_app_green
15,21,Daniel Berger,81,0.543,33.635,62,2018,sg_app_green
16,16,Ryan Moore,78,0.532,35.095,66,2018,sg_app_green
17,44,Justin Rose,70,0.526,27.86,53,2018,sg_app_green
18,T17,Chris Kirk,108,0.518,49.694,96,2018,sg_app_green
19,T17,Patrick Cantlay,87,0.509,34.121,67,2018,sg_app_green
20,24,Tony Finau,105,0.5,40.54,81,2018,sg_app_green
21,28,Rickie Fowler,74,0.494,30.13,61,2018,sg_app_green
22,13,Rafa Cabrera Bello,75,0.487,23.38,48,2018,sg_app_green
23,22,Webb Simpson,95,0.486,39.357,81,2018,sg_app_green
24,19,Gary Woodland,96,0.484,33.881,70,2018,sg_app_green
25,27,Tyler Duncan,97,0.476,38.545,81,2018,sg_app_green
26,29,Russell Henley,77,0.467,27.062,58,2018,sg_app_green
27,30,Zach Johnson,94,0.463,33.315,72,2018,sg_app_green
