RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,TOTAL,DISTANCE RANK,ACCURACY RANK,year,measure
1,1,Henrik Stenson,16,55,43,12,2015,total_driving
2,2,Will Wilcox,17,60,42,18,2015,total_driving
3,3,Keegan Bradley,24,62,10,52,2015,total_driving
4,4,Justin Rose,20,78,14,64,2015,total_driving
5,5,Graham DeLaet,22,79,32,47,2015,total_driving
6,6,Charlie Beljan,27,89,6,83,2015,total_driving
7,7,Russell Henley,24,90,36,54,2015,total_driving
8,10,Paul Casey,24,93,35,58,2015,total_driving
9,T8,Jim Herman,27,95,62,33,2015,total_driving
10,11,Hudson Swafford,30,103,29,74,2015,total_driving
11,T12,Lucas Glover,26,104,38,66,2015,total_driving
T12,T12,Derek Ernst,26,106,50,56,2015,total_driving
T12,T8,Hideki Matsuyama,25,106,57,49,2015,total_driving
14,14,Davis Love III,18,107,56,51,2015,total_driving
15,15,Adam Scott,15,111,4,107,2015,total_driving
T16,T16,Kevin Streelman,27,113,93,20,2015,total_driving
T16,T16,Brendan Steele,24,113,16,97,2015,total_driving
T18,20,Billy Horschel,28,122,53,69,2015,total_driving
T18,T21,Daniel Berger,31,122,18,104,2015,total_driving
T20,19,Webb Simpson,22,123,97,26,2015,total_driving
T20,T21,Jason Gore,26,123,87,36,2015,total_driving
T22,24,John Senden,24,126,89,37,2015,total_driving
T22,18,Rickie Fowler,21,126,39,87,2015,total_driving
24,23,Charl Schwartzel,19,127,24,103,2015,total_driving
25,25,Chez Reavie,19,128,125,3,2015,total_driving
26,T26,Sam Saunders,28,130,68,62,2015,total_driving
T27,28,Kevin Chappell,26,132,67,65,2015,total_driving
T27,T26,Shawn Stefani,26,132,44,88,2015,total_driving
29,30,Alex Prugh,27,138,49,89,2015,total_driving
30,31,David Lingmerth,28,139,93,46,2015,total_driving
31,32,John Peterson,25,140,110,30,2015,total_driving
32,33,Lee Westwood,15,144,25,119,2015,total_driving
33,35,Nicholas Thompson,31,146,127,19,2015,total_driving
T34,T36,Louis Oosthuizen,20,148,31,117,2015,total_driving
T34,29,Kevin Kisner,30,148,114,34,2015,total_driving
T34,T38,Sergio Garcia,15,148,25,123,2015,total_driving
T34,T36,Jason Dufner,21,148,121,27,2015,total_driving
38,40,Carlos Ortiz,30,150,33,117,2015,total_driving
T39,41,Sean O'Hair,26,151,47,104,2015,total_driving
T39,42,Boo Weekley,24,151,76,75,2015,total_driving
