RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,year,measure
1,1,Dustin Johnson,72,0.912,49.234,54,2011,sg_off_tee
2,2,Bubba Watson,85,0.898,52.996,59,2011,sg_off_tee
3,3,Adam Scott,60,0.793,35.67,45,2011,sg_off_tee
4,4,Gary Woodland,93,0.742,51.944,70,2011,sg_off_tee
5,5,J.B. Holmes,57,0.726,34.107,47,2011,sg_off_tee
T6,T6,Keegan Bradley,91,0.683,52.628,77,2011,sg_off_tee
T6,T6,Boo Weekley,66,0.683,38.913,57,2011,sg_off_tee
8,8,Robert Garrigus,83,0.662,45.673,69,2011,sg_off_tee
9,9,John Rollins,85,0.647,46.6,72,2011,sg_off_tee
10,10,Josh Teater,104,0.632,58.14,92,2011,sg_off_tee
11,11,Bill Haas,93,0.628,45.233,72,2011,sg_off_tee
12,12,Chris Couch,73,0.606,41.19,68,2011,sg_off_tee
13,13,Bo Van Pelt,92,0.586,41.587,71,2011,sg_off_tee
14,14,D.J. Trahan,91,0.565,46.857,83,2011,sg_off_tee
15,15,Nick Watney,80,0.543,33.683,62,2011,sg_off_tee
16,16,Sergio Garcia,61,0.528,23.756,45,2011,sg_off_tee
17,17,Kyle Stanley,98,0.516,41.309,80,2011,sg_off_tee
18,18,Jason Dufner,78,0.515,33.484,65,2011,sg_off_tee
19,19,Jhonattan Vegas,84,0.507,35.477,70,2011,sg_off_tee
20,20,Martin Laird,77,0.499,30.912,62,2011,sg_off_tee
21,21,John Senden,94,0.496,40.17,81,2011,sg_off_tee
22,22,Charl Schwartzel,58,0.49,19.594,40,2011,sg_off_tee
23,23,Brandt Jobe,100,0.478,38.718,81,2011,sg_off_tee
24,24,Webb Simpson,98,0.476,39.509,83,2011,sg_off_tee
25,25,Robert Allenby,84,0.462,32.334,70,2011,sg_off_tee
26,26,Charley Hoffman,93,0.453,33.55,74,2011,sg_off_tee
27,27,Scott Stallings,84,0.443,30.584,69,2011,sg_off_tee
28,28,Kevin Streelman,90,0.442,31.384,71,2011,sg_off_tee
29,29,Jeff Overton,92,0.402,29.349,73,2011,sg_off_tee
30,30,Rickie Fowler,84,0.384,25.346,66,2011,sg_off_tee
31,31,Joe Durant,71,0.382,24.43,64,2011,sg_off_tee
32,32,Chez Reavie,92,0.381,31.265,82,2011,sg_off_tee
33,33,Hunter Mahan,92,0.371,28.187,76,2011,sg_off_tee
34,34,Steve Marino,76,0.364,22.572,62,2011,sg_off_tee
35,35,Steven Bowditch,86,0.339,26.412,78,2011,sg_off_tee
T36,T36,John Merrick,71,0.319,19.156,60,2011,sg_off_tee
T36,T36,Pat Perez,76,0.319,22.297,70,2011,sg_off_tee
38,38,Vijay Singh,79,0.315,22.664,72,2011,sg_off_tee
39,39,Billy Horschel,75,0.31,19.222,62,2011,sg_off_tee
40,40,Matt Kuchar,94,0.304,21.602,71,2011,sg_off_tee
41,41,Graeme McDowell,50,0.301,11.137,37,2011,sg_off_tee
42,42,Troy Matteson,91,0.295,23.892,81,2011,sg_off_tee
43,43,Lucas Glover,74,0.27,16.459,61,2011,sg_off_tee
44,44,Harrison Frazar,58,0.259,10.898,42,2011,sg_off_tee
T45,T45,Tommy Gainey,104,0.245,22.277,91,2011,sg_off_tee
T45,T45,Davis Love III,70,0.245,12.745,52,2011,sg_off_tee
47,47,Jim Herman,69,0.244,13.933,57,2011,sg_off_tee
48,48,Blake Adams,116,0.241,25.271,105,2011,sg_off_tee
49,49,J.J. Henry,96,0.239,18.867,79,2011,sg_off_tee
50,50,Brian Davis,105,0.226,20.827,92,2011,sg_off_tee
51,51,Rory Sabbatini,85,0.218,13.275,61,2011,sg_off_tee
T52,T52,Ángel Cabrera,50,0.217,7.588,35,2011,sg_off_tee
T52,T52,David Hearn,88,0.217,16.462,76,2011,sg_off_tee
54,54,Billy Mayfair,94,0.213,18.122,85,2011,sg_off_tee
T55,T55,Jason Day,76,0.204,12.064,59,2011,sg_off_tee
T55,T55,Alex Prugh,82,0.204,14.507,71,2011,sg_off_tee
57,57,Justin Hicks,60,0.202,8.905,44,2011,sg_off_tee
T58,T58,Scott Piercy,78,0.201,12.641,63,2011,sg_off_tee
T58,T58,Andres Romero,77,0.201,13.67,68,2011,sg_off_tee
60,60,Rod Pampling,72,0.193,11.608,60,2011,sg_off_tee
61,61,Heath Slocum,89,0.192,14.203,74,2011,sg_off_tee
62,62,Aaron Baddeley,77,0.19,11.751,62,2011,sg_off_tee
63,63,Justin Rose,79,0.186,11.704,63,2011,sg_off_tee
64,64,Scott McCarron,65,0.181,9.777,54,2011,sg_off_tee
65,65,Charles Howell III,108,0.168,15.295,91,2011,sg_off_tee
66,66,David Toms,78,0.166,9.795,59,2011,sg_off_tee
67,67,Jim Renner,65,0.162,8.562,53,2011,sg_off_tee
68,68,Ryan Moore,79,0.158,9.453,60,2011,sg_off_tee
69,69,Bill Lunde,92,0.156,11.978,77,2011,sg_off_tee
70,70,Cameron Tringale,110,0.154,14.929,97,2011,sg_off_tee
71,71,Y.E. Yang,63,0.152,6.379,42,2011,sg_off_tee
T72,T72,Kevin Chappell,78,0.14,8.555,61,2011,sg_off_tee
T72,T72,Phil Mickelson,79,0.14,8.109,58,2011,sg_off_tee
74,74,Sung Kang,63,0.135,6.881,51,2011,sg_off_tee
75,75,Bobby Gates,82,0.133,8.905,67,2011,sg_off_tee
76,76,George McNeill,69,0.13,7.523,58,2011,sg_off_tee
77,77,Brandt Snedeker,85,0.127,8.535,67,2011,sg_off_tee
78,78,Ernie Els,71,0.121,7.133,59,2011,sg_off_tee
79,79,Brendan Steele,89,0.118,9.099,77,2011,sg_off_tee
80,80,Tag Ridings,87,0.114,8.429,74,2011,sg_off_tee
81,81,Carl Pettersson,95,0.113,10.142,90,2011,sg_off_tee
82,82,Kevin Stadler,88,0.109,7.972,73,2011,sg_off_tee
T83,T83,Briny Baird,60,0.101,4.946,49,2011,sg_off_tee
T83,T83,Ben Crane,76,0.101,6.277,62,2011,sg_off_tee
85,85,Spencer Levin,113,0.097,9.085,94,2011,sg_off_tee
86,86,Chad Campbell,99,0.082,7.139,87,2011,sg_off_tee
87,87,Tom Gillis,55,0.076,3.812,50,2011,sg_off_tee
88,88,Ben Martin,74,0.073,4.743,65,2011,sg_off_tee
89,89,Zack Miller,86,0.057,4.246,75,2011,sg_off_tee
90,90,Steve Stricker,70,0.047,2.507,53,2011,sg_off_tee
91,91,D.A. Points,89,0.044,3.226,74,2011,sg_off_tee
92,92,Luke Donald,73,0.04,2.092,52,2011,sg_off_tee
T93,T93,Robert Karlsson,61,0.038,1.689,45,2011,sg_off_tee
T93,T93,Jerry Kelly,85,0.038,2.602,68,2011,sg_off_tee
95,95,Joseph Bramlett,73,0.03,1.803,61,2011,sg_off_tee
96,96,Michael Putnam,67,0.02,1.066,53,2011,sg_off_tee
97,97,Geoff Ogilvy,69,0.017,0.926,54,2011,sg_off_tee
98,98,Nick O'Hern,89,0.013,0.957,76,2011,sg_off_tee
99,99,Zach Johnson,79,0.012,0.739,64,2011,sg_off_tee
100,100,Mark Wilson,89,0.007,0.489,70,2011,sg_off_tee
101,101,Steve Elkington,50,-0.004,-0.176,42,2011,sg_off_tee
102,102,Roland Thatcher,67,-0.007,-0.427,61,2011,sg_off_tee
103,103,Ricky Barnes,78,-0.011,-0.72,64,2011,sg_off_tee
104,104,Hunter Haas,96,-0.015,-1.238,85,2011,sg_off_tee
T105,T105,Jim Furyk,87,-0.017,-1.177,70,2011,sg_off_tee
T105,T105,Freddie Jacobson,92,-0.017,-1.165,70,2011,sg_off_tee
107,107,J.P. Hayes,56,-0.035,-1.686,48,2011,sg_off_tee
108,108,William McGirt,103,-0.039,-3.547,92,2011,sg_off_tee
109,109,Jonathan Byrd,83,-0.041,-2.946,72,2011,sg_off_tee
110,110,Ben Curtis,66,-0.046,-2.824,62,2011,sg_off_tee
111,111,Stewart Cink,72,-0.055,-2.868,52,2011,sg_off_tee
T112,T112,Kent Jones,76,-0.059,-3.983,67,2011,sg_off_tee
T112,T112,Johnson Wagner,81,-0.059,-4.108,70,2011,sg_off_tee
T114,T114,Ryan Palmer,82,-0.06,-3.628,60,2011,sg_off_tee
T114,T114,Chris Stroud,88,-0.06,-4.656,78,2011,sg_off_tee
116,116,Brendon de Jonge,105,-0.065,-5.981,92,2011,sg_off_tee
117,117,Garrett Willis,71,-0.066,-4.2,64,2011,sg_off_tee
118,118,K.J. Choi,77,-0.07,-4.035,58,2011,sg_off_tee
119,119,Scott Gutschewski,67,-0.072,-3.974,55,2011,sg_off_tee
120,120,Marc Turnesa,54,-0.077,-3.554,46,2011,sg_off_tee
121,121,Kris Blanks,92,-0.078,-6.512,83,2011,sg_off_tee
122,122,Chris Riley,76,-0.087,-5.947,68,2011,sg_off_tee
123,123,David Mathis,83,-0.091,-6.349,70,2011,sg_off_tee
124,124,Jason Bohn,74,-0.103,-6.917,67,2011,sg_off_tee
125,125,Marc Leishman,87,-0.116,-9.246,80,2011,sg_off_tee
126,126,Chris Kirk,87,-0.118,-9.088,77,2011,sg_off_tee
127,127,Sean O'Hair,71,-0.122,-7.306,60,2011,sg_off_tee
T128,T128,Tim Herron,85,-0.125,-9.647,77,2011,sg_off_tee
T128,T128,Camilo Villegas,69,-0.125,-7.143,57,2011,sg_off_tee
130,130,Stephen Ames,69,-0.131,-7.867,60,2011,sg_off_tee
131,131,Charlie Wi,83,-0.133,-10.214,77,2011,sg_off_tee
132,132,Matt Jones,71,-0.135,-8.667,64,2011,sg_off_tee
133,133,Alex Cejka,59,-0.145,-6.813,47,2011,sg_off_tee
134,134,Woody Austin,59,-0.149,-7.466,50,2011,sg_off_tee
135,135,Rich Beem,53,-0.152,-7.007,46,2011,sg_off_tee
136,136,Jarrod Lyle,83,-0.175,-12.61,72,2011,sg_off_tee
137,137,Aron Price,58,-0.176,-8.639,49,2011,sg_off_tee
138,138,Troy Merritt,63,-0.181,-10.308,57,2011,sg_off_tee
139,139,Alexandre Rocha,65,-0.184,-9.018,49,2011,sg_off_tee
140,140,Fabián Gómez,84,-0.186,-12.867,69,2011,sg_off_tee
141,141,Retief Goosen,50,-0.204,-8.164,40,2011,sg_off_tee
142,142,Ryuji Imada,83,-0.211,-16.048,76,2011,sg_off_tee
143,143,Colt Knost,80,-0.229,-15.336,67,2011,sg_off_tee
T144,T144,James Driscoll,71,-0.243,-14.823,61,2011,sg_off_tee
T144,T144,David Duval,67,-0.243,-14.098,58,2011,sg_off_tee
146,146,Shane Bertsch,62,-0.245,-12.746,52,2011,sg_off_tee
147,147,Kevin Kisner,70,-0.247,-14.066,57,2011,sg_off_tee
148,148,Rocco Mediate,53,-0.248,-11.891,48,2011,sg_off_tee
149,149,Justin Leonard,82,-0.257,-19.016,74,2011,sg_off_tee
T150,T150,Matt Bettencourt,84,-0.267,-20.59,77,2011,sg_off_tee
T150,T150,Will Strickler,51,-0.267,-11.463,43,2011,sg_off_tee
152,152,Joe Ogilvie,75,-0.271,-16.52,61,2011,sg_off_tee
153,153,Paul Goydos,81,-0.276,-20.422,74,2011,sg_off_tee
154,154,Jimmy Walker,79,-0.285,-21.665,76,2011,sg_off_tee
155,155,Vaughn Taylor,89,-0.294,-24.424,83,2011,sg_off_tee
156,156,Trevor Immelman,84,-0.299,-20.046,67,2011,sg_off_tee
157,157,Chris DiMarco,93,-0.313,-25.674,82,2011,sg_off_tee
158,158,Tim Petrovic,88,-0.316,-24.34,77,2011,sg_off_tee
159,159,Bryce Molder,82,-0.325,-23.048,71,2011,sg_off_tee
160,160,Martin Piller,63,-0.326,-16.939,52,2011,sg_off_tee
161,161,Michael Thompson,79,-0.335,-23.087,69,2011,sg_off_tee
162,162,Ian Poulter,52,-0.354,-13.799,39,2011,sg_off_tee
163,163,Brian Gay,90,-0.36,-26.673,74,2011,sg_off_tee
164,164,Matt McQuillan,59,-0.363,-17.412,48,2011,sg_off_tee
165,165,Nathan Green,81,-0.367,-25.693,70,2011,sg_off_tee
166,166,Padraig Harrington,60,-0.392,-17.644,45,2011,sg_off_tee
167,167,Michael Connell,76,-0.393,-28.295,72,2011,sg_off_tee
168,168,Lee Janzen,62,-0.401,-20.037,50,2011,sg_off_tee
169,169,Greg Chalmers,88,-0.411,-32.434,79,2011,sg_off_tee
170,170,Cameron Beckman,71,-0.423,-27.083,64,2011,sg_off_tee
171,171,Anthony Kim,72,-0.455,-26.412,58,2011,sg_off_tee
172,172,Steve Flesch,88,-0.46,-35.917,78,2011,sg_off_tee
173,173,Stuart Appleby,65,-0.461,-27.668,60,2011,sg_off_tee
174,174,Andres Gonzales,60,-0.473,-21.775,46,2011,sg_off_tee
175,175,Paul Stankowski,78,-0.529,-34.411,65,2011,sg_off_tee
176,176,Bio Kim,71,-0.563,-32.68,58,2011,sg_off_tee
177,177,Michael Bradley,74,-0.572,-33.756,59,2011,sg_off_tee
178,178,D.J. Brigman,67,-0.606,-33.34,55,2011,sg_off_tee
179,179,Shaun Micheel,77,-0.64,-41.602,65,2011,sg_off_tee
180,180,Richard Johnson,64,-0.689,-37.212,54,2011,sg_off_tee
181,181,Derek Lamely,65,-0.7,-40.583,58,2011,sg_off_tee
182,182,Arjun Atwal,91,-0.705,-58.505,83,2011,sg_off_tee
183,183,Daniel Summerhays,75,-0.719,-47.476,66,2011,sg_off_tee
184,184,Kevin Na,84,-0.757,-51.496,68,2011,sg_off_tee
185,185,Dean Wilson,62,-0.863,-49.19,57,2011,sg_off_tee
186,186,Nate Smith,66,-0.882,-46.744,53,2011,sg_off_tee
