RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS,year,measure
1,1,Dustin Johnson,77,1.862,1.071,0.67,0.121,59,2017,sg_tee_to_green
2,2,Jordan Spieth,85,1.646,0.321,0.896,0.429,68,2017,sg_tee_to_green
3,3,Hideki Matsuyama,83,1.613,0.508,0.758,0.346,59,2017,sg_tee_to_green
4,4,Jon Rahm,90,1.522,0.949,0.515,0.057,66,2017,sg_tee_to_green
5,5,Justin Thomas,86,1.479,0.452,0.738,0.289,65,2017,sg_tee_to_green
6,6,Francesco Molinari,75,1.453,0.483,0.842,0.128,59,2017,sg_tee_to_green
7,7,Paul Casey,94,1.41,0.349,0.939,0.122,71,2017,sg_tee_to_green
8,8,Rory McIlroy,51,1.382,0.965,0.322,0.095,36,2017,sg_tee_to_green
9,9,Sergio Garcia,65,1.356,0.795,0.378,0.182,46,2017,sg_tee_to_green
10,10,Justin Rose,66,1.295,0.559,0.363,0.373,53,2017,sg_tee_to_green
11,11,Tony Finau,106,1.28,0.826,0.39,0.065,91,2017,sg_tee_to_green
12,12,Kyle Stanley,104,1.259,0.659,0.562,0.038,94,2017,sg_tee_to_green
13,13,Rickie Fowler,78,1.134,0.378,0.408,0.349,63,2017,sg_tee_to_green
14,14,Luke List,102,1.117,0.6,0.443,0.074,86,2017,sg_tee_to_green
15,15,Patrick Cantlay,52,1.111,0.623,0.467,0.021,46,2017,sg_tee_to_green
16,16,Adam Scott,58,1.103,0.524,0.536,0.043,42,2017,sg_tee_to_green
17,17,Marc Leishman,94,1.066,0.319,0.41,0.337,73,2017,sg_tee_to_green
18,18,Gary Woodland,94,1.04,0.431,0.571,0.039,68,2017,sg_tee_to_green
19,19,Ryan Palmer,61,1.03,0.533,0.555,-0.058,49,2017,sg_tee_to_green
20,20,Byeong Hun An,77,0.964,0.524,0.369,0.071,57,2017,sg_tee_to_green
21,21,Lucas Glover,93,0.944,0.502,0.301,0.14,86,2017,sg_tee_to_green
22,22,Ian Poulter,72,0.911,-0.162,0.573,0.501,55,2017,sg_tee_to_green
23,23,Charley Hoffman,112,0.903,0.586,0.349,-0.031,93,2017,sg_tee_to_green
24,24,Webb Simpson,102,0.893,-0.036,0.503,0.426,84,2017,sg_tee_to_green
25,25,Brendan Steele,89,0.888,0.387,0.411,0.09,71,2017,sg_tee_to_green
26,26,Bill Haas,92,0.868,-0.047,0.399,0.516,72,2017,sg_tee_to_green
27,27,Kevin Chappell,95,0.841,0.442,0.294,0.106,72,2017,sg_tee_to_green
28,28,Matt Kuchar,95,0.84,0.158,0.253,0.43,77,2017,sg_tee_to_green
29,29,Bud Cauley,92,0.803,0.264,0.588,-0.05,82,2017,sg_tee_to_green
30,30,Keegan Bradley,104,0.769,0.625,0.139,0.004,91,2017,sg_tee_to_green
31,31,Daniel Berger,91,0.761,0.282,0.57,-0.09,69,2017,sg_tee_to_green
32,32,Jamie Lovemark,98,0.76,0.319,0.183,0.258,80,2017,sg_tee_to_green
33,33,Stewart Cink,93,0.725,-0.019,0.793,-0.05,81,2017,sg_tee_to_green
34,34,Phil Mickelson,85,0.711,-0.058,0.553,0.216,69,2017,sg_tee_to_green
35,35,Robert Garrigus,78,0.709,0.422,0.477,-0.19,60,2017,sg_tee_to_green
36,36,J.B. Holmes,83,0.708,0.533,0.039,0.137,61,2017,sg_tee_to_green
37,37,Louis Oosthuizen,69,0.705,0.301,0.215,0.189,51,2017,sg_tee_to_green
38,38,Chad Campbell,97,0.691,0.041,0.506,0.144,85,2017,sg_tee_to_green
39,39,Kevin Kisner,105,0.656,0.257,0.334,0.065,77,2017,sg_tee_to_green
40,40,Jason Dufner,89,0.654,0.268,0.519,-0.133,72,2017,sg_tee_to_green
41,41,Boo Weekley,75,0.63,0.634,0.425,-0.429,61,2017,sg_tee_to_green
42,42,Brooks Koepka,88,0.623,0.546,0.058,0.019,67,2017,sg_tee_to_green
43,43,Jason Day,71,0.58,0.311,-0.004,0.273,55,2017,sg_tee_to_green
44,44,Martin Laird,83,0.576,0.235,0.139,0.203,72,2017,sg_tee_to_green
45,45,Shane Lowry,52,0.536,0.582,0.231,-0.277,38,2017,sg_tee_to_green
46,46,Emiliano Grillo,90,0.532,0.368,0.281,-0.116,66,2017,sg_tee_to_green
47,47,Branden Grace,70,0.518,0.18,0.173,0.165,47,2017,sg_tee_to_green
48,48,Pat Perez,93,0.515,-0.147,0.222,0.44,73,2017,sg_tee_to_green
49,49,Kevin Na,86,0.513,-0.406,0.631,0.288,66,2017,sg_tee_to_green
50,50,Harold Varner III,101,0.511,0.262,0.33,-0.081,86,2017,sg_tee_to_green
T51,T51,Russell Henley,99,0.506,0.31,0.196,0,86,2017,sg_tee_to_green
T51,T51,Brandt Snedeker,53,0.506,-0.311,0.503,0.314,42,2017,sg_tee_to_green
T51,T51,Jhonattan Vegas,95,0.506,0.394,0.172,-0.06,71,2017,sg_tee_to_green
54,54,Charl Schwartzel,63,0.504,-0.023,0.399,0.127,48,2017,sg_tee_to_green
55,55,Jim Herman,77,0.495,0.422,0.143,-0.07,66,2017,sg_tee_to_green
56,56,Rory Sabbatini,71,0.482,0.308,0.146,0.028,53,2017,sg_tee_to_green
57,57,Xander Schauffele,96,0.479,0.554,0.011,-0.086,74,2017,sg_tee_to_green
58,58,Graham DeLaet,82,0.477,0.486,0.427,-0.436,71,2017,sg_tee_to_green
59,59,Jason Kokrak,95,0.458,0.607,0.077,-0.226,83,2017,sg_tee_to_green
60,60,Kevin Streelman,90,0.45,0.292,0.197,-0.038,78,2017,sg_tee_to_green
61,61,Chez Reavie,98,0.423,0.121,0.375,-0.073,83,2017,sg_tee_to_green
62,62,Cameron Smith,86,0.418,-0.13,0.149,0.399,71,2017,sg_tee_to_green
63,63,Ollie Schniederjans,92,0.402,0.125,0.309,-0.032,81,2017,sg_tee_to_green
64,64,Patrick Reed,107,0.399,0.199,-0.049,0.25,84,2017,sg_tee_to_green
65,65,Bryson DeChambeau,91,0.383,0.42,-0.02,-0.016,73,2017,sg_tee_to_green
66,66,Seamus Power,86,0.364,-0.067,0.202,0.229,68,2017,sg_tee_to_green
67,67,Nick Taylor,97,0.342,0.168,0.053,0.121,83,2017,sg_tee_to_green
68,68,Scott Stallings,81,0.339,0.049,0.375,-0.084,68,2017,sg_tee_to_green
69,69,Sung Kang,104,0.325,0.255,0.251,-0.182,82,2017,sg_tee_to_green
70,70,Charles Howell III,86,0.32,0.016,0.223,0.081,68,2017,sg_tee_to_green
T71,T71,Ryan Moore,82,0.319,-0.006,0.498,-0.173,65,2017,sg_tee_to_green
T71,T71,Hudson Swafford,94,0.319,0.454,0.202,-0.337,76,2017,sg_tee_to_green
73,73,Nick Watney,75,0.284,-0.063,0.585,-0.238,64,2017,sg_tee_to_green
74,74,Bubba Watson,71,0.272,0.647,-0.175,-0.201,53,2017,sg_tee_to_green
75,75,Sean O'Hair,84,0.269,0.252,0.118,-0.101,70,2017,sg_tee_to_green
76,76,J.J. Henry,92,0.258,0.208,0.05,0,75,2017,sg_tee_to_green
77,77,Scott Piercy,70,0.251,0.19,0.311,-0.25,49,2017,sg_tee_to_green
78,78,James Hahn,96,0.223,0.177,0.016,0.03,81,2017,sg_tee_to_green
79,79,Zach Johnson,81,0.215,-0.005,-0.007,0.226,68,2017,sg_tee_to_green
80,80,Ben Martin,86,0.208,0.138,0.297,-0.227,70,2017,sg_tee_to_green
81,81,Brandon Hagy,85,0.184,0.459,-0.393,0.118,69,2017,sg_tee_to_green
82,82,Kevin Tway,96,0.172,0.288,-0.168,0.053,74,2017,sg_tee_to_green
83,83,Russell Knox,75,0.165,0.102,0.181,-0.119,54,2017,sg_tee_to_green
84,84,Anirban Lahiri,72,0.149,0.234,-0.143,0.059,59,2017,sg_tee_to_green
85,85,J.T. Poston,95,0.147,0.156,0.053,-0.062,73,2017,sg_tee_to_green
T86,T86,Brian Harman,104,0.146,0.015,-0.198,0.329,86,2017,sg_tee_to_green
T86,T86,Grayson Murray,94,0.146,0.353,-0.032,-0.176,85,2017,sg_tee_to_green
88,88,Adam Hadwin,98,0.143,0.003,0.183,-0.044,79,2017,sg_tee_to_green
89,89,Chris Stroud,67,0.139,-0.094,0.173,0.06,48,2017,sg_tee_to_green
90,90,Jimmy Walker,68,0.138,-0.258,0.518,-0.123,50,2017,sg_tee_to_green
91,91,Ryan Armour,63,0.136,0.02,0.121,-0.005,49,2017,sg_tee_to_green
92,92,Cameron Percy,71,0.123,-0.019,0.266,-0.123,55,2017,sg_tee_to_green
93,93,Matt Jones,64,0.108,0.073,-0.468,0.503,51,2017,sg_tee_to_green
94,94,Tyrone Van Aswegen,105,0.103,-0.067,0.084,0.085,80,2017,sg_tee_to_green
95,95,Danny Lee,93,0.078,0.037,0.304,-0.263,76,2017,sg_tee_to_green
96,96,Robert Streb,98,0.075,-0.159,-0.072,0.305,84,2017,sg_tee_to_green
97,97,D.A. Points,68,0.071,-0.436,0.421,0.087,58,2017,sg_tee_to_green
98,98,Trey Mullinax,88,0.063,0.427,-0.195,-0.169,70,2017,sg_tee_to_green
99,99,Retief Goosen,52,0.035,-0.001,0.009,0.027,41,2017,sg_tee_to_green
100,100,Michael Kim,94,0.017,-0.247,0.158,0.106,84,2017,sg_tee_to_green
101,101,Shawn Stefani,72,0.014,0.01,-0.119,0.122,60,2017,sg_tee_to_green
102,102,Andres Gonzales,73,-0.003,-0.104,-0.089,0.19,57,2017,sg_tee_to_green
103,103,David Lingmerth,79,-0.009,-0.032,0.054,-0.031,69,2017,sg_tee_to_green
104,104,Ryan Brehm,83,-0.023,0.137,-0.06,-0.099,65,2017,sg_tee_to_green
105,105,John Huh,92,-0.026,-0.049,-0.02,0.043,76,2017,sg_tee_to_green
106,106,Vaughn Taylor,90,-0.033,-0.001,0.135,-0.168,76,2017,sg_tee_to_green
107,107,Jim Furyk,54,-0.036,-0.491,0.492,-0.036,44,2017,sg_tee_to_green
108,108,Smylie Kaufman,76,-0.04,0.091,-0.059,-0.073,63,2017,sg_tee_to_green
109,109,David Hearn,93,-0.044,-0.175,0.016,0.115,71,2017,sg_tee_to_green
110,110,J.J. Spaun,92,-0.045,0.316,-0.122,-0.24,72,2017,sg_tee_to_green
111,111,Seung-Yul Noh,91,-0.058,-0.541,0.044,0.439,75,2017,sg_tee_to_green
T112,T112,Graeme McDowell,56,-0.062,0.085,-0.036,-0.111,50,2017,sg_tee_to_green
T112,T112,Daniel Summerhays,100,-0.062,-0.05,-0.062,0.051,82,2017,sg_tee_to_green
T112,T112,Tim Wilkinson,64,-0.062,-0.289,-0.31,0.538,46,2017,sg_tee_to_green
T115,T115,Ben Crane,86,-0.068,-0.15,-0.024,0.105,69,2017,sg_tee_to_green
T115,T115,Sam Saunders,76,-0.068,0.348,-0.136,-0.28,61,2017,sg_tee_to_green
117,117,William McGirt,89,-0.072,0.257,-0.193,-0.137,72,2017,sg_tee_to_green
118,118,C.T. Pan,88,-0.074,0.052,-0.092,-0.034,76,2017,sg_tee_to_green
119,119,Zac Blair,105,-0.078,-0.155,-0.141,0.218,81,2017,sg_tee_to_green
120,120,Billy Horschel,88,-0.08,0.224,0.02,-0.324,80,2017,sg_tee_to_green
121,121,Alex Cejka,85,-0.093,-0.02,-0.2,0.127,62,2017,sg_tee_to_green
122,122,Steven Alker,69,-0.103,-0.289,-0.212,0.398,51,2017,sg_tee_to_green
123,123,Roberto Castro,70,-0.114,-0.244,0.099,0.031,54,2017,sg_tee_to_green
