RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,year,measure
1,1,Jesper Parnevik,88,0.979,73.415,75,2007,sg_putting
2,2,Tiger Woods,63,0.712,30.626,43,2007,sg_putting
3,9,Tim Clark,66,0.695,36.839,53,2007,sg_putting
4,4,Freddie Jacobson,70,0.66,44.863,68,2007,sg_putting
5,3,Zach Johnson,76,0.659,39.541,60,2007,sg_putting
6,5,Aaron Baddeley,83,0.629,41.504,66,2007,sg_putting
7,7,Dean Wilson,92,0.619,46.427,75,2007,sg_putting
8,6,Bob Estes,88,0.616,49.251,80,2007,sg_putting
9,10,Tag Ridings,52,0.605,27.232,45,2007,sg_putting
10,11,Rory Sabbatini,81,0.549,34.615,63,2007,sg_putting
11,8,Chris Tidland,59,0.547,27.907,51,2007,sg_putting
12,12,K.J. Choi,87,0.518,35.22,68,2007,sg_putting
13,13,Brandt Snedeker,105,0.511,43.946,86,2007,sg_putting
14,14,George McNeill,95,0.487,38.921,80,2007,sg_putting
15,15,Craig Lile,77,0.484,33.398,69,2007,sg_putting
16,16,José María Olazábal,52,0.481,17.793,37,2007,sg_putting
17,17,Ryuji Imada,104,0.474,42.211,89,2007,sg_putting
18,19,Luke Donald,69,0.438,21.877,50,2007,sg_putting
19,18,Rich Barcelo,80,0.435,30.483,70,2007,sg_putting
20,21,Parker McLachlin,83,0.419,30.617,73,2007,sg_putting
21,24,Charlie Wi,90,0.416,34.512,83,2007,sg_putting
22,20,Stewart Cink,91,0.412,29.635,72,2007,sg_putting
23,23,Shigeki Maruyama,84,0.396,31.642,80,2007,sg_putting
24,27,Brian Gay,107,0.384,37.257,97,2007,sg_putting
25,26,Paul Goydos,60,0.37,17.396,47,2007,sg_putting
26,28,Arron Oberholser,69,0.362,19.204,53,2007,sg_putting
27,29,Joe Ogilvie,102,0.351,30.578,87,2007,sg_putting
28,25,Kevin Na,84,0.348,27.148,78,2007,sg_putting
29,22,Gavin Coles,87,0.34,26.177,77,2007,sg_putting
30,30,Charles Howell III,89,0.338,22.322,66,2007,sg_putting
T31,32,Steve Elkington,87,0.324,23.685,73,2007,sg_putting
T31,31,Tom Pernice Jr.,104,0.324,27.22,84,2007,sg_putting
33,33,Steve Stricker,81,0.322,20.937,65,2007,sg_putting
34,34,Corey Pavin,81,0.309,21.915,71,2007,sg_putting
35,T40,Dicky Pride,71,0.307,18.742,61,2007,sg_putting
36,36,Henrik Stenson,52,0.3,10.782,36,2007,sg_putting
37,57,Michael Sim,52,0.298,14.908,50,2007,sg_putting
38,38,Jonathan Byrd,73,0.296,18.372,62,2007,sg_putting
39,37,Tim Petrovic,106,0.29,27.579,95,2007,sg_putting
40,39,Chris Riley,59,0.281,14.355,51,2007,sg_putting
41,T40,David Toms,80,0.278,17.506,63,2007,sg_putting
42,42,Sergio Garcia,68,0.269,14.787,55,2007,sg_putting
43,43,Fred Funk,65,0.265,14.018,53,2007,sg_putting
44,T44,Padraig Harrington,64,0.26,11.968,46,2007,sg_putting
45,46,Steve Allan,63,0.259,14.243,55,2007,sg_putting
46,35,Craig Bowden,78,0.255,17.071,67,2007,sg_putting
47,51,Stephen Ames,81,0.251,15.549,62,2007,sg_putting
48,48,Nathan Green,103,0.241,20.938,87,2007,sg_putting
49,50,Richard Johnson,93,0.24,20.162,84,2007,sg_putting
50,54,Vaughn Taylor,91,0.237,17.075,72,2007,sg_putting
51,49,Carl Pettersson,111,0.232,21.381,92,2007,sg_putting
52,47,Frank Lickliter II,95,0.227,19.332,85,2007,sg_putting
53,63,Daniel Chopra,106,0.222,21.12,95,2007,sg_putting
54,T59,Bob Heintz,85,0.221,15.929,72,2007,sg_putting
55,62,Heath Slocum,101,0.22,20.491,93,2007,sg_putting
56,52,Stephen Leaney,82,0.219,16.207,74,2007,sg_putting
57,53,Hunter Mahan,91,0.213,15.347,72,2007,sg_putting
58,56,Mark Hensby,81,0.204,14.658,72,2007,sg_putting
59,T59,Bart Bryant,87,0.198,14.621,74,2007,sg_putting
60,94,Bryce Molder,56,0.186,9.118,49,2007,sg_putting
61,55,Sean O'Hair,98,0.18,14.974,83,2007,sg_putting
62,64,Troy Matteson,87,0.169,12.814,76,2007,sg_putting
T63,58,Andrew Buckle,77,0.161,10.806,67,2007,sg_putting
T63,82,Tripp Isenhour,86,0.161,11.754,73,2007,sg_putting
T65,T44,Bob Tway,103,0.16,14.064,88,2007,sg_putting
T65,66,Bo Van Pelt,104,0.16,15.54,97,2007,sg_putting
67,67,Phil Mickelson,73,0.156,8.119,52,2007,sg_putting
68,68,Charley Hoffman,97,0.153,12.698,83,2007,sg_putting
69,61,Jarrod Lyle,77,0.149,9.985,67,2007,sg_putting
70,71,Ryan Moore,92,0.133,9.962,75,2007,sg_putting
T71,74,Adam Scott,69,0.129,6.992,54,2007,sg_putting
T71,70,Ryan Armour,107,0.129,12.125,94,2007,sg_putting
73,80,Justin Leonard,95,0.124,10.158,82,2007,sg_putting
74,72,Lucas Glover,98,0.113,8.796,78,2007,sg_putting
75,79,John Rollins,102,0.104,8.757,84,2007,sg_putting
76,77,Marco Dawson,73,0.103,6.711,65,2007,sg_putting
77,65,Ryan Palmer,91,0.102,8.366,82,2007,sg_putting
T78,81,Jason Gore,86,0.1,7.79,78,2007,sg_putting
T78,75,Ken Duke,112,0.1,9.482,95,2007,sg_putting
80,78,Cliff Kresge,107,0.095,9.545,100,2007,sg_putting
81,85,Tim Herron,98,0.092,7.518,82,2007,sg_putting
T82,83,Jay Williamson,50,0.09,4.307,48,2007,sg_putting
T82,86,Pat Perez,84,0.09,5.879,65,2007,sg_putting
84,69,Bubba Watson,80,0.085,5.6,66,2007,sg_putting
T85,76,Michael Boyd,61,0.072,3.76,52,2007,sg_putting
T85,88,Geoff Ogilvy,84,0.072,4.635,64,2007,sg_putting
87,73,John Mallinger,96,0.068,5.938,87,2007,sg_putting
88,87,Jeff Quinney,95,0.067,5.737,86,2007,sg_putting
89,92,Brian Davis,101,0.065,5.743,88,2007,sg_putting
90,95,Glen Day,85,0.063,4.736,75,2007,sg_putting
91,89,Justin Rose,63,0.061,2.394,39,2007,sg_putting
92,T99,Jeff Overton,60,0.06,3.264,54,2007,sg_putting
93,84,Eric Axley,107,0.059,5.504,94,2007,sg_putting
94,91,Camilo Villegas,82,0.046,3.173,69,2007,sg_putting
95,102,Matt Kuchar,85,0.041,2.918,71,2007,sg_putting
96,93,Todd Hamilton,76,0.032,1.828,58,2007,sg_putting
97,90,Scott Gutschewski,67,0.03,1.74,58,2007,sg_putting
98,106,Rich Beem,89,0.027,1.869,70,2007,sg_putting
T99,T96,Mark Wilson,87,0.024,1.763,73,2007,sg_putting
T99,T96,J.J. Henry,86,0.024,1.616,68,2007,sg_putting
101,T110,Jason Schultz,63,0.022,1.153,53,2007,sg_putting
102,T99,Tommy Armour III,81,0.019,1.29,69,2007,sg_putting
103,98,Craig Kanada,109,0.012,1.165,94,2007,sg_putting
104,101,Rod Pampling,92,0.01,0.773,74,2007,sg_putting
105,T136,J.P. Hayes,89,-0.002,-0.135,80,2007,sg_putting
106,121,Mathias Grönberg,95,-0.004,-0.352,88,2007,sg_putting
107,107,Brett Quigley,79,-0.005,-0.34,63,2007,sg_putting
T108,114,Mathew Goggin,97,-0.018,-1.542,87,2007,sg_putting
T108,116,Doug LaBelle II,104,-0.018,-1.631,91,2007,sg_putting
T108,103,Bill Haas,93,-0.018,-1.48,82,2007,sg_putting
