RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,TOTAL,DISTANCE RANK,ACCURACY RANK,year,measure
1,1,Keegan Bradley,29,69,44,25,2017,total_driving
2,2,Kyle Stanley,29,79,66,13,2017,total_driving
3,5,Graham DeLaet,25,89,34,55,2017,total_driving
4,4,Lucas Glover,26,90,50,40,2017,total_driving
5,3,Rickie Fowler,21,93,41,52,2017,total_driving
6,T6,Rick Lamb,19,98,54,44,2017,total_driving
7,T6,Martin Laird,25,99,62,37,2017,total_driving
8,8,Shane Lowry,16,100,67,33,2017,total_driving
9,9,Francesco Molinari,21,104,98,6,2017,total_driving
10,T12,Sergio Garcia,17,105,30,75,2017,total_driving
T11,T12,Paul Casey,24,107,58,49,2017,total_driving
T11,10,Jim Herman,25,107,96,11,2017,total_driving
13,14,Brendan Steele,25,109,40,69,2017,total_driving
T14,15,Kevin Streelman,26,114,84,30,2017,total_driving
T14,11,Russell Henley,27,114,54,60,2017,total_driving
16,T16,Hudson Swafford,28,116,22,94,2017,total_driving
17,18,Boo Weekley,27,119,116,3,2017,total_driving
18,T16,Gary Woodland,26,128,13,115,2017,total_driving
19,T21,Patrick Cantlay,13,129,48,81,2017,total_driving
20,20,Emiliano Grillo,25,130,91,39,2017,total_driving
21,T21,Jason Kokrak,28,131,17,114,2017,total_driving
T22,19,Jason Dufner,24,132,78,54,2017,total_driving
T22,T21,Bubba Watson,22,132,20,112,2017,total_driving
24,T21,Sam Saunders,24,133,88,45,2017,total_driving
25,26,Xander Schauffele,28,134,16,118,2017,total_driving
T26,T27,Harold Varner III,31,139,29,110,2017,total_driving
T26,25,Kevin Kisner,28,139,120,19,2017,total_driving
28,T27,Jon Rahm,23,140,20,120,2017,total_driving
T29,T30,Richy Werenski,26,141,109,32,2017,total_driving
T29,T30,Billy Horschel,28,141,43,98,2017,total_driving
T31,T27,Kevin Chappell,27,142,23,119,2017,total_driving
T31,T30,Hunter Mahan,26,142,79,63,2017,total_driving
33,34,Dustin Johnson,20,145,2,143,2017,total_driving
T34,T35,Tony Finau,29,146,10,136,2017,total_driving
T34,T35,Russell Knox,24,146,126,20,2017,total_driving
T36,33,Hideki Matsuyama,22,147,26,121,2017,total_driving
T36,T38,Ryan Moore,24,147,130,17,2017,total_driving
T36,T35,Sean O'Hair,25,147,58,89,2017,total_driving
T39,T38,Robert Garrigus,26,148,37,111,2017,total_driving
T39,T38,Rory Sabbatini,23,148,105,43,2017,total_driving
41,41,J.J. Spaun,29,149,107,42,2017,total_driving
42,T42,Louis Oosthuizen,18,152,69,83,2017,total_driving
T43,T44,Chez Reavie,28,153,149,4,2017,total_driving
T43,T42,James Hahn,28,153,86,67,2017,total_driving
T43,T44,Julián Etulain,22,153,89,64,2017,total_driving
T46,T46,William McGirt,28,156,149,7,2017,total_driving
T46,T46,J.J. Henry,29,156,83,73,2017,total_driving
T48,T48,Tag Ridings,20,159,32,127,2017,total_driving
T48,T48,Ryan Palmer,20,159,27,132,2017,total_driving
T48,T48,Adam Scott,16,159,15,144,2017,total_driving
T48,T53,Ben Martin,27,159,103,56,2017,total_driving
52,T65,Justin Rose,18,160,35,125,2017,total_driving
T53,T53,Jamie Lovemark,28,161,24,137,2017,total_driving
T53,T56,Luke List,31,161,4,157,2017,total_driving
T53,T48,Brooks Koepka,24,161,7,154,2017,total_driving
T56,T58,Daniel Berger,26,162,62,100,2017,total_driving
T56,T58,Rory McIlroy,14,162,1,161,2017,total_driving
T56,T56,Zach Johnson,23,162,140,22,2017,total_driving
T59,60,Anirban Lahiri,22,164,61,103,2017,total_driving
T59,61,Grayson Murray,30,164,12,152,2017,total_driving
61,T48,Jhonattan Vegas,29,166,33,133,2017,total_driving
T62,T63,Matt Jones,20,168,28,140,2017,total_driving
T62,62,Bud Cauley,28,168,72,96,2017,total_driving
T64,T67,David Lingmerth,23,169,113,56,2017,total_driving
T64,T63,Bryson DeChambeau,31,169,45,124,2017,total_driving
T66,T74,Justin Thomas,25,170,8,162,2017,total_driving
T66,T67,Chad Campbell,29,170,147,23,2017,total_driving
T66,T67,Webb Simpson,28,170,142,28,2017,total_driving
T66,T70,Brett Stegmaier,27,170,124,46,2017,total_driving
70,T65,Charley Hoffman,31,171,49,122,2017,total_driving
71,T70,Adam Hadwin,28,173,108,65,2017,total_driving
72,T76,Scott Brown,29,174,121,53,2017,total_driving
T73,T74,Sung Kang,32,175,67,108,2017,total_driving
T73,73,Shawn Stefani,26,175,84,91,2017,total_driving
T73,80,Vaughn Taylor,26,175,161,14,2017,total_driving
T76,T76,Chris Stroud,22,176,141,35,2017,total_driving
T76,T76,Jordan Spieth,23,176,75,101,2017,total_driving
T76,T76,Trey Mullinax,28,176,9,167,2017,total_driving
79,T82,Ryan Armour,20,177,176,1,2017,total_driving
T80,T82,Scott Piercy,22,179,72,107,2017,total_driving
T80,72,Marc Leishman,25,179,50,129,2017,total_driving
T80,T86,Matt Kuchar,26,179,148,31,2017,total_driving
T80,81,Morgan Hoffmann,29,179,86,93,2017,total_driving
T80,85,Jonathan Randolph,22,179,132,47,2017,total_driving
85,84,Byeong Hun An,22,180,41,139,2017,total_driving
