RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,year,measure
91,T79,Rocco Mediate,53,0.03,1.434,48,2011,sg_around_green
92,98,Vaughn Taylor,89,0.028,2.292,83,2011,sg_around_green
93,94,Carl Pettersson,95,0.025,2.25,90,2011,sg_around_green
94,102,Jarrod Lyle,83,0.024,1.702,72,2011,sg_around_green
95,92,Michael Connell,76,0.023,1.675,72,2011,sg_around_green
96,T96,Cameron Tringale,110,0.022,2.105,97,2011,sg_around_green
97,100,Dustin Johnson,72,0.019,1.002,54,2011,sg_around_green
98,101,Nick Watney,80,0.018,1.088,62,2011,sg_around_green
99,99,D.J. Trahan,91,0.015,1.221,83,2011,sg_around_green
100,T96,Joseph Bramlett,73,0.013,0.806,61,2011,sg_around_green
T101,T89,Woody Austin,59,0.011,0.571,50,2011,sg_around_green
T101,81,Arjun Atwal,91,0.011,0.882,83,2011,sg_around_green
103,T104,Camilo Villegas,69,0.01,0.587,57,2011,sg_around_green
104,112,Steve Elkington,50,0.003,0.111,42,2011,sg_around_green
105,T104,John Rollins,85,0.002,0.11,72,2011,sg_around_green
T106,T107,Pat Perez,76,0.001,0.086,70,2011,sg_around_green
T106,T107,David Toms,78,0.001,0.029,59,2011,sg_around_green
108,109,Tom Gillis,55,-0.001,-0.052,50,2011,sg_around_green
109,103,Zack Miller,86,-0.012,-0.935,75,2011,sg_around_green
T110,T110,Rickie Fowler,84,-0.013,-0.839,66,2011,sg_around_green
T110,T110,Adam Scott,60,-0.013,-0.58,45,2011,sg_around_green
112,T116,David Mathis,83,-0.032,-2.251,70,2011,sg_around_green
113,T116,Kevin Chappell,78,-0.036,-2.182,61,2011,sg_around_green
114,115,Colt Knost,80,-0.037,-2.471,67,2011,sg_around_green
115,113,Y.E. Yang,63,-0.038,-1.605,42,2011,sg_around_green
116,129,Troy Merritt,63,-0.049,-2.768,57,2011,sg_around_green
117,118,Cameron Beckman,71,-0.057,-3.664,64,2011,sg_around_green
118,128,Davis Love III,70,-0.065,-3.405,52,2011,sg_around_green
119,119,Josh Teater,104,-0.068,-6.238,92,2011,sg_around_green
120,120,Ryan Moore,79,-0.071,-4.279,60,2011,sg_around_green
121,121,Steve Marino,76,-0.072,-4.458,62,2011,sg_around_green
122,127,Heath Slocum,89,-0.074,-5.474,74,2011,sg_around_green
123,126,Brian Davis,105,-0.079,-7.264,92,2011,sg_around_green
T124,114,John Merrick,71,-0.081,-4.848,60,2011,sg_around_green
T124,125,Keegan Bradley,91,-0.081,-6.256,77,2011,sg_around_green
126,123,D.J. Brigman,67,-0.083,-4.576,55,2011,sg_around_green
127,T138,J.J. Henry,96,-0.086,-6.779,79,2011,sg_around_green
T128,130,Andres Romero,77,-0.09,-6.087,68,2011,sg_around_green
T128,122,Kevin Kisner,70,-0.09,-5.141,57,2011,sg_around_green
T128,124,Jim Herman,69,-0.09,-5.147,57,2011,sg_around_green
131,132,Aron Price,58,-0.091,-4.434,49,2011,sg_around_green
132,136,J.P. Hayes,56,-0.111,-5.336,48,2011,sg_around_green
133,137,Harrison Frazar,58,-0.114,-4.8,42,2011,sg_around_green
134,T138,Lucas Glover,74,-0.116,-7.094,61,2011,sg_around_green
135,140,Jhonattan Vegas,84,-0.117,-8.2,70,2011,sg_around_green
136,T133,Bill Lunde,92,-0.126,-9.712,77,2011,sg_around_green
137,135,Brandt Jobe,100,-0.129,-10.417,81,2011,sg_around_green
138,145,Daniel Summerhays,75,-0.134,-8.876,66,2011,sg_around_green
T139,131,Richard Johnson,64,-0.137,-7.383,54,2011,sg_around_green
T139,151,Andres Gonzales,60,-0.137,-6.32,46,2011,sg_around_green
T139,142,Chad Campbell,99,-0.137,-11.923,87,2011,sg_around_green
T139,144,Kent Jones,76,-0.137,-9.21,67,2011,sg_around_green
143,141,Jason Bohn,74,-0.139,-9.293,67,2011,sg_around_green
144,T133,Paul Goydos,81,-0.142,-10.495,74,2011,sg_around_green
145,148,Garrett Willis,71,-0.144,-9.232,64,2011,sg_around_green
146,154,Fabián Gómez,84,-0.152,-10.494,69,2011,sg_around_green
T147,149,George McNeill,69,-0.153,-8.851,58,2011,sg_around_green
T147,143,Steven Bowditch,86,-0.153,-11.901,78,2011,sg_around_green
149,147,Kevin Streelman,90,-0.168,-11.942,71,2011,sg_around_green
150,158,Stephen Ames,69,-0.171,-10.271,60,2011,sg_around_green
151,152,Michael Putnam,67,-0.187,-9.913,53,2011,sg_around_green
152,156,Billy Horschel,75,-0.189,-11.698,62,2011,sg_around_green
153,150,Johnson Wagner,81,-0.192,-13.471,70,2011,sg_around_green
154,T163,Alexandre Rocha,65,-0.195,-9.553,49,2011,sg_around_green
155,155,J.B. Holmes,57,-0.202,-9.472,47,2011,sg_around_green
156,153,Chris Couch,73,-0.208,-14.167,68,2011,sg_around_green
157,160,Troy Matteson,91,-0.218,-17.697,81,2011,sg_around_green
T158,159,David Hearn,88,-0.234,-17.75,76,2011,sg_around_green
T158,157,Jim Renner,65,-0.234,-12.384,53,2011,sg_around_green
160,161,Jeff Overton,92,-0.241,-17.579,73,2011,sg_around_green
161,T167,Joe Durant,71,-0.246,-15.775,64,2011,sg_around_green
162,T163,Tag Ridings,87,-0.251,-18.593,74,2011,sg_around_green
163,162,Tommy Gainey,104,-0.254,-23.082,91,2011,sg_around_green
164,173,David Duval,67,-0.259,-15.005,58,2011,sg_around_green
165,170,Graeme McDowell,50,-0.265,-9.798,37,2011,sg_around_green
166,T167,Matt Bettencourt,84,-0.269,-20.718,77,2011,sg_around_green
167,171,Brendan Steele,89,-0.273,-21.046,77,2011,sg_around_green
168,177,Sung Kang,63,-0.274,-13.994,51,2011,sg_around_green
169,166,Rich Beem,53,-0.28,-12.857,46,2011,sg_around_green
170,172,John Senden,94,-0.283,-22.958,81,2011,sg_around_green
171,169,Kevin Stadler,88,-0.301,-21.986,73,2011,sg_around_green
172,174,Bubba Watson,85,-0.317,-18.68,59,2011,sg_around_green
173,165,Scott Piercy,78,-0.337,-21.215,63,2011,sg_around_green
174,175,Chez Reavie,92,-0.346,-28.374,82,2011,sg_around_green
175,176,Boo Weekley,66,-0.357,-20.343,57,2011,sg_around_green
176,,Will Strickler,51,-0.38,-16.347,43,2011,sg_around_green
177,179,Bobby Gates,82,-0.396,-26.499,67,2011,sg_around_green
178,181,Marc Turnesa,54,-0.416,-19.124,46,2011,sg_around_green
T179,180,Robert Garrigus,83,-0.419,-28.931,69,2011,sg_around_green
T179,178,Roland Thatcher,67,-0.419,-25.58,61,2011,sg_around_green
181,182,Ben Martin,74,-0.453,-29.45,65,2011,sg_around_green
182,185,Alex Prugh,82,-0.47,-33.402,71,2011,sg_around_green
183,183,Justin Hicks,60,-0.472,-20.751,44,2011,sg_around_green
184,184,Scott Stallings,84,-0.475,-32.742,69,2011,sg_around_green
185,186,Martin Piller,63,-0.623,-32.397,52,2011,sg_around_green
186,187,Ángel Cabrera,50,-0.679,-23.781,35,2011,sg_around_green
