RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,year,measure
78,78,Brett Quigley,102,65.82,"1,161","1,764",-0.26,2004,gir_pct
79,79,Tim Clark,84,65.81,995,"1,512",-0.26,2004,gir_pct
80,80,D.J. Brigman,79,65.79,900,"1,368",-0.23,2004,gir_pct
81,81,Steve Flesch,109,65.77,"1,243","1,890",-0.27,2004,gir_pct
82,82,Robert Gamez,103,65.75,"1,219","1,854",-0.27,2004,gir_pct
83,83,Ernie Els,62,65.61,685,"1,044",-0.32,2004,gir_pct
84,84,Adam Scott,55,65.6,614,936,-0.3,2004,gir_pct
85,85,Brent Geiberger,94,65.57,"1,074","1,638",-0.27,2004,gir_pct
T86,T86,Fred Funk,97,65.51,"1,132","1,728",-0.26,2004,gir_pct
T86,T86,Rocco Mediate,53,65.51,566,864,-0.24,2004,gir_pct
88,88,Ryan Palmer,103,65.5,"1,179","1,800",-0.28,2004,gir_pct
89,89,Jay Williamson,100,65.42,"1,154","1,764",-0.25,2004,gir_pct
90,90,Scott McCarron,88,65.37,"1,012","1,548",-0.28,2004,gir_pct
T91,T91,Dudley Hart,60,65.33,682,"1,044",-0.25,2004,gir_pct
T91,T91,Matt Kuchar,83,65.33,976,"1,494",-0.24,2004,gir_pct
93,93,Bernhard Langer,59,65.25,646,990,-0.24,2004,gir_pct
94,94,Harrison Frazar,86,65.24,963,"1,476",-0.32,2004,gir_pct
95,95,Mike Weir,75,65.14,856,"1,314",-0.28,2004,gir_pct
96,96,Tim Herron,84,65.13,973,"1,494",-0.25,2004,gir_pct
97,97,Stuart Appleby,84,65.1,914,"1,404",-0.28,2004,gir_pct
98,98,Tommy Armour III,87,65.07,"1,019","1,566",-0.24,2004,gir_pct
99,99,Steve Pate,71,65.06,808,"1,242",-0.24,2004,gir_pct
100,100,Rory Sabbatini,89,64.92,"1,005","1,548",-0.25,2004,gir_pct
101,101,Patrick Sheehan,113,64.91,"1,297","1,998",-0.27,2004,gir_pct
102,102,Spike McRoy,93,64.9,"1,063","1,638",-0.22,2004,gir_pct
103,103,Mark Calcavecchia,79,64.89,911,"1,404",-0.27,2004,gir_pct
104,104,Stephen Leaney,84,64.81,875,"1,350",-0.22,2004,gir_pct
105,105,Frank Lickliter II,89,64.79,"1,003","1,548",-0.28,2004,gir_pct
106,106,Bob Tway,90,64.77,991,"1,530",-0.23,2004,gir_pct
107,107,Kevin Na,100,64.7,"1,118","1,728",-0.25,2004,gir_pct
T108,T108,Shigeki Maruyama,93,64.55,"1,069","1,656",-0.29,2004,gir_pct
T108,T108,Carl Pettersson,100,64.55,"1,127","1,746",-0.31,2004,gir_pct
110,110,Jay Delsing,76,64.54,848,"1,314",-0.25,2004,gir_pct
111,111,Richard Johnson,102,64.49,"1,184","1,836",-0.27,2004,gir_pct
112,112,Rich Barcelo,67,64.44,754,"1,170",-0.23,2004,gir_pct
113,113,Freddie Jacobson,83,64.38,927,"1,440",-0.3,2004,gir_pct
114,114,Billy Andrade,104,64.37,"1,205","1,872",-0.26,2004,gir_pct
115,115,Michael Allen,87,64.25,983,"1,530",-0.28,2004,gir_pct
T116,T116,Davis Love III,85,64.22,867,"1,350",-0.29,2004,gir_pct
T116,T116,Tag Ridings,53,64.22,578,900,-0.29,2004,gir_pct
118,118,Ben Crane,92,64.19,"1,063","1,656",-0.29,2004,gir_pct
119,119,Bob Estes,73,64.16,820,"1,278",-0.27,2004,gir_pct
120,120,Darren Clarke,54,64,553,864,-0.3,2004,gir_pct
121,121,David Peoples,82,63.96,921,"1,440",-0.25,2004,gir_pct
122,122,Daniel Chopra,108,63.94,"1,220","1,908",-0.3,2004,gir_pct
123,123,Steve Lowery,91,63.92,"1,024","1,602",-0.28,2004,gir_pct
124,124,Todd Fischer,104,63.89,"1,173","1,836",-0.26,2004,gir_pct
125,125,Danny Ellis,81,63.85,885,"1,386",-0.28,2004,gir_pct
126,126,Robert Damron,92,63.83,"1,057","1,656",-0.24,2004,gir_pct
127,127,Alex Cejka,76,63.81,804,"1,260",-0.25,2004,gir_pct
128,128,David Frost,78,63.75,895,"1,404",-0.22,2004,gir_pct
129,129,Rich Beem,81,63.71,883,"1,386",-0.24,2004,gir_pct
T130,T130,Tom Byrum,83,63.65,951,"1,494",-0.25,2004,gir_pct
T130,T130,Hunter Mahan,94,63.65,"1,077","1,692",-0.27,2004,gir_pct
132,132,Grant Waite,79,63.64,882,"1,386",-0.24,2004,gir_pct
133,133,J.P. Hayes,79,63.63,859,"1,350",-0.25,2004,gir_pct
134,134,Blaine McCallister,68,63.56,778,"1,224",-0.22,2004,gir_pct
135,135,Kevin Sutherland,86,63.51,926,"1,458",-0.24,2004,gir_pct
136,136,Tim Petrovic,111,63.45,"1,222","1,926",-0.26,2004,gir_pct
137,137,Deane Pappas,72,63.41,799,"1,260",-0.27,2004,gir_pct
138,138,Ben Curtis,56,63.35,593,936,-0.21,2004,gir_pct
139,139,Tripp Isenhour,55,63.31,604,954,-0.24,2004,gir_pct
140,140,José Coceres,68,63.28,729,"1,152",-0.27,2004,gir_pct
141,141,Mark Hensby,97,63.26,"1,059","1,674",-0.3,2004,gir_pct
142,142,Matt Gogel,86,63.23,956,"1,512",-0.28,2004,gir_pct
143,143,Roger Tambellini,81,63.18,887,"1,404",-0.25,2004,gir_pct
144,144,Mathias Grönberg,91,63.15,989,"1,566",-0.24,2004,gir_pct
145,145,Joe Ogilvie,104,63.07,"1,158","1,836",-0.28,2004,gir_pct
146,146,Dan Forsman,79,63.06,874,"1,386",-0.22,2004,gir_pct
T147,T147,Paul Azinger,75,63.04,851,"1,350",-0.3,2004,gir_pct
T147,T147,Craig Perks,75,63.04,817,"1,296",-0.23,2004,gir_pct
149,149,Andre Stolz,53,63,601,954,-0.25,2004,gir_pct
150,150,Dennis Paulson,71,62.99,805,"1,278",-0.28,2004,gir_pct
151,151,Brenden Pappas,111,62.96,"1,224","1,944",-0.29,2004,gir_pct
152,152,Craig Bowden,83,62.92,940,"1,494",-0.24,2004,gir_pct
T153,T153,Tom Carter,113,62.88,"1,245","1,980",-0.25,2004,gir_pct
T153,T153,Peter Lonard,68,62.88,747,"1,188",-0.21,2004,gir_pct
155,155,Hank Kuehne,91,62.86,"1,007","1,602",-0.29,2004,gir_pct
156,156,Mike Heinen,53,62.79,599,954,-0.28,2004,gir_pct
157,157,Todd Hamilton,92,62.69,993,"1,584",-0.25,2004,gir_pct
158,158,Skip Kendall,99,62.68,"1,117","1,782",-0.25,2004,gir_pct
159,159,Scott Hend,81,62.66,891,"1,422",-0.27,2004,gir_pct
T160,T160,Dicky Pride,66,62.61,710,"1,134",-0.2,2004,gir_pct
T160,T160,Omar Uresti,85,62.61,958,"1,530",-0.22,2004,gir_pct
162,162,John Rollins,90,62.55,957,"1,530",-0.26,2004,gir_pct
163,163,Arjun Atwal,85,62.52,934,"1,494",-0.27,2004,gir_pct
164,164,José María Olazábal,56,62.5,585,936,-0.27,2004,gir_pct
165,165,Chris Riley,78,62.46,832,"1,332",-0.25,2004,gir_pct
166,166,Mark O'Meara,58,62.45,652,"1,044",-0.25,2004,gir_pct
167,167,Bob Burns,88,62.27,964,"1,548",-0.25,2004,gir_pct
168,168,Corey Pavin,83,62.1,883,"1,422",-0.27,2004,gir_pct
169,169,Scott Simpson,55,62.02,614,990,-0.22,2004,gir_pct
170,170,Brian Kortan,65,62.01,692,"1,116",-0.2,2004,gir_pct
171,171,Gene Sauers,83,62,904,"1,458",-0.25,2004,gir_pct
172,172,Kris Cox,73,61.97,792,"1,278",-0.24,2004,gir_pct
173,173,Dean Wilson,99,61.95,"1,104","1,782",-0.29,2004,gir_pct
174,174,Ken Duke,89,61.88,969,"1,566",-0.25,2004,gir_pct
175,175,Tommy Tolles,67,61.86,746,"1,206",-0.27,2004,gir_pct
176,176,Glen Day,101,61.78,"1,101","1,782",-0.28,2004,gir_pct
177,177,Brian Gay,96,61.52,"1,041","1,692",-0.29,2004,gir_pct
178,178,Dan Olsen,75,61.49,808,"1,314",-0.28,2004,gir_pct
179,179,Niclas Fasth,61,61.48,664,"1,080",-0.23,2004,gir_pct
180,180,Jonathan Byrd,85,61.38,917,"1,494",-0.29,2004,gir_pct
181,181,Brad Faxon,94,61.36,983,"1,602",-0.27,2004,gir_pct
182,182,Guy Boros,64,61.28,706,"1,152",-0.23,2004,gir_pct
183,183,Chris Couch,55,60.81,602,990,-0.29,2004,gir_pct
184,184,Craig Parry,52,60.67,546,900,-0.23,2004,gir_pct
185,185,Greg Chalmers,70,60.56,763,"1,260",-0.32,2004,gir_pct
186,186,Cliff Kresge,89,60.54,948,"1,566",-0.23,2004,gir_pct
187,187,Hirofumi Miyase,65,60.41,685,"1,134",-0.21,2004,gir_pct
T188,T188,David Morland IV,73,60.12,790,"1,314",-0.24,2004,gir_pct
T188,T188,Esteban Toledo,92,60.12,974,"1,620",-0.23,2004,gir_pct
190,190,Mark Brooks,72,59.84,754,"1,260",-0.23,2004,gir_pct
191,191,Steve Stricker,81,59.33,833,"1,404",-0.29,2004,gir_pct
T192,T192,Len Mattiace,75,59.11,798,"1,350",-0.23,2004,gir_pct
T192,T192,Kevin Muncrief,50,59.11,532,900,-0.23,2004,gir_pct
T192,T192,Nick Price,51,59.11,532,900,-0.28,2004,gir_pct
195,195,Aaron Baddeley,87,58.17,890,"1,530",-0.28,2004,gir_pct
196,196,David Gossett,57,54.68,561,"1,026",-0.17,2004,gir_pct
