RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure
1,NA,Rory McIlroy,51,316.7,"26,600",84,2017,avg_driv_dist
2,NA,Dustin Johnson,77,314.4,"40,241",128,2017,avg_driv_dist
3,NA,Brandon Hagy,85,312.7,"48,162",154,2017,avg_driv_dist
4,NA,Luke List,102,311.5,"61,046",196,2017,avg_driv_dist
5,NA,Andrew Loupe,55,311.3,"32,371",104,2017,avg_driv_dist
T6,NA,Ryan Brehm,83,310.5,"45,340",146,2017,avg_driv_dist
T6,NA,Brooks Koepka,88,310.5,"44,717",144,2017,avg_driv_dist
8,NA,Justin Thomas,86,309.3,"41,451",134,2017,avg_driv_dist
T9,NA,Tony Finau,106,309.2,"61,842",200,2017,avg_driv_dist
T9,NA,Kevin Tway,96,309.2,"54,421",176,2017,avg_driv_dist
11,NA,Trey Mullinax,88,308.8,"48,176",156,2017,avg_driv_dist
12,NA,Grayson Murray,94,308.2,"55,483",180,2017,avg_driv_dist
13,NA,Gary Woodland,94,306.9,"47,268",154,2017,avg_driv_dist
14,NA,J.B. Holmes,83,306.4,"41,674",136,2017,avg_driv_dist
T15,NA,Jason Day,71,306.3,"39,203",128,2017,avg_driv_dist
T15,NA,Patrick Rodgers,76,306.3,"42,884",140,2017,avg_driv_dist
T15,NA,Xander Schauffele,96,306.3,"53,916",176,2017,avg_driv_dist
18,NA,Adam Scott,58,306.1,"29,390",96,2017,avg_driv_dist
19,NA,Jon Rahm,90,305.8,"49,536",162,2017,avg_driv_dist
20,NA,Jason Kokrak,95,305.7,"53,184",174,2017,avg_driv_dist
21,NA,Bubba Watson,71,305.6,"34,840",114,2017,avg_driv_dist
22,NA,Hudson Swafford,94,305.1,"52,477",172,2017,avg_driv_dist
23,NA,Smylie Kaufman,76,304.8,"40,842",134,2017,avg_driv_dist
24,NA,Kevin Chappell,95,304.7,"47,539",156,2017,avg_driv_dist
25,NA,Jamie Lovemark,98,304.5,"53,596",176,2017,avg_driv_dist
26,NA,Ryan Palmer,61,303.1,"30,917",102,2017,avg_driv_dist
27,NA,Hideki Matsuyama,83,302.9,"38,776",128,2017,avg_driv_dist
28,NA,Matt Jones,64,302.6,"33,891",112,2017,avg_driv_dist
29,NA,Harold Varner III,101,302.4,"57,462",190,2017,avg_driv_dist
30,NA,Tag Ridings,67,301.6,"35,583",118,2017,avg_driv_dist
31,NA,Harris English,84,301.2,"43,379",144,2017,avg_driv_dist
32,NA,Graham DeLaet,82,301.1,"45,769",152,2017,avg_driv_dist
T33,NA,Sergio Garcia,65,300.9,"30,093",100,2017,avg_driv_dist
T33,NA,Nick Watney,75,300.9,"41,521",138,2017,avg_driv_dist
35,NA,Jhonattan Vegas,95,300.8,"48,126",160,2017,avg_driv_dist
T36,NA,Robert Garrigus,78,300.7,"43,307",144,2017,avg_driv_dist
T36,NA,Ollie Schniederjans,92,300.7,"52,321",174,2017,avg_driv_dist
38,NA,Martin Flores,88,300.6,"48,705",162,2017,avg_driv_dist
39,NA,Rickie Fowler,78,300.5,"40,863",136,2017,avg_driv_dist
40,NA,Justin Rose,66,300.4,"37,254",124,2017,avg_driv_dist
T41,NA,Byeong Hun An,77,299.9,"37,193",124,2017,avg_driv_dist
T41,NA,Brendan Steele,89,299.9,"45,580",152,2017,avg_driv_dist
43,NA,Billy Horschel,88,299.5,"50,323",168,2017,avg_driv_dist
44,NA,Keegan Bradley,104,299.4,"56,296",188,2017,avg_driv_dist
45,NA,Andres Gonzales,73,299.2,"41,289",138,2017,avg_driv_dist
46,NA,Bryson DeChambeau,91,299.1,"52,050",174,2017,avg_driv_dist
47,NA,Patrick Cantlay,52,298.9,"28,699",96,2017,avg_driv_dist
48,NA,Seung-Yul Noh,91,298.5,"51,943",174,2017,avg_driv_dist
49,NA,Charl Schwartzel,63,298.4,"32,224",108,2017,avg_driv_dist
50,NA,Charley Hoffman,112,298.3,"62,053",208,2017,avg_driv_dist
T51,NA,Lucas Glover,93,298.1,"52,463",176,2017,avg_driv_dist
T51,NA,Marc Leishman,94,298.1,"48,882",164,2017,avg_driv_dist
T51,NA,Seamus Power,86,298.1,"47,702",160,2017,avg_driv_dist
54,NA,Rick Lamb,54,298,"29,798",100,2017,avg_driv_dist
55,NA,Matt Every,76,297.7,"41,672",140,2017,avg_driv_dist
T56,NA,Russell Henley,99,297.6,"55,357",186,2017,avg_driv_dist
T56,NA,Scott Stallings,81,297.6,"45,832",154,2017,avg_driv_dist
T58,NA,Cody Gribble,79,297.2,"45,770",154,2017,avg_driv_dist
T58,NA,Sean O'Hair,84,297.2,"46,361",156,2017,avg_driv_dist
T60,NA,Paul Casey,94,297,"46,325",156,2017,avg_driv_dist
T60,NA,Anirban Lahiri,72,297,"40,391",136,2017,avg_driv_dist
62,NA,Charles Howell III,86,296.9,"46,318",156,2017,avg_driv_dist
T63,NA,Daniel Berger,91,296.5,"45,063",152,2017,avg_driv_dist
T63,NA,Kyle Stanley,104,296.5,"59,304",200,2017,avg_driv_dist
65,NA,Sung Kang,104,296.4,"58,094",196,2017,avg_driv_dist
66,NA,Martin Laird,83,296.1,"46,784",158,2017,avg_driv_dist
T67,NA,Brian Campbell,55,296,"30,188",102,2017,avg_driv_dist
T67,NA,Bud Cauley,92,296,"50,910",172,2017,avg_driv_dist
T67,NA,Sebastián Muñoz,51,296,"29,004",98,2017,avg_driv_dist
70,NA,Stewart Cink,93,295.8,"52,659",178,2017,avg_driv_dist
