RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure
T106,103,Chesson Hadley,24,298.4,"11,936",40,2005,avg_driv_dist
108,T106,Alex Noren,16,298.3,"9,545",32,2005,avg_driv_dist
109,T106,Nick Taylor,27,298.1,"16,095",54,2005,avg_driv_dist
T110,T112,Emiliano Grillo,24,297.8,"9,531",32,2005,avg_driv_dist
T110,T112,Roberto Díaz,6,297.8,"3,573",12,2005,avg_driv_dist
112,111,Stewart Cink,15,297.6,"8,929",30,2005,avg_driv_dist
113,T119,Abraham Ancer,28,297.5,"9,519",32,2005,avg_driv_dist
114,T115,Jamie Lovemark,10,297.4,"5,947",20,2005,avg_driv_dist
115,118,Hideki Matsuyama,22,297.2,"5,943",20,2005,avg_driv_dist
T116,T121,Xinjun Zhang,33,297.1,"17,230",58,2005,avg_driv_dist
T116,127,Doug Ghim,19,297.1,"11,290",38,2005,avg_driv_dist
T118,T123,J.J. Spaun,27,297,"16,036",54,2005,avg_driv_dist
T118,T115,Anirban Lahiri,22,297,"13,070",44,2005,avg_driv_dist
120,T109,John Senden,13,296.8,"7,716",26,2005,avg_driv_dist
121,125,Adam Hadwin,20,296.7,"7,120",24,2005,avg_driv_dist
T122,102,Matt Every,18,296.1,"10,659",36,2005,avg_driv_dist
T122,128,Talor Gooch,30,296.1,"17,765",60,2005,avg_driv_dist
124,T119,Kramer Hickok,27,295.9,"15,976",54,2005,avg_driv_dist
T125,T123,Bud Cauley,20,295.8,"11,830",40,2005,avg_driv_dist
T125,T121,Francesco Molinari,11,295.8,"4,141",14,2005,avg_driv_dist
T127,131,Bo Hoag,36,295.7,"21,289",72,2005,avg_driv_dist
T127,130,Austin Cook,23,295.7,"13,600",46,2005,avg_driv_dist
T127,T132,Chase Seiffert,30,295.7,"17,739",60,2005,avg_driv_dist
T130,T132,Pat Perez,22,295.4,"8,270",28,2005,avg_driv_dist
T130,126,Bronson Burgoon,28,295.4,"16,542",56,2005,avg_driv_dist
T132,134,Mark Anderson,22,295.2,"12,988",44,2005,avg_driv_dist
T132,129,Henrik Norlander,32,295.2,"18,895",64,2005,avg_driv_dist
134,140,Ben Taylor,27,294.6,"15,906",54,2005,avg_driv_dist
T135,138,Michael Gellerman,23,294.5,"13,546",46,2005,avg_driv_dist
T135,T135,Keith Mitchell,22,294.5,"8,247",28,2005,avg_driv_dist
T135,T135,John Merrick,10,294.5,"5,890",20,2005,avg_driv_dist
