RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,year,measure
1,2,Jordan Spieth,25,34.79,"12,030,464","34,580,690",2015,pct_total_money_won
2,1,Jason Day,20,32.78,"9,403,330","28,686,690",2015,pct_total_money_won
3,3,Rory McIlroy,12,26.57,"4,863,311","18,305,000",2015,pct_total_money_won
4,4,Bubba Watson,19,24.62,"6,876,797","27,926,690",2015,pct_total_money_won
5,7,Henrik Stenson,16,19.39,"4,755,070","24,518,690",2015,pct_total_money_won
6,5,Rickie Fowler,21,19.06,"5,773,430","30,296,690",2015,pct_total_money_won
7,8,Justin Rose,20,18.78,"5,462,677","29,090,690",2015,pct_total_money_won
8,6,Dustin Johnson,21,18.28,"5,509,466","30,138,690",2015,pct_total_money_won
9,9,Thorbjørn Olesen,1,15.26,"213,666","1,400,000",2015,pct_total_money_won
T10,T10,Angelo Que,1,15,"189,000","1,260,000",2015,pct_total_money_won
T10,T10,Prom Meesawat,1,15,"189,000","1,260,000",2015,pct_total_money_won
12,12,Zach Johnson,25,14.2,"4,801,487","33,816,690",2015,pct_total_money_won
13,13,Jim Furyk,19,13.69,"3,732,664","27,267,690",2015,pct_total_money_won
14,14,Jimmy Walker,24,13.41,"4,521,350","33,722,690",2015,pct_total_money_won
15,16,Sergio Garcia,15,11.87,"2,670,229","22,493,690",2015,pct_total_money_won
16,17,Shane Lowry,13,11.66,"2,298,516","19,712,690",2015,pct_total_money_won
17,18,J.B. Holmes,25,11.54,"4,037,430","35,000,690",2015,pct_total_money_won
18,15,Louis Oosthuizen,20,11.28,"3,251,173","28,811,690",2015,pct_total_money_won
19,19,Brooks Koepka,23,11.22,"3,571,900","31,830,690",2015,pct_total_money_won
20,20,Charley Hoffman,28,10.88,"4,041,088","37,146,690",2015,pct_total_money_won
21,21,Hideki Matsuyama,25,10.86,"3,758,618","34,622,690",2015,pct_total_money_won
22,T23,Paul Casey,24,10.51,"3,488,310","33,198,690",2015,pct_total_money_won
23,22,Robert Streb,30,10.14,"3,947,424","38,924,690",2015,pct_total_money_won
24,T23,Brandt Snedeker,27,10.05,"3,698,055","36,794,690",2015,pct_total_money_won
25,25,Patrick Reed,27,9.66,"3,590,566","37,160,690",2015,pct_total_money_won
