RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS,year,measure
1,1,Tiger Woods,64,2.311,0.335,1.398,0.579,48,2009,sg_tee_to_green
2,2,Steve Stricker,81,1.621,0.275,1.018,0.327,62,2009,sg_tee_to_green
3,3,Robert Allenby,71,1.619,0.493,1.015,0.11,56,2009,sg_tee_to_green
4,4,Ernie Els,70,1.315,0.397,0.722,0.196,54,2009,sg_tee_to_green
5,5,Sean O'Hair,80,1.297,0.539,0.796,-0.038,58,2009,sg_tee_to_green
6,7,Zach Johnson,94,1.165,0.253,0.844,0.068,79,2009,sg_tee_to_green
7,6,Ian Poulter,59,1.112,0.222,0.24,0.65,42,2009,sg_tee_to_green
8,11,Jonathan Byrd,89,1.067,0.581,0.368,0.118,79,2009,sg_tee_to_green
9,9,David Toms,98,1.057,0.497,0.566,-0.006,80,2009,sg_tee_to_green
10,8,Rory Sabbatini,81,1.035,0.299,0.452,0.284,67,2009,sg_tee_to_green
11,10,Boo Weekley,79,1.033,0.721,0.301,0.011,65,2009,sg_tee_to_green
12,12,Camilo Villegas,76,1.028,0.427,0.474,0.128,56,2009,sg_tee_to_green
13,13,John Senden,100,1.021,0.443,0.606,-0.028,92,2009,sg_tee_to_green
14,14,Tim Clark,81,0.985,0.125,0.773,0.087,59,2009,sg_tee_to_green
15,15,Jim Furyk,86,0.975,-0.021,0.557,0.439,65,2009,sg_tee_to_green
16,16,Phil Mickelson,66,0.963,0.312,0.268,0.383,48,2009,sg_tee_to_green
17,17,Kenny Perry,92,0.938,0.566,0.414,-0.042,73,2009,sg_tee_to_green
18,18,Steve Marino,98,0.91,0.668,0.323,-0.081,84,2009,sg_tee_to_green
19,19,Tom Lehman,55,0.889,0.141,0.834,-0.087,35,2009,sg_tee_to_green
20,20,Nick Watney,86,0.876,0.732,0.345,-0.201,68,2009,sg_tee_to_green
21,23,Justin Leonard,95,0.865,0.008,0.547,0.31,75,2009,sg_tee_to_green
22,21,Scott Verplank,88,0.856,0.229,0.621,0.006,79,2009,sg_tee_to_green
23,22,Hunter Mahan,94,0.845,0.628,0.561,-0.345,75,2009,sg_tee_to_green
24,24,Sergio Garcia,59,0.828,0.46,0.65,-0.282,44,2009,sg_tee_to_green
25,25,Dustin Johnson,85,0.822,0.509,0.175,0.137,64,2009,sg_tee_to_green
26,26,Fred Couples,54,0.81,0.304,0.348,0.157,42,2009,sg_tee_to_green
27,27,Vijay Singh,71,0.777,0.377,0.319,0.08,51,2009,sg_tee_to_green
28,28,Davis Love III,89,0.758,0.384,0.378,-0.004,77,2009,sg_tee_to_green
29,29,Padraig Harrington,66,0.733,-0.315,0.471,0.577,48,2009,sg_tee_to_green
30,32,Rocco Mediate,79,0.69,0.029,0.324,0.337,66,2009,sg_tee_to_green
