RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,year,measure
1,2,Greg Chalmers,56,0.79,32.387,41,2018,sg_putting
2,1,Jason Day,75,0.77,37.72,49,2018,sg_putting
3,6,Alex Noren,67,0.758,37.154,49,2018,sg_putting
4,3,Daniel Summerhays,51,0.736,27.965,38,2018,sg_putting
5,7,Webb Simpson,95,0.692,56.017,81,2018,sg_putting
6,5,Beau Hossler,104,0.685,61.617,90,2018,sg_putting
7,8,Johnson Wagner,75,0.623,34.291,55,2018,sg_putting
8,9,Peter Malnati,87,0.619,46.409,75,2018,sg_putting
9,10,Patrick Rodgers,97,0.561,40.931,73,2018,sg_putting
10,12,Emiliano Grillo,94,0.546,39.84,73,2018,sg_putting
11,16,Kevin Na,91,0.533,37.303,70,2018,sg_putting
12,13,Kevin Kisner,89,0.513,33.364,65,2018,sg_putting
13,4,Phil Mickelson,90,0.51,35.71,70,2018,sg_putting
T14,T14,Seamus Power,86,0.498,32.851,66,2018,sg_putting
T14,T14,Michael Thompson,62,0.498,27.889,56,2018,sg_putting
T16,18,Brandt Snedeker,84,0.478,35.378,74,2018,sg_putting
T16,17,Graeme McDowell,67,0.478,21.967,46,2018,sg_putting
18,20,Denny McCarthy,71,0.449,22.017,49,2018,sg_putting
19,19,Brian Gay,103,0.442,40.668,92,2018,sg_putting
20,21,Whee Kim,93,0.427,31.181,73,2018,sg_putting
21,11,Justin Rose,70,0.424,22.479,53,2018,sg_putting
22,22,Brett Stegmaier,67,0.401,18.835,47,2018,sg_putting
23,24,Billy Horschel,86,0.392,30.164,77,2018,sg_putting
24,35,Jim Furyk,50,0.389,17.903,46,2018,sg_putting
25,T25,Dustin Johnson,77,0.385,23.861,62,2018,sg_putting
26,27,Bud Cauley,55,0.367,15.055,41,2018,sg_putting
27,T28,Derek Fathauer,84,0.363,24.669,68,2018,sg_putting
28,30,Wesley Bryan,69,0.36,18.354,51,2018,sg_putting
29,31,Nicholas Lindheim,77,0.355,20.929,59,2018,sg_putting
30,42,Branden Grace,67,0.35,15.389,44,2018,sg_putting
31,T25,Matt Kuchar,88,0.348,22.592,65,2018,sg_putting
T32,32,Hunter Mahan,67,0.346,17.64,51,2018,sg_putting
T32,41,Bryson DeChambeau,93,0.346,26.982,78,2018,sg_putting
34,33,Ricky Barnes,65,0.338,15.2,45,2018,sg_putting
35,47,Tyrrell Hatton,58,0.335,14.077,42,2018,sg_putting
36,34,Ben Crane,65,0.332,15.285,46,2018,sg_putting
37,36,Ollie Schniederjans,91,0.325,25.042,77,2018,sg_putting
T38,23,Jimmy Walker,81,0.324,21.369,66,2018,sg_putting
T38,48,Tommy Fleetwood,73,0.324,17.509,54,2018,sg_putting
40,66,Daniel Berger,81,0.319,19.78,62,2018,sg_putting
41,39,Austin Cook,107,0.315,28.962,92,2018,sg_putting
42,40,Dominic Bozzelli,65,0.308,18.799,61,2018,sg_putting
43,37,Rickie Fowler,74,0.296,18.028,61,2018,sg_putting
44,43,Martin Laird,73,0.282,17.178,61,2018,sg_putting
T45,T28,Brian Harman,94,0.273,19.683,72,2018,sg_putting
T45,44,Rafa Cabrera Bello,75,0.273,13.101,48,2018,sg_putting
47,38,Justin Thomas,91,0.272,18.528,68,2018,sg_putting
48,52,Tiger Woods,68,0.266,15.703,59,2018,sg_putting
