RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,year,measure
1,2,Luke Donald,73,0.87,45.224,52,2011,sg_putting
2,1,Charlie Wi,83,0.808,62.204,77,2011,sg_putting
3,3,Steve Stricker,70,0.78,41.332,53,2011,sg_putting
4,4,Bryce Molder,82,0.77,54.667,71,2011,sg_putting
5,5,Kevin Na,84,0.65,44.17,68,2011,sg_putting
6,T7,Greg Chalmers,88,0.635,50.147,79,2011,sg_putting
7,6,Freddie Jacobson,92,0.629,44.023,70,2011,sg_putting
8,9,Brandt Snedeker,85,0.588,39.363,67,2011,sg_putting
9,10,Zach Johnson,79,0.58,37.148,64,2011,sg_putting
10,11,Jason Day,76,0.576,33.978,59,2011,sg_putting
11,T7,Brian Gay,90,0.556,41.143,74,2011,sg_putting
12,12,Ryan Moore,79,0.55,32.97,60,2011,sg_putting
13,13,Nick Watney,80,0.546,33.88,62,2011,sg_putting
14,14,Hunter Mahan,92,0.527,40.062,76,2011,sg_putting
15,15,Scott McCarron,65,0.519,28.038,54,2011,sg_putting
16,16,Geoff Ogilvy,69,0.517,27.923,54,2011,sg_putting
17,17,Ángel Cabrera,50,0.509,17.831,35,2011,sg_putting
18,18,Dean Wilson,62,0.492,28.04,57,2011,sg_putting
19,19,Carl Pettersson,95,0.485,43.69,90,2011,sg_putting
20,21,Blake Adams,116,0.475,49.894,105,2011,sg_putting
21,20,Michael Thompson,79,0.448,30.897,69,2011,sg_putting
22,23,David Toms,78,0.446,26.301,59,2011,sg_putting
23,22,Matt McQuillan,59,0.436,20.905,48,2011,sg_putting
24,28,Johnson Wagner,81,0.427,29.91,70,2011,sg_putting
25,25,Michael Putnam,67,0.423,22.422,53,2011,sg_putting
26,24,Nate Smith,66,0.411,21.759,53,2011,sg_putting
27,30,Ben Martin,74,0.406,26.366,65,2011,sg_putting
28,29,Andres Romero,77,0.4,27.229,68,2011,sg_putting
29,26,Chris Couch,73,0.397,26.996,68,2011,sg_putting
30,27,Charles Howell III,108,0.38,34.538,91,2011,sg_putting
31,31,Matt Kuchar,94,0.379,26.909,71,2011,sg_putting
32,32,Hunter Haas,96,0.364,30.913,85,2011,sg_putting
33,33,Kevin Streelman,90,0.356,25.244,71,2011,sg_putting
34,35,Rickie Fowler,84,0.351,23.157,66,2011,sg_putting
T35,39,Paul Stankowski,78,0.324,21.06,65,2011,sg_putting
T35,37,Aaron Baddeley,77,0.324,20.08,62,2011,sg_putting
37,36,Steve Flesch,88,0.32,24.983,78,2011,sg_putting
38,38,Steve Elkington,50,0.312,13.115,42,2011,sg_putting
39,43,John Senden,94,0.302,24.446,81,2011,sg_putting
40,47,Trevor Immelman,84,0.297,19.875,67,2011,sg_putting
41,,Will Strickler,51,0.294,12.645,43,2011,sg_putting
42,42,Brendon de Jonge,105,0.273,25.104,92,2011,sg_putting
T43,49,Webb Simpson,98,0.271,22.508,83,2011,sg_putting
T43,48,Colt Knost,80,0.271,18.143,67,2011,sg_putting
45,44,Ian Poulter,52,0.27,10.533,39,2011,sg_putting
46,46,Y.E. Yang,63,0.267,11.232,42,2011,sg_putting
47,T53,Jerry Kelly,85,0.257,17.496,68,2011,sg_putting
48,,Retief Goosen,50,0.244,9.749,40,2011,sg_putting
49,41,Scott Piercy,78,0.242,15.24,63,2011,sg_putting
T50,40,Ben Curtis,66,0.239,14.82,62,2011,sg_putting
T50,50,Anthony Kim,72,0.239,13.848,58,2011,sg_putting
52,51,Padraig Harrington,60,0.237,10.685,45,2011,sg_putting
53,52,Lucas Glover,74,0.236,14.407,61,2011,sg_putting
54,T53,Mark Wilson,89,0.233,16.288,70,2011,sg_putting
55,59,D.A. Points,89,0.227,16.766,74,2011,sg_putting
56,T75,David Hearn,88,0.223,16.952,76,2011,sg_putting
57,56,Jimmy Walker,79,0.222,16.859,76,2011,sg_putting
58,57,Pat Perez,76,0.221,15.47,70,2011,sg_putting
59,73,Marc Turnesa,54,0.219,10.079,46,2011,sg_putting
60,45,David Mathis,83,0.215,15.023,70,2011,sg_putting
61,55,Martin Piller,63,0.208,10.84,52,2011,sg_putting
62,58,Cameron Tringale,110,0.197,19.129,97,2011,sg_putting
63,61,Roland Thatcher,67,0.194,11.862,61,2011,sg_putting
