RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,year,measure
1,1,Aaron Baddeley,76,0.722,47.649,66,2015,sg_putting
2,2,Jimmy Walker,89,0.692,44.265,64,2015,sg_putting
3,3,Daniel Summerhays,101,0.644,57.333,89,2015,sg_putting
4,4,Lee Westwood,56,0.595,19.046,32,2015,sg_putting
5,5,Brandt Snedeker,98,0.588,44.074,75,2015,sg_putting
6,6,Jason Day,75,0.586,33.407,57,2015,sg_putting
7,7,Brendon Todd,96,0.582,44.219,76,2015,sg_putting
8,8,Russell Henley,87,0.579,38.773,67,2015,sg_putting
9,9,Jordan Spieth,91,0.571,37.665,66,2015,sg_putting
10,10,Harris English,105,0.56,49.298,88,2015,sg_putting
11,11,Greg Chalmers,58,0.529,19.028,36,2015,sg_putting
12,12,Zac Blair,108,0.527,46.359,88,2015,sg_putting
13,13,Andrew Putnam,68,0.525,28.357,54,2015,sg_putting
14,14,Bryce Molder,91,0.508,39.105,77,2015,sg_putting
15,15,Erik Compton,86,0.469,32.862,70,2015,sg_putting
16,16,Henrik Stenson,63,0.436,19.205,44,2015,sg_putting
17,17,Brooks Koepka,84,0.421,27.372,65,2015,sg_putting
18,18,K.J. Choi,66,0.415,23.677,57,2015,sg_putting
19,19,Matt Jones,89,0.401,26.87,67,2015,sg_putting
20,20,Patrick Reed,103,0.394,29.919,76,2015,sg_putting
21,21,Hunter Mahan,88,0.39,25.348,65,2015,sg_putting
22,22,Troy Merritt,91,0.384,31.459,82,2015,sg_putting
23,23,Robert Streb,110,0.381,36.561,96,2015,sg_putting
24,24,Danny Lee,120,0.374,37.446,100,2015,sg_putting
25,25,Pat Perez,96,0.364,30.224,83,2015,sg_putting
26,26,Hudson Swafford,97,0.36,29.896,83,2015,sg_putting
27,27,David Hearn,97,0.358,30.442,85,2015,sg_putting
28,28,Jamie Donaldson,50,0.349,11.182,32,2015,sg_putting
29,29,Colt Knost,90,0.348,25.734,74,2015,sg_putting
30,30,Steve Wheatcroft,87,0.345,24.849,72,2015,sg_putting
31,31,Carl Pettersson,106,0.335,32.204,96,2015,sg_putting
32,32,Willy Wilcox,58,0.322,13.22,41,2015,sg_putting
33,33,Matt Kuchar,97,0.316,24.322,77,2015,sg_putting
