RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,year,measure
1,1,Jason Day,76,1.13,61.042,54,2016,sg_putting
2,2,Jordan Spieth,80,0.758,43.954,58,2016,sg_putting
3,3,Kevin Kisner,97,0.672,49.051,73,2016,sg_putting
4,4,Andrew Landry,53,0.654,21.591,33,2016,sg_putting
5,6,Steve Stricker,53,0.62,27.895,45,2016,sg_putting
6,7,Harris English,97,0.594,43.331,73,2016,sg_putting
7,8,Daniel Summerhays,99,0.592,46.747,79,2016,sg_putting
8,9,Aaron Baddeley,93,0.586,43.961,75,2016,sg_putting
9,5,Phil Mickelson,75,0.565,33.335,59,2016,sg_putting
10,10,Bryce Molder,80,0.553,37.064,67,2016,sg_putting
11,11,Adam Hadwin,93,0.53,46.675,88,2016,sg_putting
12,12,Jonas Blixt,79,0.527,35.81,68,2016,sg_putting
13,13,Martin Piller,59,0.518,24.357,47,2016,sg_putting
14,14,Peter Malnati,85,0.491,36.352,74,2016,sg_putting
15,15,Freddie Jacobson,86,0.487,35.039,72,2016,sg_putting
16,16,Brian Harman,104,0.465,42.762,92,2016,sg_putting
T17,T17,Brendon Todd,66,0.462,24.939,54,2016,sg_putting
T17,T17,Retief Goosen,55,0.462,22.157,48,2016,sg_putting
19,19,Brooks Koepka,75,0.445,26.681,60,2016,sg_putting
20,21,Patton Kizzire,93,0.442,33.154,75,2016,sg_putting
21,22,Billy Hurley III,66,0.433,25.52,59,2016,sg_putting
22,23,Jon Curran,99,0.407,34.19,84,2016,sg_putting
23,24,Ernie Els,66,0.405,22.659,56,2016,sg_putting
24,25,Luke Guthrie,57,0.404,18.169,45,2016,sg_putting
T25,T26,Zach Johnson,90,0.395,28.816,73,2016,sg_putting
T25,30,Brandt Snedeker,93,0.395,29.605,75,2016,sg_putting
T25,T26,Colt Knost,90,0.395,28.051,71,2016,sg_putting
28,28,Ricky Barnes,97,0.385,30.827,80,2016,sg_putting
29,20,Matt Kuchar,100,0.381,29.342,77,2016,sg_putting
30,29,William McGirt,98,0.36,31.667,88,2016,sg_putting
31,31,Derek Fathauer,94,0.356,27.054,76,2016,sg_putting
32,39,Ryan Moore,86,0.351,22.831,65,2016,sg_putting
33,32,K.J. Choi,73,0.349,23.403,67,2016,sg_putting
34,33,Tim Wilkinson,72,0.335,16.775,50,2016,sg_putting
35,34,John Senden,88,0.321,25.352,79,2016,sg_putting
36,T37,Wes Roach,59,0.299,12.878,43,2016,sg_putting
37,35,Dustin Johnson,87,0.281,17.729,63,2016,sg_putting
T38,36,Patrick Reed,105,0.28,21.805,78,2016,sg_putting
T38,40,Andrew Loupe,75,0.28,18.765,67,2016,sg_putting
40,41,Michael Kim,100,0.276,23.706,86,2016,sg_putting
41,42,Johnson Wagner,86,0.273,20.728,76,2016,sg_putting
42,43,Mark Hubbard,101,0.272,22.546,83,2016,sg_putting
43,44,Hunter Mahan,61,0.253,12.663,50,2016,sg_putting
44,45,Marc Leishman,89,0.252,16.35,65,2016,sg_putting
45,46,Troy Merritt,77,0.244,15.828,65,2016,sg_putting
46,47,Ben Crane,80,0.23,15.16,66,2016,sg_putting
47,T37,Jimmy Walker,85,0.222,15.737,71,2016,sg_putting
48,48,David Hearn,95,0.214,17.563,82,2016,sg_putting
49,49,Fabián Gómez,82,0.213,15.516,73,2016,sg_putting
T50,50,Morgan Hoffmann,71,0.208,12.291,59,2016,sg_putting
T50,61,Sean O'Hair,89,0.208,17.474,84,2016,sg_putting
52,51,Kelly Kraft,63,0.207,9.302,45,2016,sg_putting
53,52,Hudson Swafford,104,0.205,18.864,92,2016,sg_putting
54,53,Camilo Villegas,83,0.203,14.392,71,2016,sg_putting
55,54,Stuart Appleby,71,0.201,13.289,66,2016,sg_putting
56,55,Zac Blair,99,0.195,15.806,81,2016,sg_putting
57,56,Russell Henley,76,0.193,13.327,69,2016,sg_putting
58,58,Sung Kang,89,0.186,13.606,73,2016,sg_putting
59,59,Seung-Yul Noh,85,0.176,12.116,69,2016,sg_putting
60,57,Daniel Berger,92,0.175,12.627,72,2016,sg_putting
61,60,Hiroshi Iwata,85,0.174,11.645,67,2016,sg_putting
62,62,Martin Laird,82,0.158,11.202,71,2016,sg_putting
63,63,Brendon de Jonge,83,0.156,10.126,65,2016,sg_putting
T64,T64,Steve Wheatcroft,85,0.153,10.738,70,2016,sg_putting
T64,T64,Rickie Fowler,80,0.153,9.807,64,2016,sg_putting
66,66,Charles Howell III,91,0.152,11.999,79,2016,sg_putting
67,67,Chris Stroud,82,0.15,10.38,69,2016,sg_putting
68,68,Luke Donald,81,0.148,8.761,59,2016,sg_putting
69,69,Dicky Pride,55,0.144,5.901,41,2016,sg_putting
70,70,Ben Martin,92,0.14,11.202,80,2016,sg_putting
71,72,David Toms,62,0.132,7.145,54,2016,sg_putting
T72,T73,Jamie Lovemark,91,0.131,10.909,83,2016,sg_putting
T72,T73,Steven Bowditch,71,0.131,7.212,55,2016,sg_putting
74,75,Kyle Reifers,115,0.12,11.617,97,2016,sg_putting
T75,T77,Shane Lowry,57,0.113,4.18,37,2016,sg_putting
T75,T77,Smylie Kaufman,91,0.113,8.107,72,2016,sg_putting
T77,76,Paul Casey,77,0.112,6.384,57,2016,sg_putting
T77,79,Billy Horschel,73,0.112,6.405,57,2016,sg_putting
79,71,Kevin Na,96,0.074,5.14,69,2016,sg_putting
80,80,Jhonattan Vegas,97,0.072,5.836,81,2016,sg_putting
T81,T81,Steve Marino,72,0.067,3.776,56,2016,sg_putting
T81,T81,Jim Furyk,52,0.067,2.965,44,2016,sg_putting
83,83,Sam Saunders,69,0.06,3.082,51,2016,sg_putting
84,84,Cameron Tringale,81,0.057,4.003,70,2016,sg_putting
85,85,David Lingmerth,84,0.055,3.274,60,2016,sg_putting
86,86,Scott Langley,65,0.045,2.395,53,2016,sg_putting
87,87,D.H. Lee,61,0.042,1.949,46,2016,sg_putting
88,88,Henrik Norlander,71,0.039,2.092,53,2016,sg_putting
89,89,Jason Bohn,67,0.032,1.909,59,2016,sg_putting
T90,T90,Blayne Barber,84,0.01,0.776,74,2016,sg_putting
T90,T90,Alex Cejka,71,0.01,0.527,51,2016,sg_putting
T90,T90,Scott Brown,88,0.01,0.734,70,2016,sg_putting
93,93,Spencer Levin,104,0.008,0.696,82,2016,sg_putting
94,94,Andres Gonzales,80,0.007,0.466,64,2016,sg_putting
95,95,Thomas Aiken,70,0.006,0.284,48,2016,sg_putting
96,96,Bronson Burgoon,83,0.002,0.145,65,2016,sg_putting
97,97,Chad Collins,73,-0.004,-0.273,64,2016,sg_putting
98,98,Chris Kirk,90,-0.006,-0.466,74,2016,sg_putting
