RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,TOTAL,DISTANCE RANK,ACCURACY RANK,year,measure
1,1,Graham DeLaet,26,53,19,34,2013,total_driving
2,2,Keegan Bradley,25,72,11,61,2013,total_driving
3,3,Henrik Stenson,18,73,66,7,2013,total_driving
4,4,Justin Rose,17,79,27,52,2013,total_driving
5,5,Jim Herman,19,82,17,65,2013,total_driving
6,6,Billy Horschel,26,92,42,50,2013,total_driving
7,7,Boo Weekley,27,94,66,28,2013,total_driving
T8,T8,Hunter Mahan,25,98,73,25,2013,total_driving
T8,T8,Jordan Spieth,23,98,80,18,2013,total_driving
10,10,D.J. Trahan,16,99,46,53,2013,total_driving
11,11,Brandt Jobe,19,100,57,43,2013,total_driving
12,12,Matt Jones,24,101,56,45,2013,total_driving
13,13,Nicholas Thompson,29,105,60,45,2013,total_driving
14,14,Adam Scott,16,107,23,84,2013,total_driving
15,15,Vaughn Taylor,16,112,75,37,2013,total_driving
16,16,Kevin Streelman,25,117,94,23,2013,total_driving
17,17,Tiger Woods,16,118,49,69,2013,total_driving
18,18,Kevin Stadler,25,124,75,49,2013,total_driving
19,19,Steve Stricker,13,127,124,3,2013,total_driving
20,20,Lucas Glover,23,128,43,85,2013,total_driving
21,21,Russell Henley,24,130,83,47,2013,total_driving
22,22,Bubba Watson,21,131,5,126,2013,total_driving
23,23,Brendon de Jonge,30,133,104,29,2013,total_driving
24,24,Chez Reavie,22,134,128,6,2013,total_driving
25,25,Lee Westwood,19,135,69,66,2013,total_driving
26,26,Nick Watney,26,136,63,73,2013,total_driving
T27,T27,Kevin Chappell,24,139,52,87,2013,total_driving
T27,T27,Charl Schwartzel,19,139,29,110,2013,total_driving
T29,T29,Kyle Stanley,24,140,22,118,2013,total_driving
T29,T29,Robert Streb,25,140,24,116,2013,total_driving
T31,T31,George McNeill,21,142,106,36,2013,total_driving
T31,T31,Josh Teater,24,142,43,99,2013,total_driving
33,33,Charlie Beljan,24,143,32,111,2013,total_driving
34,34,Martin Laird,21,144,46,98,2013,total_driving
35,35,Henrik Norlander,22,145,36,109,2013,total_driving
T36,T36,Steve LeBrun,21,146,38,108,2013,total_driving
T36,T36,Ryan Moore,22,146,130,16,2013,total_driving
38,38,John Huh,28,147,133,14,2013,total_driving
T39,T39,Jason Dufner,22,148,107,41,2013,total_driving
T39,T39,Tom Gillis,22,148,104,44,2013,total_driving
T39,T39,Rory McIlroy,16,148,8,140,2013,total_driving
42,42,David Lingmerth,23,149,109,40,2013,total_driving
43,43,Gary Woodland,26,150,4,146,2013,total_driving
44,44,Roberto Castro,29,152,130,22,2013,total_driving
T45,T45,Scott Brown,21,154,78,76,2013,total_driving
T45,T45,Jason Day,21,154,16,138,2013,total_driving
T45,T45,Brendan Steele,26,154,68,86,2013,total_driving
T48,T48,Justin Hicks,25,155,146,9,2013,total_driving
T48,T48,Ryan Palmer,22,155,10,145,2013,total_driving
T50,T50,Sergio Garcia,17,156,64,92,2013,total_driving
T50,T50,Charley Hoffman,23,156,40,116,2013,total_driving
T50,T50,Eric Meierdierks,19,156,9,147,2013,total_driving
T50,T50,Scott Stallings,27,156,30,126,2013,total_driving
54,54,Cameron Tringale,24,157,98,59,2013,total_driving
T55,T55,J.J. Henry,26,158,119,39,2013,total_driving
T55,T55,Bo Van Pelt,22,158,107,51,2013,total_driving
57,57,Mark Wilson,19,160,158,2,2013,total_driving
T58,T58,Fabián Gómez,23,161,78,83,2013,total_driving
