RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,year,measure
1,2,Bud Cauley,53,0.728,32.769,45,2019,sg_around_green
2,1,Byeong Hun An,46,0.696,21.576,31,2019,sg_around_green
3,4,Brandt Snedeker,60,0.607,24.296,40,2019,sg_around_green
4,3,Louis Oosthuizen,39,0.551,11.027,20,2019,sg_around_green
5,5,Tiger Woods,27,0.534,9.078,17,2019,sg_around_green
6,7,Justin Thomas,43,0.499,13.962,28,2019,sg_around_green
7,9,Bill Haas,50,0.486,18.467,38,2019,sg_around_green
8,12,Stephan Jaeger,55,0.455,16.834,37,2019,sg_around_green
9,13,Aaron Baddeley,43,0.45,13.507,30,2019,sg_around_green
10,11,Matt Wallace,31,0.434,9.548,22,2019,sg_around_green
11,16,Ernie Els,42,0.427,10.673,25,2019,sg_around_green
T12,14,Kevin Na,50,0.421,12.198,29,2019,sg_around_green
T12,6,Webb Simpson,49,0.421,17.28,41,2019,sg_around_green
14,18,Hideki Matsuyama,55,0.414,16.147,39,2019,sg_around_green
15,15,Ian Poulter,45,0.404,10.507,26,2019,sg_around_green
16,10,Si Woo Kim,59,0.391,12.897,33,2019,sg_around_green
17,8,Tyrrell Hatton,38,0.36,7.92,22,2019,sg_around_green
18,23,Sebastián Muñoz,54,0.359,12.918,36,2019,sg_around_green
19,113,Adam Scott,37,0.356,7.128,20,2019,sg_around_green
20,22,Charles Howell III,62,0.354,14.532,41,2019,sg_around_green
21,26,Patrick Reed,53,0.35,12.936,37,2019,sg_around_green
22,17,Kevin Tway,54,0.348,12.863,37,2019,sg_around_green
23,19,Patrick Cantlay,45,0.324,9.405,29,2019,sg_around_green
T24,24,Lucas Glover,58,0.314,15.386,49,2019,sg_around_green
T24,33,Zach Johnson,44,0.314,11.003,35,2019,sg_around_green
26,21,Cameron Smith,53,0.313,9.695,31,2019,sg_around_green
27,25,Matt Jones,61,0.312,12.173,39,2019,sg_around_green
28,28,Brian Stuard,68,0.3,14.086,47,2019,sg_around_green
29,20,Tommy Fleetwood,43,0.287,7.454,26,2019,sg_around_green
T30,27,Paul Casey,50,0.28,8.401,30,2019,sg_around_green
T30,T31,Rod Pampling,34,0.28,5.872,21,2019,sg_around_green
32,30,Jimmy Walker,53,0.276,10.481,38,2019,sg_around_green
33,34,Chris Kirk,47,0.27,9.458,35,2019,sg_around_green
34,35,Rory Sabbatini,63,0.266,12.238,46,2019,sg_around_green
35,36,Adam Svensson,49,0.264,9.252,35,2019,sg_around_green
36,43,Pat Perez,47,0.258,6.201,24,2019,sg_around_green
37,T45,Dustin Johnson,43,0.252,7.566,30,2019,sg_around_green
38,T37,Seamus Power,54,0.249,9.964,40,2019,sg_around_green
39,T39,Hank Lebioda,51,0.247,8.643,35,2019,sg_around_green
40,47,Sungjae Im,78,0.246,14.26,58,2019,sg_around_green
41,41,Stewart Cink,33,0.242,5.084,21,2019,sg_around_green
42,42,Charl Schwartzel,34,0.234,3.508,15,2019,sg_around_green
43,51,Gary Woodland,59,0.228,8.896,39,2019,sg_around_green
44,T61,Phil Mickelson,39,0.224,6.28,28,2019,sg_around_green
45,T31,Jason Dufner,48,0.219,6.798,31,2019,sg_around_green
46,T45,Roberto Castro,48,0.217,7.394,34,2019,sg_around_green
T47,48,Jim Furyk,41,0.212,6.156,29,2019,sg_around_green
T47,T66,Michael Kim,47,0.212,6.57,31,2019,sg_around_green
49,68,Martin Trainer,47,0.206,7.407,36,2019,sg_around_green
50,73,Ryan Armour,58,0.198,8.124,41,2019,sg_around_green
51,29,Jhonattan Vegas,54,0.197,8.068,41,2019,sg_around_green
52,44,Brian Harman,55,0.195,7.211,37,2019,sg_around_green
53,63,Haotong Li,28,0.189,3.031,16,2019,sg_around_green
54,56,Kramer Hickok,55,0.18,6.647,37,2019,sg_around_green
55,T37,Troy Merritt,38,0.176,5.108,29,2019,sg_around_green
T56,58,Scott Langley,54,0.175,7.333,42,2019,sg_around_green
T56,49,Rory McIlroy,44,0.175,5.425,31,2019,sg_around_green
58,60,Aaron Wise,48,0.169,5.75,34,2019,sg_around_green
59,64,Xander Schauffele,49,0.167,4.853,29,2019,sg_around_green
60,53,Russell Knox,57,0.164,6.73,41,2019,sg_around_green
61,59,Julián Etulain,53,0.163,5.696,35,2019,sg_around_green
62,T61,James Hahn,34,0.159,2.709,17,2019,sg_around_green
63,55,Brian Gay,69,0.155,7.451,48,2019,sg_around_green
64,65,Matt Every,30,0.146,2.475,17,2019,sg_around_green
65,T39,Jason Day,43,0.145,3.323,23,2019,sg_around_green
66,T66,D.J. Trahan,29,0.14,2.103,15,2019,sg_around_green
67,69,Robert Streb,54,0.136,5.162,38,2019,sg_around_green
68,70,Wyndham Clark,57,0.135,5.817,43,2019,sg_around_green
T69,T84,Luke List,50,0.133,5.46,41,2019,sg_around_green
T69,50,Andrew Putnam,49,0.133,3.718,28,2019,sg_around_green
71,71,Wes Roach,41,0.131,3.286,25,2019,sg_around_green
72,72,Jonathan Byrd,39,0.125,3.01,24,2019,sg_around_green
73,57,Matthew Fitzpatrick,34,0.12,2.513,21,2019,sg_around_green
74,75,Martin Piller,28,0.118,1.77,15,2019,sg_around_green
75,94,Michael Thompson,50,0.109,4.816,44,2019,sg_around_green
76,T78,Branden Grace,56,0.102,2.959,29,2019,sg_around_green
77,92,Rickie Fowler,48,0.101,3.933,39,2019,sg_around_green
T78,T78,Russell Henley,54,0.096,3.943,41,2019,sg_around_green
T78,76,Matt Kuchar,59,0.096,4.025,42,2019,sg_around_green
80,80,Peter Malnati,52,0.094,3.834,41,2019,sg_around_green
81,54,Justin Rose,34,0.093,1.948,21,2019,sg_around_green
82,81,Harris English,68,0.091,4.929,54,2019,sg_around_green
83,74,C.T. Pan,60,0.082,3.132,38,2019,sg_around_green
T84,T102,Billy Horschel,65,0.08,2.964,37,2019,sg_around_green
T84,87,Mackenzie Hughes,50,0.08,2.888,36,2019,sg_around_green
86,89,Patrick Rodgers,44,0.078,2.958,38,2019,sg_around_green
T87,91,Denny McCarthy,59,0.075,3.23,43,2019,sg_around_green
T87,95,Jordan Spieth,49,0.075,2.779,37,2019,sg_around_green
T89,T102,Sung Kang,65,0.074,3.797,51,2019,sg_around_green
T89,88,Graeme McDowell,53,0.074,2.361,32,2019,sg_around_green
91,101,Scott Piercy,64,0.073,3.22,44,2019,sg_around_green
T92,93,Alex Noren,41,0.058,1.456,25,2019,sg_around_green
T92,100,Bubba Watson,43,0.058,1.864,32,2019,sg_around_green
94,T102,Harold Varner III,56,0.055,2.55,46,2019,sg_around_green
95,117,Abraham Ancer,61,0.051,2.09,41,2019,sg_around_green
96,999,Thorbjørn Olesen,27,0.048,0.769,16,2019,sg_around_green
T97,86,Ryan Moore,50,0.041,1.617,39,2019,sg_around_green
T97,96,Nick Taylor,64,0.041,2.196,53,2019,sg_around_green
99,97,José de Jesús Rodríguez,47,0.036,1.114,31,2019,sg_around_green
100,82,Corey Conners,52,0.034,1.125,33,2019,sg_around_green
101,T84,Dylan Frittelli,51,0.032,1.29,40,2019,sg_around_green
102,124,Martin Kaymer,30,0.031,0.797,26,2019,sg_around_green
103,116,J.T. Poston,70,0.024,1.388,58,2019,sg_around_green
104,125,Brooks Koepka,45,0.021,0.554,26,2019,sg_around_green
105,T102,Ollie Schniederjans,59,0.02,0.864,43,2019,sg_around_green
106,999,Shane Lowry,26,0.016,0.273,17,2019,sg_around_green
T107,77,Francesco Molinari,37,0.014,0.31,22,2019,sg_around_green
T107,T107,Peter Uihlein,55,0.014,0.458,33,2019,sg_around_green
T109,132,Beau Hossler,60,0.013,0.602,45,2019,sg_around_green
T109,109,Shawn Stefani,53,0.013,0.469,35,2019,sg_around_green
111,110,Chris Stroud,48,0.007,0.254,34,2019,sg_around_green
112,99,Bryson DeChambeau,39,0.006,0.2,32,2019,sg_around_green
113,150,Kiradech Aphibarnrat,43,0.005,0.135,27,2019,sg_around_green
114,T120,Patton Kizzire,54,0.003,0.109,33,2019,sg_around_green
T115,111,Scott Brown,56,0.002,0.09,38,2019,sg_around_green
T115,106,Jon Rahm,49,0.002,0.049,31,2019,sg_around_green
117,114,Fabián Gómez,42,-0.005,-0.149,28,2019,sg_around_green
118,115,Kevin Streelman,55,-0.006,-0.25,45,2019,sg_around_green
119,T118,Keegan Bradley,59,-0.008,-0.307,39,2019,sg_around_green
120,T118,Talor Gooch,27,-0.012,-0.253,21,2019,sg_around_green
T121,90,Henrik Stenson,38,-0.015,-0.399,26,2019,sg_around_green
T121,T120,Vaughn Taylor,61,-0.015,-0.725,50,2019,sg_around_green
