RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,TOTAL,DISTANCE RANK,ACCURACY RANK,year,measure
1,1,Justin Rose,18,67,34,33,2018,total_driving
2,3,Tommy Fleetwood,19,72,23,49,2018,total_driving
3,4,Gary Woodland,27,73,7,66,2018,total_driving
4,2,Keegan Bradley,27,80,65,15,2018,total_driving
T5,5,Hudson Swafford,22,98,41,57,2018,total_driving
T5,8,Francesco Molinari,20,98,52,46,2018,total_driving
7,6,Bronson Burgoon,24,99,41,58,2018,total_driving
8,12,Rickie Fowler,20,101,61,40,2018,total_driving
9,T9,Kyle Stanley,26,105,98,7,2018,total_driving
T10,T9,Paul Casey,20,109,31,78,2018,total_driving
T10,11,Sam Ryder,26,109,87,22,2018,total_driving
12,T30,Louis Oosthuizen,17,112,61,51,2018,total_driving
13,7,Aaron Wise,29,113,40,73,2018,total_driving
T14,T15,J.J. Spaun,27,114,82,32,2018,total_driving
T14,T19,Emiliano Grillo,25,114,106,8,2018,total_driving
16,T13,Corey Conners,28,115,36,79,2018,total_driving
T17,T13,Bryson DeChambeau,26,117,25,92,2018,total_driving
T17,17,Xinjun Zhang,28,117,77,40,2018,total_driving
T17,18,Billy Horschel,27,117,100,17,2018,total_driving
T17,T15,Adam Scott,21,117,29,88,2018,total_driving
21,T19,Kevin Chappell,23,118,17,101,2018,total_driving
22,21,Kevin Streelman,27,119,107,12,2018,total_driving
23,T25,Brendan Steele,22,121,12,109,2018,total_driving
24,24,Rafa Cabrera Bello,20,123,107,16,2018,total_driving
25,23,Joel Dahmen,28,126,97,29,2018,total_driving
26,T27,Scott Piercy,26,128,92,36,2018,total_driving
27,T27,Lucas Glover,18,129,85,44,2018,total_driving
28,T42,Dustin Johnson,20,131,6,125,2018,total_driving
29,T42,Hideki Matsuyama,21,132,49,83,2018,total_driving
30,T40,Russell Henley,23,134,125,9,2018,total_driving
31,T30,Byeong Hun An,24,135,19,116,2018,total_driving
T32,T25,Hunter Mahan,21,136,90,46,2018,total_driving
T32,22,Patrick Cantlay,23,136,38,98,2018,total_driving
T34,T27,Patrick Rodgers,30,137,34,103,2018,total_driving
T34,T34,Tyler Duncan,31,137,112,25,2018,total_driving
36,T34,C.T. Pan,30,139,126,13,2018,total_driving
37,T42,Henrik Stenson,16,140,139,1,2018,total_driving
T38,T34,Charles Howell III,28,141,54,87,2018,total_driving
