RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,year,measure
1,1,Nick Watney,86,0.732,49.785,68,2009,sg_off_tee
2,2,Boo Weekley,79,0.721,46.875,65,2009,sg_off_tee
3,3,Steve Marino,98,0.668,56.145,84,2009,sg_off_tee
4,4,Lucas Glover,93,0.638,50.427,79,2009,sg_off_tee
T5,T5,Hunter Mahan,94,0.628,47.123,75,2009,sg_off_tee
T5,T5,Charles Warren,63,0.628,33.281,53,2009,sg_off_tee
7,7,John Rollins,92,0.618,48.852,79,2009,sg_off_tee
8,8,Jonathan Byrd,89,0.581,45.883,79,2009,sg_off_tee
9,9,Kenny Perry,92,0.566,41.325,73,2009,sg_off_tee
10,10,Sean O'Hair,80,0.539,31.251,58,2009,sg_off_tee
11,11,Martin Laird,72,0.538,33.353,62,2009,sg_off_tee
12,12,Bill Haas,91,0.535,43.846,82,2009,sg_off_tee
13,13,Dustin Johnson,85,0.509,32.58,64,2009,sg_off_tee
14,14,D.J. Trahan,96,0.506,40.454,80,2009,sg_off_tee
15,15,David Toms,98,0.497,39.799,80,2009,sg_off_tee
16,16,Robert Allenby,71,0.493,27.634,56,2009,sg_off_tee
17,17,Troy Matteson,95,0.486,42.765,88,2009,sg_off_tee
18,18,Nicholas Thompson,96,0.473,41.146,87,2009,sg_off_tee
19,19,Joe Durant,62,0.465,21.853,47,2009,sg_off_tee
20,20,Sergio Garcia,59,0.46,20.244,44,2009,sg_off_tee
21,21,Greg Owen,97,0.452,37.067,82,2009,sg_off_tee
22,22,Jeff Maggert,79,0.447,32.598,73,2009,sg_off_tee
23,23,John Senden,100,0.443,40.717,92,2009,sg_off_tee
24,24,Kevin Streelman,97,0.437,37.976,87,2009,sg_off_tee
25,25,Tag Ridings,50,0.429,17.574,41,2009,sg_off_tee
26,26,Camilo Villegas,76,0.427,23.903,56,2009,sg_off_tee
27,27,Ted Purdy,101,0.421,37.496,89,2009,sg_off_tee
28,28,Robert Garrigus,83,0.418,30.06,72,2009,sg_off_tee
29,29,Heath Slocum,95,0.415,35.302,85,2009,sg_off_tee
30,30,Charley Hoffman,97,0.405,35.271,87,2009,sg_off_tee
31,31,Mathew Goggin,76,0.403,24.185,60,2009,sg_off_tee
32,32,Ernie Els,70,0.397,21.42,54,2009,sg_off_tee
T33,T33,Bo Van Pelt,100,0.387,31.727,82,2009,sg_off_tee
T33,T33,Bubba Watson,73,0.387,22.074,57,2009,sg_off_tee
35,35,Davis Love III,89,0.384,29.56,77,2009,sg_off_tee
36,36,Vijay Singh,71,0.377,19.224,51,2009,sg_off_tee
37,37,Ángel Cabrera,55,0.372,14.149,38,2009,sg_off_tee
T38,T38,Andres Romero,58,0.37,15.903,43,2009,sg_off_tee
T38,T38,Kirk Triplett,60,0.37,20.329,55,2009,sg_off_tee
40,40,Tommy Armour III,58,0.353,18.332,52,2009,sg_off_tee
41,41,Tiger Woods,64,0.335,16.078,48,2009,sg_off_tee
42,42,Michael Allen,73,0.329,19.074,58,2009,sg_off_tee
43,43,Jason Gore,74,0.326,20.209,62,2009,sg_off_tee
T44,T44,Jason Day,61,0.323,16.157,50,2009,sg_off_tee
T44,T44,Jason Dufner,90,0.323,25.192,78,2009,sg_off_tee
46,46,Phil Mickelson,66,0.312,14.971,48,2009,sg_off_tee
47,47,Fred Couples,54,0.304,12.782,42,2009,sg_off_tee
48,48,Rory Sabbatini,81,0.299,20.032,67,2009,sg_off_tee
49,49,Ben Crane,93,0.282,22.595,80,2009,sg_off_tee
50,50,Steve Stricker,81,0.275,17.055,62,2009,sg_off_tee
51,51,James Nitties,86,0.262,19.889,76,2009,sg_off_tee
52,52,Ryan Moore,89,0.26,19.487,75,2009,sg_off_tee
53,53,Scott McCarron,91,0.259,20.97,81,2009,sg_off_tee
54,54,Geoff Ogilvy,78,0.258,14.982,58,2009,sg_off_tee
55,55,Will MacKenzie,69,0.257,15.666,61,2009,sg_off_tee
T56,T56,Retief Goosen,74,0.253,14.171,56,2009,sg_off_tee
T56,T56,Zach Johnson,94,0.253,19.958,79,2009,sg_off_tee
58,58,Peter Tomasulo,61,0.249,11.459,46,2009,sg_off_tee
59,59,Michael Letzig,96,0.24,20.668,86,2009,sg_off_tee
60,60,Kevin Sutherland,96,0.233,17.029,73,2009,sg_off_tee
61,61,Scott Verplank,88,0.229,18.1,79,2009,sg_off_tee
62,62,Ian Poulter,59,0.222,9.33,42,2009,sg_off_tee
63,63,Stephen Ames,77,0.214,12.171,57,2009,sg_off_tee
64,64,Justin Rose,71,0.189,10.763,57,2009,sg_off_tee
65,65,Steve Lowery,83,0.185,14.279,77,2009,sg_off_tee
66,66,Rod Pampling,72,0.183,11.724,64,2009,sg_off_tee
67,67,Brian Davis,103,0.181,16.492,91,2009,sg_off_tee
68,68,Y.E. Yang,83,0.17,11.897,70,2009,sg_off_tee
69,69,Marc Leishman,91,0.163,13.714,84,2009,sg_off_tee
70,70,John Merrick,91,0.162,11.004,68,2009,sg_off_tee
71,71,Jason Bohn,88,0.16,13.151,82,2009,sg_off_tee
72,72,Jarrod Lyle,65,0.159,7.947,50,2009,sg_off_tee
T73,T73,Kris Blanks,60,0.154,7.23,47,2009,sg_off_tee
T73,T73,Ben Curtis,63,0.154,7.237,47,2009,sg_off_tee
75,75,Mark Wilson,99,0.147,12.924,88,2009,sg_off_tee
76,76,Bill Lunde,83,0.143,10.702,75,2009,sg_off_tee
77,77,Tom Lehman,55,0.141,4.931,35,2009,sg_off_tee
78,78,Brendon de Jonge,90,0.134,10.576,79,2009,sg_off_tee
79,79,Charles Howell III,99,0.13,10.759,83,2009,sg_off_tee
80,80,Tim Clark,81,0.125,7.362,59,2009,sg_off_tee
81,81,J.B. Holmes,74,0.123,7.496,61,2009,sg_off_tee
T82,T82,Matt Kuchar,82,0.12,8.491,71,2009,sg_off_tee
T82,T82,Tim Petrovic,97,0.12,10.325,86,2009,sg_off_tee
84,84,Scott Piercy,85,0.119,9.015,76,2009,sg_off_tee
85,85,Anthony Kim,76,0.115,6.923,60,2009,sg_off_tee
86,86,Paul Goydos,79,0.107,6.982,65,2009,sg_off_tee
87,87,Rich Beem,77,0.101,5.859,58,2009,sg_off_tee
88,88,Stewart Cink,79,0.098,5.775,59,2009,sg_off_tee
T89,T89,Steve Elkington,70,0.097,5.984,62,2009,sg_off_tee
T89,T89,John Mallinger,90,0.097,6.862,71,2009,sg_off_tee
91,91,Darron Stiles,52,0.094,3.943,42,2009,sg_off_tee
92,92,D.A. Points,99,0.068,5.836,86,2009,sg_off_tee
93,93,Tim Herron,87,0.067,5.394,81,2009,sg_off_tee
94,94,Jerry Kelly,90,0.062,4.758,77,2009,sg_off_tee
95,95,Brian Vranesh,51,0.06,2.568,43,2009,sg_off_tee
