RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure
1,1,Robert Garrigus,71,315.5,"41,009",130,2010,avg_driv_dist
2,2,Bubba Watson,77,309.8,"47,703",154,2010,avg_driv_dist
3,3,Dustin Johnson,83,308.5,"50,588",164,2010,avg_driv_dist
4,4,Brett Wetterich,54,307.3,"33,187",108,2010,avg_driv_dist
5,5,J.B. Holmes,100,307.2,"61,437",200,2010,avg_driv_dist
T6,T6,Graham DeLaet,88,305.7,"50,142",164,2010,avg_driv_dist
T6,T6,John Daly,63,305.7,"33,623",110,2010,avg_driv_dist
8,8,Ángel Cabrera,64,304.5,"38,362",126,2010,avg_driv_dist
9,9,Charles Warren,64,302.5,"35,089",116,2010,avg_driv_dist
10,10,D.J. Trahan,92,301.1,"55,411",184,2010,avg_driv_dist
11,11,Martin Flores,75,300.7,"42,705",142,2010,avg_driv_dist
12,12,Rory McIlroy,54,300,"31,201",104,2010,avg_driv_dist
13,14,Phil Mickelson,76,299.1,"45,459",152,2010,avg_driv_dist
14,13,Aaron Baddeley,94,298.9,"56,202",188,2010,avg_driv_dist
T15,T15,Charley Hoffman,85,298.2,"49,509",166,2010,avg_driv_dist
T15,T15,Jason Day,82,298.2,"48,901",164,2010,avg_driv_dist
17,17,Davis Love III,79,297.7,"47,042",158,2010,avg_driv_dist
18,18,Jeff Overton,89,297.3,"50,543",170,2010,avg_driv_dist
19,19,Scott Piercy,88,296.8,"52,242",176,2010,avg_driv_dist
T20,T20,Nick Watney,91,296.5,"51,883",175,2010,avg_driv_dist
T20,T20,Martin Laird,91,296.5,"53,669",181,2010,avg_driv_dist
22,22,Troy Matteson,84,296.3,"49,774",168,2010,avg_driv_dist
23,23,Jarrod Lyle,54,296.2,"27,253",92,2010,avg_driv_dist
24,T24,Andres Romero,73,296,"43,223",146,2010,avg_driv_dist
25,T26,Daniel Chopra,74,295.9,"43,800",148,2010,avg_driv_dist
26,T24,Ryan Palmer,84,295.8,"49,702",168,2010,avg_driv_dist
T27,T28,Lucas Glover,75,295.7,"43,764",148,2010,avg_driv_dist
T27,T28,Alex Prugh,88,295.7,"50,856",172,2010,avg_driv_dist
29,T26,Garth Mulroy,53,295.6,"28,967",98,2010,avg_driv_dist
30,T28,John Rollins,81,295.5,"47,863",162,2010,avg_driv_dist
31,T31,Marc Leishman,87,295,"51,331",174,2010,avg_driv_dist
32,T35,Cameron Tringale,55,294.5,"28,864",98,2010,avg_driv_dist
33,T35,Adam Scott,70,294.4,"40,045",136,2010,avg_driv_dist
34,34,Charles Howell III,103,294.3,"58,274",198,2010,avg_driv_dist
35,37,Paul Casey,64,294.2,"34,125",116,2010,avg_driv_dist
T36,40,Derek Lamely,81,294,"44,101",150,2010,avg_driv_dist
T36,T31,Cameron Percy,73,294,"39,980",136,2010,avg_driv_dist
T36,33,Matt Bettencourt,91,294,"48,798",166,2010,avg_driv_dist
39,T38,James Driscoll,78,293.9,"45,843",156,2010,avg_driv_dist
40,T38,Mathias Grönberg,61,293.7,"32,311",110,2010,avg_driv_dist
41,44,George McNeill,79,293.4,"46,352",158,2010,avg_driv_dist
T42,42,Bill Haas,87,293.3,"51,026",174,2010,avg_driv_dist
T42,41,Matt Jones,89,293.3,"52,199",178,2010,avg_driv_dist
44,43,Josh Teater,101,293.1,"58,031",198,2010,avg_driv_dist
45,T45,Jimmy Walker,82,292.9,"45,686",156,2010,avg_driv_dist
46,47,J.J. Henry,92,292.8,"49,190",168,2010,avg_driv_dist
T47,T48,Sergio Garcia,58,292.7,"30,438",104,2010,avg_driv_dist
T47,T45,Rickie Fowler,98,292.7,"57,363",196,2010,avg_driv_dist
T49,51,Stewart Cink,84,292.4,"46,786",160,2010,avg_driv_dist
T49,T48,Chris Couch,66,292.4,"38,592",132,2010,avg_driv_dist
51,50,Vijay Singh,75,292.3,"43,267",148,2010,avg_driv_dist
52,52,Padraig Harrington,57,292.1,"32,715",112,2010,avg_driv_dist
T53,T53,Roger Tambellini,77,292,"40,293",138,2010,avg_driv_dist
T53,T53,Bo Van Pelt,104,292,"60,731",208,2010,avg_driv_dist
T55,T58,David Lutterus,69,291.9,"36,781",126,2010,avg_driv_dist
T55,T56,Boo Weekley,88,291.9,"46,700",160,2010,avg_driv_dist
57,T58,Hunter Mahan,85,291.8,"49,029",168,2010,avg_driv_dist
T58,T56,Tim Herron,79,291.7,"42,591",146,2010,avg_driv_dist
T58,T53,Chris Wilson,65,291.7,"34,421",118,2010,avg_driv_dist
T60,60,John Merrick,109,291.4,"58,862",202,2010,avg_driv_dist
T60,61,Retief Goosen,75,291.4,"41,383",142,2010,avg_driv_dist
T60,T62,Greg Owen,69,291.4,"40,218",138,2010,avg_driv_dist
63,T62,Blake Adams,84,291.3,"47,781",164,2010,avg_driv_dist
T64,66,Matt Every,60,290.9,"33,750",116,2010,avg_driv_dist
T64,67,Jonathan Byrd,85,290.9,"49,461",170,2010,avg_driv_dist
T66,T62,Will MacKenzie,72,290.8,"41,868",144,2010,avg_driv_dist
T66,69,Ted Purdy,86,290.8,"47,685",164,2010,avg_driv_dist
T68,70,Kenny Perry,69,290.6,"39,522",136,2010,avg_driv_dist
T68,68,Steve Marino,81,290.6,"47,079",162,2010,avg_driv_dist
T70,71,Kevin Streelman,90,290.3,"49,933",172,2010,avg_driv_dist
T70,T62,Paul Stankowski,62,290.3,"31,354",108,2010,avg_driv_dist
T72,T72,John Senden,103,290.2,"59,781",206,2010,avg_driv_dist
T72,T72,Kevin Stadler,86,290.2,"45,264",156,2010,avg_driv_dist
74,75,Andrew McLardy,52,289.9,"27,835",96,2010,avg_driv_dist
T75,80,Michael Letzig,84,289.7,"48,665",168,2010,avg_driv_dist
