RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure
1,1,Rory McIlroy,64,319.7,"39,000",122,2018,avg_driv_dist
2,2,Trey Mullinax,75,318.3,"43,929",138,2018,avg_driv_dist
3,3,Tom Lovelady,87,315.9,"51,168",162,2018,avg_driv_dist
4,4,Tony Finau,105,315.1,"56,721",180,2018,avg_driv_dist
5,5,Luke List,98,314.6,"54,746",174,2018,avg_driv_dist
6,6,Dustin Johnson,77,314,"43,953",140,2018,avg_driv_dist
7,7,Gary Woodland,96,313.5,"52,042",166,2018,avg_driv_dist
8,8,Brooks Koepka,64,313.4,"36,350",116,2018,avg_driv_dist
9,9,Bubba Watson,90,313.1,"49,470",158,2018,avg_driv_dist
10,10,Keith Mitchell,99,312.6,"60,646",194,2018,avg_driv_dist
11,11,Justin Thomas,91,311.8,"46,153",148,2018,avg_driv_dist
12,12,Brendan Steele,74,310.3,"39,103",126,2018,avg_driv_dist
13,13,Kevin Tway,110,310.1,"59,535",192,2018,avg_driv_dist
14,14,Jason Day,75,310,"37,195",120,2018,avg_driv_dist
15,15,Jason Kokrak,99,309.5,"61,277",198,2018,avg_driv_dist
16,16,Jon Rahm,71,308.9,"38,298",124,2018,avg_driv_dist
17,17,Kevin Chappell,77,308.6,"45,670",148,2018,avg_driv_dist
18,18,Harold Varner III,91,308.2,"49,935",162,2018,avg_driv_dist
T19,T19,Byeong Hun An,86,307.9,"49,257",160,2018,avg_driv_dist
T19,T19,Robert Garrigus,80,307.9,"46,803",152,2018,avg_driv_dist
21,21,Nick Watney,94,307.5,"55,353",180,2018,avg_driv_dist
22,22,Grayson Murray,72,307.3,"39,331",128,2018,avg_driv_dist
23,23,Tommy Fleetwood,73,306.9,"38,059",124,2018,avg_driv_dist
24,24,J.B. Holmes,77,306.1,"43,466",142,2018,avg_driv_dist
25,25,Bryson DeChambeau,93,305.7,"56,854",186,2018,avg_driv_dist
26,26,Adam Schenk,86,305.5,"48,881",160,2018,avg_driv_dist
27,27,Ryan Palmer,69,305.2,"38,459",126,2018,avg_driv_dist
28,28,Xander Schauffele,96,304.9,"49,388",162,2018,avg_driv_dist
29,29,Adam Scott,78,304.6,"42,649",140,2018,avg_driv_dist
30,30,Matt Jones,70,304.5,"37,757",124,2018,avg_driv_dist
31,31,Paul Casey,74,304.3,"35,909",118,2018,avg_driv_dist
T32,T32,Jhonattan Vegas,92,303.6,"46,756",154,2018,avg_driv_dist
T32,T32,Tiger Woods,68,303.6,"41,286",136,2018,avg_driv_dist
T34,T34,Patrick Rodgers,97,303.5,"51,601",170,2018,avg_driv_dist
T34,T34,Justin Rose,70,303.5,"37,630",124,2018,avg_driv_dist
36,36,Corey Conners,97,303.3,"56,421",186,2018,avg_driv_dist
37,37,Jamie Lovemark,92,303.2,"48,514",160,2018,avg_driv_dist
T38,T38,Patrick Cantlay,87,303.1,"46,078",152,2018,avg_driv_dist
T38,T38,Brandon Harkins,101,303.1,"57,591",190,2018,avg_driv_dist
40,40,Aaron Wise,90,302.9,"53,314",176,2018,avg_driv_dist
T41,T41,Bronson Burgoon,69,302.8,"41,785",138,2018,avg_driv_dist
T41,T41,Sam Saunders,80,302.8,"44,817",148,2018,avg_driv_dist
T41,T41,Hudson Swafford,73,302.8,"33,307",110,2018,avg_driv_dist
44,44,Sean O'Hair,67,302.7,"38,139",126,2018,avg_driv_dist
45,45,Seamus Power,86,302.6,"47,212",156,2018,avg_driv_dist
46,46,Lanto Griffin,80,302.5,"44,773",148,2018,avg_driv_dist
47,47,Harris English,84,302.4,"47,182",156,2018,avg_driv_dist
48,48,Peter Uihlein,83,302.2,"42,313",140,2018,avg_driv_dist
49,49,Hideki Matsuyama,75,302,"38,657",128,2018,avg_driv_dist
T50,T50,Matt Atkins,56,301.4,"31,346",104,2018,avg_driv_dist
T50,T50,Ollie Schniederjans,91,301.4,"47,622",158,2018,avg_driv_dist
T52,T52,Cody Gribble,71,301,"34,319",114,2018,avg_driv_dist
T52,T52,Francesco Molinari,73,301,"39,730",132,2018,avg_driv_dist
54,54,Charles Howell III,104,300.9,"52,953",176,2018,avg_driv_dist
T55,T55,Shane Lowry,64,300.7,"33,674",112,2018,avg_driv_dist
T55,T55,J.T. Poston,73,300.7,"42,698",142,2018,avg_driv_dist
57,57,Phil Mickelson,90,300.3,"49,848",166,2018,avg_driv_dist
T58,T58,Martin Flores,92,300,"49,195",164,2018,avg_driv_dist
T58,T58,Chesson Hadley,103,300,"59,397",198,2018,avg_driv_dist
