RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,year,measure
1,1,Tiger Woods,55,2.072,76.672,37,2006,sg_app_green
2,2,Adam Scott,70,1.115,56.881,51,2006,sg_app_green
3,3,Jim Furyk,89,1.085,73.759,68,2006,sg_app_green
4,4,Phil Mickelson,74,0.983,46.209,47,2006,sg_app_green
5,7,Luke Donald,66,0.931,40.025,43,2006,sg_app_green
6,6,Tim Clark,80,0.867,50.262,58,2006,sg_app_green
7,10,Vijay Singh,103,0.809,67.972,84,2006,sg_app_green
8,8,Joey Sindelar,90,0.792,60.211,76,2006,sg_app_green
9,9,Trevor Immelman,86,0.764,55.802,73,2006,sg_app_green
10,11,Stephen Ames,63,0.763,33.593,44,2006,sg_app_green
11,5,Stewart Cink,93,0.759,55.429,73,2006,sg_app_green
12,12,Padraig Harrington,54,0.744,28.272,38,2006,sg_app_green
13,13,Sergio Garcia,59,0.719,28.042,39,2006,sg_app_green
14,15,Corey Pavin,74,0.653,37.249,57,2006,sg_app_green
15,16,Shaun Micheel,96,0.637,49.708,78,2006,sg_app_green
16,17,Justin Rose,98,0.616,52.997,86,2006,sg_app_green
17,18,Arron Oberholser,82,0.589,36.497,62,2006,sg_app_green
18,19,Briny Baird,81,0.58,40.575,70,2006,sg_app_green
19,27,Retief Goosen,68,0.574,26.41,46,2006,sg_app_green
20,20,Stephen Leaney,84,0.549,42.255,77,2006,sg_app_green
21,22,Vaughn Taylor,88,0.524,40.31,77,2006,sg_app_green
22,25,Lucas Glover,105,0.51,43.895,86,2006,sg_app_green
23,23,Greg Owen,79,0.505,31.283,62,2006,sg_app_green
24,24,Bob Estes,85,0.497,37.246,75,2006,sg_app_green
25,14,Davis Love III,85,0.488,27.799,57,2006,sg_app_green
26,33,Joe Durant,101,0.486,46.616,96,2006,sg_app_green
27,28,Robert Allenby,79,0.481,28.878,60,2006,sg_app_green
28,29,Chris DiMarco,83,0.477,29.085,61,2006,sg_app_green
29,30,Jeff Sluman,101,0.457,37.903,83,2006,sg_app_green
30,21,Chad Campbell,91,0.454,30.404,67,2006,sg_app_green
31,35,David Toms,76,0.453,28.089,62,2006,sg_app_green
32,T31,José María Olazábal,62,0.449,17.513,39,2006,sg_app_green
33,34,Ted Purdy,103,0.439,35.154,80,2006,sg_app_green
34,36,Alex Cejka,93,0.434,34.692,80,2006,sg_app_green
35,37,Jason Bohn,104,0.428,38.109,89,2006,sg_app_green
36,38,Mike Weir,88,0.422,26.592,63,2006,sg_app_green
37,39,Kenny Perry,73,0.412,24.69,60,2006,sg_app_green
38,26,Ernie Els,69,0.408,19.153,47,2006,sg_app_green
39,40,Frank Lickliter II,99,0.406,34.549,85,2006,sg_app_green
40,41,Steve Stricker,64,0.398,20.678,52,2006,sg_app_green
41,42,John Senden,96,0.387,30.569,79,2006,sg_app_green
42,43,Bart Bryant,87,0.379,26.923,71,2006,sg_app_green
43,T31,Brett Quigley,109,0.372,34.941,94,2006,sg_app_green
44,51,J.J. Henry,96,0.37,28.518,77,2006,sg_app_green
45,46,Fred Funk,106,0.357,30.321,85,2006,sg_app_green
46,47,Charles Warren,93,0.353,28.588,81,2006,sg_app_green
47,48,Billy Andrade,78,0.348,20.851,60,2006,sg_app_green
48,49,Ian Poulter,53,0.345,14.51,42,2006,sg_app_green
49,50,Jerry Smith,94,0.344,28.861,84,2006,sg_app_green
50,52,Scott Verplank,88,0.332,22.608,68,2006,sg_app_green
51,53,Heath Slocum,96,0.328,27.564,84,2006,sg_app_green
52,54,Mark Calcavecchia,94,0.324,25.622,79,2006,sg_app_green
53,44,Rory Sabbatini,84,0.323,20.645,64,2006,sg_app_green
54,55,Hunter Mahan,98,0.312,27.755,89,2006,sg_app_green
55,56,Tom Lehman,70,0.308,14.497,47,2006,sg_app_green
56,57,David Branshaw,98,0.304,26.473,87,2006,sg_app_green
T57,T58,Bob May,65,0.284,15.328,54,2006,sg_app_green
T57,T58,Robert Garrigus,85,0.284,21.051,74,2006,sg_app_green
59,60,Robert Gamez,94,0.279,22.897,82,2006,sg_app_green
60,45,K.J. Choi,93,0.277,21.897,79,2006,sg_app_green
61,62,Brandt Jobe,91,0.265,18.549,70,2006,sg_app_green
62,61,Zach Johnson,98,0.254,19.557,77,2006,sg_app_green
63,63,Camilo Villegas,95,0.249,20.391,82,2006,sg_app_green
64,64,Jonathan Byrd,66,0.247,13.316,54,2006,sg_app_green
65,65,Jeff Gove,91,0.245,19.842,81,2006,sg_app_green
66,66,Woody Austin,107,0.244,22.663,93,2006,sg_app_green
67,68,Daisuke Maruyama,83,0.224,15.678,70,2006,sg_app_green
68,67,Stuart Appleby,83,0.222,14.192,64,2006,sg_app_green
69,69,Jerry Kelly,100,0.212,17.822,84,2006,sg_app_green
70,71,Steve Flesch,119,0.202,20.76,103,2006,sg_app_green
T71,T73,Brian Gay,107,0.196,19.58,100,2006,sg_app_green
T71,T73,Bubba Watson,83,0.196,14.11,72,2006,sg_app_green
73,75,Pat Perez,50,0.195,8.194,42,2006,sg_app_green
74,76,J.P. Hayes,55,0.189,9.438,50,2006,sg_app_green
75,77,Paul Goydos,72,0.188,12.056,64,2006,sg_app_green
76,78,Tim Herron,82,0.18,11.169,62,2006,sg_app_green
77,79,Steve Lowery,99,0.178,14.759,83,2006,sg_app_green
78,80,Charles Howell III,96,0.165,13.018,79,2006,sg_app_green
79,81,Robert Damron,91,0.161,13.235,82,2006,sg_app_green
80,82,Freddie Jacobson,56,0.157,8.481,54,2006,sg_app_green
81,83,Bernhard Langer,77,0.146,8.599,59,2006,sg_app_green
82,84,Bill Haas,99,0.141,12.385,88,2006,sg_app_green
83,70,Geoff Ogilvy,76,0.127,6.591,52,2006,sg_app_green
T84,T86,Brian Davis,92,0.118,9.573,81,2006,sg_app_green
T84,T86,Bo Van Pelt,102,0.118,10.65,90,2006,sg_app_green
86,89,Justin Leonard,83,0.111,7.185,65,2006,sg_app_green
87,90,Carlos Franco,86,0.102,7.843,77,2006,sg_app_green
88,91,Ryuji Imada,105,0.1,8.736,87,2006,sg_app_green
89,92,Dudley Hart,83,0.098,6.926,71,2006,sg_app_green
90,93,Charley Hoffman,100,0.097,8.627,89,2006,sg_app_green
T91,T94,Jeff Maggert,81,0.08,5.426,68,2006,sg_app_green
T91,T94,Fred Couples,52,0.08,2.546,32,2006,sg_app_green
T93,96,Thomas Levet,53,0.079,3.785,48,2006,sg_app_green
T93,T106,Brett Wetterich,82,0.079,5.782,73,2006,sg_app_green
95,97,Billy Mayfair,94,0.077,5.967,77,2006,sg_app_green
96,98,Olin Browne,108,0.072,6.21,86,2006,sg_app_green
97,99,Lee Janzen,79,0.071,4.825,68,2006,sg_app_green
98,100,D.J. Trahan,92,0.069,5.239,76,2006,sg_app_green
99,101,Peter Lonard,77,0.067,4.442,66,2006,sg_app_green
100,102,"Wes Short, Jr.",96,0.066,5.619,85,2006,sg_app_green
101,T86,Ben Curtis,86,0.065,4.346,67,2006,sg_app_green
102,105,Mark Wilson,79,0.059,4.276,72,2006,sg_app_green
T103,T106,Kris Cox,83,0.054,3.893,72,2006,sg_app_green
T103,T106,Will MacKenzie,91,0.054,4.067,75,2006,sg_app_green
105,109,Eric Axley,91,0.048,3.83,79,2006,sg_app_green
106,103,Tom Pernice Jr.,108,0.045,3.878,87,2006,sg_app_green
107,110,Patrick Sheehan,104,0.043,3.727,87,2006,sg_app_green
T108,T112,Craig Barlow,77,0.032,1.871,58,2006,sg_app_green
T108,T112,David Duval,71,0.032,1.702,53,2006,sg_app_green
110,114,Kent Jones,103,0.029,2.588,88,2006,sg_app_green
111,115,Shigeki Maruyama,94,0.025,1.964,80,2006,sg_app_green
112,116,John Rollins,93,0.021,1.567,76,2006,sg_app_green
113,117,Bob Tway,81,0.019,1.264,67,2006,sg_app_green
T114,T118,Joe Ogilvie,95,0.009,0.739,78,2006,sg_app_green
T114,T118,Jonathan Kaye,95,0.009,0.805,86,2006,sg_app_green
116,120,Jesper Parnevik,84,0.006,0.422,73,2006,sg_app_green
117,104,Carl Pettersson,95,0.003,0.26,75,2006,sg_app_green
118,121,Duffy Waldorf,96,0.002,0.127,82,2006,sg_app_green
T119,T122,Jeff Brehaut,100,-0.003,-0.238,85,2006,sg_app_green
T119,T122,Paul Stankowski,70,-0.003,-0.214,63,2006,sg_app_green
121,111,Dean Wilson,115,-0.007,-0.68,93,2006,sg_app_green
122,124,Ian Leggatt,80,-0.012,-0.841,70,2006,sg_app_green
123,125,David Howell,52,-0.018,-0.535,30,2006,sg_app_green
124,126,Brad Faxon,78,-0.02,-1.466,73,2006,sg_app_green
125,127,Sean O'Hair,100,-0.021,-1.594,76,2006,sg_app_green
126,128,D.A. Points,82,-0.026,-1.863,71,2006,sg_app_green
127,129,John Daly,51,-0.028,-1.141,41,2006,sg_app_green
128,130,Richard Johnson,94,-0.038,-3.256,85,2006,sg_app_green
129,131,Mathew Goggin,72,-0.046,-2.644,58,2006,sg_app_green
130,132,Shane Bertsch,104,-0.047,-4.203,90,2006,sg_app_green
131,133,Nathan Green,108,-0.05,-4.735,94,2006,sg_app_green
132,134,Mathias Grönberg,92,-0.052,-4.099,79,2006,sg_app_green
133,135,Omar Uresti,61,-0.054,-2.763,51,2006,sg_app_green
134,136,Rich Beem,85,-0.076,-4.954,65,2006,sg_app_green
135,137,John Huston,74,-0.077,-5.004,65,2006,sg_app_green
136,138,Tommy Armour III,65,-0.08,-4.258,53,2006,sg_app_green
137,139,Troy Matteson,101,-0.082,-7.235,88,2006,sg_app_green
138,140,Kirk Triplett,58,-0.091,-4.443,49,2006,sg_app_green
139,141,Matt Hansen,68,-0.105,-6.068,58,2006,sg_app_green
140,142,Nick Watney,97,-0.115,-9.885,86,2006,sg_app_green
141,143,Steve Jones,83,-0.124,-8.548,69,2006,sg_app_green
142,144,Paul Azinger,87,-0.125,-9.967,80,2006,sg_app_green
143,145,Ron Whittaker,81,-0.133,-9.424,71,2006,sg_app_green
144,146,Ryan Palmer,101,-0.141,-11.558,82,2006,sg_app_green
145,147,Tjaart van der Walt,60,-0.146,-7.606,52,2006,sg_app_green
146,148,Kevin Sutherland,100,-0.148,-12.909,87,2006,sg_app_green
147,149,Steve Elkington,52,-0.153,-7.023,46,2006,sg_app_green
148,150,Jason Gore,86,-0.159,-11.429,72,2006,sg_app_green
149,151,Skip Kendall,72,-0.16,-9.451,59,2006,sg_app_green
150,152,Jimmy Walker,60,-0.172,-9.638,56,2006,sg_app_green
151,153,Chris Couch,75,-0.176,-11.79,67,2006,sg_app_green
152,154,Todd Fischer,101,-0.186,-16.769,90,2006,sg_app_green
153,155,Brent Geiberger,99,-0.189,-16.978,90,2006,sg_app_green
154,156,Bubba Dickerson,98,-0.195,-16.773,86,2006,sg_app_green
155,157,Michael Connell,51,-0.203,-8.506,42,2006,sg_app_green
156,158,Jeff Overton,95,-0.219,-19.034,87,2006,sg_app_green
157,159,John Cook,67,-0.223,-12.262,55,2006,sg_app_green
158,160,Michael Allen,84,-0.232,-16.718,72,2006,sg_app_green
T159,T161,Marco Dawson,87,-0.235,-18.074,77,2006,sg_app_green
T159,T161,Arjun Atwal,97,-0.235,-19.272,82,2006,sg_app_green
161,163,Mark Brooks,90,-0.243,-17.968,74,2006,sg_app_green
162,164,Brian Bateman,69,-0.248,-14.65,59,2006,sg_app_green
163,165,Daniel Chopra,110,-0.253,-22.733,90,2006,sg_app_green
T164,T166,Ryan Moore,68,-0.274,-15.889,58,2006,sg_app_green
T164,T166,Scott Gutschewski,53,-0.274,-12.342,45,2006,sg_app_green
166,168,J.B. Holmes,81,-0.28,-17.611,63,2006,sg_app_green
167,169,Tim Petrovic,95,-0.281,-23.337,83,2006,sg_app_green
168,170,David McKenzie,82,-0.295,-20.357,69,2006,sg_app_green
169,172,Henrik Bjornstad,97,-0.304,-27.034,89,2006,sg_app_green
170,173,Greg Kraft,79,-0.316,-21.149,67,2006,sg_app_green
171,171,Rod Pampling,89,-0.317,-20.612,65,2006,sg_app_green
172,174,Harrison Frazar,95,-0.322,-24.145,75,2006,sg_app_green
173,175,Nicholas Thompson,96,-0.324,-25.287,78,2006,sg_app_green
174,176,Roger Tambellini,64,-0.388,-20.566,53,2006,sg_app_green
175,177,Ben Crane,85,-0.408,-24.861,61,2006,sg_app_green
176,178,Doug Barron,74,-0.415,-27.803,67,2006,sg_app_green
177,179,Vance Veazey,59,-0.424,-22.903,54,2006,sg_app_green
