RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS,year,measure
1,1,Rory McIlroy,44,2.356,1.284,0.897,0.175,31,2019,sg_tee_to_green
2,2,Justin Thomas,43,1.936,0.415,1.022,0.499,28,2019,sg_tee_to_green
3,7,Dustin Johnson,43,1.76,0.839,0.668,0.252,30,2019,sg_tee_to_green
4,3,Hideki Matsuyama,55,1.716,0.405,0.897,0.414,39,2019,sg_tee_to_green
5,10,Patrick Cantlay,45,1.612,0.605,0.682,0.324,29,2019,sg_tee_to_green
6,9,Paul Casey,50,1.568,0.714,0.574,0.28,30,2019,sg_tee_to_green
7,12,Gary Woodland,59,1.555,0.786,0.541,0.228,39,2019,sg_tee_to_green
8,5,Byeong Hun An,46,1.528,0.327,0.505,0.696,31,2019,sg_tee_to_green
9,4,Tommy Fleetwood,43,1.478,0.808,0.382,0.287,26,2019,sg_tee_to_green
10,6,Corey Conners,52,1.47,0.569,0.866,0.034,33,2019,sg_tee_to_green
11,34,Brooks Koepka,45,1.397,0.584,0.791,0.021,26,2019,sg_tee_to_green
12,14,Sergio Garcia,37,1.379,0.373,1.11,-0.105,26,2019,sg_tee_to_green
13,8,Tiger Woods,27,1.373,0.161,0.678,0.534,17,2019,sg_tee_to_green
14,11,Matt Kuchar,59,1.345,0.295,0.953,0.096,42,2019,sg_tee_to_green
15,15,Keegan Bradley,59,1.284,0.189,1.103,-0.008,39,2019,sg_tee_to_green
16,17,Jason Kokrak,64,1.239,0.53,0.905,-0.196,49,2019,sg_tee_to_green
17,23,Bubba Watson,43,1.223,1.012,0.153,0.058,32,2019,sg_tee_to_green
18,13,Jon Rahm,49,1.187,0.892,0.293,0.002,31,2019,sg_tee_to_green
19,19,Xander Schauffele,49,1.181,0.452,0.562,0.167,29,2019,sg_tee_to_green
20,16,Lucas Glover,58,1.155,0.308,0.533,0.314,49,2019,sg_tee_to_green
21,18,Webb Simpson,49,1.135,0.073,0.64,0.421,41,2019,sg_tee_to_green
22,T21,Luke List,50,1.126,0.725,0.267,0.133,41,2019,sg_tee_to_green
23,20,Justin Rose,34,1.085,0.282,0.711,0.093,21,2019,sg_tee_to_green
24,29,Emiliano Grillo,57,1.069,0.45,0.823,-0.205,33,2019,sg_tee_to_green
25,25,Matthew Fitzpatrick,34,1.044,0.552,0.372,0.12,21,2019,sg_tee_to_green
26,40,Adam Scott,37,1.031,0.426,0.248,0.356,20,2019,sg_tee_to_green
27,T26,Talor Gooch,27,1.026,-0.163,1.201,-0.012,21,2019,sg_tee_to_green
28,30,Keith Mitchell,60,0.983,0.734,0.356,-0.106,37,2019,sg_tee_to_green
29,T21,Jhonattan Vegas,54,0.981,0.715,0.069,0.197,41,2019,sg_tee_to_green
30,28,Henrik Stenson,38,0.947,-0.334,1.296,-0.015,26,2019,sg_tee_to_green
31,32,Jason Day,43,0.931,0.75,0.036,0.145,23,2019,sg_tee_to_green
32,24,Jim Furyk,41,0.919,-0.037,0.744,0.212,29,2019,sg_tee_to_green
33,31,Sungjae Im,78,0.917,0.406,0.265,0.246,58,2019,sg_tee_to_green
34,T26,Bryson DeChambeau,39,0.904,0.677,0.221,0.006,32,2019,sg_tee_to_green
35,33,Russell Knox,57,0.881,0.108,0.609,0.164,41,2019,sg_tee_to_green
36,36,Charles Howell III,62,0.868,0.375,0.138,0.354,41,2019,sg_tee_to_green
37,41,Matt Wallace,31,0.853,0.352,0.067,0.434,22,2019,sg_tee_to_green
38,38,Zach Johnson,44,0.809,-0.066,0.56,0.314,35,2019,sg_tee_to_green
39,37,Kevin Streelman,55,0.795,0.548,0.253,-0.006,45,2019,sg_tee_to_green
T40,45,Rickie Fowler,48,0.731,0.291,0.34,0.101,39,2019,sg_tee_to_green
T40,35,Ian Poulter,45,0.731,0.282,0.045,0.404,26,2019,sg_tee_to_green
42,42,Matt Jones,61,0.728,0.476,-0.06,0.312,39,2019,sg_tee_to_green
43,43,D.J. Trahan,29,0.724,0.583,0.001,0.14,15,2019,sg_tee_to_green
44,47,Marc Leishman,48,0.68,0.059,0.679,-0.059,31,2019,sg_tee_to_green
45,39,Ryan Moore,50,0.668,0.096,0.531,0.041,39,2019,sg_tee_to_green
46,48,Hank Lebioda,51,0.665,0.262,0.156,0.247,35,2019,sg_tee_to_green
T47,49,Bud Cauley,53,0.662,-0.184,0.117,0.728,45,2019,sg_tee_to_green
T47,T54,Aaron Wise,48,0.662,0.608,-0.114,0.169,34,2019,sg_tee_to_green
49,46,Scott Piercy,64,0.658,0.326,0.258,0.073,44,2019,sg_tee_to_green
50,56,Tony Finau,55,0.643,0.377,0.361,-0.094,35,2019,sg_tee_to_green
51,44,Dylan Frittelli,51,0.625,0.376,0.216,0.032,40,2019,sg_tee_to_green
52,51,Louis Oosthuizen,39,0.607,0.222,-0.167,0.551,20,2019,sg_tee_to_green
53,52,Joaquin Niemann,56,0.594,0.209,0.47,-0.086,40,2019,sg_tee_to_green
54,59,Abraham Ancer,61,0.578,0.532,-0.005,0.051,41,2019,sg_tee_to_green
55,T54,Chez Reavie,65,0.573,0.095,0.558,-0.082,38,2019,sg_tee_to_green
56,68,Sung Kang,65,0.572,0.215,0.282,0.074,51,2019,sg_tee_to_green
57,57,Rory Sabbatini,63,0.56,0.282,0.011,0.266,46,2019,sg_tee_to_green
58,62,Adam Svensson,49,0.505,-0.025,0.265,0.264,35,2019,sg_tee_to_green
59,63,Trey Mullinax,61,0.5,0.265,0.448,-0.213,47,2019,sg_tee_to_green
60,58,Kevin Tway,54,0.484,0.033,0.104,0.348,37,2019,sg_tee_to_green
61,61,Harold Varner III,56,0.482,0.458,-0.031,0.055,46,2019,sg_tee_to_green
62,64,Si Woo Kim,59,0.461,-0.074,0.144,0.391,33,2019,sg_tee_to_green
T63,53,Phil Mickelson,39,0.441,0.137,0.08,0.224,28,2019,sg_tee_to_green
T63,97,Francesco Molinari,37,0.441,0.196,0.231,0.014,22,2019,sg_tee_to_green
T65,50,Rafa Cabrera Bello,53,0.434,0.248,0.246,-0.06,32,2019,sg_tee_to_green
T65,67,Joel Dahmen,72,0.434,0.265,0.256,-0.088,50,2019,sg_tee_to_green
67,88,Brandt Snedeker,60,0.412,-0.27,0.074,0.607,40,2019,sg_tee_to_green
68,84,Tyrrell Hatton,38,0.408,0.231,-0.184,0.36,22,2019,sg_tee_to_green
69,71,Brian Stuard,68,0.397,-0.263,0.36,0.3,47,2019,sg_tee_to_green
70,80,Branden Grace,56,0.383,0.216,0.065,0.102,29,2019,sg_tee_to_green
71,72,Nate Lashley,38,0.373,-0.17,0.614,-0.071,25,2019,sg_tee_to_green
72,73,Scott Stallings,55,0.368,0.004,0.47,-0.107,41,2019,sg_tee_to_green
73,60,Troy Merritt,38,0.359,-0.037,0.254,0.176,29,2019,sg_tee_to_green
74,75,Kramer Hickok,55,0.356,0.396,-0.22,0.18,37,2019,sg_tee_to_green
75,76,Roberto Castro,48,0.349,-0.267,0.398,0.217,34,2019,sg_tee_to_green
76,77,Russell Henley,54,0.348,0.112,0.14,0.096,41,2019,sg_tee_to_green
T77,T78,Matt Every,30,0.332,0.184,0.003,0.146,17,2019,sg_tee_to_green
T77,T78,Sebastián Muñoz,54,0.332,0.033,-0.06,0.359,36,2019,sg_tee_to_green
79,69,Michael Thompson,50,0.313,0.165,0.039,0.109,44,2019,sg_tee_to_green
80,74,Cameron Smith,53,0.296,-0.386,0.369,0.313,31,2019,sg_tee_to_green
81,83,Adam Schenk,70,0.292,0.056,0.426,-0.191,50,2019,sg_tee_to_green
82,85,Cameron Davis,52,0.287,0.162,0.263,-0.138,35,2019,sg_tee_to_green
