RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,year,measure
1,1,Robert Allenby,108,1.217,104.658,86,2008,sg_app_green
2,2,Sergio Garcia,72,0.891,49.887,56,2008,sg_app_green
3,3,Phil Mickelson,80,0.842,49.664,59,2008,sg_app_green
4,4,Chad Campbell,94,0.83,70.587,85,2008,sg_app_green
5,5,Ernie Els,51,0.79,28.44,36,2008,sg_app_green
6,6,Jeff Quinney,87,0.781,57.047,73,2008,sg_app_green
7,7,Camilo Villegas,79,0.777,48.935,63,2008,sg_app_green
8,8,Hunter Mahan,87,0.742,53.419,72,2008,sg_app_green
9,9,Alex Cejka,75,0.677,40.606,60,2008,sg_app_green
10,10,Briny Baird,113,0.65,62.411,96,2008,sg_app_green
11,11,John Senden,93,0.63,51.687,82,2008,sg_app_green
12,16,Stephen Ames,83,0.623,41.135,66,2008,sg_app_green
13,T12,Paul Casey,55,0.616,22.173,36,2008,sg_app_green
14,T12,Zach Johnson,85,0.612,43.475,71,2008,sg_app_green
15,14,David Toms,70,0.61,34.157,56,2008,sg_app_green
16,15,Vijay Singh,82,0.607,38.211,63,2008,sg_app_green
17,17,Kenny Perry,97,0.599,55.117,92,2008,sg_app_green
18,24,Tim Clark,90,0.597,43.604,73,2008,sg_app_green
19,18,Jim Furyk,95,0.59,44.264,75,2008,sg_app_green
20,19,Dean Wilson,109,0.563,52.33,93,2008,sg_app_green
21,22,Tom Lehman,51,0.546,20.749,38,2008,sg_app_green
22,21,Heath Slocum,104,0.545,46.887,86,2008,sg_app_green
23,20,Brian Gay,102,0.537,46.153,86,2008,sg_app_green
24,25,Mark Calcavecchia,67,0.513,27.708,54,2008,sg_app_green
25,34,Scott Verplank,82,0.508,32.989,65,2008,sg_app_green
26,23,Stewart Cink,87,0.501,32.04,64,2008,sg_app_green
27,26,D.J. Trahan,94,0.496,38.689,78,2008,sg_app_green
28,27,Nick O'Hern,82,0.491,34.858,71,2008,sg_app_green
29,T28,Anthony Kim,81,0.474,30.829,65,2008,sg_app_green
T30,30,Matt Kuchar,88,0.47,32.927,70,2008,sg_app_green
T30,39,Ryan Palmer,69,0.47,28.21,60,2008,sg_app_green
32,31,Gavin Coles,54,0.454,19.971,44,2008,sg_app_green
33,42,Joe Durant,92,0.447,35.294,79,2008,sg_app_green
34,32,Boo Weekley,86,0.443,28.322,64,2008,sg_app_green
35,33,George McNeill,97,0.434,39.097,90,2008,sg_app_green
36,36,Pat Perez,93,0.423,33.413,79,2008,sg_app_green
37,35,Bubba Watson,97,0.416,33.309,80,2008,sg_app_green
38,37,Woody Austin,109,0.41,36.115,88,2008,sg_app_green
39,38,Rocco Mediate,87,0.4,27.565,69,2008,sg_app_green
40,45,Bob Estes,90,0.396,34.075,86,2008,sg_app_green
41,40,Adam Scott,51,0.384,13.441,35,2008,sg_app_green
42,41,Steve Stricker,75,0.377,21.89,58,2008,sg_app_green
43,43,Kevin Sutherland,98,0.352,30.948,88,2008,sg_app_green
44,T28,Bob Tway,70,0.35,19.928,57,2008,sg_app_green
