RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,year,measure
91,92,Boo Weekley,79,0.108,7.226,67,2015,sg_app_green
92,93,Johnson Wagner,68,0.106,6.047,57,2015,sg_app_green
93,94,Jim Renner,68,0.085,4.756,56,2015,sg_app_green
94,95,Geoff Ogilvy,50,0.082,2.87,35,2015,sg_app_green
95,96,Jon Curran,83,0.077,4.994,65,2015,sg_app_green
96,97,William McGirt,103,0.06,5.819,97,2015,sg_app_green
T97,T79,Steven Bowditch,103,0.056,4.961,88,2015,sg_app_green
T97,T98,Scott Langley,94,0.056,4.443,79,2015,sg_app_green
99,100,Bo Van Pelt,81,0.054,3.507,65,2015,sg_app_green
100,101,Jeff Overton,94,0.041,3.072,75,2015,sg_app_green
101,102,Carl Pettersson,106,0.035,3.347,96,2015,sg_app_green
102,103,Scott Brown,97,0.031,2.498,81,2015,sg_app_green
103,104,Ken Duke,93,0.025,1.92,78,2015,sg_app_green
104,105,Phil Mickelson,70,0.022,1.206,55,2015,sg_app_green
105,106,Luke Guthrie,84,0.02,1.393,68,2015,sg_app_green
106,107,Colt Knost,90,0.017,1.266,74,2015,sg_app_green
T107,T108,Mark Wilson,89,0.013,1.086,81,2015,sg_app_green
T107,T108,David Lingmerth,90,0.013,0.928,74,2015,sg_app_green
109,110,Kevin Streelman,95,0.005,0.379,73,2015,sg_app_green
110,111,Cameron Percy,72,-0.002,-0.113,58,2015,sg_app_green
111,112,Jason Kokrak,88,-0.014,-1.123,80,2015,sg_app_green
112,113,David Toms,62,-0.028,-1.565,55,2015,sg_app_green
113,114,Jerry Kelly,79,-0.052,-3.428,66,2015,sg_app_green
114,115,Scott Stallings,60,-0.053,-2.609,49,2015,sg_app_green
115,116,Cameron Tringale,96,-0.054,-4.279,79,2015,sg_app_green
116,117,Retief Goosen,81,-0.056,-3.346,60,2015,sg_app_green
117,118,Fabián Gómez,83,-0.057,-3.901,69,2015,sg_app_green
118,120,Ricky Barnes,82,-0.072,-4.545,63,2015,sg_app_green
119,121,Matt Every,73,-0.074,-4.153,56,2015,sg_app_green
120,122,Kyle Reifers,96,-0.084,-6.715,80,2015,sg_app_green
121,123,Alex Prugh,84,-0.085,-6.118,72,2015,sg_app_green
122,124,J.J. Henry,94,-0.088,-6.691,76,2015,sg_app_green
123,125,Kevin Chappell,86,-0.105,-7.909,75,2015,sg_app_green
124,126,Steven Alker,62,-0.114,-5.709,50,2015,sg_app_green
125,127,John Huh,102,-0.12,-10.665,89,2015,sg_app_green
T126,T128,Andrew Putnam,68,-0.132,-7.112,54,2015,sg_app_green
T126,T128,Charl Schwartzel,67,-0.132,-5.425,41,2015,sg_app_green
128,130,Nicholas Thompson,90,-0.139,-9.718,70,2015,sg_app_green
129,131,Martin Flores,95,-0.142,-11.209,79,2015,sg_app_green
130,133,Byron Smith,59,-0.149,-6.403,43,2015,sg_app_green
131,134,Jamie Donaldson,50,-0.15,-4.785,32,2015,sg_app_green
132,135,Padraig Harrington,60,-0.165,-8.099,49,2015,sg_app_green
133,136,John Senden,80,-0.171,-8.742,51,2015,sg_app_green
134,137,Brian Harman,90,-0.176,-13.714,78,2015,sg_app_green
135,138,Bryce Molder,91,-0.181,-13.911,77,2015,sg_app_green
136,139,Adam Hadwin,95,-0.183,-14.805,81,2015,sg_app_green
137,140,Zac Blair,108,-0.188,-16.546,88,2015,sg_app_green
138,141,Derek Fathauer,81,-0.198,-13.08,66,2015,sg_app_green
T139,132,Brandt Snedeker,98,-0.199,-14.895,75,2015,sg_app_green
T139,142,Troy Merritt,91,-0.199,-16.322,82,2015,sg_app_green
141,143,Brian Stuard,97,-0.2,-15.814,79,2015,sg_app_green
142,144,Erik Compton,86,-0.217,-15.16,70,2015,sg_app_green
143,145,Chesson Hadley,101,-0.218,-19.368,89,2015,sg_app_green
144,146,Andres Romero,69,-0.221,-11.953,54,2015,sg_app_green
T145,T147,Nick Taylor,91,-0.224,-18.583,83,2015,sg_app_green
T145,T147,Justin Leonard,61,-0.224,-12.094,54,2015,sg_app_green
147,149,Jonathan Randolph,72,-0.234,-13.096,56,2015,sg_app_green
148,150,Carlos Ortiz,100,-0.238,-19.748,83,2015,sg_app_green
149,151,Hunter Mahan,88,-0.249,-16.199,65,2015,sg_app_green
150,152,Russell Henley,87,-0.269,-18.007,67,2015,sg_app_green
151,159,Sangmoon Bae,98,-0.276,-24.284,88,2015,sg_app_green
152,154,Sean O'Hair,86,-0.284,-22.966,81,2015,sg_app_green
153,155,Charlie Beljan,76,-0.293,-16.713,57,2015,sg_app_green
154,156,Sam Saunders,83,-0.294,-18.546,63,2015,sg_app_green
155,157,Michael Thompson,83,-0.301,-22.545,75,2015,sg_app_green
156,158,Jonathan Byrd,69,-0.303,-15.447,51,2015,sg_app_green
157,160,Jhonattan Vegas,90,-0.314,-22.632,72,2015,sg_app_green
158,161,Robert Garrigus,70,-0.318,-17.475,55,2015,sg_app_green
159,162,Matt Jones,89,-0.319,-21.38,67,2015,sg_app_green
160,164,Sung Joon Park,79,-0.326,-20.548,63,2015,sg_app_green
161,165,Brice Garnett,81,-0.327,-20.902,64,2015,sg_app_green
162,166,Davis Love III,51,-0.335,-14.075,42,2015,sg_app_green
163,167,Morgan Hoffmann,85,-0.347,-23.909,69,2015,sg_app_green
164,168,Andres Gonzales,90,-0.349,-26.528,76,2015,sg_app_green
165,169,Mark Hubbard,79,-0.35,-21.325,61,2015,sg_app_green
166,170,Blayne Barber,76,-0.352,-22.16,63,2015,sg_app_green
167,171,Eric Axley,57,-0.372,-15.974,43,2015,sg_app_green
168,172,Scott Pinckney,88,-0.409,-30.261,74,2015,sg_app_green
169,173,Andrew Svoboda,80,-0.41,-28.732,70,2015,sg_app_green
170,175,Steve Wheatcroft,87,-0.45,-32.378,72,2015,sg_app_green
171,176,Patrick Rodgers,57,-0.456,-20.998,46,2015,sg_app_green
172,177,Max Homa,78,-0.467,-28.959,62,2015,sg_app_green
173,178,Ben Crane,62,-0.486,-25.287,52,2015,sg_app_green
174,179,Gonzalo Fernandez-Castaño,81,-0.495,-31.162,63,2015,sg_app_green
175,180,Brian Davis,86,-0.503,-35.724,71,2015,sg_app_green
176,181,Tim Wilkinson,73,-0.523,-30.348,58,2015,sg_app_green
177,182,Derek Ernst,75,-0.547,-34.474,63,2015,sg_app_green
178,183,Bill Lunde,50,-0.592,-21.307,36,2015,sg_app_green
179,184,Oscar Fraustro,58,-0.637,-25.492,40,2015,sg_app_green
180,185,Jonas Blixt,78,-0.655,-34.079,52,2015,sg_app_green
181,186,Aaron Baddeley,76,-0.719,-47.452,66,2015,sg_app_green
182,187,Roger Sloan,56,-0.746,-29.824,40,2015,sg_app_green
183,188,Heath Slocum,57,-0.759,-29.596,39,2015,sg_app_green
184,189,Greg Chalmers,58,-0.782,-28.157,36,2015,sg_app_green
