RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,year,measure
1,1,Boo Weekley,66,71.68,800,"1,116",-0.23,2011,gir_pct
2,3,Heath Slocum,89,71.4,"1,131","1,584",-0.23,2011,gir_pct
3,5,Joe Durant,71,71.26,885,"1,242",-0.18,2011,gir_pct
4,2,Chad Campbell,99,71.13,"1,242","1,746",-0.22,2011,gir_pct
5,4,John Senden,94,70.86,"1,199","1,692",-0.26,2011,gir_pct
6,6,David Toms,78,70.2,935,"1,332",-0.27,2011,gir_pct
7,7,Ernie Els,71,69.89,868,"1,242",-0.22,2011,gir_pct
8,12,Webb Simpson,98,69.84,"1,232","1,764",-0.32,2011,gir_pct
9,8,Bubba Watson,85,69.83,993,"1,422",-0.29,2011,gir_pct
10,10,Justin Rose,79,69.48,963,"1,386",-0.26,2011,gir_pct
11,9,Bill Haas,93,69.44,"1,150","1,656",-0.27,2011,gir_pct
12,11,Gary Woodland,93,69.41,"1,162","1,674",-0.28,2011,gir_pct
13,13,Bill Lunde,92,69.38,"1,099","1,584",-0.25,2011,gir_pct
14,16,Brandt Jobe,100,69.16,"1,195","1,728",-0.26,2011,gir_pct
15,17,Briny Baird,60,69.14,672,972,-0.24,2011,gir_pct
16,22,John Rollins,85,69.08,"1,032","1,494",-0.26,2011,gir_pct
17,18,D.J. Trahan,91,68.99,"1,130","1,638",-0.23,2011,gir_pct
18,15,J.J. Henry,96,68.96,"1,142","1,656",-0.24,2011,gir_pct
19,23,Charles Howell III,108,68.91,"1,290","1,872",-0.25,2011,gir_pct
20,25,Kris Blanks,92,68.89,"1,116","1,620",-0.24,2011,gir_pct
21,27,David Hearn,88,68.82,991,"1,440",-0.23,2011,gir_pct
22,19,Hunter Mahan,92,68.79,"1,102","1,602",-0.29,2011,gir_pct
23,T31,Billy Mayfair,94,68.77,"1,114","1,620",-0.24,2011,gir_pct
24,21,John Merrick,71,68.69,779,"1,134",-0.25,2011,gir_pct
25,20,William McGirt,103,68.63,"1,223","1,782",-0.23,2011,gir_pct
26,24,Chez Reavie,92,68.6,"1,136","1,656",-0.26,2011,gir_pct
27,26,Dustin Johnson,72,68.39,874,"1,278",-0.3,2011,gir_pct
28,28,Davis Love III,70,68.25,860,"1,260",-0.25,2011,gir_pct
29,35,Alexandre Rocha,65,68.23,700,"1,026",-0.19,2011,gir_pct
30,29,Kyle Stanley,98,68.21,"1,105","1,620",-0.28,2011,gir_pct
31,40,Trevor Immelman,84,68.12,"1,030","1,512",-0.24,2011,gir_pct
32,30,Adam Scott,60,68.08,723,"1,062",-0.28,2011,gir_pct
33,33,Kevin Stadler,88,68.06,980,"1,440",-0.26,2011,gir_pct
34,T31,Bo Van Pelt,92,68.02,"1,102","1,620",-0.26,2011,gir_pct
35,34,Spencer Levin,113,67.99,"1,334","1,962",-0.26,2011,gir_pct
36,38,Jim Herman,69,67.94,746,"1,098",-0.21,2011,gir_pct
37,44,Michael Bradley,74,67.62,852,"1,260",-0.25,2011,gir_pct
38,36,Jim Furyk,87,67.57,"1,046","1,548",-0.24,2011,gir_pct
39,37,Robert Allenby,84,67.54,"1,009","1,494",-0.24,2011,gir_pct
40,42,Brian Davis,105,67.35,"1,273","1,890",-0.27,2011,gir_pct
41,51,Luke Donald,73,67.33,812,"1,206",-0.33,2011,gir_pct
T42,45,Jason Bohn,74,67.3,848,"1,260",-0.26,2011,gir_pct
T42,T55,Cameron Tringale,110,67.3,"1,284","1,908",-0.25,2011,gir_pct
44,41,Jhonattan Vegas,84,67.22,968,"1,440",-0.25,2011,gir_pct
45,43,Johnson Wagner,81,67.17,931,"1,386",-0.22,2011,gir_pct
46,T53,Aron Price,58,67.09,628,936,-0.25,2011,gir_pct
47,52,Billy Horschel,75,67.07,833,"1,242",-0.24,2011,gir_pct
T48,50,Chris Stroud,88,67,"1,013","1,512",-0.25,2011,gir_pct
T48,T48,Tommy Gainey,104,67,"1,206","1,800",-0.27,2011,gir_pct
50,46,Matt Kuchar,94,66.98,"1,061","1,584",-0.3,2011,gir_pct
51,47,Phil Mickelson,79,66.96,928,"1,386",-0.28,2011,gir_pct
52,T48,Jason Dufner,78,66.95,940,"1,404",-0.26,2011,gir_pct
53,T53,Josh Teater,104,66.89,"1,180","1,764",-0.27,2011,gir_pct
T54,T55,Nick Watney,80,66.88,927,"1,386",-0.32,2011,gir_pct
T54,66,Woody Austin,59,66.88,638,954,-0.26,2011,gir_pct
56,57,Sergio Garcia,61,66.85,734,"1,098",-0.26,2011,gir_pct
57,58,Charley Hoffman,93,66.79,"1,106","1,656",-0.3,2011,gir_pct
T58,61,Nick O'Hern,89,66.67,"1,020","1,530",-0.24,2011,gir_pct
T58,59,Chris Kirk,87,66.67,"1,044","1,566",-0.29,2011,gir_pct
60,72,Scott Stallings,84,66.6,935,"1,404",-0.26,2011,gir_pct
61,60,Martin Laird,77,66.59,911,"1,368",-0.3,2011,gir_pct
62,62,Ricky Barnes,78,66.52,934,"1,404",-0.24,2011,gir_pct
T63,T63,J.B. Holmes,57,66.46,634,954,-0.31,2011,gir_pct
T63,T63,Vijay Singh,79,66.46,945,"1,422",-0.26,2011,gir_pct
65,65,Brendon de Jonge,105,66.45,"1,208","1,818",-0.28,2011,gir_pct
66,70,Steve Elkington,50,66.44,598,900,-0.23,2011,gir_pct
67,67,Zach Johnson,79,66.38,932,"1,404",-0.27,2011,gir_pct
T68,T68,Ben Crane,76,66.36,872,"1,314",-0.25,2011,gir_pct
T68,T68,Tom Gillis,55,66.36,657,990,-0.21,2011,gir_pct
70,T78,Jerry Kelly,85,66.25,954,"1,440",-0.25,2011,gir_pct
71,71,Hunter Haas,96,66.24,"1,097","1,656",-0.27,2011,gir_pct
72,73,Robert Garrigus,83,66.13,988,"1,494",-0.28,2011,gir_pct
73,98,Kent Jones,76,66.12,845,"1,278",-0.22,2011,gir_pct
74,74,Alex Cejka,59,66.1,702,"1,062",-0.25,2011,gir_pct
75,75,Graeme McDowell,50,66.08,559,846,-0.27,2011,gir_pct
76,T85,Vaughn Taylor,89,66.04,"1,058","1,602",-0.27,2011,gir_pct
77,76,Mark Wilson,89,66.03,"1,034","1,566",-0.24,2011,gir_pct
