RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,year,measure
T257,T257,Andrew Buckle,15,1.36,"$170,264","$12,510,000",2008,pct_total_money_won
T257,T257,Jonathan Lomas,1,1.36,"$20,384","$1,498,875",2008,pct_total_money_won
T259,T259,Brad Elder,23,1.35,"$270,365","$20,016,000",2008,pct_total_money_won
T259,T259,John Riegger,24,1.35,"$289,501","$21,366,000",2008,pct_total_money_won
261,261,Ian Leggatt,5,1.33,"$62,481","$4,698,000",2008,pct_total_money_won
T262,T262,Jean Baptiste Gonnet,1,1.32,"$19,785","$1,498,875",2008,pct_total_money_won
T262,T262,David Horsey,1,1.32,"$19,785","$1,498,875",2008,pct_total_money_won
T262,T262,Larry Mize,16,1.32,"$190,803","$14,418,000",2008,pct_total_money_won
T262,T262,Jimmy Walker,24,1.32,"$282,249","$21,312,000",2008,pct_total_money_won
266,266,Tom Gillis,3,1.28,"$38,915","$3,028,875",2008,pct_total_money_won
T267,T267,Kenneth Ferrie,25,1.27,"$288,772","$22,716,000",2008,pct_total_money_won
T267,T267,James Kingston,5,1.27,"$84,250","$6,628,875",2008,pct_total_money_won
T269,T269,Chip Deason,1,1.25,"$10,350","$828,000",2008,pct_total_money_won
T269,T269,Jose-Filipe Lima,1,1.25,"$18,685","$1,498,875",2008,pct_total_money_won
T269,T269,Kiyoshi Miyazato,1,1.25,"$11,925","$954,000",2008,pct_total_money_won
T269,T269,Martin Wiegele,1,1.25,"$18,685","$1,498,875",2008,pct_total_money_won
273,273,John Douma,1,1.24,"$11,150","$900,000",2008,pct_total_money_won
T274,T274,Erik Compton,1,1.22,"$10,074","$828,000",2008,pct_total_money_won
T274,T274,Bubba Dickerson,1,1.22,"$13,640","$1,116,000",2008,pct_total_money_won
T274,T274,J.P. Hayes,26,1.22,"$312,151","$25,488,000",2008,pct_total_money_won
277,277,Pablo Larrazabal,3,1.21,"$50,685","$4,198,875",2008,pct_total_money_won
T278,T278,Charl Schwartzel,1,1.2,"$16,250","$1,350,000",2008,pct_total_money_won
T278,T278,Mitsuhiro Tateyama,1,1.2,"$11,448","$954,000",2008,pct_total_money_won
T280,T280,Dennis Paulson,1,1.19,"$6,420","$540,000",2008,pct_total_money_won
T280,T280,Ted Schulz,1,1.19,"$6,420","$540,000",2008,pct_total_money_won
T282,T282,Bryan DeCorso,1,1.18,"$10,600","$900,000",2008,pct_total_money_won
T282,T282,Mike Ruiz,1,1.18,"$8,692","$738,000",2008,pct_total_money_won
T284,T284,Brian Bateman,18,1.17,"$227,470","$19,478,000",2008,pct_total_money_won
T284,T284,Alejandro Cañizares,16,1.17,"$162,115","$13,824,000",2008,pct_total_money_won
T284,T284,Shingo Katayama,5,1.17,"$76,375","$6,516,000",2008,pct_total_money_won
T284,T284,Miguel Suarez,1,1.17,"$7,350","$630,000",2008,pct_total_money_won
288,288,Ryan Armour,32,1.16,"$354,508","$30,582,000",2008,pct_total_money_won
T289,T289,Scott Hoch,1,1.15,"$11,385","$990,000",2008,pct_total_money_won
T289,T289,José María Olazábal,4,1.15,"$60,200","$5,220,000",2008,pct_total_money_won
T291,T291,Andrew Dresser,1,1.13,"$15,189","$1,350,000",2008,pct_total_money_won
T291,T291,Andrew Svoboda,1,1.13,"$15,189","$1,350,000",2008,pct_total_money_won
293,293,Chih-Bing Lam,1,1.12,"$16,787","$1,498,875",2008,pct_total_money_won
T294,T294,Peter Karmis,1,1.11,"$11,940","$1,080,000",2008,pct_total_money_won
T294,T294,Rod Perry,1,1.11,"$9,154","$828,000",2008,pct_total_money_won
T296,T296,Michael Bradley,14,1.1,"$138,453","$12,564,000",2008,pct_total_money_won
T296,T296,Rick Fehr,1,1.1,"$5,940","$540,000",2008,pct_total_money_won
T296,T296,Chris Kirk,3,1.1,"$37,724","$3,438,000",2008,pct_total_money_won
T296,T296,Derek Lamely,1,1.1,"$10,494","$954,000",2008,pct_total_money_won
300,300,Ted Purdy,25,1.09,"$248,207","$22,824,000",2008,pct_total_money_won
301,301,Pete Jordan,1,1.08,"$10,725","$990,000",2008,pct_total_money_won
T302,T302,Billy Andrade,24,1.06,"$243,490","$22,914,000",2008,pct_total_money_won
T302,T302,Justin Hicks,1,1.06,"$14,306","$1,350,000",2008,pct_total_money_won
304,304,Hiroyuki Fujita,1,1.05,"$14,150","$1,350,000",2008,pct_total_money_won
T305,T305,Fulton Allem,1,1.04,"$11,468","$1,098,000",2008,pct_total_money_won
T305,T305,Reid Edstrom,1,1.04,"$10,340","$990,000",2008,pct_total_money_won
T305,T305,Neal Lancaster,9,1.04,"$70,137","$6,732,000",2008,pct_total_money_won
T305,T305,Wilfredo Morales,1,1.04,"$6,545","$630,000",2008,pct_total_money_won
T309,T309,Keiichiro Fukabori,1,1.03,"$9,805","$954,000",2008,pct_total_money_won
T309,T309,Robert Gamez,26,1.03,"$249,944","$24,156,000",2008,pct_total_money_won
311,311,Ross McGowan,1,1.02,"$13,718","$1,350,000",2008,pct_total_money_won
T312,T312,Casey Bourque,1,1.01,"$7,462","$738,000",2008,pct_total_money_won
T312,T312,Dustin Risdon,1,1.01,"$9,100","$900,000",2008,pct_total_money_won
T314,T314,Todd Demsey,25,0.96,"$217,417","$22,662,000",2008,pct_total_money_won
T314,T314,Brett Wetterich,11,0.96,"$121,675","$12,708,000",2008,pct_total_money_won
316,316,Shaun Micheel,16,0.94,"$157,828","$16,848,000",2008,pct_total_money_won
317,317,Steve Webster,3,0.91,"$38,250","$4,198,875",2008,pct_total_money_won
318,318,Shigeki Maruyama,18,0.9,"$160,174","$17,874,000",2008,pct_total_money_won
T319,T319,Tom Byrum,12,0.89,"$87,782","$9,900,000",2008,pct_total_money_won
T319,T319,Stephen Leaney,17,0.89,"$157,963","$17,766,000",2008,pct_total_money_won
T321,T321,Scott Strange,3,0.88,"$37,000","$4,198,875",2008,pct_total_money_won
T321,T321,Chip Sullivan,6,0.88,"$45,559","$5,148,000",2008,pct_total_money_won
323,323,Sandy Lyle,2,0.87,"$24,750","$2,848,875",2008,pct_total_money_won
T324,T324,Stuart Deane,2,0.85,"$15,213","$1,800,000",2008,pct_total_money_won
T324,T324,Mathias Grönberg,30,0.85,"$245,281","$28,710,000",2008,pct_total_money_won
326,326,Jin Park,30,0.83,"$227,102","$27,306,000",2008,pct_total_money_won
327,327,Craig Barlow,15,0.8,"$129,731","$16,150,875",2008,pct_total_money_won
328,328,Joey Sindelar,5,0.78,"$34,350","$4,410,000",2008,pct_total_money_won
