RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,year,measure
1,1,Tiger Woods,64,1.398,67.082,48,2009,sg_app_green
2,2,Steve Stricker,81,1.018,63.124,62,2009,sg_app_green
3,3,Robert Allenby,71,1.015,56.86,56,2009,sg_app_green
4,6,Zach Johnson,94,0.844,66.714,79,2009,sg_app_green
5,4,Tom Lehman,55,0.834,29.2,35,2009,sg_app_green
6,5,Sean O'Hair,80,0.796,46.178,58,2009,sg_app_green
7,8,Tim Clark,81,0.773,45.598,59,2009,sg_app_green
8,7,Jason Bohn,88,0.754,61.83,82,2009,sg_app_green
9,9,Ernie Els,70,0.722,38.969,54,2009,sg_app_green
10,10,Sergio Garcia,59,0.65,28.608,44,2009,sg_app_green
11,11,Chad Campbell,90,0.635,45.082,71,2009,sg_app_green
12,12,Scott Verplank,88,0.621,49.07,79,2009,sg_app_green
13,13,John Senden,100,0.606,55.775,92,2009,sg_app_green
14,16,David Toms,98,0.566,45.24,80,2009,sg_app_green
15,14,Hunter Mahan,94,0.561,42.084,75,2009,sg_app_green
16,15,Jim Furyk,86,0.557,36.235,65,2009,sg_app_green
17,19,Justin Leonard,95,0.547,41.009,75,2009,sg_app_green
18,18,Briny Baird,89,0.515,37.087,72,2009,sg_app_green
19,17,Brett Quigley,92,0.508,38.109,75,2009,sg_app_green
20,20,Camilo Villegas,76,0.474,26.522,56,2009,sg_app_green
21,21,Padraig Harrington,66,0.471,22.612,48,2009,sg_app_green
22,22,Woody Austin,84,0.467,35.506,76,2009,sg_app_green
23,23,Rory Sabbatini,81,0.452,30.305,67,2009,sg_app_green
24,25,Nick O'Hern,90,0.451,38.346,85,2009,sg_app_green
25,26,Luke Donald,79,0.426,25.981,61,2009,sg_app_green
26,27,Kenny Perry,92,0.414,30.21,73,2009,sg_app_green
27,24,Joe Durant,62,0.413,19.432,47,2009,sg_app_green
28,T30,Paul Goydos,79,0.395,25.693,65,2009,sg_app_green
29,28,Y.E. Yang,83,0.386,26.991,70,2009,sg_app_green
30,29,Davis Love III,89,0.378,29.125,77,2009,sg_app_green
31,T30,Matt Weibring,65,0.373,20.51,55,2009,sg_app_green
32,T32,Alex Cejka,82,0.372,26.436,71,2009,sg_app_green
T33,T35,Dean Wilson,81,0.369,25.851,70,2009,sg_app_green
T33,T32,D.J. Trahan,96,0.369,29.5,80,2009,sg_app_green
35,47,Jonathan Byrd,89,0.368,29.056,79,2009,sg_app_green
36,34,Chris Stroud,88,0.36,27.352,76,2009,sg_app_green
37,T35,Fred Couples,54,0.348,14.606,42,2009,sg_app_green
38,37,Nick Watney,86,0.345,23.431,68,2009,sg_app_green
39,50,Ricky Barnes,67,0.327,16.673,51,2009,sg_app_green
40,44,Rocco Mediate,79,0.324,21.4,66,2009,sg_app_green
41,T40,Steve Marino,98,0.323,27.153,84,2009,sg_app_green
42,43,Vijay Singh,71,0.319,16.286,51,2009,sg_app_green
43,42,Steve Flesch,77,0.318,20.022,63,2009,sg_app_green
44,T45,Jason Dufner,90,0.313,24.396,78,2009,sg_app_green
45,T40,Robert Garrigus,83,0.311,22.426,72,2009,sg_app_green
46,39,Heath Slocum,95,0.306,26.024,85,2009,sg_app_green
47,48,Boo Weekley,79,0.301,19.54,65,2009,sg_app_green
T48,49,Ángel Cabrera,55,0.295,11.228,38,2009,sg_app_green
T48,51,Greg Owen,97,0.295,24.225,82,2009,sg_app_green
50,T45,Michael Allen,73,0.292,16.927,58,2009,sg_app_green
51,59,J.B. Holmes,74,0.291,17.773,61,2009,sg_app_green
52,52,Kris Blanks,60,0.284,13.339,47,2009,sg_app_green
53,38,Cameron Beckman,87,0.283,21.203,75,2009,sg_app_green
54,53,Kevin Na,91,0.273,21.28,78,2009,sg_app_green
55,54,Phil Mickelson,66,0.268,12.87,48,2009,sg_app_green
56,62,Patrick Sheehan,51,0.266,10.372,39,2009,sg_app_green
57,55,Tommy Armour III,58,0.264,13.718,52,2009,sg_app_green
58,56,Jimmy Walker,74,0.263,16.802,64,2009,sg_app_green
59,57,Ian Poulter,59,0.24,10.061,42,2009,sg_app_green
60,58,Marc Leishman,91,0.239,20.097,84,2009,sg_app_green
61,64,Stephen Ames,77,0.236,13.448,57,2009,sg_app_green
62,60,Charley Hoffman,97,0.235,20.462,87,2009,sg_app_green
63,61,Mike Weir,85,0.229,15.357,67,2009,sg_app_green
64,65,Kevin Stadler,65,0.213,11.507,54,2009,sg_app_green
65,74,D.A. Points,99,0.211,18.177,86,2009,sg_app_green
66,67,Chris DiMarco,97,0.207,17.979,87,2009,sg_app_green
67,69,George McNeill,82,0.203,15.392,76,2009,sg_app_green
68,63,Spencer Levin,75,0.196,13.102,67,2009,sg_app_green
69,68,Jay Williamson,69,0.195,11.126,57,2009,sg_app_green
70,70,Lee Janzen,74,0.184,11.208,61,2009,sg_app_green
71,T75,Charles Warren,63,0.183,9.693,53,2009,sg_app_green
72,71,Stuart Appleby,79,0.179,11.62,65,2009,sg_app_green
73,72,Retief Goosen,74,0.178,9.991,56,2009,sg_app_green
74,73,Dustin Johnson,85,0.175,11.212,64,2009,sg_app_green
75,66,Corey Pavin,73,0.17,9.157,54,2009,sg_app_green
76,T75,Jerry Kelly,90,0.165,12.682,77,2009,sg_app_green
77,77,Scott Sterling,51,0.162,6.479,40,2009,sg_app_green
78,82,Charles Howell III,99,0.141,11.697,83,2009,sg_app_green
79,80,Lucas Glover,93,0.138,10.908,79,2009,sg_app_green
80,81,Bob Estes,78,0.131,9.015,69,2009,sg_app_green
81,83,J.J. Henry,97,0.125,10.481,84,2009,sg_app_green
82,86,Scott Piercy,85,0.111,8.444,76,2009,sg_app_green
83,85,Anthony Kim,76,0.1,6.02,60,2009,sg_app_green
T84,90,Nicholas Thompson,96,0.096,8.352,87,2009,sg_app_green
T84,87,Steve Elkington,70,0.096,5.955,62,2009,sg_app_green
86,91,Justin Rose,71,0.093,5.289,57,2009,sg_app_green
87,99,Johnson Wagner,81,0.09,6.649,74,2009,sg_app_green
88,78,Harrison Frazar,93,0.089,7.514,84,2009,sg_app_green
89,101,Will MacKenzie,69,0.088,5.385,61,2009,sg_app_green
90,89,Bo Van Pelt,100,0.082,6.69,82,2009,sg_app_green
91,84,Jeff Quinney,78,0.064,4.536,71,2009,sg_app_green
92,T93,Matt Kuchar,82,0.052,3.677,71,2009,sg_app_green
93,88,Cliff Kresge,78,0.047,3.169,67,2009,sg_app_green
94,T93,Tim Petrovic,97,0.044,3.778,86,2009,sg_app_green
95,106,Brian Davis,103,0.038,3.469,91,2009,sg_app_green
96,96,Bubba Watson,73,0.037,2.1,57,2009,sg_app_green
97,92,Brendon de Jonge,90,0.034,2.676,79,2009,sg_app_green
98,98,Jason Day,61,0.031,1.545,50,2009,sg_app_green
99,T93,Brandt Snedeker,81,0.03,1.96,65,2009,sg_app_green
100,100,Rod Pampling,72,0.023,1.497,64,2009,sg_app_green
101,102,Ryan Moore,89,0.017,1.279,75,2009,sg_app_green
102,114,Greg Kraft,51,0.016,0.657,41,2009,sg_app_green
103,104,Kevin Sutherland,96,0.013,0.972,73,2009,sg_app_green
104,103,Tom Pernice Jr.,82,0.006,0.438,75,2009,sg_app_green
105,108,K.J. Choi,65,-0.002,-0.11,50,2009,sg_app_green
106,T109,Vaughn Taylor,88,-0.004,-0.338,79,2009,sg_app_green
107,111,Bryce Molder,69,-0.005,-0.29,54,2009,sg_app_green
108,113,Billy Mayfair,83,-0.01,-0.69,69,2009,sg_app_green
109,97,Kevin Streelman,97,-0.012,-1.051,87,2009,sg_app_green
110,127,Rich Beem,77,-0.019,-1.091,58,2009,sg_app_green
111,115,Geoff Ogilvy,78,-0.02,-1.134,58,2009,sg_app_green
112,116,Gary Woodland,53,-0.021,-0.782,37,2009,sg_app_green
113,119,Kirk Triplett,60,-0.027,-1.483,55,2009,sg_app_green
114,120,Bill Lunde,83,-0.029,-2.146,75,2009,sg_app_green
115,130,Brian Gay,96,-0.032,-2.597,82,2009,sg_app_green
116,122,Bart Bryant,58,-0.033,-1.733,52,2009,sg_app_green
117,T117,John Mallinger,90,-0.034,-2.447,71,2009,sg_app_green
T118,T117,Charlie Wi,92,-0.036,-2.88,79,2009,sg_app_green
T118,123,Mathew Goggin,76,-0.036,-2.137,60,2009,sg_app_green
120,124,Ben Crane,93,-0.038,-3.059,80,2009,sg_app_green
121,112,Ken Duke,87,-0.04,-2.834,71,2009,sg_app_green
122,125,Stewart Cink,79,-0.041,-2.427,59,2009,sg_app_green
123,126,Adam Scott,53,-0.045,-1.905,42,2009,sg_app_green
124,132,Darron Stiles,52,-0.049,-2.058,42,2009,sg_app_green
T125,T109,Jeff Overton,92,-0.056,-4.257,76,2009,sg_app_green
T125,131,Aron Price,89,-0.056,-4.288,77,2009,sg_app_green
T125,129,Casey Wittenberg,71,-0.056,-3.027,54,2009,sg_app_green
128,105,Freddie Jacobson,83,-0.069,-5.046,73,2009,sg_app_green
129,121,Mark Calcavecchia,72,-0.07,-4.367,62,2009,sg_app_green
130,107,Matt Jones,56,-0.078,-3.52,45,2009,sg_app_green
131,128,Richard Johnson,85,-0.08,-5.908,74,2009,sg_app_green
132,134,John Merrick,91,-0.082,-5.581,68,2009,sg_app_green
133,133,Troy Matteson,95,-0.087,-7.633,88,2009,sg_app_green
134,135,Chez Reavie,81,-0.109,-7.598,70,2009,sg_app_green
135,149,Bill Haas,91,-0.126,-10.334,82,2009,sg_app_green
136,137,Pat Perez,74,-0.129,-7.984,62,2009,sg_app_green
137,139,Ryan Palmer,78,-0.15,-10.507,70,2009,sg_app_green
138,140,Nathan Green,104,-0.153,-14.079,92,2009,sg_app_green
139,144,Jason Gore,74,-0.163,-10.122,62,2009,sg_app_green
140,146,Rick Price,54,-0.168,-6.871,41,2009,sg_app_green
141,142,Michael Letzig,96,-0.169,-14.502,86,2009,sg_app_green
142,143,Mark Wilson,99,-0.174,-15.352,88,2009,sg_app_green
143,147,Greg Chalmers,85,-0.186,-13.19,71,2009,sg_app_green
144,148,Tag Ridings,50,-0.19,-7.777,41,2009,sg_app_green
145,150,Jeff Maggert,79,-0.192,-14.039,73,2009,sg_app_green
146,145,Ted Purdy,101,-0.22,-19.554,89,2009,sg_app_green
147,155,Webb Simpson,94,-0.223,-19.382,87,2009,sg_app_green
T148,153,Jeff Klauk,97,-0.243,-21.387,88,2009,sg_app_green
T148,152,Tim Herron,87,-0.243,-19.7,81,2009,sg_app_green
150,158,Chris Riley,77,-0.246,-16.458,67,2009,sg_app_green
151,156,Ryuji Imada,85,-0.252,-17.404,69,2009,sg_app_green
152,151,Glen Day,79,-0.263,-16.848,64,2009,sg_app_green
153,162,David Duval,56,-0.266,-11.707,44,2009,sg_app_green
154,157,Matt Bettencourt,98,-0.267,-23.253,87,2009,sg_app_green
155,154,Peter Lonard,86,-0.269,-20.712,77,2009,sg_app_green
156,159,Mark Brooks,55,-0.277,-11.078,40,2009,sg_app_green
157,160,David Mathis,82,-0.286,-19.74,69,2009,sg_app_green
158,161,Joe Ogilvie,85,-0.287,-22.092,77,2009,sg_app_green
159,164,Steve Lowery,83,-0.314,-24.207,77,2009,sg_app_green
160,165,Bob Heintz,59,-0.335,-17.092,51,2009,sg_app_green
161,163,Daniel Chopra,89,-0.345,-28.641,83,2009,sg_app_green
162,166,Brad Adamonis,70,-0.379,-23.109,61,2009,sg_app_green
163,167,Leif Olson,51,-0.399,-17.171,43,2009,sg_app_green
164,168,Carl Pettersson,86,-0.423,-31.338,74,2009,sg_app_green
165,170,John Rollins,92,-0.449,-35.483,79,2009,sg_app_green
166,177,Kent Jones,73,-0.462,-28.21,61,2009,sg_app_green
167,171,Scott McCarron,91,-0.485,-39.261,81,2009,sg_app_green
168,169,Brian Bateman,55,-0.486,-23.324,48,2009,sg_app_green
169,172,Aaron Baddeley,66,-0.507,-29.417,58,2009,sg_app_green
170,173,Martin Laird,72,-0.509,-31.527,62,2009,sg_app_green
T171,174,James Nitties,86,-0.512,-38.91,76,2009,sg_app_green
T171,176,Todd Hamilton,83,-0.512,-32.744,64,2009,sg_app_green
173,175,Andres Romero,58,-0.521,-22.385,43,2009,sg_app_green
174,180,Colt Knost,71,-0.562,-31.451,56,2009,sg_app_green
175,183,Derek Fathauer,63,-0.568,-28.958,51,2009,sg_app_green
176,181,Peter Tomasulo,61,-0.573,-26.346,46,2009,sg_app_green
