RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,year,measure
1,1,Denny McCarthy,89,0.926,63.889,69,2019,sg_putting
2,2,Jordan Spieth,82,0.862,56.899,66,2019,sg_putting
3,3,Dominic Bozzelli,73,0.847,41.521,49,2019,sg_putting
4,4,Graeme McDowell,75,0.731,36.554,50,2019,sg_putting
5,5,Andrew Putnam,81,0.7,39.18,56,2019,sg_putting
6,8,Aaron Baddeley,55,0.654,27.451,42,2019,sg_putting
7,9,Patton Kizzire,76,0.642,34.05,53,2019,sg_putting
8,10,Wyndham Clark,87,0.64,46.752,73,2019,sg_putting
9,11,Vaughn Taylor,93,0.636,52.112,82,2019,sg_putting
10,12,Beau Hossler,87,0.619,42.083,68,2019,sg_putting
11,13,Webb Simpson,81,0.608,41.956,69,2019,sg_putting
12,6,Brandt Snedeker,102,0.592,47.329,80,2019,sg_putting
13,18,Rickie Fowler,76,0.541,34.066,63,2019,sg_putting
14,15,Pat Perez,68,0.535,21.953,41,2019,sg_putting
15,16,Harris English,97,0.527,41.67,79,2019,sg_putting
16,17,Billy Horschel,99,0.522,36.051,69,2019,sg_putting
17,7,Justin Rose,66,0.504,24.682,49,2019,sg_putting
18,19,Johnson Wagner,64,0.488,22.959,47,2019,sg_putting
19,20,Peter Malnati,87,0.467,35.468,76,2019,sg_putting
20,26,Kevin Kisner,97,0.45,31.951,71,2019,sg_putting
21,21,Curtis Luck,65,0.446,19.604,44,2019,sg_putting
22,22,Patrick Rodgers,55,0.428,19.24,45,2019,sg_putting
23,23,Sam Ryder,76,0.427,25.591,60,2019,sg_putting
T24,25,Rory McIlroy,72,0.425,24.22,57,2019,sg_putting
T24,24,Ian Poulter,65,0.425,18.694,44,2019,sg_putting
26,14,Patrick Cantlay,77,0.386,22.026,57,2019,sg_putting
27,28,Chase Wright,75,0.379,21.622,57,2019,sg_putting
28,32,Bryson DeChambeau,75,0.372,24.564,66,2019,sg_putting
29,29,Sam Burns,80,0.369,25.125,68,2019,sg_putting
30,31,Jason Day,69,0.356,16.734,47,2019,sg_putting
31,39,Adam Scott,63,0.348,15.32,44,2019,sg_putting
32,33,Peter Uihlein,84,0.345,19.996,58,2019,sg_putting
33,34,Adam Schenk,102,0.341,27.94,82,2019,sg_putting
34,35,Michael Thompson,71,0.339,22.056,65,2019,sg_putting
35,36,Kiradech Aphibarnrat,65,0.337,15.167,45,2019,sg_putting
36,27,Jon Rahm,75,0.336,17.792,53,2019,sg_putting
37,37,Brian Gay,93,0.335,24.095,72,2019,sg_putting
38,38,Nick Taylor,97,0.33,28.375,86,2019,sg_putting
39,42,Sungjae Im,122,0.323,32.264,100,2019,sg_putting
40,40,Nate Lashley,70,0.304,16.726,55,2019,sg_putting
T41,T45,Matt Kuchar,87,0.302,19.923,66,2019,sg_putting
T41,30,Marc Leishman,76,0.302,17.218,57,2019,sg_putting
43,44,Charles Howell III,94,0.291,21.214,73,2019,sg_putting
44,41,Patrick Reed,93,0.261,19.053,73,2019,sg_putting
45,T45,Adam Hadwin,86,0.252,15.644,62,2019,sg_putting
46,47,Xander Schauffele,77,0.244,12.948,53,2019,sg_putting
47,48,Chesson Hadley,76,0.23,13.772,60,2019,sg_putting
48,51,Brooks Koepka,81,0.226,13.105,58,2019,sg_putting
49,49,Sangmoon Bae,60,0.217,8.679,40,2019,sg_putting
50,50,J.T. Poston,100,0.212,18.686,88,2019,sg_putting
51,52,Cameron Tringale,73,0.204,10.395,51,2019,sg_putting
52,54,Ryan Blaum,90,0.194,13.937,72,2019,sg_putting
53,55,Ryan Armour,92,0.19,14.227,75,2019,sg_putting
54,57,Brian Stuard,98,0.176,13.515,77,2019,sg_putting
T55,43,Tommy Fleetwood,71,0.169,8.441,50,2019,sg_putting
T55,T74,Louis Oosthuizen,71,0.169,8.113,48,2019,sg_putting
57,58,Lucas Glover,94,0.164,13.323,81,2019,sg_putting
58,59,Roberto Díaz,73,0.162,8.239,51,2019,sg_putting
59,60,Cameron Smith,79,0.157,8.323,53,2019,sg_putting
60,61,Rory Sabbatini,97,0.154,11.699,76,2019,sg_putting
61,62,José de Jesús Rodríguez,67,0.151,7.421,49,2019,sg_putting
62,63,Ollie Schniederjans,77,0.147,8.995,61,2019,sg_putting
63,64,Scott Piercy,90,0.146,10.236,70,2019,sg_putting
64,65,Freddie Jacobson,53,0.142,5.671,40,2019,sg_putting
T65,T66,Jonas Blixt,82,0.13,8.328,64,2019,sg_putting
T65,T66,Scott Langley,78,0.13,8.317,64,2019,sg_putting
67,68,Matt Jones,88,0.12,7.925,66,2019,sg_putting
68,69,Anirban Lahiri,73,0.116,6.873,59,2019,sg_putting
69,70,Jim Furyk,73,0.113,6.448,57,2019,sg_putting
70,72,Talor Gooch,54,0.111,5.335,48,2019,sg_putting
71,73,Henrik Stenson,58,0.106,4.441,42,2019,sg_putting
72,T74,Hunter Mahan,59,0.102,4.772,47,2019,sg_putting
73,76,Roger Sloan,88,0.101,7.084,70,2019,sg_putting
74,53,Dustin Johnson,73,0.096,5.377,56,2019,sg_putting
75,77,Brice Garnett,87,0.091,5.928,65,2019,sg_putting
76,78,Brian Harman,91,0.09,6.376,71,2019,sg_putting
77,79,Kevin Na,65,0.089,3.924,44,2019,sg_putting
78,80,Troy Merritt,69,0.085,4.773,56,2019,sg_putting
79,81,Carlos Ortiz,84,0.079,5.723,72,2019,sg_putting
80,82,Sebastián Muñoz,86,0.076,4.855,64,2019,sg_putting
81,83,Richy Werenski,89,0.074,5.429,73,2019,sg_putting
82,84,Scott Brown,86,0.073,4.992,68,2019,sg_putting
83,85,Brady Schnell,53,0.065,2.538,39,2019,sg_putting
T84,71,Chez Reavie,99,0.062,4.305,70,2019,sg_putting
T84,86,Ryan Moore,74,0.062,3.885,63,2019,sg_putting
86,87,Seamus Power,80,0.057,3.528,62,2019,sg_putting
87,88,Sepp Straka,78,0.056,3.255,58,2019,sg_putting
88,89,Bill Haas,77,0.055,3.354,61,2019,sg_putting
89,90,Kelly Kraft,87,0.054,3.507,65,2019,sg_putting
90,91,Julián Etulain,70,0.048,2.462,51,2019,sg_putting
91,92,Rafa Cabrera Bello,71,0.043,2.057,48,2019,sg_putting
92,93,Whee Kim,73,0.042,1.994,47,2019,sg_putting
93,94,Ryan Palmer,74,0.041,2.075,51,2019,sg_putting
94,95,Chris Stroud,70,0.022,1.165,52,2019,sg_putting
95,96,Martin Laird,88,0.019,1.373,73,2019,sg_putting
96,T97,Nick Watney,87,0.012,0.829,69,2019,sg_putting
97,100,Hideki Matsuyama,91,0.011,0.811,73,2019,sg_putting
98,99,Ernie Els,51,0.01,0.296,30,2019,sg_putting
99,101,Wes Roach,69,0,-0.019,49,2019,sg_putting
100,102,Max Homa,82,-0.006,-0.379,69,2019,sg_putting
101,103,Mackenzie Hughes,80,-0.014,-0.901,66,2019,sg_putting
102,104,Josh Teater,73,-0.017,-0.883,53,2019,sg_putting
103,T97,Jason Kokrak,94,-0.018,-1.332,75,2019,sg_putting
104,105,J.J. Spaun,90,-0.021,-1.327,64,2019,sg_putting
105,107,Hudson Swafford,59,-0.031,-1.471,47,2019,sg_putting
106,108,Cody Gribble,74,-0.033,-1.902,58,2019,sg_putting
107,109,Martin Trainer,63,-0.041,-2.035,50,2019,sg_putting
108,110,Daniel Berger,70,-0.043,-2.51,59,2019,sg_putting
109,111,Bud Cauley,82,-0.052,-3.882,74,2019,sg_putting
110,112,Matthew Fitzpatrick,54,-0.054,-1.986,37,2019,sg_putting
111,113,Si Woo Kim,87,-0.06,-3.516,59,2019,sg_putting
112,114,C.T. Pan,84,-0.062,-3.71,60,2019,sg_putting
113,106,Abraham Ancer,93,-0.065,-4.642,71,2019,sg_putting
114,115,Sergio Garcia,53,-0.078,-2.953,38,2019,sg_putting
115,116,Roberto Castro,76,-0.079,-4.902,62,2019,sg_putting
116,117,Sam Saunders,78,-0.082,-5.518,67,2019,sg_putting
117,118,Zach Johnson,64,-0.087,-4.632,53,2019,sg_putting
T118,T119,Austin Cook,68,-0.088,-4.658,53,2019,sg_putting
T118,T119,Sung Kang,86,-0.088,-6.193,70,2019,sg_putting
120,121,Stephan Jaeger,77,-0.091,-5.175,57,2019,sg_putting
121,127,Paul Casey,79,-0.092,-5.057,55,2019,sg_putting
122,122,Kyoung-Hoon Lee,92,-0.096,-5.934,62,2019,sg_putting
123,123,Cameron Champ,78,-0.099,-6.72,68,2019,sg_putting
124,124,Joel Dahmen,100,-0.102,-7.756,76,2019,sg_putting
125,T133,Tony Finau,89,-0.103,-6.72,65,2019,sg_putting
126,125,Ben Silverman,70,-0.112,-6.282,56,2019,sg_putting
T127,T128,Danny Willett,63,-0.13,-6.5,50,2019,sg_putting
T127,T128,Jimmy Walker,74,-0.13,-7.43,57,2019,sg_putting
129,130,Kevin Tway,84,-0.131,-8.786,67,2019,sg_putting
130,126,Gary Woodland,87,-0.143,-9.276,65,2019,sg_putting
131,131,Fabián Gómez,62,-0.144,-6.908,48,2019,sg_putting
132,132,Aaron Wise,72,-0.146,-7.897,54,2019,sg_putting
133,T133,Andrew Landry,80,-0.153,-9.936,65,2019,sg_putting
134,135,Jim Herman,52,-0.154,-5.853,38,2019,sg_putting
135,136,Jhonattan Vegas,75,-0.156,-9.522,61,2019,sg_putting
136,137,David Hearn,55,-0.157,-5.322,34,2019,sg_putting
137,138,Charley Hoffman,74,-0.158,-7.438,47,2019,sg_putting
138,T139,Shawn Stefani,80,-0.159,-9.844,62,2019,sg_putting
139,141,Phil Mickelson,63,-0.16,-8.024,50,2019,sg_putting
140,143,Dylan Frittelli,83,-0.169,-11.465,68,2019,sg_putting
141,144,Joaquin Niemann,98,-0.17,-13.561,80,2019,sg_putting
142,145,Russell Knox,79,-0.176,-10.397,59,2019,sg_putting
143,146,Michael Kim,61,-0.185,-8.332,45,2019,sg_putting
144,T139,Justin Thomas,75,-0.186,-10.418,56,2019,sg_putting
145,147,Tyrrell Hatton,62,-0.192,-8.063,42,2019,sg_putting
146,148,Harold Varner III,84,-0.202,-14.975,74,2019,sg_putting
147,149,Cameron Davis,76,-0.204,-11.6,57,2019,sg_putting
148,150,Francesco Molinari,61,-0.211,-8.87,42,2019,sg_putting
149,151,"Ted Potter, Jr.",73,-0.216,-12.987,60,2019,sg_putting
150,152,Kyle Jones,72,-0.217,-11.701,54,2019,sg_putting
151,153,Joey Garber,63,-0.234,-10.073,43,2019,sg_putting
152,154,Robert Streb,80,-0.237,-14.216,60,2019,sg_putting
153,155,Danny Lee,83,-0.24,-17.247,72,2019,sg_putting
154,156,Jim Knous,57,-0.249,-9.715,39,2019,sg_putting
155,157,Kevin Streelman,83,-0.251,-17.312,69,2019,sg_putting
156,158,Alex Noren,63,-0.266,-11.454,43,2019,sg_putting
T157,T159,Luke List,66,-0.28,-15.4,55,2019,sg_putting
T157,T159,Hank Lebioda,76,-0.28,-16.222,58,2019,sg_putting
159,161,Tom Hoge,98,-0.284,-20.475,72,2019,sg_putting
160,162,Bronson Burgoon,59,-0.291,-13.678,47,2019,sg_putting
161,163,Kyle Stanley,81,-0.297,-16.351,55,2019,sg_putting
162,164,Russell Henley,78,-0.299,-18.227,61,2019,sg_putting
163,165,Anders Albertson,68,-0.307,-15.974,52,2019,sg_putting
164,166,John Chin,58,-0.318,-12.095,38,2019,sg_putting
165,167,Scott Stallings,82,-0.329,-22.352,68,2019,sg_putting
166,168,Keith Mitchell,86,-0.338,-20.631,61,2019,sg_putting
T167,T169,Alex Prugh,77,-0.344,-19.615,57,2019,sg_putting
T167,T169,Bubba Watson,65,-0.344,-17.18,50,2019,sg_putting
169,171,Trey Mullinax,77,-0.353,-22.264,63,2019,sg_putting
170,173,Adam Long,76,-0.369,-25.109,68,2019,sg_putting
171,174,Jonathan Byrd,55,-0.412,-14.84,36,2019,sg_putting
172,176,Seth Reeves,73,-0.475,-25.148,53,2019,sg_putting
173,177,Brandon Harkins,91,-0.481,-33.193,69,2019,sg_putting
174,178,Alex Cejka,58,-0.482,-19.269,40,2019,sg_putting
