RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,year,measure
1,2,Joe Durant,92,71.1,"1,075","1,512",-0.2,2008,gir_pct
2,T3,Robert Allenby,108,70.4,"1,356","1,926",-0.24,2008,gir_pct
3,1,Harrison Frazar,73,70.34,823,"1,170",-0.2,2008,gir_pct
4,5,John Huston,56,70.3,658,936,-0.26,2008,gir_pct
5,T3,Briny Baird,113,70,"1,323","1,890",-0.21,2008,gir_pct
6,6,Kent Jones,68,69.71,778,"1,116",-0.24,2008,gir_pct
7,7,Hunter Mahan,87,69.61,"1,065","1,530",-0.24,2008,gir_pct
8,8,John Riegger,73,69.49,838,"1,206",-0.23,2008,gir_pct
9,10,J.J. Henry,108,69.19,"1,345","1,944",-0.21,2008,gir_pct
10,9,John Senden,93,69.08,"1,144","1,656",-0.22,2008,gir_pct
11,17,Bob Estes,90,68.69,"1,088","1,584",-0.22,2008,gir_pct
12,11,Vijay Singh,82,68.45,961,"1,404",-0.25,2008,gir_pct
T13,12,Chad Campbell,94,68.44,"1,158","1,692",-0.27,2008,gir_pct
T13,13,George McNeill,97,68.44,"1,195","1,746",-0.26,2008,gir_pct
15,20,Steve Marino,119,68.36,"1,415","2,070",-0.26,2008,gir_pct
16,T18,Nick Watney,96,68.23,"1,179","1,728",-0.26,2008,gir_pct
17,14,Kevin Sutherland,98,68.2,"1,203","1,764",-0.25,2008,gir_pct
18,16,Woody Austin,109,68.15,"1,288","1,890",-0.23,2008,gir_pct
19,15,Billy Mayfair,103,68.12,"1,263","1,854",-0.21,2008,gir_pct
20,21,Bill Haas,99,68.07,"1,164","1,710",-0.27,2008,gir_pct
21,31,Robert Garrigus,90,68.02,"1,102","1,620",-0.26,2008,gir_pct
T22,26,Boo Weekley,86,67.87,"1,014","1,494",-0.22,2008,gir_pct
T22,24,Scott Sterling,89,67.87,"1,014","1,494",-0.21,2008,gir_pct
T22,T18,Jeff Gove,50,67.87,562,828,-0.19,2008,gir_pct
25,22,John Merrick,98,67.72,"1,097","1,620",-0.23,2008,gir_pct
26,T33,Chris Stroud,81,67.63,913,"1,350",-0.22,2008,gir_pct
27,28,Bubba Watson,97,67.6,"1,156","1,710",-0.24,2008,gir_pct
28,27,Zach Johnson,85,67.59,"1,022","1,512",-0.23,2008,gir_pct
29,23,Mathew Goggin,91,67.58,"1,107","1,638",-0.25,2008,gir_pct
30,25,Kenny Perry,97,67.47,"1,178","1,746",-0.26,2008,gir_pct
31,T36,Kevin Streelman,114,67.44,"1,311","1,944",-0.25,2008,gir_pct
32,42,Troy Matteson,94,67.38,"1,140","1,692",-0.23,2008,gir_pct
33,29,Bob Tway,70,67.36,776,"1,152",-0.31,2008,gir_pct
34,39,Bo Van Pelt,101,67.3,"1,175","1,746",-0.23,2008,gir_pct
35,30,Gavin Coles,54,67.15,556,828,-0.23,2008,gir_pct
36,67,Tommy Gainey,60,67.09,628,936,-0.26,2008,gir_pct
37,T33,Sergio Garcia,72,67.06,845,"1,260",-0.24,2008,gir_pct
38,T43,Martin Laird,98,67.03,"1,110","1,656",-0.28,2008,gir_pct
39,49,Jason Gore,94,67.02,"1,134","1,692",-0.27,2008,gir_pct
40,T43,Steve Elkington,84,67,"1,013","1,512",-0.26,2008,gir_pct
41,32,Stewart Cink,87,66.94,976,"1,458",-0.28,2008,gir_pct
42,T36,Mark Wilson,107,66.93,"1,289","1,926",-0.26,2008,gir_pct
43,38,Pat Perez,93,66.91,"1,108","1,656",-0.26,2008,gir_pct
T44,T51,Charles Warren,79,66.88,951,"1,422",-0.23,2008,gir_pct
T44,41,Justin Bolli,87,66.88,963,"1,440",-0.21,2008,gir_pct
46,64,Ted Purdy,68,66.85,746,"1,116",-0.2,2008,gir_pct
47,59,Carlos Franco,73,66.83,806,"1,206",-0.25,2008,gir_pct
T48,40,Jim Furyk,95,66.78,"1,130","1,692",-0.25,2008,gir_pct
T48,58,Charles Howell III,101,66.78,"1,190","1,782",-0.25,2008,gir_pct
50,T53,Heath Slocum,104,66.77,"1,250","1,872",-0.21,2008,gir_pct
51,50,Ryan Palmer,69,66.75,757,"1,134",-0.31,2008,gir_pct
52,35,Jay Williamson,96,66.73,"1,057","1,584",-0.2,2008,gir_pct
53,56,Michael Allen,91,66.67,"1,092","1,638",-0.25,2008,gir_pct
T54,T46,Justin Leonard,101,66.61,"1,139","1,710",-0.27,2008,gir_pct
T54,T46,Chez Reavie,102,66.61,"1,175","1,764",-0.22,2008,gir_pct
56,T43,Tommy Armour III,77,66.51,874,"1,314",-0.23,2008,gir_pct
57,48,Rich Beem,90,66.48,"1,077","1,620",-0.24,2008,gir_pct
58,T51,Brandt Jobe,52,66.45,622,936,-0.22,2008,gir_pct
T59,T53,Steve Allan,58,66.44,598,900,-0.25,2008,gir_pct
T59,T53,Charlie Wi,97,66.44,"1,160","1,746",-0.24,2008,gir_pct
61,57,Jeff Maggert,86,66.34,"1,027","1,548",-0.23,2008,gir_pct
62,60,D.J. Trahan,94,66.25,"1,121","1,692",-0.25,2008,gir_pct
63,61,Charley Hoffman,94,66.24,"1,097","1,656",-0.25,2008,gir_pct
64,T71,Dudley Hart,74,66.11,833,"1,260",-0.24,2008,gir_pct
65,63,Rory Sabbatini,77,66.08,904,"1,368",-0.25,2008,gir_pct
66,66,Robert Gamez,79,66.02,915,"1,386",-0.22,2008,gir_pct
67,62,Y.E. Yang,89,65.96,"1,033","1,566",-0.24,2008,gir_pct
68,T69,Brad Adamonis,87,65.86,984,"1,494",-0.25,2008,gir_pct
69,86,Cameron Beckman,87,65.82,936,"1,422",-0.25,2008,gir_pct
70,68,Phil Mickelson,80,65.81,924,"1,404",-0.28,2008,gir_pct
T71,82,Tom Scherrer,56,65.78,592,900,-0.24,2008,gir_pct
T71,T69,Anthony Kim,81,65.78,959,"1,458",-0.27,2008,gir_pct
73,T71,Ben Crane,86,65.76,"1,018","1,548",-0.27,2008,gir_pct
T74,73,Paul Casey,55,65.71,615,936,-0.22,2008,gir_pct
T74,75,Jon Mills,95,65.71,"1,029","1,566",-0.21,2008,gir_pct
76,74,Olin Browne,77,65.63,886,"1,350",-0.18,2008,gir_pct
77,76,Dean Wilson,109,65.61,"1,240","1,890",-0.25,2008,gir_pct
78,79,Ryan Armour,87,65.6,980,"1,494",-0.25,2008,gir_pct
79,85,Ron Whittaker,54,65.51,566,864,-0.2,2008,gir_pct
80,77,Jason Day,81,65.5,955,"1,458",-0.26,2008,gir_pct
T81,92,Vaughn Taylor,103,65.48,"1,214","1,854",-0.26,2008,gir_pct
T81,78,K.J. Choi,74,65.48,825,"1,260",-0.24,2008,gir_pct
T83,81,Fred Couples,60,65.46,707,"1,080",-0.26,2008,gir_pct
T83,88,Jim McGovern,75,65.46,813,"1,242",-0.22,2008,gir_pct
85,T89,Tim Wilkinson,95,65.39,"1,024","1,566",-0.24,2008,gir_pct
86,80,Lucas Glover,91,65.38,"1,071","1,638",-0.25,2008,gir_pct
87,87,Todd Demsey,80,65.31,917,"1,404",-0.24,2008,gir_pct
88,107,Brenden Pappas,66,65.28,705,"1,080",-0.27,2008,gir_pct
89,T83,Brian Davis,108,65.23,"1,268","1,944",-0.25,2008,gir_pct
90,T83,David Toms,70,65.2,798,"1,224",-0.25,2008,gir_pct
91,101,Omar Uresti,74,65.16,821,"1,260",-0.23,2008,gir_pct
92,T95,Richard Johnson,60,65.12,633,972,-0.21,2008,gir_pct
93,114,Kevin Stadler,90,65.11,961,"1,476",-0.26,2008,gir_pct
94,106,Scott Verplank,82,65.09,949,"1,458",-0.25,2008,gir_pct
95,97,James Driscoll,85,65.05,925,"1,422",-0.26,2008,gir_pct
96,T102,Stephen Ames,83,65.04,960,"1,476",-0.25,2008,gir_pct
97,T93,Paul Claxton,63,65.01,667,"1,026",-0.22,2008,gir_pct
98,T102,Cliff Kresge,84,65,936,"1,440",-0.22,2008,gir_pct
99,T95,Brad Elder,67,64.94,713,"1,098",-0.23,2008,gir_pct
100,T89,Peter Lonard,92,64.9,"1,028","1,584",-0.23,2008,gir_pct
101,91,Bart Bryant,81,64.88,946,"1,458",-0.21,2008,gir_pct
102,109,Kenneth Ferrie,72,64.84,747,"1,152",-0.23,2008,gir_pct
103,T93,Scott McCarron,63,64.81,735,"1,134",-0.24,2008,gir_pct
T104,T102,Ken Duke,116,64.8,"1,353","2,088",-0.28,2008,gir_pct
T104,T102,Patrick Sheehan,124,64.8,"1,353","2,088",-0.24,2008,gir_pct
106,T126,Davis Love III,78,64.74,909,"1,404",-0.24,2008,gir_pct
107,123,Will MacKenzie,62,64.7,722,"1,116",-0.23,2008,gir_pct
108,98,Doug LaBelle II,65,64.66,675,"1,044",-0.22,2008,gir_pct
T109,99,Mike Weir,88,64.62,"1,012","1,566",-0.26,2008,gir_pct
T109,116,Steve Flesch,95,64.62,"1,105","1,710",-0.24,2008,gir_pct
111,100,Camilo Villegas,79,64.6,907,"1,404",-0.29,2008,gir_pct
112,113,Brett Quigley,80,64.53,906,"1,404",-0.25,2008,gir_pct
113,108,Sean O'Hair,81,64.47,940,"1,458",-0.23,2008,gir_pct
T114,120,Lee Janzen,89,64.39,962,"1,494",-0.23,2008,gir_pct
T114,110,Mark Calcavecchia,67,64.39,765,"1,188",-0.22,2008,gir_pct
116,111,Nick O'Hern,82,64.38,927,"1,440",-0.25,2008,gir_pct
117,112,Glen Day,64,64.37,672,"1,044",-0.23,2008,gir_pct
118,T126,Jeff Overton,103,64.14,"1,143","1,782",-0.26,2008,gir_pct
119,115,Joe Ogilvie,100,64.12,"1,108","1,728",-0.27,2008,gir_pct
120,117,Tom Pernice Jr.,104,64.1,"1,200","1,872",-0.26,2008,gir_pct
121,124,Mark Hensby,71,64.08,819,"1,278",-0.26,2008,gir_pct
122,129,Shane Bertsch,96,64.06,"1,107","1,728",-0.26,2008,gir_pct
123,118,Nick Flanagan,89,63.99,979,"1,530",-0.23,2008,gir_pct
124,125,Frank Lickliter II,107,63.97,"1,232","1,926",-0.27,2008,gir_pct
125,T136,Tag Ridings,88,63.95,"1,013","1,584",-0.26,2008,gir_pct
126,119,Matt Kuchar,88,63.89,943,"1,476",-0.23,2008,gir_pct
127,122,Steve Stricker,75,63.81,827,"1,296",-0.25,2008,gir_pct
128,128,Adam Scott,51,63.72,562,882,-0.25,2008,gir_pct
T129,131,Dustin Johnson,92,63.71,"1,055","1,656",-0.27,2008,gir_pct
T129,121,Brian Gay,102,63.71,"1,078","1,692",-0.28,2008,gir_pct
T131,130,Rod Pampling,83,63.61,916,"1,440",-0.25,2008,gir_pct
T131,147,Tim Clark,90,63.61,"1,019","1,602",-0.26,2008,gir_pct
133,132,Kevin Na,97,63.57,"1,110","1,746",-0.27,2008,gir_pct
134,139,Carl Pettersson,110,63.54,"1,258","1,980",-0.26,2008,gir_pct
135,133,Billy Andrade,71,63.52,766,"1,206",-0.19,2008,gir_pct
136,138,John Rollins,94,63.48,"1,074","1,692",-0.23,2008,gir_pct
T137,134,Ben Curtis,80,63.45,868,"1,368",-0.24,2008,gir_pct
T137,148,Marc Turnesa,87,63.45,948,"1,494",-0.27,2008,gir_pct
139,149,Bob Sowards,61,63.43,628,990,-0.23,2008,gir_pct
T140,142,Jerry Kelly,89,63.36,958,"1,512",-0.22,2008,gir_pct
T140,135,Brandt Snedeker,85,63.36,958,"1,512",-0.25,2008,gir_pct
142,152,Chris DiMarco,87,63.35,992,"1,566",-0.23,2008,gir_pct
143,T136,Michael Letzig,88,63.29,957,"1,512",-0.28,2008,gir_pct
144,160,Tim Petrovic,97,63.17,"1,012","1,602",-0.25,2008,gir_pct
145,143,Nicholas Thompson,113,63.14,"1,216","1,926",-0.25,2008,gir_pct
146,140,Alex Cejka,75,63.12,784,"1,242",-0.22,2008,gir_pct
147,155,Jimmy Walker,73,63.08,738,"1,170",-0.25,2008,gir_pct
148,141,Trevor Immelman,70,63.07,772,"1,224",-0.21,2008,gir_pct
149,144,Jonathan Byrd,88,63.01,964,"1,530",-0.26,2008,gir_pct
150,145,Todd Hamilton,92,62.98,"1,043","1,656",-0.23,2008,gir_pct
151,146,Paul Goydos,78,62.96,884,"1,404",-0.22,2008,gir_pct
152,157,J.B. Holmes,86,62.94,963,"1,530",-0.26,2008,gir_pct
153,151,Jin Park,85,62.84,871,"1,386",-0.22,2008,gir_pct
154,164,Mathias Grönberg,87,62.78,938,"1,494",-0.25,2008,gir_pct
155,150,Jason Allred,63,62.67,643,"1,026",-0.23,2008,gir_pct
156,153,Ángel Cabrera,55,62.64,575,918,-0.24,2008,gir_pct
157,154,Rocco Mediate,87,62.58,980,"1,566",-0.23,2008,gir_pct
158,161,Craig Kanada,65,62.52,664,"1,062",-0.26,2008,gir_pct
159,156,Parker McLachlin,88,62.5,945,"1,512",-0.27,2008,gir_pct
160,173,Kyle Thompson,70,62.41,719,"1,152",-0.21,2008,gir_pct
T161,162,Alejandro Cañizares,52,62.37,494,792,-0.26,2008,gir_pct
T161,171,David Lutterus,59,62.37,595,954,-0.19,2008,gir_pct
163,159,Tim Herron,97,62.25,"1,042","1,674",-0.25,2008,gir_pct
164,170,Matt Jones,95,62.15,"1,018","1,638",-0.26,2008,gir_pct
165,163,Tom Lehman,51,62.13,548,882,-0.2,2008,gir_pct
T166,T165,Aaron Baddeley,76,62.02,815,"1,314",-0.29,2008,gir_pct
T166,T165,Stephen Leaney,53,62.02,547,882,-0.19,2008,gir_pct
168,167,Stuart Appleby,87,61.9,936,"1,512",-0.26,2008,gir_pct
T169,T168,Chris Riley,51,61.89,479,774,-0.24,2008,gir_pct
T169,T168,Geoff Ogilvy,65,61.89,713,"1,152",-0.24,2008,gir_pct
171,174,Freddie Jacobson,78,61.82,868,"1,404",-0.26,2008,gir_pct
172,172,Jeff Quinney,87,61.81,968,"1,566",-0.27,2008,gir_pct
173,178,Ryan Moore,72,61.73,800,"1,296",-0.27,2008,gir_pct
174,175,Johnson Wagner,83,61.6,887,"1,440",-0.24,2008,gir_pct
175,180,Brett Rumford,72,61.52,753,"1,224",-0.25,2008,gir_pct
176,176,Ryuji Imada,80,61.39,884,"1,440",-0.27,2008,gir_pct
177,183,Travis Perkins,53,61.35,519,846,-0.19,2008,gir_pct
178,177,Ernie Els,51,61.33,552,900,-0.23,2008,gir_pct
179,185,Cody Freeman,66,61.29,684,"1,116",-0.23,2008,gir_pct
180,179,Eric Axley,113,61.16,"1,200","1,962",-0.27,2008,gir_pct
181,181,J.P. Hayes,67,61.03,736,"1,206",-0.21,2008,gir_pct
182,182,Marco Dawson,64,60.91,614,"1,008",-0.26,2008,gir_pct
183,188,Chad Collins,72,60.86,723,"1,188",-0.27,2008,gir_pct
184,187,Jesper Parnevik,88,60.85,920,"1,512",-0.26,2008,gir_pct
185,184,John Mallinger,95,60.82,"1,040","1,710",-0.27,2008,gir_pct
186,186,Padraig Harrington,52,60.67,546,900,-0.29,2008,gir_pct
187,189,Shigeki Maruyama,50,60,486,810,-0.2,2008,gir_pct
188,190,Nathan Green,95,59.82,"1,023","1,710",-0.29,2008,gir_pct
189,192,Daniel Chopra,84,59.77,893,"1,494",-0.31,2008,gir_pct
190,191,Ian Poulter,51,59.75,527,882,-0.23,2008,gir_pct
191,193,Greg Kraft,63,59.49,589,990,-0.24,2008,gir_pct
192,194,Retief Goosen,59,59.39,620,"1,044",-0.24,2008,gir_pct
193,195,Steve Lowery,74,59.38,791,"1,332",-0.25,2008,gir_pct
194,196,Andres Romero,69,58.79,709,"1,206",-0.26,2008,gir_pct
195,197,Richard Johnson,77,58.44,789,"1,350",-0.25,2008,gir_pct
196,198,Corey Pavin,69,57.95,678,"1,170",-0.26,2008,gir_pct
197,199,David Duval,51,57.84,531,918,-0.21,2008,gir_pct
