RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,year,measure
T384,T384,Tom Lehman,2,0.45,"13,952","3,087,000",2019,pct_total_money_won
T386,T386,Robert Allenby,5,0.43,"14,715","3,420,000",2019,pct_total_money_won
T386,T386,John Merrick,5,0.43,"13,611","3,132,000",2019,pct_total_money_won
388,388,Parker McLachlin,8,0.42,"29,674","7,002,000",2019,pct_total_money_won
T389,T389,Chris Thompson,19,0.4,"81,635","20,466,000",2019,pct_total_money_won
T389,T389,Richard Lee,2,0.4,"14,356","3,582,000",2019,pct_total_money_won
391,391,Rod Pampling,22,0.38,"102,127","26,550,000",2019,pct_total_money_won
392,392,Chad Collins,15,0.35,"59,164","16,866,000",2019,pct_total_money_won
393,393,Ryan Vermeer,7,0.33,"24,520","7,542,000",2019,pct_total_money_won
394,394,Chad Campbell,13,0.32,"42,130","13,140,000",2019,pct_total_money_won
T395,T395,Michael Kim,26,0.29,"104,936","36,274,000",2019,pct_total_money_won
T395,T395,Heath Slocum,4,0.29,"6,685","2,340,000",2019,pct_total_money_won
T397,T397,Brendon de Jonge,6,0.28,"11,904","4,284,000",2019,pct_total_money_won
T397,T397,D.A. Points,13,0.28,"43,246","15,228,000",2019,pct_total_money_won
399,399,Dru Love,5,0.26,"14,592","5,688,000",2019,pct_total_money_won
400,400,Jonathan Kaye,4,0.25,"5,910","2,340,000",2019,pct_total_money_won
T401,T401,Mike Weir,9,0.24,"27,643","11,754,000",2019,pct_total_money_won
T401,T401,Zac Blair,2,0.24,"6,660","2,790,000",2019,pct_total_money_won
403,403,Smylie Kaufman,5,0.23,"14,454","6,318,000",2019,pct_total_money_won
404,404,John Daly,3,0.22,"7,070","3,240,000",2019,pct_total_money_won
405,405,Ricky Barnes,11,0.21,"22,370","10,674,000",2019,pct_total_money_won
406,406,Jason Bohn,5,0.19,"5,970","3,132,000",2019,pct_total_money_won
407,407,Justin Suh,7,0.16,"13,952","8,748,000",2019,pct_total_money_won
408,408,Brian Davis,9,0.11,"10,500","9,522,000",2019,pct_total_money_won
409,409,Brandon Hagy,13,0.09,"14,555","16,110,000",2019,pct_total_money_won
410,410,Will MacKenzie,8,0.08,"6,510","8,172,000",2019,pct_total_money_won
