RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,year,measure
1,1,Dustin Johnson,20,28.16,"8,732,193","31,013,000",2017,pct_total_money_won
2,2,Jordan Spieth,23,26.93,"9,433,033","35,027,000",2017,pct_total_money_won
3,4,Justin Thomas,25,26.53,"9,921,560","37,403,000",2017,pct_total_money_won
4,3,Hideki Matsuyama,22,24.43,"8,380,569","34,307,000",2017,pct_total_money_won
5,5,Rickie Fowler,21,18.62,"6,083,197","32,669,000",2017,pct_total_money_won
6,6,Jon Rahm,23,17.62,"6,123,248","34,743,002",2017,pct_total_money_won
7,7,Marc Leishman,25,15.77,"5,866,390","37,205,002",2017,pct_total_money_won
8,9,Brooks Koepka,24,15.29,"5,612,397","36,705,000",2017,pct_total_money_won
9,8,Matthew Southgate,1,15.23,"281,000","1,845,000",2017,pct_total_money_won
10,10,Justin Rose,18,14.98,"4,245,308","28,331,000",2017,pct_total_money_won
11,11,Jordan L Smith,1,13.23,"250,000","1,890,000",2017,pct_total_money_won
12,13,Sergio Garcia,17,12.88,"3,522,476","27,354,000",2017,pct_total_money_won
13,12,Keith Mitchell,1,12.78,"144,900","1,134,000",2017,pct_total_money_won
T14,14,Tommy Fleetwood,10,11.72,"2,094,455","17,877,000",2017,pct_total_money_won
T14,41,Xander Schauffele,28,11.72,"4,312,674","36,805,002",2017,pct_total_money_won
16,22,Kevin Kisner,28,11.6,"4,766,936","41,079,000",2017,pct_total_money_won
17,15,Henrik Stenson,15,11.48,"2,769,771","24,137,000",2017,pct_total_money_won
18,16,Daniel Berger,26,11.22,"4,287,161","38,195,000",2017,pct_total_money_won
19,17,Pat Perez,26,11.21,"4,361,400","38,915,002",2017,pct_total_money_won
20,20,Matt Kuchar,26,11.12,"4,282,488","38,505,000",2017,pct_total_money_won
21,18,Oscar Fraustro,1,11.11,"140,000","1,260,002",2017,pct_total_money_won
22,19,Patrick Cantlay,13,10.87,"2,049,632","18,864,000",2017,pct_total_money_won
23,25,Paul Casey,24,10.81,"3,906,974","36,129,000",2017,pct_total_money_won
24,21,Louis Oosthuizen,18,10.76,"3,105,422","28,848,000",2017,pct_total_money_won
25,23,Brian Harman,30,10.63,"4,396,470","41,359,002",2017,pct_total_money_won
26,24,Thomas Pieters,12,10.43,"2,058,070","19,731,000",2017,pct_total_money_won
27,26,Rory McIlroy,14,10.18,"2,430,182","23,880,000",2017,pct_total_money_won
28,27,Charley Hoffman,31,9.57,"4,161,008","43,479,002",2017,pct_total_money_won
29,28,Jason Day,20,9.5,"2,978,181","31,351,000",2017,pct_total_money_won
30,29,Jason Dufner,24,9.3,"3,310,341","35,585,000",2017,pct_total_money_won
31,T37,Russell Henley,27,9.04,"3,413,876","37,777,000",2017,pct_total_money_won
32,30,Francesco Molinari,21,8.94,"2,875,850","32,178,000",2017,pct_total_money_won
33,31,Haotong Li,5,8.79,"751,972","8,559,000",2017,pct_total_money_won
34,32,Henrik Norlander,5,8.74,"498,914","5,706,000",2017,pct_total_money_won
35,33,Kyle Stanley,29,8.72,"3,402,106","39,019,002",2017,pct_total_money_won
36,34,Adam Hadwin,28,8.66,"3,455,012","39,901,002",2017,pct_total_money_won
37,35,Charles Howell III,23,8.57,"2,606,383","30,424,002",2017,pct_total_money_won
38,36,Rafael Campos,4,8.17,"333,979","4,086,000",2017,pct_total_money_won
39,40,Webb Simpson,28,8.07,"3,209,646","39,793,002",2017,pct_total_money_won
40,T37,Ian Poulter,20,8,"2,098,346","26,244,002",2017,pct_total_money_won
41,39,Brendan Steele,25,7.95,"2,907,095","36,548,000",2017,pct_total_money_won
42,42,Kevin Chappell,27,7.82,"3,149,615","40,269,000",2017,pct_total_money_won
43,43,Cameron Davis,1,7.81,"98,467","1,260,002",2017,pct_total_money_won
44,44,Bill Haas,25,7.75,"2,842,173","36,696,000",2017,pct_total_money_won
45,45,Brandt Snedeker,15,7.69,"1,625,806","21,154,000",2017,pct_total_money_won
