RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,year,measure
1,1,Tiger Woods,27,73.99,293,396,-0.28,2019,gir_pct
2,2,Matt Kuchar,59,73.72,690,936,-0.31,2019,gir_pct
3,5,Justin Thomas,43,73.06,526,720,-0.36,2019,gir_pct
4,6,James Hahn,34,72.71,445,612,-0.27,2019,gir_pct
5,4,Corey Conners,52,72.69,628,864,-0.26,2019,gir_pct
6,3,Charles Howell III,62,72.5,770,"1,062",-0.29,2019,gir_pct
7,9,Talor Gooch,27,72.02,350,486,-0.3,2019,gir_pct
8,8,Scott Piercy,64,71.57,773,"1,080",-0.29,2019,gir_pct
9,14,Brooks Koepka,45,71.35,488,684,-0.34,2019,gir_pct
10,7,Ryan Palmer,48,71.34,565,792,-0.31,2019,gir_pct
11,15,Brendan Steele,44,71.03,537,756,-0.24,2019,gir_pct
12,16,Johnson Wagner,43,71,524,738,-0.27,2019,gir_pct
13,17,Gary Woodland,59,70.73,713,"1,008",-0.33,2019,gir_pct
14,T12,Cameron Champ,52,70.67,636,900,-0.32,2019,gir_pct
15,11,Ian Poulter,45,70.61,483,684,-0.28,2019,gir_pct
16,20,D.J. Trahan,29,70.58,343,486,-0.29,2019,gir_pct
17,T12,Rory McIlroy,44,70.56,508,720,-0.35,2019,gir_pct
18,21,Nate Lashley,38,70.37,456,648,-0.29,2019,gir_pct
19,T18,Emiliano Grillo,57,70.27,683,972,-0.26,2019,gir_pct
20,10,Jim Furyk,41,70.06,454,648,-0.24,2019,gir_pct
21,22,Jason Dufner,48,69.93,579,828,-0.22,2019,gir_pct
22,27,Alex Prugh,52,69.91,604,864,-0.25,2019,gir_pct
23,25,Dustin Johnson,43,69.86,503,720,-0.32,2019,gir_pct
24,T28,Xander Schauffele,49,69.81,578,828,-0.33,2019,gir_pct
25,24,Paul Casey,50,69.69,577,828,-0.3,2019,gir_pct
26,T30,Keegan Bradley,59,69.66,652,936,-0.25,2019,gir_pct
27,T18,Lucas Glover,58,69.44,675,972,-0.28,2019,gir_pct
28,37,Keith Mitchell,60,69.4,712,"1,026",-0.3,2019,gir_pct
29,23,Aaron Wise,48,69.26,561,810,-0.32,2019,gir_pct
30,T28,Jason Kokrak,64,69.07,746,"1,080",-0.29,2019,gir_pct
31,26,Jason Day,43,69.01,472,684,-0.34,2019,gir_pct
32,41,Davis Love III,29,68.93,335,486,-0.28,2019,gir_pct
33,42,Carlos Ortiz,54,68.91,645,936,-0.27,2019,gir_pct
34,38,Rickie Fowler,48,68.87,595,864,-0.34,2019,gir_pct
T35,34,Hideki Matsuyama,55,68.8,644,936,-0.28,2019,gir_pct
T35,T35,Jhonattan Vegas,54,68.8,644,936,-0.28,2019,gir_pct
37,T30,Troy Merritt,38,68.79,421,612,-0.31,2019,gir_pct
38,43,Russell Knox,57,68.78,619,900,-0.25,2019,gir_pct
39,32,J.J. Spaun,62,68.77,718,"1,044",-0.27,2019,gir_pct
40,39,Marc Leishman,48,68.69,544,792,-0.31,2019,gir_pct
41,40,Jon Rahm,49,68.65,519,756,-0.33,2019,gir_pct
42,47,Martin Laird,52,68.63,593,864,-0.28,2019,gir_pct
