RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,year,measure
1,1,Chris Riley,51,0.65,26.018,40,2008,sg_around_green
2,2,Mike Weir,88,0.541,35.722,66,2008,sg_around_green
3,3,Brett Rumford,72,0.526,32.064,61,2008,sg_around_green
T4,T4,Shigeki Maruyama,50,0.47,19.753,42,2008,sg_around_green
T4,T4,Kevin Na,97,0.47,42.787,91,2008,sg_around_green
6,6,Steve Stricker,75,0.464,26.938,58,2008,sg_around_green
7,7,Padraig Harrington,52,0.46,14.705,32,2008,sg_around_green
T8,T8,Retief Goosen,59,0.45,18.917,42,2008,sg_around_green
T8,T8,Vijay Singh,82,0.45,28.319,63,2008,sg_around_green
10,10,Adam Scott,51,0.44,15.411,35,2008,sg_around_green
11,11,Trevor Immelman,70,0.427,23.069,54,2008,sg_around_green
12,12,Omar Uresti,74,0.385,24.276,63,2008,sg_around_green
13,13,Glen Day,64,0.37,20.741,56,2008,sg_around_green
14,14,Stuart Appleby,87,0.362,24.26,67,2008,sg_around_green
15,15,Phil Mickelson,80,0.36,21.24,59,2008,sg_around_green
16,16,Ryuji Imada,80,0.349,23.765,68,2008,sg_around_green
17,17,Brad Adamonis,87,0.298,22.642,76,2008,sg_around_green
18,18,Billy Mayfair,103,0.294,27.883,95,2008,sg_around_green
19,19,Chad Collins,72,0.292,18.37,63,2008,sg_around_green
20,20,Todd Demsey,80,0.263,18.656,71,2008,sg_around_green
21,21,Tim Wilkinson,95,0.262,20.946,80,2008,sg_around_green
22,22,Kevin Sutherland,98,0.261,22.943,88,2008,sg_around_green
23,23,Marco Dawson,64,0.254,13.701,54,2008,sg_around_green
24,24,K.J. Choi,74,0.252,14.381,57,2008,sg_around_green
25,25,Rod Pampling,83,0.25,16.978,68,2008,sg_around_green
26,26,Charlie Wi,97,0.249,21.929,88,2008,sg_around_green
27,27,Jason Allred,63,0.241,12.072,50,2008,sg_around_green
28,28,Ian Poulter,51,0.238,8.574,36,2008,sg_around_green
29,29,Corey Pavin,69,0.237,13.257,56,2008,sg_around_green
T30,T30,Ben Curtis,80,0.236,14.851,63,2008,sg_around_green
