RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,year,measure
1,2,Henrik Stenson,38,1.296,33.7,26,2019,sg_app_green
2,1,Talor Gooch,27,1.201,25.215,21,2019,sg_app_green
3,3,Sergio Garcia,37,1.11,28.866,26,2019,sg_app_green
4,4,Keegan Bradley,59,1.103,43.006,39,2019,sg_app_green
5,5,Justin Thomas,43,1.022,28.616,28,2019,sg_app_green
6,9,Matt Kuchar,59,0.953,40.029,42,2019,sg_app_green
7,10,Jason Kokrak,64,0.905,44.353,49,2019,sg_app_green
T8,7,Hideki Matsuyama,55,0.897,34.965,39,2019,sg_app_green
T8,6,Rory McIlroy,44,0.897,27.814,31,2019,sg_app_green
10,8,Corey Conners,52,0.866,28.583,33,2019,sg_app_green
11,12,Emiliano Grillo,57,0.823,27.173,33,2019,sg_app_green
12,30,Brooks Koepka,45,0.791,20.569,26,2019,sg_app_green
13,11,Jim Furyk,41,0.744,21.579,29,2019,sg_app_green
14,13,Justin Rose,34,0.711,14.92,21,2019,sg_app_green
15,29,Patrick Cantlay,45,0.682,19.778,29,2019,sg_app_green
16,15,Marc Leishman,48,0.679,21.062,31,2019,sg_app_green
17,14,Tiger Woods,27,0.678,11.526,17,2019,sg_app_green
18,19,Dustin Johnson,43,0.668,20.046,30,2019,sg_app_green
19,16,Webb Simpson,49,0.64,26.251,41,2019,sg_app_green
20,17,Nate Lashley,38,0.614,15.356,25,2019,sg_app_green
21,22,Russell Knox,57,0.609,24.955,41,2019,sg_app_green
22,20,Davis Love III,29,0.603,10.854,18,2019,sg_app_green
23,26,Paul Casey,50,0.574,17.223,30,2019,sg_app_green
24,18,Xander Schauffele,49,0.562,16.283,29,2019,sg_app_green
25,21,Zach Johnson,44,0.56,19.61,35,2019,sg_app_green
26,27,Chez Reavie,65,0.558,21.218,38,2019,sg_app_green
27,43,Gary Woodland,59,0.541,21.114,39,2019,sg_app_green
28,25,Lucas Glover,58,0.533,26.113,49,2019,sg_app_green
29,24,Ryan Moore,50,0.531,20.704,39,2019,sg_app_green
30,33,Byeong Hun An,46,0.505,15.659,31,2019,sg_app_green
T31,31,Joaquin Niemann,56,0.47,18.816,40,2019,sg_app_green
T31,34,Scott Stallings,55,0.47,19.288,41,2019,sg_app_green
33,23,Chesson Hadley,52,0.458,16.499,36,2019,sg_app_green
34,35,Trey Mullinax,61,0.448,21.063,47,2019,sg_app_green
35,32,Ryan Palmer,48,0.433,13.427,31,2019,sg_app_green
36,28,Danny Willett,39,0.43,12.895,30,2019,sg_app_green
37,36,Adam Schenk,70,0.426,21.315,50,2019,sg_app_green
38,38,Roberto Castro,48,0.398,13.527,34,2019,sg_app_green
39,39,Sepp Straka,44,0.394,11.037,28,2019,sg_app_green
40,37,Tommy Fleetwood,43,0.382,9.938,26,2019,sg_app_green
41,52,Charley Hoffman,52,0.373,10.822,29,2019,sg_app_green
42,T57,Matthew Fitzpatrick,34,0.372,7.809,21,2019,sg_app_green
43,44,Cameron Smith,53,0.369,11.448,31,2019,sg_app_green
44,51,Tony Finau,55,0.361,12.619,35,2019,sg_app_green
45,45,Brian Stuard,68,0.36,16.906,47,2019,sg_app_green
46,55,Keith Mitchell,60,0.356,13.155,37,2019,sg_app_green
47,T49,Rickie Fowler,48,0.34,13.261,39,2019,sg_app_green
T48,53,Tom Hoge,64,0.315,13.234,42,2019,sg_app_green
T48,69,Danny Lee,56,0.315,14.154,45,2019,sg_app_green
50,T62,Jon Rahm,49,0.293,9.095,31,2019,sg_app_green
51,56,Anders Albertson,46,0.291,9.316,32,2019,sg_app_green
52,59,Sung Kang,65,0.282,14.405,51,2019,sg_app_green
53,60,Josh Teater,39,0.27,6.199,23,2019,sg_app_green
54,48,Luke List,50,0.267,10.963,41,2019,sg_app_green
T55,T57,Sungjae Im,78,0.265,15.368,58,2019,sg_app_green
T55,61,Adam Svensson,49,0.265,9.287,35,2019,sg_app_green
57,T62,Cameron Davis,52,0.263,9.22,35,2019,sg_app_green
58,T49,Scott Piercy,64,0.258,11.346,44,2019,sg_app_green
59,77,Joel Dahmen,72,0.256,12.806,50,2019,sg_app_green
60,47,Troy Merritt,38,0.254,7.351,29,2019,sg_app_green
61,64,Kevin Streelman,55,0.253,11.367,45,2019,sg_app_green
T62,41,Adam Scott,37,0.248,4.953,20,2019,sg_app_green
T62,T66,Cameron Tringale,48,0.248,7.439,30,2019,sg_app_green
64,42,Rafa Cabrera Bello,53,0.246,7.865,32,2019,sg_app_green
65,72,Max Homa,53,0.235,9.408,40,2019,sg_app_green
66,68,Sam Ryder,48,0.234,8.419,36,2019,sg_app_green
67,129,Francesco Molinari,37,0.231,5.088,22,2019,sg_app_green
68,70,Shawn Stefani,53,0.224,7.852,35,2019,sg_app_green
69,65,Bryson DeChambeau,39,0.221,7.082,32,2019,sg_app_green
70,40,Kevin Kisner,59,0.219,8.106,37,2019,sg_app_green
71,T66,Dylan Frittelli,51,0.216,8.658,40,2019,sg_app_green
72,54,Pat Perez,47,0.201,4.83,24,2019,sg_app_green
73,74,Jim Knous,51,0.196,6.483,33,2019,sg_app_green
74,999,Thorbjørn Olesen,27,0.192,3.075,16,2019,sg_app_green
75,75,Chris Kirk,47,0.19,6.663,35,2019,sg_app_green
76,76,J.B. Holmes,50,0.176,4.213,24,2019,sg_app_green
77,78,Hank Lebioda,51,0.156,5.473,35,2019,sg_app_green
78,89,Bubba Watson,43,0.153,4.893,32,2019,sg_app_green
T79,91,Si Woo Kim,59,0.144,4.754,33,2019,sg_app_green
T79,92,Kevin Na,50,0.144,4.178,29,2019,sg_app_green
81,79,Russell Henley,54,0.14,5.74,41,2019,sg_app_green
82,97,Charles Howell III,62,0.138,5.669,41,2019,sg_app_green
83,80,Hudson Swafford,55,0.136,5.841,43,2019,sg_app_green
84,81,Martin Kaymer,30,0.128,3.333,26,2019,sg_app_green
85,86,Kyoung-Hoon Lee,64,0.122,4.646,38,2019,sg_app_green
T86,T87,Bud Cauley,53,0.117,5.261,45,2019,sg_app_green
T86,T87,Johnson Wagner,43,0.117,3.506,30,2019,sg_app_green
T88,T93,Adam Long,46,0.109,4.125,38,2019,sg_app_green
T88,90,Vaughn Taylor,61,0.109,5.426,50,2019,sg_app_green
90,83,J.T. Poston,70,0.107,6.186,58,2019,sg_app_green
T91,T93,Andrew Putnam,49,0.104,2.922,28,2019,sg_app_green
T91,82,Kevin Tway,54,0.104,3.844,37,2019,sg_app_green
93,T84,Kelly Kraft,59,0.1,3.9,39,2019,sg_app_green
94,96,Peter Malnati,52,0.089,3.659,41,2019,sg_app_green
95,95,J.J. Spaun,62,0.084,3.343,40,2019,sg_app_green
96,46,Phil Mickelson,39,0.08,2.232,28,2019,sg_app_green
