RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS,year,measure
1,1,Adam Scott,70,1.609,0.472,1.164,-0.027,52,2010,sg_tee_to_green
2,2,Vijay Singh,75,1.494,0.369,0.979,0.145,57,2010,sg_tee_to_green
3,3,Steve Stricker,73,1.383,0.191,0.773,0.419,56,2010,sg_tee_to_green
4,4,Jim Furyk,76,1.159,0.15,0.641,0.367,60,2010,sg_tee_to_green
5,5,Phil Mickelson,76,1.151,0.185,0.738,0.228,57,2010,sg_tee_to_green
6,6,Bo Van Pelt,104,1.091,0.724,0.26,0.107,87,2010,sg_tee_to_green
7,7,Camilo Villegas,78,1.087,0.21,0.755,0.122,56,2010,sg_tee_to_green
8,9,Robert Allenby,76,1.014,0.403,0.642,-0.031,61,2010,sg_tee_to_green
9,10,Ernie Els,72,0.992,0.215,0.735,0.043,55,2010,sg_tee_to_green
10,11,Bill Haas,87,0.985,0.464,0.515,0.005,75,2010,sg_tee_to_green
11,8,D.J. Trahan,92,0.963,0.692,0.45,-0.179,82,2010,sg_tee_to_green
12,12,Justin Rose,78,0.952,0.338,0.168,0.447,70,2010,sg_tee_to_green
13,13,Rory McIlroy,54,0.944,0.698,0.271,-0.025,40,2010,sg_tee_to_green
14,14,K.J. Choi,82,0.927,0.151,0.507,0.269,61,2010,sg_tee_to_green
15,15,Retief Goosen,75,0.917,0.337,0.185,0.395,53,2010,sg_tee_to_green
16,17,Charley Hoffman,85,0.889,0.638,0.317,-0.065,77,2010,sg_tee_to_green
17,18,Dustin Johnson,83,0.869,0.76,0.288,-0.179,63,2010,sg_tee_to_green
18,19,J.B. Holmes,100,0.868,0.729,0.026,0.113,88,2010,sg_tee_to_green
19,16,Heath Slocum,97,0.837,0.156,0.546,0.134,73,2010,sg_tee_to_green
20,20,Matt Kuchar,97,0.827,0.158,0.336,0.334,75,2010,sg_tee_to_green
21,21,Nick Watney,91,0.806,0.593,0.517,-0.304,69,2010,sg_tee_to_green
22,23,Padraig Harrington,57,0.799,-0.104,0.524,0.379,44,2010,sg_tee_to_green
23,22,Joe Durant,67,0.775,0.597,0.296,-0.118,57,2010,sg_tee_to_green
24,24,Bubba Watson,77,0.77,0.798,0.14,-0.168,67,2010,sg_tee_to_green
25,25,Brendon de Jonge,114,0.757,0.16,0.721,-0.125,91,2010,sg_tee_to_green
T26,T26,Graham DeLaet,88,0.752,0.678,0.111,-0.038,76,2010,sg_tee_to_green
T26,T26,Jason Day,82,0.752,0.254,0.054,0.444,71,2010,sg_tee_to_green
28,28,Chad Campbell,94,0.75,0.102,0.606,0.042,81,2010,sg_tee_to_green
29,32,John Senden,103,0.749,0.372,0.455,-0.078,87,2010,sg_tee_to_green
30,30,John Rollins,81,0.71,0.56,-0.074,0.224,75,2010,sg_tee_to_green
31,29,Sean O'Hair,84,0.697,0.431,0.198,0.068,65,2010,sg_tee_to_green
32,38,Davis Love III,79,0.68,0.297,0.364,0.019,66,2010,sg_tee_to_green
33,T34,Rickie Fowler,98,0.665,0.408,0.395,-0.138,83,2010,sg_tee_to_green
34,T34,Jerry Kelly,99,0.658,0.051,0.246,0.361,82,2010,sg_tee_to_green
35,33,Kenny Perry,69,0.645,0.605,0.151,-0.111,56,2010,sg_tee_to_green
36,31,Will MacKenzie,72,0.644,0.363,0.177,0.103,68,2010,sg_tee_to_green
37,48,Stewart Cink,84,0.628,0.431,0.309,-0.111,65,2010,sg_tee_to_green
38,36,Luke Donald,71,0.619,-0.506,0.661,0.464,53,2010,sg_tee_to_green
39,37,Jason Dufner,87,0.606,0.435,0.176,-0.006,69,2010,sg_tee_to_green
40,39,Hunter Mahan,85,0.596,0.642,0.069,-0.115,67,2010,sg_tee_to_green
41,40,Ben Crane,85,0.594,0.169,0.379,0.046,66,2010,sg_tee_to_green
42,41,Paul Casey,64,0.587,0.215,0.483,-0.111,44,2010,sg_tee_to_green
43,42,Ricky Barnes,103,0.58,-0.244,0.675,0.149,83,2010,sg_tee_to_green
44,44,Tim Clark,88,0.564,-0.025,0.591,-0.003,68,2010,sg_tee_to_green
45,45,Marc Leishman,87,0.563,0.074,0.417,0.072,72,2010,sg_tee_to_green
T46,T46,Boo Weekley,88,0.558,0.662,0.058,-0.162,74,2010,sg_tee_to_green
T46,T46,Kevin Sutherland,86,0.558,0.201,0.054,0.303,78,2010,sg_tee_to_green
48,43,Billy Mayfair,78,0.543,0.053,0.424,0.067,65,2010,sg_tee_to_green
49,T62,Charles Warren,64,0.521,0.581,0.327,-0.387,55,2010,sg_tee_to_green
50,49,Jonathan Byrd,85,0.491,0.091,0.046,0.354,82,2010,sg_tee_to_green
51,51,Freddie Jacobson,83,0.479,-0.064,0.302,0.241,77,2010,sg_tee_to_green
52,52,Martin Laird,91,0.448,0.354,0.143,-0.049,79,2010,sg_tee_to_green
53,50,Vaughn Taylor,87,0.446,0.074,0.333,0.039,79,2010,sg_tee_to_green
T54,53,David Toms,86,0.433,0.254,0.122,0.058,70,2010,sg_tee_to_green
T54,57,Spencer Levin,110,0.433,0.054,0.413,-0.034,98,2010,sg_tee_to_green
56,54,Sergio Garcia,58,0.424,0.272,0.199,-0.046,36,2010,sg_tee_to_green
57,56,Lucas Glover,75,0.416,0.285,0.138,-0.006,59,2010,sg_tee_to_green
58,55,Kris Blanks,91,0.408,0.201,0.417,-0.21,74,2010,sg_tee_to_green
59,58,Ángel Cabrera,64,0.4,0.598,-0.027,-0.17,51,2010,sg_tee_to_green
60,59,Alex Cejka,81,0.396,-0.146,0.464,0.077,68,2010,sg_tee_to_green
61,T62,Ryan Moore,80,0.385,0.45,0.026,-0.091,61,2010,sg_tee_to_green
62,64,Rocco Mediate,71,0.378,-0.082,0.568,-0.107,61,2010,sg_tee_to_green
63,65,Geoff Ogilvy,62,0.364,-0.165,0.488,0.041,50,2010,sg_tee_to_green
64,67,Kevin Na,94,0.362,-0.247,0.333,0.276,76,2010,sg_tee_to_green
65,77,Rory Sabbatini,79,0.358,0.3,-0.218,0.276,67,2010,sg_tee_to_green
66,60,Justin Leonard,89,0.356,-0.184,0.299,0.242,72,2010,sg_tee_to_green
67,66,Chris Riley,73,0.351,0.164,-0.177,0.364,63,2010,sg_tee_to_green
68,69,Charles Howell III,103,0.329,-0.041,0.046,0.324,90,2010,sg_tee_to_green
69,70,Scott Verplank,74,0.323,-0.12,0.456,-0.013,56,2010,sg_tee_to_green
70,T81,Steve Marino,81,0.307,0.27,-0.016,0.053,63,2010,sg_tee_to_green
71,61,Jason Bohn,84,0.303,0.082,0.324,-0.103,74,2010,sg_tee_to_green
72,72,D.A. Points,90,0.302,0.045,0.191,0.066,79,2010,sg_tee_to_green
73,73,Troy Matteson,84,0.287,0.515,0.042,-0.269,78,2010,sg_tee_to_green
74,75,Tom Pernice Jr.,74,0.284,-0.212,0.225,0.271,58,2010,sg_tee_to_green
75,68,Tom Gillis,97,0.261,0.348,-0.297,0.21,90,2010,sg_tee_to_green
T76,76,Tim Petrovic,105,0.255,0.029,0.031,0.195,94,2010,sg_tee_to_green
T76,86,Cameron Percy,73,0.255,-0.128,0.589,-0.206,59,2010,sg_tee_to_green
78,71,Shaun Micheel,70,0.251,-0.136,0.182,0.205,53,2010,sg_tee_to_green
T79,78,Omar Uresti,74,0.243,-0.001,0.042,0.202,61,2010,sg_tee_to_green
T79,91,Cameron Tringale,55,0.243,0.131,-0.055,0.167,45,2010,sg_tee_to_green
81,74,Aron Price,70,0.241,-0.1,0.291,0.051,62,2010,sg_tee_to_green
82,87,Paul Stankowski,62,0.233,0.016,0.377,-0.16,53,2010,sg_tee_to_green
83,83,Brett Wetterich,54,0.23,0.415,0.106,-0.291,53,2010,sg_tee_to_green
84,T79,Steve Elkington,74,0.226,0.368,-0.191,0.049,59,2010,sg_tee_to_green
85,84,Jeff Overton,89,0.222,0.232,0.064,-0.074,71,2010,sg_tee_to_green
86,85,Zach Johnson,93,0.21,0.118,0.221,-0.129,75,2010,sg_tee_to_green
87,T81,Josh Teater,101,0.206,0.428,-0.142,-0.08,92,2010,sg_tee_to_green
88,T79,Pat Perez,90,0.193,-0.005,-0.001,0.199,83,2010,sg_tee_to_green
89,89,Stuart Appleby,101,0.189,-0.236,0.077,0.348,88,2010,sg_tee_to_green
90,93,Briny Baird,87,0.188,-0.2,0.334,0.054,79,2010,sg_tee_to_green
91,90,Stephen Ames,75,0.186,0.011,0.054,0.12,69,2010,sg_tee_to_green
92,94,Chris Stroud,90,0.169,0.01,0.077,0.081,72,2010,sg_tee_to_green
93,92,Jeev Milkha Singh,59,0.165,-0.092,-0.139,0.396,52,2010,sg_tee_to_green
