RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure
1,1,Bubba Watson,76,314.3,"40,863",130,2014,avg_driv_dist
2,3,Dustin Johnson,58,311,"32,970",106,2014,avg_driv_dist
3,2,Rory McIlroy,66,310.5,"37,261",120,2014,avg_driv_dist
T4,T4,J.B. Holmes,86,308,"52,979",172,2014,avg_driv_dist
T4,T4,Andrew Loupe,65,308,"37,576",122,2014,avg_driv_dist
6,6,Brooks Koepka,56,307,"34,389",112,2014,avg_driv_dist
7,7,Robert Garrigus,80,306.1,"48,974",160,2014,avg_driv_dist
8,8,Jhonattan Vegas,77,304.8,"45,726",150,2014,avg_driv_dist
T9,T9,Gary Woodland,93,304.1,"53,218",175,2014,avg_driv_dist
T9,T9,Charles Howell III,106,304.1,"62,028",204,2014,avg_driv_dist
11,11,Charlie Beljan,76,303.8,"43,741",144,2014,avg_driv_dist
12,12,Ángel Cabrera,69,303.7,"41,915",138,2014,avg_driv_dist
13,T13,Adam Scott,68,303.5,"41,275",136,2014,avg_driv_dist
T14,T13,Jason Kokrak,65,303.4,"39,447",130,2014,avg_driv_dist
T14,T13,Graham DeLaet,80,303.4,"42,781",141,2014,avg_driv_dist
16,16,Jamie Lovemark,64,302.4,"36,292",120,2014,avg_driv_dist
17,17,Keegan Bradley,89,302.2,"48,344",160,2014,avg_driv_dist
18,19,Jason Day,54,301.2,"28,914",96,2014,avg_driv_dist
19,18,Jimmy Walker,98,301,"52,978",176,2014,avg_driv_dist
20,20,Lucas Glover,68,300.6,"37,276",124,2014,avg_driv_dist
T21,T21,Louis Oosthuizen,50,300.5,"25,240",84,2014,avg_driv_dist
T21,T21,Sean O'Hair,77,300.5,"46,271",154,2014,avg_driv_dist
T23,24,Ryan Palmer,85,300.4,"48,665",162,2014,avg_driv_dist
T23,23,Scott Stallings,77,300.4,"43,257",144,2014,avg_driv_dist
25,25,Robert Streb,75,300,"42,598",142,2014,avg_driv_dist
T26,T26,Harris English,95,299.2,"52,660",176,2014,avg_driv_dist
T26,T26,Charley Hoffman,93,299.2,"53,254",178,2014,avg_driv_dist
28,28,Brendan Steele,89,298.9,"48,417",162,2014,avg_driv_dist
29,29,Steven Bowditch,93,298.1,"55,447",186,2014,avg_driv_dist
30,30,Charl Schwartzel,64,297.8,"36,930",124,2014,avg_driv_dist
31,31,Shawn Stefani,60,297.7,"35,723",120,2014,avg_driv_dist
32,32,Marc Leishman,81,297.6,"45,239",152,2014,avg_driv_dist
T33,T33,Kyle Stanley,87,297.5,"47,008",158,2014,avg_driv_dist
T33,T37,Rickie Fowler,91,297.5,"45,808",154,2014,avg_driv_dist
T33,T33,Hudson Swafford,75,297.5,"42,248",142,2014,avg_driv_dist
36,35,Will Wilcox,51,297.3,"29,133",98,2014,avg_driv_dist
37,36,Martin Laird,66,297.2,"34,477",116,2014,avg_driv_dist
38,T37,Derek Ernst,80,297,"42,770",144,2014,avg_driv_dist
39,39,Troy Matteson,62,296.7,"34,422",116,2014,avg_driv_dist
40,40,Seung-Yul Noh,92,296.5,"54,555",184,2014,avg_driv_dist
T41,T41,Matt Jones,83,296.3,"46,823",158,2014,avg_driv_dist
T41,T41,Davis Love III,74,296.3,"42,664",144,2014,avg_driv_dist
43,43,Kevin Chappell,100,296.2,"54,493",184,2014,avg_driv_dist
44,44,Martin Flores,85,296,"47,957",162,2014,avg_driv_dist
T45,T45,Nick Watney,80,295.8,"39,636",134,2014,avg_driv_dist
T45,T45,Hunter Mahan,88,295.8,"50,294",170,2014,avg_driv_dist
47,T47,Carl Pettersson,91,295.5,"53,784",182,2014,avg_driv_dist
48,T47,Morgan Hoffmann,103,295.4,"58,486",198,2014,avg_driv_dist
49,T49,Justin Rose,70,295.1,"37,779",128,2014,avg_driv_dist
50,T49,Martin Kaymer,65,294.9,"35,391",120,2014,avg_driv_dist
51,T49,Hideki Matsuyama,82,294.8,"44,217",150,2014,avg_driv_dist
52,52,Jim Herman,62,294.7,"34,181",116,2014,avg_driv_dist
T53,T53,Josh Teater,90,294.6,"49,496",168,2014,avg_driv_dist
T53,T53,Andres Romero,81,294.6,"45,363",154,2014,avg_driv_dist
55,55,Kevin Tway,64,294.5,"35,342",120,2014,avg_driv_dist
