RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,TOTAL,DISTANCE RANK,ACCURACY RANK,year,measure
1,1,Boo Weekley,25,74,36,38,2012,total_driving
2,2,Hunter Mahan,23,78,61,17,2012,total_driving
3,3,Bo Van Pelt,24,84,40,44,2012,total_driving
T4,T4,Chris Couch,21,85,54,31,2012,total_driving
T4,T4,Jason Dufner,22,85,64,21,2012,total_driving
6,6,Tiger Woods,19,87,32,55,2012,total_driving
7,7,Louis Oosthuizen,19,90,23,67,2012,total_driving
8,8,Brandt Jobe,18,91,25,66,2012,total_driving
9,9,John Rollins,26,98,47,51,2012,total_driving
10,10,Kevin Stadler,25,102,62,40,2012,total_driving
T11,T11,Keegan Bradley,25,103,16,87,2012,total_driving
T11,T11,John Senden,22,103,79,24,2012,total_driving
T13,T13,John Merrick,26,105,58,47,2012,total_driving
T13,T13,Lee Westwood,15,105,29,76,2012,total_driving
T15,T15,Rickie Fowler,23,108,60,48,2012,total_driving
T15,T15,Justin Rose,19,108,80,28,2012,total_driving
17,17,Billy Horschel,17,111,89,22,2012,total_driving
18,18,Roberto Castro,27,117,83,34,2012,total_driving
T19,T19,Will Claxton,28,119,85,34,2012,total_driving
T19,T19,Charley Hoffman,27,119,46,73,2012,total_driving
21,21,Brian Harman,30,120,87,33,2012,total_driving
22,22,Bill Haas,23,122,66,56,2012,total_driving
T23,T23,Graham DeLaet,23,123,13,110,2012,total_driving
T23,T23,Josh Teater,30,123,27,96,2012,total_driving
25,25,John Huh,28,124,113,11,2012,total_driving
26,26,Tom Gillis,23,126,103,23,2012,total_driving
27,27,Kyle Stanley,27,132,8,124,2012,total_driving
28,28,Adam Scott,16,133,10,123,2012,total_driving
29,29,Cameron Tringale,26,134,85,49,2012,total_driving
30,30,Charl Schwartzel,16,135,42,93,2012,total_driving
31,31,Bubba Watson,19,136,1,135,2012,total_driving
32,32,Vijay Singh,27,137,47,90,2012,total_driving
33,33,Blake Adams,32,139,112,27,2012,total_driving
T34,T34,Charlie Beljan,22,141,2,139,2012,total_driving
T34,T34,Graeme McDowell,16,141,136,5,2012,total_driving
T36,T36,Richard Lee,24,144,134,10,2012,total_driving
T36,T36,Pat Perez,23,144,75,69,2012,total_driving
38,38,Harris English,27,145,20,125,2012,total_driving
T39,T39,Ryan Moore,24,146,117,29,2012,total_driving
T39,T39,Seung-Yul Noh,28,146,19,127,2012,total_driving
T41,T41,Sean O'Hair,24,149,31,118,2012,total_driving
T41,T41,Henrik Stenson,15,149,96,53,2012,total_driving
43,43,Jeff Overton,29,150,68,82,2012,total_driving
T44,T44,Russell Knox,23,152,132,20,2012,total_driving
T44,T44,Kevin Streelman,26,152,63,89,2012,total_driving
46,46,Greg Owen,27,156,41,115,2012,total_driving
T47,T47,Martin Laird,22,157,28,129,2012,total_driving
