RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,TOTAL,DISTANCE RANK,ACCURACY RANK,year,measure
1,1,David Hearn,24,72,45,27,2005,total_driving
2,2,Kenny Perry,23,98,9,89,2005,total_driving
3,4,Harrison Frazar,31,104,17,87,2005,total_driving
4,3,Joe Durant,25,105,92,13,2005,total_driving
5,5,Charles Warren,31,106,27,79,2005,total_driving
6,6,Mathias Grönberg,19,108,15,93,2005,total_driving
7,7,Bradley Hughes,20,113,75,38,2005,total_driving
8,8,Joey Snyder III,31,118,68,50,2005,total_driving
9,9,Billy Mayfair,31,125,103,22,2005,total_driving
10,T10,John Senden,29,131,77,54,2005,total_driving
11,T16,Will MacKenzie,25,132,20,112,2005,total_driving
T12,T10,Zach Johnson,30,133,86,47,2005,total_driving
T12,T12,Michael Long,26,133,29,104,2005,total_driving
T12,T14,John Rollins,30,133,49,84,2005,total_driving
15,T14,Jeff Brehaut,23,134,114,20,2005,total_driving
T16,T18,Justin Rose,28,136,51,85,2005,total_driving
T16,T12,Ted Purdy,34,136,45,91,2005,total_driving
T16,T18,D.J. Brigman,26,136,42,94,2005,total_driving
19,T16,Roland Thatcher,26,137,67,70,2005,total_driving
20,T25,Mark Calcavecchia,27,140,91,49,2005,total_driving
21,T23,Robert Allenby,31,142,33,109,2005,total_driving
22,22,Briny Baird,33,143,100,43,2005,total_driving
23,T23,Joey Sindelar,29,144,113,31,2005,total_driving
T24,T25,Richard Johnson,16,145,117,28,2005,total_driving
T24,T25,Jonathan Kaye,24,145,80,65,2005,total_driving
26,21,Sean O'Hair,29,150,23,127,2005,total_driving
T27,20,Lucas Glover,28,151,12,139,2005,total_driving
T27,T28,Jeff Maggert,25,151,135,16,2005,total_driving
T27,T28,J.L. Lewis,30,151,71,80,2005,total_driving
T30,T31,Bart Bryant,26,153,147,6,2005,total_driving
T30,30,Alex Cejka,31,153,114,39,2005,total_driving
32,33,Bo Van Pelt,33,157,59,98,2005,total_driving
T33,T41,D.J. Trahan,28,159,41,118,2005,total_driving
T33,35,Craig Barlow,26,159,88,71,2005,total_driving
35,36,John Huston,31,161,56,105,2005,total_driving
T36,34,David Toms,25,162,107,55,2005,total_driving
T36,T37,Vaughn Taylor,32,162,84,78,2005,total_driving
T38,45,Sergio Garcia,20,163,10,153,2005,total_driving
T38,T37,Kent Jones,32,163,102,61,2005,total_driving
T38,T37,Marco Dawson,23,163,63,100,2005,total_driving
T38,T37,Brian Davis,23,163,155,8,2005,total_driving
T42,T46,Lee Westwood,15,164,38,126,2005,total_driving
T42,T31,Vijay Singh,30,164,16,148,2005,total_driving
T44,50,Chris Smith,32,165,18,147,2005,total_driving
T44,T46,Tommy Armour III,29,165,112,53,2005,total_driving
T44,T43,Paul Claxton,29,165,153,12,2005,total_driving
T44,T43,Darron Stiles,26,165,142,23,2005,total_driving
T44,T46,J.J. Henry,32,165,34,131,2005,total_driving
T44,T41,K.J. Choi,24,165,98,67,2005,total_driving
T50,T56,Kevin Stadler,33,168,23,145,2005,total_driving
T50,T51,D.A. Points,33,168,82,86,2005,total_driving
T50,T46,Rocco Mediate,24,168,108,60,2005,total_driving
T50,T59,Scott Verplank,25,168,159,9,2005,total_driving
T54,T51,Jay Williamson,16,169,155,14,2005,total_driving
T54,T54,Scott Gutschewski,27,169,4,165,2005,total_driving
T56,T56,Geoff Ogilvy,26,170,31,139,2005,total_driving
T56,53,Heath Slocum,29,170,159,11,2005,total_driving
58,T54,Duffy Waldorf,28,172,149,23,2005,total_driving
T59,T59,Stuart Appleby,25,174,19,155,2005,total_driving
T59,T56,Davis Love III,24,174,8,166,2005,total_driving
61,63,Jason Bohn,28,175,62,113,2005,total_driving
T62,62,Kevin Sutherland,26,176,108,68,2005,total_driving
T62,T59,Chad Campbell,27,176,52,124,2005,total_driving
64,T64,Olin Browne,29,177,173,4,2005,total_driving
T65,T66,Tom Pernice Jr.,32,179,80,99,2005,total_driving
T65,T66,Hidemichi Tanaka,34,179,150,29,2005,total_driving
67,69,Arjun Atwal,17,180,50,130,2005,total_driving
68,T73,Nick Watney,31,182,28,154,2005,total_driving
