RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,year,measure
1,1,Henrik Stenson,60,73.51,741,"1,008",-0.26,2018,gir_pct
2,2,Sam Ryder,82,72.08,"1,038","1,440",-0.26,2018,gir_pct
3,3,Billy Horschel,86,71.75,"1,059","1,476",-0.28,2018,gir_pct
4,4,Kevin Streelman,94,71.56,"1,185","1,656",-0.24,2018,gir_pct
5,5,C.T. Pan,104,71.2,"1,256","1,764",-0.26,2018,gir_pct
6,6,Kyle Stanley,93,71.09,"1,126","1,584",-0.26,2018,gir_pct
7,7,Patrick Cantlay,87,70.69,"1,018","1,440",-0.27,2018,gir_pct
8,8,Adam Scott,78,70.66,992,"1,404",-0.25,2018,gir_pct
9,9,Dustin Johnson,77,70.57,940,"1,332",-0.37,2018,gir_pct
10,10,J.J. Henry,81,70.52,952,"1,350",-0.21,2018,gir_pct
11,11,Gary Woodland,96,70.51,"1,155","1,638",-0.27,2018,gir_pct
T12,T12,Andrew Putnam,97,70.47,"1,129","1,602",-0.24,2018,gir_pct
T12,T12,Jordan Spieth,81,70.47,964,"1,368",-0.29,2018,gir_pct
14,14,Jason Kokrak,99,70.37,"1,254","1,782",-0.28,2018,gir_pct
15,15,Brett Stegmaier,67,70.31,772,"1,098",-0.26,2018,gir_pct
16,16,Francesco Molinari,73,70.24,885,"1,260",-0.26,2018,gir_pct
17,17,Corey Conners,97,70.19,"1,175","1,674",-0.24,2018,gir_pct
18,18,Tony Finau,105,70.18,"1,238","1,764",-0.32,2018,gir_pct
19,19,Rafa Cabrera Bello,75,70.16,884,"1,260",-0.27,2018,gir_pct
20,20,Jon Rahm,71,70.12,833,"1,188",-0.31,2018,gir_pct
21,21,Michael Thompson,62,70.11,732,"1,044",-0.26,2018,gir_pct
22,22,Blayne Barber,69,69.98,844,"1,206",-0.26,2018,gir_pct
23,23,Justin Rose,70,69.95,831,"1,188",-0.32,2018,gir_pct
24,24,Scott Piercy,84,69.72,"1,004","1,440",-0.24,2018,gir_pct
T25,T25,Bryson DeChambeau,93,69.65,"1,166","1,674",-0.3,2018,gir_pct
T25,T25,Tyler Duncan,97,69.65,"1,166","1,674",-0.24,2018,gir_pct
27,27,Russell Knox,94,69.57,"1,127","1,620",-0.24,2018,gir_pct
28,28,Cameron Percy,56,69.56,626,900,-0.29,2018,gir_pct
29,29,Rickie Fowler,74,69.52,926,"1,332",-0.3,2018,gir_pct
30,30,J.J. Spaun,85,69.48,988,"1,422",-0.28,2018,gir_pct
31,31,Keith Mitchell,99,69.42,"1,212","1,746",-0.28,2018,gir_pct
32,32,Tommy Fleetwood,73,69.36,824,"1,188",-0.32,2018,gir_pct
33,33,Charles Howell III,104,69.33,"1,248","1,800",-0.26,2018,gir_pct
34,34,Hideki Matsuyama,75,69.29,898,"1,296",-0.3,2018,gir_pct
35,35,Brendan Steele,74,69.24,835,"1,206",-0.24,2018,gir_pct
36,36,Keegan Bradley,98,69.18,"1,158","1,674",-0.27,2018,gir_pct
37,37,Patton Kizzire,92,69.04,"1,106","1,602",-0.27,2018,gir_pct
38,38,Hudson Swafford,73,68.99,832,"1,206",-0.25,2018,gir_pct
39,39,Hunter Mahan,67,68.96,782,"1,134",-0.28,2018,gir_pct
40,40,David Hearn,66,68.89,744,"1,080",-0.26,2018,gir_pct
41,41,Emiliano Grillo,94,68.84,"1,140","1,656",-0.28,2018,gir_pct
42,42,Joel Dahmen,93,68.82,"1,053","1,530",-0.26,2018,gir_pct
43,43,Aaron Wise,90,68.81,"1,090","1,584",-0.29,2018,gir_pct
